Name	chi2Pvalue
760	5.01588863E-8
170	2.37550055E-4
370	9.48871132E-4
456	1.42590259E-3
265	1.80351578E-3
392	2.55288405E-3
540	4.47410474E-3
125	8.49097279E-3
94	8.6504719E-3
784	8.67741304E-3
260	1.07964096E-2
938	1.367119E-2
825	1.59790688E-2
327	1.73086439E-2
564	2.0159308E-2
74	2.07826232E-2
403	2.31261606E-2
5	2.32310025E-2
790	2.3231612E-2
491	2.44593422E-2
975	2.58877796E-2
157	2.64794514E-2
754	2.88702246E-2
599	2.92995993E-2
398	3.12946316E-2
103	3.13425115E-2
876	3.19277035E-2
363	3.27452987E-2
642	3.45734409E-2
723	3.57396774E-2
273	3.76323915E-2
811	3.80830107E-2
768	3.89888067E-2
638	4.01140402E-2
884	4.05450277E-2
979	4.1331965E-2
31	4.15110806E-2
568	4.24449973E-2
252	4.2767344E-2
702	4.38362344E-2
328	4.43365048E-2
692	4.49422427E-2
185	4.66223111E-2
785	4.66906201E-2
21	4.72169567E-2
813	4.88671792E-2
934	4.89753447E-2
612	4.98625206E-2
133	4.99992718E-2
962	5.06800623E-2
634	5.11171554E-2
503	5.11681466E-2
596	5.18826155E-2
687	5.34476061E-2
357	5.41924601E-2
753	5.54610236E-2
881	5.57778305E-2
301	5.69459011E-2
771	5.85023649E-2
916	5.9626866E-2
293	6.08229246E-2
451	6.0974444E-2
379	6.23922546E-2
1017	6.78500836E-2
746	6.94703452E-2
707	6.95106561E-2
990	7.00058942E-2
543	7.12840941E-2
209	7.21291573E-2
453	7.39083645E-2
189	7.43377348E-2
581	7.53678598E-2
285	7.59282473E-2
253	7.70465956E-2
388	7.71779921E-2
1020	7.72189622E-2
250	7.85057537E-2
517	7.88945866E-2
644	7.91908313E-2
939	7.95686597E-2
844	7.97677224E-2
676	8.0024673E-2
656	8.01312016E-2
709	8.10495887E-2
264	8.14126351E-2
443	8.14617054E-2
471	8.14831337E-2
238	8.28274612E-2
863	8.52021323E-2
703	8.66738733E-2
418	8.74007637E-2
100	8.76191389E-2
549	8.76488916E-2
706	9.09261487E-2
166	9.18995511E-2
856	9.30678195E-2
138	9.55702503E-2
518	9.82370006E-2
976	9.83513009E-2
107	9.97995007E-2
894	9.98931561E-2
989	1.00809512E-1
971	1.01317303E-1
164	1.03560888E-1
906	1.06567858E-1
958	1.07562331E-1
409	1.08250329E-1
553	1.10456484E-1
256	1.11343291E-1
679	1.14136163E-1
734	1.1465666E-1
381	1.15948771E-1
134	1.17244232E-1
959	1.17952509E-1
460	1.18187564E-1
591	1.18730282E-1
191	1.19441046E-1
349	1.19466977E-1
1009	1.19695138E-1
778	1.2031636E-1
311	1.20398926E-1
598	1.22463662E-1
836	1.22983011E-1
10	1.23751204E-1
774	1.23964053E-1
203	1.25064025E-1
928	1.27069589E-1
4	1.289031E-1
1000	1.29873873E-1
176	1.30327088E-1
689	1.34899179E-1
534	1.34976941E-1
977	1.35632123E-1
269	1.36941265E-1
666	1.37068776E-1
859	1.39424973E-1
969	1.40512386E-1
826	1.41167677E-1
973	1.41198165E-1
798	1.41841816E-1
142	1.4304376E-1
655	1.43239086E-1
61	1.44267271E-1
354	1.44918531E-1
286	1.46281001E-1
236	1.46679884E-1
17	1.47174896E-1
658	1.47227234E-1
186	1.47313161E-1
352	1.47548234E-1
608	1.48324821E-1
911	1.48820011E-1
756	1.49966854E-1
808	1.50521346E-1
855	1.51011439E-1
113	1.51293952E-1
511	1.5275826E-1
239	1.53078784E-1
