Name	chi2Pvalue
881	2.33849562E-5
760	5.07688679E-5
260	3.61248162E-4
938	1.57665432E-3
744	2.32773809E-3
87	4.29485689E-3
457	8.45173605E-3
575	8.52234432E-3
227	9.69801846E-3
160	1.05900552E-2
638	1.10610559E-2
504	1.15409025E-2
188	1.47139668E-2
83	1.56212356E-2
879	1.59548455E-2
5	1.66776466E-2
836	1.74708984E-2
105	1.84175104E-2
220	2.10255508E-2
1019	2.10270298E-2
618	2.16782855E-2
699	2.20816767E-2
501	2.30090637E-2
706	2.45279881E-2
925	2.496248E-2
747	2.78578709E-2
811	2.82998466E-2
998	3.08779001E-2
751	3.17434482E-2
692	3.29052567E-2
407	3.35102977E-2
729	3.50910422E-2
253	3.56593776E-2
254	3.68716827E-2
144	3.68889797E-2
690	3.84662964E-2
381	3.85003533E-2
823	4.01322734E-2
835	4.08016089E-2
237	4.41238263E-2
129	4.56929066E-2
378	4.69833552E-2
1022	4.7297233E-2
385	5.08381909E-2
884	5.12635234E-2
1023	5.16425711E-2
103	5.16952877E-2
928	5.18287061E-2
754	5.28776528E-2
674	5.35703568E-2
85	5.41347054E-2
352	5.69502176E-2
712	5.75132295E-2
219	5.78187499E-2
175	5.87960683E-2
964	5.89020733E-2
256	6.05638086E-2
208	6.10144313E-2
591	6.20330293E-2
625	6.29604105E-2
467	6.35947811E-2
324	6.42637182E-2
753	6.42890084E-2
348	6.53495725E-2
650	6.88505133E-2
732	6.89986958E-2
101	6.90869857E-2
312	7.10514088E-2
578	7.18848133E-2
216	7.20334098E-2
805	7.30521935E-2
765	7.57783002E-2
431	7.68276765E-2
309	7.69573871E-2
368	7.70230124E-2
517	7.74617729E-2
693	7.80070805E-2
100	7.86450094E-2
538	8.00209259E-2
963	8.006959E-2
576	8.03967204E-2
44	8.07662854E-2
429	8.16498547E-2
275	8.33973277E-2
179	8.52900552E-2
890	8.68667893E-2
686	8.71800649E-2
804	8.74548576E-2
444	8.80236983E-2
844	8.82528126E-2
495	8.91869195E-2
861	9.06988821E-2
370	9.12696352E-2
382	9.15722331E-2
268	9.19496839E-2
98	9.63478162E-2
662	9.69783763E-2
876	9.70772711E-2
574	9.71564472E-2
966	9.73567498E-2
434	9.74269285E-2
18	1.00471403E-1
