Name	chi2Pvalue
81	1.25555163E-3
639	2.12418995E-3
191	2.96132023E-3
725	4.94959012E-3
477	5.46650976E-3
122	6.40345588E-3
843	7.15638223E-3
936	7.38980173E-3
670	7.82281348E-3
220	8.66957561E-3
516	9.65314667E-3
772	9.66058499E-3
730	1.15773922E-2
311	1.22904607E-2
488	1.31735691E-2
85	1.40239628E-2
346	1.44173694E-2
637	1.55784809E-2
956	1.7162317E-2
973	1.76280824E-2
758	1.96110489E-2
1014	2.02104097E-2
797	2.15654709E-2
634	2.17544094E-2
1008	2.22360634E-2
101	2.27823909E-2
817	2.31951989E-2
320	2.84809195E-2
775	2.88471612E-2
827	3.01861675E-2
784	3.04924119E-2
805	3.305202E-2
872	3.34634995E-2
163	3.36979164E-2
938	3.50128131E-2
736	3.53137779E-2
113	3.71927466E-2
501	3.90955197E-2
534	3.92131927E-2
767	3.93446439E-2
531	3.94230139E-2
746	3.98092737E-2
993	3.99120389E-2
363	4.02897944E-2
162	4.12864493E-2
21	4.15036181E-2
564	4.31542297E-2
58	4.31608859E-2
533	4.42045528E-2
953	4.49958175E-2
224	4.5212988E-2
456	4.52318109E-2
541	4.70071362E-2
443	4.80509883E-2
958	4.92291992E-2
11	5.08228003E-2
617	5.18182719E-2
771	5.25313567E-2
49	5.37739933E-2
779	5.48018994E-2
792	5.48397615E-2
700	5.52061348E-2
196	5.55429098E-2
214	5.55595997E-2
754	5.64557224E-2
227	5.67568873E-2
760	5.69518936E-2
640	5.76745805E-2
718	5.79734584E-2
599	5.80691109E-2
773	6.44043192E-2
134	6.6067615E-2
921	6.668802E-2
923	6.74399641E-2
506	6.86546507E-2
937	6.89358988E-2
836	7.07485628E-2
102	7.1195755E-2
952	7.20462638E-2
212	7.21662041E-2
994	7.38398867E-2
453	7.44761877E-2
18	7.54533546E-2
416	7.5736839E-2
992	7.71488563E-2
439	7.71761288E-2
466	7.72316833E-2
785	7.77808249E-2
401	7.82583721E-2
430	7.82947395E-2
811	7.98054845E-2
294	8.21245814E-2
636	8.22177409E-2
65	8.2447178E-2
1010	8.32613952E-2
13	8.47725761E-2
686	8.51959273E-2
364	8.62384233E-2
0	8.6626268E-2
136	8.82583716E-2
309	9.05473438E-2
69	9.19660086E-2
329	9.26207956E-2
505	9.29043976E-2
633	9.4058449E-2
426	9.45705069E-2
36	9.50036242E-2
117	9.60424352E-2
230	9.61557345E-2
586	9.68344503E-2
795	9.82830027E-2
248	9.97390232E-2
656	1.00989481E-1
108	1.03398816E-1
650	1.05087177E-1
562	1.05838015E-1
787	1.06222006E-1
97	1.07031324E-1
877	1.07189647E-1
604	1.09766562E-1
199	1.09897965E-1
410	1.1005929E-1
697	1.10599141E-1
777	1.11495872E-1
889	1.12667929E-1
740	1.14093598E-1
858	1.15185021E-1
114	1.15939812E-1
755	1.16889324E-1
112	1.18010963E-1
926	1.18020322E-1
995	1.181933E-1
104	1.18424695E-1
487	1.1844076E-1
480	1.18828698E-1
685	1.20424634E-1
1020	1.21489856E-1
1023	1.22951928E-1
615	1.24639046E-1
569	1.24688819E-1
561	1.25624027E-1
131	1.27683277E-1
719	1.28731762E-1
673	1.29759993E-1
481	1.33854073E-1
879	1.34891186E-1
983	1.35268636E-1
706	1.36750754E-1
53	1.39092012E-1
282	1.43380886E-1
829	1.44213694E-1
496	1.44328495E-1
465	1.44774821E-1
520	1.46276154E-1
880	1.46819117E-1
92	1.47268298E-1
403	1.49403353E-1
5	1.501736E-1
438	1.5055892E-1
323	1.55055722E-1
732	1.57053579E-1
680	1.57353886E-1
555	1.581197E-1
258	1.58636278E-1
890	1.58871333E-1
671	1.59100572E-1
910	1.59192815E-1
451	1.59430839E-1
768	1.59600102E-1
133	1.59856677E-1
964	1.59862642E-1
930	1.60018708E-1
835	1.62398862E-1
415	1.62947959E-1
19	1.63041447E-1
723	1.63492004E-1
305	1.6456557E-1
976	1.65087476E-1
737	1.65269378E-1
38	1.66605414E-1
30	1.67049959E-1
50	1.67653745E-1
1005	1.68232955E-1
691	1.73093778E-1
916	1.73452364E-1
446	1.74040156E-1
80	1.75619443E-1
194	1.7617784E-1
878	1.78191141E-1
334	1.78790277E-1
127	1.79533186E-1
554	1.79846155E-1
137	1.81056801E-1
708	1.81607301E-1
56	1.82908433E-1
375	1.83904522E-1
286	1.84785301E-1
714	1.8685402E-1
256	1.87335416E-1
130	1.88381807E-1
349	1.92136225E-1
957	1.92168362E-1
864	1.92898615E-1
681	1.94322989E-1
563	1.94676024E-1
12	1.97643695E-1
202	1.97814633E-1
222	1.9862002E-1
598	1.99110397E-1
774	1.99717591E-1
662	2.01483822E-1
934	2.02380641E-1
433	2.02804397E-1
727	2.03505908E-1
10	2.04220508E-1
469	2.04999825E-1
303	2.09423225E-1
646	2.09515394E-1
271	2.09536625E-1
948	2.09676796E-1
434	2.11211001E-1
208	2.11942184E-1
699	2.14777549E-1
300	2.15172911E-1
917	2.18069665E-1
863	2.20060892E-1
850	2.20173677E-1
814	2.21975007E-1
192	2.22273918E-1
43	2.226269E-1
519	2.2328319E-1
307	2.25067785E-1
565	2.25293712E-1
649	2.25423705E-1
593	2.26471275E-1
411	2.29338433E-1
361	2.2946673E-1
221	2.29706533E-1
399	2.30831102E-1
798	2.31353854E-1
568	2.31415432E-1
1	2.32505163E-1
210	2.32733504E-1
824	2.35243793E-1
118	2.35284029E-1
874	2.36285836E-1
887	2.38705562E-1
109	2.38718162E-1
232	2.39081596E-1
95	2.39863063E-1
696	2.40037315E-1
489	2.44052977E-1
965	2.45270533E-1
190	2.458085E-1
243	2.45993095E-1
170	2.46191793E-1
296	2.46229982E-1
971	2.47256242E-1
139	2.47296699E-1
620	2.48961322E-1
515	2.49301834E-1
268	2.49488176E-1
507	2.52651694E-1
148	2.52976658E-1
29	2.58654687E-1
623	2.59215706E-1
728	2.59525695E-1
149	2.60609993E-1
253	2.60674944E-1
733	2.6103875E-1
291	2.62416786E-1
9	2.62902393E-1
576	2.63347756E-1
350	2.65976276E-1
596	2.67873044E-1
61	2.68720179E-1
583	2.69456573E-1
597	2.70759637E-1
607	2.71398298E-1
238	2.71531896E-1
603	2.71882221E-1
611	2.72183037E-1
280	2.72522173E-1
8	2.74599322E-1
557	2.76384403E-1
326	2.76488421E-1
330	2.77317427E-1
651	2.7800359E-1
242	2.78721693E-1
756	2.79898668E-1
494	2.80094088E-1
325	2.80256666E-1
511	2.81595509E-1
645	2.83089889E-1
1021	2.8326836E-1
963	2.83374444E-1
1013	2.84977799E-1
99	2.85114058E-1
183	2.85282115E-1
348	2.86668925E-1
234	2.87208754E-1
647	2.87249977E-1
726	2.87648176E-1
757	2.90123764E-1
985	2.90165771E-1
884	2.92445219E-1
847	2.94249435E-1
885	2.95119506E-1
404	2.95412109E-1
263	2.95418688E-1
518	2.95616215E-1
262	2.97026099E-1
925	2.97167465E-1
285	2.98785039E-1
337	2.99944524E-1
630	3.00346935E-1
661	3.02331731E-1
600	3.03600787E-1
78	3.04044981E-1
810	3.04298998E-1
142	3.07197293E-1
690	3.07906209E-1
240	3.10000212E-1
974	3.10308524E-1
559	3.10553436E-1
135	3.1075808E-1
970	3.1168897E-1
272	3.13750034E-1
225	3.15923833E-1
744	3.17673146E-1
786	3.19590057E-1
265	3.20599975E-1
521	3.21472626E-1
769	3.22173601E-1
356	3.22908262E-1
482	3.23743351E-1
484	3.24248632E-1
684	3.2572002E-1
402	3.26683033E-1
62	3.28795924E-1
800	3.3082548E-1
581	3.32286803E-1
4	3.33755082E-1
463	3.33949114E-1
6	3.34000294E-1
523	3.34119238E-1
542	3.34443849E-1
301	3.38854537E-1
809	3.39355581E-1
927	3.40241139E-1
471	3.42253061E-1
731	3.42889988E-1
479	3.46083671E-1
635	3.52036564E-1
490	3.52780224E-1
314	3.5383885E-1
914	3.53888533E-1
273	3.56604389E-1
991	3.57586947E-1
276	3.57899072E-1
188	3.57992396E-1
45	3.59345553E-1
551	3.59429586E-1
539	3.60478187E-1
231	3.60605165E-1
312	3.63807826E-1
543	3.64183305E-1
422	3.64684504E-1
90	3.66493747E-1
328	3.68283678E-1
679	3.70935135E-1
972	3.73324167E-1
538	3.73594825E-1
962	3.7647376E-1
849	3.78984586E-1
624	3.78994164E-1
380	3.8142012E-1
55	3.82103409E-1
96	3.84225536E-1
499	3.84364491E-1
687	3.86924633E-1
883	3.87813104E-1
868	3.87871755E-1
695	3.89984081E-1
694	3.90507743E-1
846	3.95390897E-1
522	3.95865168E-1
124	3.96356236E-1
441	3.964743E-1
854	3.97306607E-1
933	3.98675463E-1
906	3.99248615E-1
820	3.99411445E-1
436	4.00767871E-1
378	4.04302726E-1
1006	4.05165888E-1
631	4.05409667E-1
206	4.05663181E-1
204	4.06960736E-1
778	4.09149479E-1
431	4.09566291E-1
831	4.10638232E-1
366	4.10772432E-1
717	4.11856402E-1
279	4.1187993E-1
857	4.13844508E-1
184	4.14942572E-1
82	4.18021825E-1
808	4.18332918E-1
138	4.20388298E-1
147	4.20528957E-1
578	4.21910094E-1
288	4.2292548E-1
338	4.23024683E-1
638	4.24072553E-1
359	4.25061811E-1
25	4.25622786E-1
428	4.26314551E-1
621	4.26943915E-1
828	4.27965011E-1
333	4.28155145E-1
264	4.28874025E-1
901	4.29144428E-1
169	4.29654011E-1
540	4.3089638E-1
217	4.31806595E-1
324	4.33246644E-1
932	4.34078031E-1
173	4.34235711E-1
873	4.34246403E-1
17	4.35010495E-1
48	4.35815436E-1
999	4.35877197E-1
899	4.4065469E-1
290	4.425825E-1
150	4.42646534E-1
918	4.45047607E-1
692	4.45645698E-1
116	4.45769849E-1
229	4.47730386E-1
405	4.4882343E-1
553	4.4957181E-1
154	4.49759949E-1
493	4.5071597E-1
1012	4.50798907E-1
907	4.53516418E-1
498	4.53957492E-1
317	4.54733107E-1
508	4.5488792E-1
382	4.5648111E-1
896	4.58568154E-1
504	4.59595562E-1
70	4.59611389E-1
701	4.60820363E-1
495	4.62286866E-1
871	4.64783392E-1
613	4.67604952E-1
609	4.69199005E-1
274	4.7172055E-1
860	4.72228074E-1
1001	4.7387314E-1
897	4.7405431E-1
293	4.741796E-1
720	4.7599543E-1
898	4.76551628E-1
470	4.77012924E-1
419	4.780216E-1
642	4.78811701E-1
653	4.79607829E-1
602	4.7978081E-1
86	4.80620923E-1
944	4.82668981E-1
997	4.82797184E-1
584	4.83170762E-1
71	4.83351457E-1
342	4.84765966E-1
181	4.85811185E-1
164	4.86038966E-1
160	4.8643773E-1
468	4.87026552E-1
825	4.88036701E-1
591	4.88101446E-1
747	4.89286418E-1
157	4.89949804E-1
357	4.91265967E-1
306	4.93831112E-1
573	4.95393372E-1
383	4.95820709E-1
442	4.95959889E-1
353	4.9607815E-1
587	4.96331756E-1
156	4.99853026E-1
400	5.02403092E-1
560	5.05132772E-1
459	5.0531443E-1
278	5.07802916E-1
476	5.08347681E-1
780	5.09647372E-1
74	5.10508923E-1
392	5.1384225E-1
159	5.13842746E-1
729	5.15088594E-1
851	5.15677256E-1
39	5.16462539E-1
951	5.16588821E-1
698	5.1682167E-1
738	5.17696228E-1
377	5.19246167E-1
413	5.21100625E-1
813	5.23971483E-1
179	5.24300748E-1
219	5.24814875E-1
688	5.25521261E-1
270	5.25972468E-1
64	5.26992984E-1
789	5.29735563E-1
393	5.30843778E-1
939	5.32240793E-1
678	5.32792714E-1
867	5.3325233E-1
750	5.34038199E-1
247	5.34676034E-1
715	5.35160698E-1
110	5.36152002E-1
66	5.37359962E-1
704	5.37669674E-1
741	5.3797175E-1
447	5.38604936E-1
445	5.38734508E-1
121	5.39588082E-1
1000	5.41833352E-1
735	5.4341812E-1
589	5.45278846E-1
27	5.45577624E-1
371	5.47288457E-1
26	5.47409529E-1
461	5.48738132E-1
20	5.48811329E-1
14	5.50065738E-1
244	5.50159647E-1
677	5.50461183E-1
969	5.5123602E-1
716	5.52009448E-1
947	5.53364887E-1
1019	5.53492119E-1
842	5.54225569E-1
782	5.55135584E-1
1018	5.56527356E-1
745	5.57084811E-1
319	5.57182602E-1
297	5.5843347E-1
512	5.60650832E-1
409	5.61661536E-1
657	5.62965752E-1
529	5.64559798E-1
546	5.67714422E-1
299	5.68276165E-1
28	5.73366384E-1
32	5.7346704E-1
724	5.7425004E-1
629	5.76090109E-1
497	5.76664212E-1
129	5.7818418E-1
340	5.81514264E-1
165	5.81939025E-1
40	5.82837939E-1
72	5.83727549E-1
205	5.84477185E-1
79	5.85904013E-1
567	5.867927E-1
979	5.87308977E-1
417	5.88857102E-1
668	5.90391653E-1
44	5.91869504E-1
919	5.93811232E-1
486	5.93870884E-1
46	5.94233679E-1
182	5.95205746E-1
295	5.96645419E-1
570	5.9665154E-1
749	5.9673762E-1
509	5.97251099E-1
888	5.97696897E-1
261	5.98354671E-1
31	5.99315181E-1
626	6.03682171E-1
667	6.03833909E-1
339	6.04250227E-1
893	6.06524656E-1
266	6.06655697E-1
548	6.06702982E-1
68	6.07309909E-1
788	6.0778564E-1
967	6.08915346E-1
830	6.09798305E-1
395	6.10385783E-1
712	6.10442883E-1
530	6.10595462E-1
707	6.12147898E-1
594	6.12234343E-1
252	6.13894102E-1
875	6.14905252E-1
525	6.16270271E-1
845	6.17553086E-1
575	6.17744638E-1
665	6.19895393E-1
1009	6.19916956E-1
237	6.21134431E-1
605	6.24197705E-1
669	6.25187119E-1
54	6.25772434E-1
510	6.25842626E-1
865	6.26292069E-1
666	6.26455701E-1
940	6.27353771E-1
996	6.27965788E-1
942	6.28498246E-1
659	6.28991612E-1
218	6.29195356E-1
891	6.29861323E-1
894	6.31711181E-1
132	6.32595848E-1
57	6.33054648E-1
106	6.34631232E-1
929	6.34987427E-1
352	6.37590759E-1
909	6.37789207E-1
984	6.39114639E-1
313	6.41512143E-1
641	6.42946255E-1
713	6.43100699E-1
414	6.43315293E-1
950	6.45908948E-1
89	6.4632813E-1
614	6.48677673E-1
643	6.50304557E-1
396	6.50732836E-1
239	6.50767631E-1
168	6.51515671E-1
308	6.51710639E-1
978	6.52133616E-1
3	6.522771E-1
815	6.54108168E-1
535	6.54192164E-1
648	6.54254661E-1
457	6.55981283E-1
406	6.56002423E-1
292	6.5602902E-1
672	6.56059477E-1
88	6.5720959E-1
595	6.57495092E-1
331	6.57939887E-1
310	6.57970936E-1
128	6.5798863E-1
502	6.58550366E-1
528	6.5915568E-1
155	6.60269847E-1
365	6.61459953E-1
703	6.62354844E-1
1002	6.64081557E-1
619	6.65051156E-1
223	6.65352063E-1
260	6.66122363E-1
500	6.66551479E-1
152	6.66671419E-1
94	6.66801481E-1
151	6.67399513E-1
862	6.68146506E-1
257	6.69063414E-1
859	6.6973674E-1
683	6.70913932E-1
908	6.7199838E-1
472	6.73103544E-1
537	6.74249476E-1
195	6.75612553E-1
228	6.75704036E-1
91	6.76252638E-1
988	6.76685503E-1
158	6.76690976E-1
385	6.77088817E-1
341	6.79698069E-1
544	6.79970003E-1
823	6.8104195E-1
549	6.81842397E-1
455	6.82108056E-1
902	6.82441075E-1
216	6.82590842E-1
1022	6.82693222E-1
572	6.84108E-1
702	6.86031645E-1
816	6.88025777E-1
935	6.88786806E-1
627	6.9068477E-1
981	6.91253914E-1
423	6.92275748E-1
437	6.93192064E-1
354	6.93729236E-1
269	6.94198539E-1
462	6.95176015E-1
235	6.969216E-1
75	6.97392691E-1
335	6.98056372E-1
233	6.99315592E-1
119	6.99866643E-1
16	7.00351939E-1
259	7.00927464E-1
172	7.01818897E-1
198	7.02142082E-1
803	7.026265E-1
24	7.02938323E-1
840	7.03324259E-1
141	7.03643263E-1
881	7.03864374E-1
654	7.04400637E-1
941	7.04927736E-1
161	7.05295832E-1
427	7.05311559E-1
838	7.06807783E-1
806	7.06897327E-1
960	7.08377109E-1
821	7.08395128E-1
781	7.0913229E-1
975	7.09584491E-1
77	7.12186386E-1
275	7.12517304E-1
954	7.13311978E-1
644	7.13593577E-1
105	7.14123015E-1
322	7.14472351E-1
379	7.14488736E-1
752	7.1538454E-1
491	7.16107711E-1
185	7.16203822E-1
452	7.17054669E-1
187	7.17063454E-1
753	7.17806153E-1
799	7.19139767E-1
977	7.20219423E-1
60	7.20915105E-1
386	7.21405047E-1
982	7.21547258E-1
475	7.21866297E-1
376	7.22931199E-1
1016	7.23826358E-1
316	7.24068501E-1
959	7.24313784E-1
449	7.25743969E-1
764	7.28004819E-1
440	7.28169478E-1
483	7.28183623E-1
1017	7.28398775E-1
284	7.28600029E-1
622	7.2947754E-1
903	7.2961874E-1
552	7.30322668E-1
98	7.32118497E-1
464	7.32437926E-1
841	7.34717625E-1
22	7.36456937E-1
203	7.36956739E-1
123	7.37040153E-1
853	7.38308627E-1
63	7.38420949E-1
397	7.38529751E-1
144	7.39307005E-1
166	7.40120628E-1
1004	7.40275586E-1
856	7.41461001E-1
743	7.41593753E-1
674	7.44221256E-1
886	7.45216876E-1
612	7.4555675E-1
374	7.51132555E-1
1011	7.5203397E-1
368	7.5292822E-1
998	7.5455751E-1
226	7.54644803E-1
839	7.54725548E-1
327	7.54746117E-1
387	7.55839135E-1
616	7.56017614E-1
432	7.5630497E-1
625	7.58641956E-1
454	7.58885942E-1
532	7.59720296E-1
474	7.61136802E-1
807	7.62771143E-1
267	7.62979372E-1
318	7.62990666E-1
949	7.63233873E-1
321	7.64061487E-1
125	7.65350797E-1
761	7.66112848E-1
200	7.66128896E-1
790	7.67828625E-1
345	7.68008113E-1
592	7.69700464E-1
444	7.72791311E-1
759	7.74151929E-1
197	7.74253176E-1
140	7.76322957E-1
660	7.77995232E-1
398	7.80642876E-1
458	7.80840351E-1
171	7.81053471E-1
793	7.83775804E-1
384	7.8392959E-1
931	7.84136197E-1
59	7.8502852E-1
277	7.85603866E-1
67	7.85737066E-1
804	7.85934507E-1
913	7.86330183E-1
802	7.86353959E-1
682	7.86966845E-1
826	7.87147914E-1
41	7.8779001E-1
298	7.89037259E-1
832	7.89737972E-1
742	7.91450006E-1
895	7.94140864E-1
943	7.94778043E-1
980	7.95047294E-1
632	7.95210609E-1
882	7.96597805E-1
834	7.97554154E-1
213	8.01166219E-1
34	8.02310021E-1
915	8.02848062E-1
819	8.02970926E-1
391	8.03452193E-1
765	8.03505262E-1
922	8.04589075E-1
107	8.04928623E-1
585	8.05001396E-1
145	8.0536243E-1
855	8.05565285E-1
176	8.05831553E-1
287	8.06036837E-1
120	8.06493089E-1
245	8.06537567E-1
344	8.06929773E-1
514	8.07797836E-1
571	8.08194438E-1
628	8.09382172E-1
255	8.11277483E-1
801	8.11489872E-1
