Name	chi2Pvalue
309	1.29875796E-4
1014	1.79881002E-3
573	3.88954062E-3
34	4.5541776E-3
508	5.91365827E-3
737	6.38851476E-3
601	7.29368649E-3
370	7.95968227E-3
120	9.23037933E-3
762	9.3788921E-3
256	9.93470955E-3
950	1.1084088E-2
55	1.19230406E-2
993	1.21526794E-2
446	1.29149537E-2
348	1.3414965E-2
677	1.38219635E-2
577	1.41094245E-2
740	1.46046106E-2
634	1.75439323E-2
212	1.76154429E-2
515	1.76261671E-2
238	1.79877254E-2
395	1.83044032E-2
700	1.88110921E-2
277	2.03568376E-2
891	2.04254237E-2
231	2.08971597E-2
602	2.38071043E-2
904	2.42182395E-2
22	2.50223361E-2
853	2.52613384E-2
499	2.52824536E-2
131	2.61508579E-2
897	2.72204947E-2
151	2.73325038E-2
805	2.8508823E-2
65	2.87762562E-2
964	2.91559092E-2
214	2.97762114E-2
650	3.09829874E-2
768	3.22658063E-2
820	3.37773207E-2
761	3.38200236E-2
680	3.41321685E-2
403	3.58824504E-2
851	3.60506054E-2
973	3.61676723E-2
809	3.68977271E-2
104	3.81901204E-2
967	3.88154708E-2
525	4.0728006E-2
582	4.1175105E-2
759	4.28776469E-2
280	4.42711608E-2
273	4.56341529E-2
799	4.64856577E-2
784	4.65238387E-2
956	4.75152417E-2
314	4.85448527E-2
1017	4.86171401E-2
360	4.91188269E-2
703	5.11969524E-2
431	5.20556256E-2
946	5.31283791E-2
92	5.32776775E-2
699	5.38174593E-2
317	5.55127407E-2
253	5.6341607E-2
932	5.83657026E-2
352	6.41188073E-2
834	6.76547886E-2
560	6.78871294E-2
802	7.05882965E-2
553	7.26735288E-2
641	7.3873165E-2
247	7.40754326E-2
354	7.45814307E-2
241	7.49166436E-2
398	7.76485516E-2
1016	7.9172489E-2
803	7.94487102E-2
526	7.96075872E-2
720	7.96656752E-2
482	8.00166194E-2
706	8.00212184E-2
651	8.01815509E-2
444	8.06288035E-2
71	8.15651966E-2
67	8.31778385E-2
16	8.43270215E-2
827	8.45113743E-2
150	8.54024845E-2
51	8.64370233E-2
7	8.64659052E-2
102	8.79618746E-2
731	8.86713326E-2
339	9.07170302E-2
357	9.19170933E-2
522	9.26122545E-2
810	9.31239404E-2
297	9.38941844E-2
160	9.5950075E-2
61	9.81907272E-2
387	1.01827595E-1
503	1.04487513E-1
230	1.04802609E-1
671	1.06438851E-1
472	1.07928601E-1
404	1.09997955E-1
337	1.1067975E-1
461	1.10998098E-1
310	1.11482552E-1
692	1.13858655E-1
719	1.14971302E-1
563	1.15272361E-1
938	1.15548463E-1
220	1.16270083E-1
229	1.17254672E-1
266	1.18483425E-1
435	1.20399466E-1
953	1.20593986E-1
966	1.21344634E-1
754	1.22447881E-1
559	1.23709552E-1
350	1.24462301E-1
48	1.27214368E-1
110	1.27720078E-1
28	1.2835881E-1
344	1.29537249E-1
285	1.29633507E-1
734	1.29896661E-1
981	1.30425759E-1
620	1.30517549E-1
617	1.30885623E-1
375	1.33248114E-1
612	1.33690962E-1
349	1.34043319E-1
545	1.34539401E-1
206	1.35322039E-1
881	1.35462611E-1
742	1.35558688E-1
69	1.36385145E-1
32	1.37877255E-1
338	1.37978241E-1
598	1.38520503E-1
322	1.44656019E-1
567	1.45385074E-1
963	1.45759397E-1
884	1.46601406E-1
1002	1.47616453E-1
755	1.49220727E-1
218	1.49540732E-1
117	1.49843872E-1
555	1.51165106E-1
54	1.51668357E-1
667	1.53233438E-1
57	1.56304317E-1
1009	1.57039472E-1
937	1.5751869E-1
957	1.58060967E-1
192	1.58373362E-1
689	1.59987726E-1
465	1.60355726E-1
416	1.63563877E-1
330	1.64421219E-1
86	1.64451539E-1
144	1.64611104E-1
738	1.65075441E-1
246	1.65962833E-1
43	1.67114146E-1
708	1.67156661E-1
588	1.67249115E-1
180	1.67801831E-1
529	1.68417558E-1
489	1.70603114E-1
551	1.71981395E-1
152	1.72728175E-1
361	1.76061465E-1
812	1.76197065E-1
494	1.76525282E-1
611	1.78144551E-1
59	1.78513817E-1
168	1.80650637E-1
589	1.81280974E-1
988	1.85986067E-1
880	1.86516994E-1
600	1.88979926E-1
902	1.89058859E-1
372	1.8967382E-1
145	1.90061483E-1
850	1.93359701E-1
908	1.93953368E-1
473	1.94923126E-1
30	1.95056429E-1
867	1.96554455E-1
140	1.97349656E-1
856	1.98930122E-1
795	1.99519357E-1
885	2.00056191E-1
757	2.01079E-1
376	2.01634128E-1
910	2.03235844E-1
785	2.04269368E-1
705	2.05476299E-1
504	2.05477162E-1
794	2.05657714E-1
389	2.05819927E-1
760	2.06312772E-1
776	2.06367388E-1
649	2.06695195E-1
710	2.08345851E-1
156	2.09757939E-1
684	2.153984E-1
922	2.15561514E-1
475	2.18372002E-1
95	2.184829E-1
507	2.18939083E-1
37	2.19130488E-1
175	2.19492499E-1
382	2.20229265E-1
205	2.21665444E-1
813	2.22975076E-1
414	2.23189565E-1
999	2.23493189E-1
178	2.25806581E-1
82	2.26417462E-1
831	2.27193409E-1
686	2.27573011E-1
90	2.28266129E-1
855	2.29131899E-1
119	2.3082632E-1
227	2.31016288E-1
50	2.31025349E-1
858	2.31157842E-1
538	2.31592082E-1
260	2.31703956E-1
791	2.32302133E-1
533	2.34395339E-1
208	2.36919037E-1
962	2.37309147E-1
961	2.38393178E-1
747	2.39288209E-1
821	2.40556271E-1
477	2.40596564E-1
753	2.42146383E-1
254	2.43000372E-1
900	2.43845796E-1
281	2.44759025E-1
605	2.45025575E-1
12	2.4702692E-1
490	2.49230572E-1
532	2.50038439E-1
476	2.51036835E-1
903	2.5116604E-1
221	2.51519512E-1
128	2.51772472E-1
913	2.5177412E-1
326	2.52787211E-1
393	2.52917033E-1
787	2.52942147E-1
670	2.53776011E-1
188	2.54959846E-1
524	2.55026446E-1
89	2.55078118E-1
629	2.56314859E-1
46	2.57197973E-1
174	2.57358108E-1
528	2.57963594E-1
852	2.58011374E-1
621	2.5953037E-1
276	2.60802957E-1
698	2.64779444E-1
267	2.65845558E-1
876	2.66006091E-1
157	2.66452016E-1
459	2.6688932E-1
735	2.67888398E-1
441	2.70468529E-1
420	2.73149601E-1
15	2.73259774E-1
909	2.74159169E-1
658	2.74416227E-1
980	2.76900713E-1
547	2.77081551E-1
687	2.78904196E-1
138	2.79860056E-1
607	2.80415445E-1
394	2.8074107E-1
98	2.82371987E-1
845	2.83101844E-1
378	2.83989842E-1
521	2.8419506E-1
676	2.84809856E-1
915	2.85550377E-1
564	2.86289972E-1
597	2.86649185E-1
554	2.86687383E-1
407	2.87343063E-1
467	2.88890514E-1
585	2.9006661E-1
763	2.91788831E-1
606	2.92542701E-1
72	2.93460859E-1
305	2.93620674E-1
328	2.93672246E-1
391	2.96243301E-1
878	2.96995018E-1
142	2.98135065E-1
890	2.98373694E-1
452	3.00269022E-1
491	3.01038121E-1
663	3.03503276E-1
498	3.03733709E-1
659	3.04258019E-1
183	3.04451072E-1
429	3.04857607E-1
134	3.06177572E-1
114	3.0626154E-1
390	3.0688585E-1
155	3.07201315E-1
126	3.07330957E-1
1008	3.07437186E-1
302	3.0763159E-1
437	3.08167359E-1
675	3.08924759E-1
772	3.09326921E-1
451	3.09588866E-1
572	3.10301545E-1
41	3.10513036E-1
823	3.10962514E-1
257	3.1174764E-1
797	3.12737728E-1
917	3.14738731E-1
792	3.15207458E-1
965	3.17470257E-1
0	3.18005067E-1
556	3.18871297E-1
379	3.20891403E-1
833	3.20975549E-1
24	3.21222425E-1
883	3.21562362E-1
505	3.23157251E-1
765	3.24060111E-1
888	3.24719232E-1
624	3.2552159E-1
927	3.25726305E-1
571	3.25773527E-1
228	3.28836779E-1
474	3.29120372E-1
469	3.29433815E-1
892	3.30055667E-1
495	3.30224501E-1
616	3.33289553E-1
1013	3.33310933E-1
315	3.33538267E-1
622	3.33939658E-1
14	3.35734456E-1
342	3.3667364E-1
829	3.36687476E-1
252	3.40543417E-1
436	3.41162409E-1
865	3.43808311E-1
558	3.43818098E-1
837	3.46063982E-1
707	3.46768739E-1
215	3.46912382E-1
907	3.47201033E-1
975	3.47558134E-1
863	3.4912465E-1
857	3.50879908E-1
60	3.51852846E-1
245	3.526555E-1
308	3.52936085E-1
864	3.53095092E-1
944	3.55249284E-1
454	3.57109292E-1
1000	3.57632374E-1
816	3.58988432E-1
240	3.59168735E-1
320	3.59824484E-1
566	3.60469671E-1
866	3.6110773E-1
817	3.61674158E-1
425	3.61769342E-1
396	3.62699189E-1
93	3.64074055E-1
619	3.67134987E-1
364	3.67251416E-1
27	3.67857195E-1
63	3.68331712E-1
237	3.70016173E-1
270	3.71467877E-1
216	3.7165068E-1
91	3.7282638E-1
614	3.73020321E-1
107	3.7305176E-1
455	3.7320848E-1
351	3.74063811E-1
518	3.7513252E-1
882	3.75701664E-1
296	3.76194893E-1
132	3.77083885E-1
716	3.77994487E-1
979	3.79499374E-1
958	3.80191566E-1
19	3.80935893E-1
311	3.81751276E-1
23	3.82007616E-1
147	3.86231015E-1
219	3.86382121E-1
683	3.87401433E-1
544	3.88067311E-1
87	3.88160224E-1
426	3.88559453E-1
165	3.9082007E-1
236	3.92548869E-1
840	3.92851669E-1
730	3.93079507E-1
662	3.93367202E-1
225	3.93939253E-1
374	3.94799855E-1
628	3.95266055E-1
363	3.95854463E-1
655	3.99071752E-1
18	3.99553256E-1
534	3.99922821E-1
367	4.00269288E-1
190	4.020407E-1
926	4.03028313E-1
789	4.03098589E-1
292	4.0319165E-1
861	4.03309398E-1
162	4.04245759E-1
541	4.05029942E-1
235	4.0661774E-1
255	4.08207029E-1
405	4.08304385E-1
844	4.11350658E-1
130	4.14158945E-1
848	4.15148073E-1
713	4.15171011E-1
732	4.15805101E-1
758	4.16242318E-1
955	4.16469372E-1
66	4.178186E-1
530	4.17994163E-1
331	4.20025495E-1
25	4.20693361E-1
6	4.21608407E-1
906	4.23685847E-1
656	4.24377901E-1
724	4.2452988E-1
952	4.2491008E-1
646	4.25364129E-1
9	4.25558957E-1
978	4.2637435E-1
42	4.26970688E-1
31	4.28497284E-1
870	4.28890067E-1
924	4.3056022E-1
278	4.32879899E-1
511	4.34174941E-1
889	4.35749489E-1
397	4.36390032E-1
406	4.3659531E-1
673	4.36924876E-1
318	4.3748907E-1
830	4.41147224E-1
197	4.41522639E-1
552	4.41688028E-1
665	4.42208469E-1
170	4.43869596E-1
550	4.44321521E-1
329	4.45101807E-1
921	4.45478178E-1
546	4.46012278E-1
