Name	chi2Pvalue
923	1.29582504E-3
562	1.91158897E-3
646	2.02532794E-3
347	3.25721387E-3
402	4.87295087E-3
352	5.59134653E-3
955	6.04850243E-3
98	6.69061453E-3
276	7.26430871E-3
73	9.51900115E-3
734	9.90153916E-3
942	9.92796948E-3
18	1.24003604E-2
638	1.27584956E-2
403	1.35343269E-2
699	1.35670793E-2
963	1.42697581E-2
220	1.57807663E-2
35	1.65374098E-2
774	1.66831872E-2
860	1.83149757E-2
231	1.85993187E-2
1	1.87740371E-2
31	1.94252123E-2
168	1.9509578E-2
1001	2.03463052E-2
211	2.2846569E-2
227	2.44702489E-2
539	2.45099695E-2
973	2.55942294E-2
124	2.64619151E-2
723	2.70459972E-2
417	2.84623362E-2
542	2.89218054E-2
327	2.89982525E-2
695	3.15736549E-2
93	3.39551598E-2
765	3.48230541E-2
974	3.7326868E-2
615	4.01890485E-2
807	4.12357634E-2
39	4.15136008E-2
509	4.38483935E-2
87	4.42060005E-2
153	4.61545529E-2
870	4.65791257E-2
461	4.71484181E-2
111	4.72691937E-2
30	4.88117411E-2
805	4.91132807E-2
314	4.92372087E-2
591	4.99847765E-2
943	5.24559136E-2
432	5.24699681E-2
800	5.32495926E-2
275	5.38348449E-2
468	5.52310332E-2
994	5.52428038E-2
238	5.9040475E-2
268	5.94642336E-2
158	5.95606227E-2
985	6.03841558E-2
409	6.07519596E-2
757	6.27957117E-2
221	6.31993968E-2
648	6.35173425E-2
932	6.35429489E-2
798	6.35831786E-2
682	6.44472061E-2
174	6.55679331E-2
253	6.69724254E-2
392	6.72509642E-2
338	6.89747711E-2
334	7.04043461E-2
183	7.14782364E-2
702	7.17458479E-2
704	7.23302352E-2
517	7.26640512E-2
371	7.26855319E-2
258	7.32669894E-2
730	7.3858009E-2
745	7.52320776E-2
114	7.56321569E-2
676	7.57860762E-2
485	7.72932217E-2
518	7.77753927E-2
433	7.86429898E-2
903	7.88734581E-2
762	8.01587581E-2
397	8.06740102E-2
38	8.31755549E-2
501	8.31807612E-2
607	8.34718959E-2
679	8.35741598E-2
6	8.40509566E-2
410	8.4769237E-2
74	8.49516274E-2
292	8.65517192E-2
797	8.71291906E-2
147	8.7787886E-2
595	8.79495912E-2
754	8.98844247E-2
341	9.09818335E-2
394	9.15407675E-2
761	9.17670124E-2
463	9.25053199E-2
101	9.27090663E-2
95	9.29019215E-2
437	9.37401023E-2
482	9.6156276E-2
127	9.6374676E-2
446	9.66633528E-2
845	9.72938904E-2
53	9.80361253E-2
281	9.8900732E-2
247	9.92827476E-2
851	9.94951171E-2
950	9.99755399E-2
712	9.99917596E-2
67	1.02360024E-1
961	1.02841342E-1
51	1.03785739E-1
684	1.03787903E-1
718	1.04059633E-1
924	1.04732063E-1
163	1.04822714E-1
11	1.04968938E-1
7	1.05398101E-1
296	1.06067665E-1
941	1.08837461E-1
390	1.10299448E-1
844	1.1119721E-1
582	1.1145346E-1
330	1.15174161E-1
618	1.15189367E-1
782	1.15405875E-1
624	1.1601672E-1
100	1.16905023E-1
791	1.18169447E-1
528	1.18493417E-1
1015	1.18574614E-1
480	1.18977946E-1
137	1.19086374E-1
697	1.20448463E-1
489	1.21171557E-1
956	1.21383036E-1
713	1.21872565E-1
512	1.24310928E-1
142	1.24416616E-1
691	1.24677905E-1
435	1.24787166E-1
568	1.25913939E-1
45	1.26211662E-1
262	1.28070658E-1
592	1.28707041E-1
218	1.29394034E-1
770	1.30427036E-1
980	1.31464387E-1
236	1.32839574E-1
811	1.33878683E-1
801	1.34239314E-1
486	1.34484084E-1
824	1.34813551E-1
907	1.37087487E-1
972	1.37306552E-1
912	1.38673429E-1
202	1.39196715E-1
921	1.39963474E-1
541	1.40865253E-1
605	1.41327603E-1
224	1.41587151E-1
161	1.44645296E-1
633	1.45429695E-1
634	1.46687448E-1
254	1.46804386E-1
15	1.46909423E-1
606	1.47966842E-1
454	1.48528458E-1
603	1.49028974E-1
976	1.52598403E-1
294	1.53823026E-1
879	1.54396567E-1
911	1.5559559E-1
856	1.57377501E-1
778	1.57855785E-1
475	1.58112276E-1
135	1.58699888E-1
217	1.61607668E-1
208	1.61957407E-1
670	1.63812919E-1
27	1.64574113E-1
773	1.65596603E-1
554	1.68707207E-1
55	1.69011794E-1
971	1.69116263E-1
905	1.70184212E-1
885	1.70539653E-1
3	1.70909496E-1
357	1.71822016E-1
116	1.73499628E-1
565	1.73607283E-1
812	1.740439E-1
237	1.75130416E-1
759	1.78786456E-1
678	1.80671054E-1
266	1.81257536E-1
