Name	chi2Pvalue
881	5.68256874E-4
250	1.51590795E-3
684	1.58451875E-3
440	1.60066696E-3
780	3.00717513E-3
313	3.56687675E-3
183	3.85556654E-3
239	4.02296192E-3
444	4.51194231E-3
709	5.19430867E-3
973	6.24057032E-3
674	8.49997323E-3
971	8.70366151E-3
218	1.18364019E-2
353	1.22826649E-2
606	1.2632485E-2
181	1.39589524E-2
696	1.461674E-2
979	1.51134527E-2
396	1.75162771E-2
938	1.78556285E-2
202	1.92773572E-2
236	1.99555241E-2
624	2.07282146E-2
668	2.45849742E-2
332	2.49190665E-2
38	2.49732261E-2
212	2.54807689E-2
1011	2.77585166E-2
105	2.91253218E-2
51	3.03466639E-2
390	3.24716477E-2
196	3.24858703E-2
608	3.25611078E-2
734	3.37212025E-2
702	3.48799769E-2
427	3.55555238E-2
67	3.6962396E-2
719	3.73041551E-2
133	3.78703101E-2
584	4.02621191E-2
243	4.25572578E-2
324	4.26473034E-2
128	4.32554706E-2
317	4.35177909E-2
699	4.60992852E-2
609	4.61560205E-2
864	4.86392528E-2
245	5.01777624E-2
795	5.02990378E-2
125	5.07651438E-2
101	5.14721006E-2
270	5.16977507E-2
586	5.39042813E-2
421	5.42781763E-2
861	5.43475534E-2
710	5.47127712E-2
104	5.49374611E-2
359	5.53356641E-2
970	5.71392035E-2
402	5.79356446E-2
879	5.88502952E-2
368	6.15524767E-2
262	6.24651882E-2
394	6.30807778E-2
451	6.51996346E-2
238	6.55694758E-2
848	6.72952475E-2
512	6.78541361E-2
352	7.03284436E-2
70	7.07751708E-2
520	7.14064109E-2
660	7.2460793E-2
193	7.38527662E-2
532	7.40685317E-2
604	7.43594401E-2
830	7.44795688E-2
506	7.52202529E-2
83	7.52626659E-2
912	7.69582782E-2
507	7.70424663E-2
891	7.7124089E-2
932	7.73645767E-2
457	7.905247E-2
227	7.9408672E-2
900	7.9905211E-2
172	8.13563767E-2
117	8.27157382E-2
530	8.33584399E-2
878	8.38770309E-2
957	8.39718069E-2
164	8.40928545E-2
479	8.42119325E-2
579	8.50607324E-2
326	8.53152979E-2
126	8.58689729E-2
1006	8.61030183E-2
458	8.85415171E-2
562	8.86280393E-2
338	8.92957405E-2
776	8.99908231E-2
374	9.08399307E-2
12	9.15003939E-2
8	9.24843699E-2
910	9.38702254E-2
476	9.40763325E-2
706	9.68270524E-2
543	9.69261869E-2
195	9.69358072E-2
577	9.7439231E-2
208	9.74540411E-2
149	9.80445377E-2
823	9.85190852E-2
409	1.00392474E-1
931	1.05205069E-1
944	1.0633721E-1
637	1.06663902E-1
572	1.06984118E-1
343	1.08928924E-1
511	1.09072329E-1
425	1.11200792E-1
94	1.11405847E-1
3	1.11954386E-1
744	1.12708974E-1
68	1.12838421E-1
771	1.1467244E-1
521	1.14765192E-1
811	1.15905643E-1
145	1.18951799E-1
933	1.1938101E-1
76	1.21913131E-1
501	1.22554248E-1
39	1.23697092E-1
996	1.26328221E-1
415	1.26577367E-1
1	1.2796903E-1
578	1.29392143E-1
837	1.29413262E-1
219	1.2992911E-1
622	1.30458871E-1
1002	1.31316619E-1
611	1.32478382E-1
160	1.32924236E-1
770	1.35811437E-1
391	1.36786699E-1
911	1.36952177E-1
404	1.37315773E-1
144	1.3788049E-1
509	1.38218739E-1
536	1.38344075E-1
41	1.38414731E-1
566	1.38586393E-1
119	1.39100032E-1
54	1.40357625E-1
951	1.40573199E-1
704	1.43627895E-1
663	1.44665606E-1
967	1.447132E-1
246	1.45696815E-1
441	1.46659052E-1
266	1.47928582E-1
80	1.4962425E-1
221	1.50512138E-1
459	1.51456985E-1
6	1.52130244E-1
568	1.52537945E-1
205	1.53170103E-1
620	1.54846259E-1
64	1.55777509E-1
432	1.56917065E-1
694	1.58290236E-1
983	1.60058511E-1
802	1.60410104E-1
77	1.62639409E-1
761	1.65811299E-1
786	1.6594131E-1
693	1.66650885E-1
135	1.66790116E-1
868	1.67477485E-1
664	1.68347899E-1
241	1.69933747E-1
720	1.70829199E-1
189	1.70907416E-1
774	1.72660543E-1
733	1.73202785E-1
211	1.7404391E-1
58	1.74852893E-1
767	1.74912421E-1
228	1.78252321E-1
452	1.78977758E-1
681	1.79487385E-1
30	1.79553207E-1
460	1.80542538E-1
465	1.81542366E-1
549	1.81654318E-1
66	1.8297637E-1
871	1.83694887E-1
53	1.83761536E-1
583	1.84313678E-1
492	1.84844847E-1
978	1.8503233E-1
166	1.85503597E-1
629	1.85698495E-1
894	1.90967772E-1
118	1.91181826E-1
111	1.94947766E-1
280	1.95674569E-1
431	1.96421376E-1
114	1.96528695E-1
354	1.966692E-1
866	1.97902591E-1
186	1.97918725E-1
600	1.98871928E-1
1008	2.00330896E-1
45	2.02373139E-1
1001	2.02734293E-1
131	2.02850232E-1
477	2.03478415E-1
289	2.06210324E-1
640	2.06913745E-1
844	2.08188954E-1
223	2.08319825E-1
180	2.09013923E-1
892	2.13089042E-1
523	2.14100763E-1
480	2.14274728E-1
676	2.1481539E-1
499	2.15636011E-1
651	2.16740706E-1
442	2.18173884E-1
750	2.20430683E-1
137	2.2051845E-1
662	2.21416222E-1
453	2.22664293E-1
229	2.22963606E-1
14	2.23295966E-1
958	2.27391758E-1
109	2.29286159E-1
387	2.29900634E-1
975	2.30726932E-1
789	2.30960425E-1
372	2.31818032E-1
601	2.32443928E-1
690	2.32495883E-1
993	2.34314412E-1
498	2.35353079E-1
1005	2.38746918E-1
560	2.38804511E-1
799	2.38826486E-1
954	2.39753631E-1
888	2.41430573E-1
377	2.42638707E-1
845	2.45399436E-1
671	2.46213432E-1
565	2.46697775E-1
645	2.47078284E-1
420	2.48441317E-1
88	2.4925196E-1
759	2.50756948E-1
247	2.52022428E-1
383	2.52302805E-1
230	2.5313503E-1
168	2.53145923E-1
738	2.53279741E-1
925	2.54860215E-1
333	2.55669299E-1
24	2.55963517E-1
430	2.56217148E-1
635	2.5660111E-1
773	2.57257729E-1
413	2.58653718E-1
279	2.58922912E-1
890	2.61058083E-1
525	2.62392425E-1
903	2.6427567E-1
963	2.65957568E-1
689	2.66589803E-1
959	2.666316E-1
489	2.66679821E-1
407	2.6691154E-1
296	2.68137149E-1
675	2.69027167E-1
423	2.70471978E-1
112	2.72532009E-1
405	2.72790497E-1
55	2.73798068E-1
745	2.74965856E-1
152	2.75370409E-1
727	2.75636018E-1
757	2.77703468E-1
263	2.7823287E-1
401	2.78526524E-1
569	2.78859542E-1
777	2.79174603E-1
916	2.79516468E-1
952	2.79781667E-1
323	2.79852313E-1
414	2.80068437E-1
915	2.81247408E-1
999	2.81721414E-1
842	2.83953814E-1
906	2.84356884E-1
591	2.84800379E-1
434	2.85161773E-1
726	2.85221738E-1
278	2.85848046E-1
42	2.86783031E-1
534	2.87125517E-1
173	2.88896724E-1
691	2.93249682E-1
284	2.94730328E-1
561	2.96215045E-1
345	2.99632266E-1
519	3.00001414E-1
628	3.00631758E-1
91	3.00839987E-1
798	3.01741195E-1
251	3.06037094E-1
100	3.06744286E-1
956	3.07961576E-1
547	3.08765003E-1
1000	3.09065234E-1
887	3.0948845E-1
923	3.11866978E-1
380	3.13038163E-1
672	3.15269888E-1
188	3.15976794E-1
721	3.16424806E-1
93	3.17034097E-1
939	3.19457027E-1
953	3.21443577E-1
778	3.22385089E-1
909	3.228681E-1
972	3.2312013E-1
392	3.25533627E-1
384	3.25942507E-1
852	3.26080929E-1
216	3.26345861E-1
464	3.26944342E-1
743	3.27118759E-1
153	3.27202974E-1
965	3.28242415E-1
969	3.28929885E-1
508	3.2896439E-1
469	3.29249866E-1
15	3.29967315E-1
416	3.32566106E-1
35	3.32661389E-1
255	3.3352907E-1
613	3.34086278E-1
455	3.37368065E-1
328	3.37547229E-1
365	3.39433134E-1
948	3.40105952E-1
515	3.40386737E-1
161	3.40469766E-1
810	3.40779357E-1
1012	3.4079685E-1
344	3.41262457E-1
990	3.41359856E-1
472	3.42339852E-1
746	3.42404806E-1
806	3.42890594E-1
165	3.43276789E-1
26	3.46248461E-1
857	3.47246089E-1
827	3.47721317E-1
71	3.49459053E-1
435	3.51420968E-1
203	3.52693501E-1
849	3.52879134E-1
316	3.55293309E-1
593	3.55406282E-1
687	3.56016142E-1
542	3.56818675E-1
787	3.57037834E-1
633	3.57374663E-1
265	3.58104224E-1
518	3.59333315E-1
564	3.60187638E-1
883	3.60211894E-1
905	3.6135341E-1
571	3.61401983E-1
870	3.62179717E-1
191	3.62426198E-1
207	3.62709054E-1
290	3.63840192E-1
470	3.64795661E-1
889	3.65093542E-1
339	3.65701468E-1
907	3.65973524E-1
490	3.66012824E-1
898	3.66515758E-1
10	3.67791796E-1
48	3.69560788E-1
349	3.70645322E-1
297	3.73917075E-1
395	3.7408711E-1
92	3.75746261E-1
793	3.77099957E-1
882	3.77406951E-1
502	3.77556832E-1
329	3.77636989E-1
730	3.79423325E-1
832	3.79990283E-1
537	3.80548466E-1
803	3.80929044E-1
765	3.82140459E-1
550	3.84576673E-1
388	3.85351958E-1
95	3.86098105E-1
673	3.86396738E-1
714	3.8662674E-1
614	3.86663483E-1
259	3.86842651E-1
13	3.90958833E-1
947	3.9106916E-1
874	3.91939891E-1
429	3.92575937E-1
602	3.92587475E-1
412	3.94307857E-1
968	3.94784134E-1
84	3.95114692E-1
576	3.95166991E-1
491	3.9552405E-1
639	3.9622827E-1
98	3.97728164E-1
994	3.98864092E-1
350	4.00042229E-1
567	4.02199434E-1
615	4.0307325E-1
809	4.0381574E-1
342	4.03847757E-1
670	4.05235505E-1
482	4.05778221E-1
538	4.07155566E-1
554	4.08149534E-1
897	4.103909E-1
930	4.10842156E-1
661	4.11345447E-1
301	4.11428257E-1
884	4.1171108E-1
592	4.12225792E-1
303	4.12855275E-1
785	4.13098554E-1
623	4.14374382E-1
742	4.14450463E-1
921	4.1654654E-1
244	4.18213946E-1
665	4.19187452E-1
610	4.19767018E-1
679	4.21373662E-1
669	4.22681844E-1
21	4.23321119E-1
700	4.2342923E-1
31	4.24435636E-1
747	4.2446613E-1
598	4.24468537E-1
902	4.25765909E-1
456	4.28308038E-1
155	4.28720448E-1
755	4.32272164E-1
847	4.32883834E-1
935	4.33377723E-1
840	4.339749E-1
835	4.34934375E-1
839	4.35564511E-1
330	4.37015521E-1
616	4.39203463E-1
949	4.40457361E-1
422	4.40580972E-1
253	4.41134557E-1
200	4.43874992E-1
97	4.44724852E-1
822	4.4512727E-1
461	4.46390054E-1
766	4.47579046E-1
638	4.48098598E-1
336	4.48741049E-1
552	4.49729086E-1
136	4.5092678E-1
170	4.52479518E-1
725	4.52682199E-1
96	4.54299391E-1
299	4.56493311E-1
346	4.57018304E-1
139	4.57761634E-1
1019	4.5921342E-1
0	4.6031063E-1
715	4.63480611E-1
150	4.63895456E-1
859	4.65310532E-1
731	4.65874896E-1
834	4.66628072E-1
711	4.68149469E-1
302	4.6853757E-1
595	4.68735553E-1
18	4.7147174E-1
454	4.73504928E-1
399	4.7575244E-1
816	4.76055049E-1
156	4.76414382E-1
2	4.76442233E-1
103	4.77470634E-1
7	4.77734753E-1
110	4.77789429E-1
991	4.77810175E-1
987	4.7805228E-1
74	4.78122038E-1
505	4.7913272E-1
252	4.79382126E-1
1015	4.79696839E-1
603	4.79800693E-1
234	4.80561852E-1
268	4.80590424E-1
893	4.8074797E-1
708	4.82930918E-1
618	4.83006618E-1
184	4.84517107E-1
1003	4.84934003E-1
862	4.85146413E-1
249	4.85316614E-1
656	4.86045248E-1
625	4.87878945E-1
362	4.89577699E-1
914	4.91927485E-1
535	4.92383514E-1
231	4.93398099E-1
341	4.95536444E-1
641	4.96000018E-1
474	4.96628017E-1
955	4.96913847E-1
273	4.9766606E-1
116	4.98213655E-1
627	5.02234333E-1
1013	5.04174146E-1
40	5.07026246E-1
1007	5.07258832E-1
841	5.07379116E-1
815	5.0787677E-1
917	5.09025773E-1
277	5.10884227E-1
286	5.13159602E-1
44	5.14874014E-1
107	5.18043473E-1
226	5.18532138E-1
146	5.20535663E-1
683	5.20657078E-1
908	5.21309961E-1
248	5.21452201E-1
667	5.23245735E-1
818	5.23469923E-1
899	5.23679472E-1
334	5.24798593E-1
934	5.26271303E-1
886	5.26458965E-1
177	5.28465994E-1
831	5.29465181E-1
510	5.3006373E-1
176	5.30445438E-1
1023	5.30668823E-1
985	5.33019786E-1
873	5.34927164E-1
929	5.36063704E-1
397	5.36967791E-1
367	5.37739149E-1
194	5.38203303E-1
185	5.38577593E-1
43	5.39086768E-1
