Name	chi2Pvalue
405	2.16819581E-5
176	7.8943716E-5
953	1.58580376E-3
684	2.08279683E-3
790	2.18519001E-3
641	2.56229108E-3
111	3.04454132E-3
823	3.18882774E-3
68	4.9806764E-3
223	5.08821943E-3
239	5.52948649E-3
547	6.31442462E-3
117	6.46208764E-3
565	6.67271837E-3
942	8.16773494E-3
818	8.694515E-3
784	9.79786951E-3
973	1.00251778E-2
931	1.01738522E-2
503	1.08451211E-2
135	1.17199021E-2
664	1.17624233E-2
692	1.28849979E-2
383	1.32646723E-2
601	1.46108415E-2
407	1.73974738E-2
454	1.79966192E-2
177	1.95720378E-2
466	1.97789251E-2
273	2.05835082E-2
413	2.17922762E-2
512	2.2026127E-2
55	2.28785483E-2
802	2.29185828E-2
935	2.39522514E-2
338	2.60982773E-2
674	2.69014512E-2
502	3.35780308E-2
733	3.45560444E-2
134	3.59080051E-2
159	3.74818803E-2
528	3.80093832E-2
912	3.82104949E-2
380	3.94937484E-2
232	4.07773013E-2
943	4.16358796E-2
365	4.17736853E-2
241	4.21161599E-2
651	4.33799251E-2
658	4.3874147E-2
808	4.52936622E-2
994	4.54952962E-2
235	4.68369258E-2
914	4.7426718E-2
893	4.91422507E-2
847	4.98529609E-2
645	5.1202697E-2
722	5.1427821E-2
34	5.23260901E-2
966	5.41730103E-2
146	5.5602922E-2
917	5.64100954E-2
306	5.70935174E-2
10	5.80095667E-2
570	5.87111914E-2
854	5.87182994E-2
594	6.09508371E-2
897	6.11947854E-2
836	6.15794398E-2
417	6.17328083E-2
414	6.18810406E-2
139	6.23753939E-2
677	6.35526604E-2
397	6.6103646E-2
70	6.91379732E-2
197	6.97674407E-2
468	7.0316235E-2
974	7.17076174E-2
609	7.30299456E-2
423	7.4342514E-2
574	7.52958305E-2
869	7.78520269E-2
838	7.96406227E-2
54	8.15164044E-2
433	8.20183496E-2
639	8.26032168E-2
848	8.38165344E-2
458	8.43525503E-2
467	8.46614051E-2
203	8.48923926E-2
189	8.53518666E-2
367	8.66326758E-2
314	8.68556288E-2
816	8.84533502E-2
36	8.86969843E-2
995	8.90551774E-2
104	9.04949265E-2
240	9.10644702E-2
939	9.23021614E-2
969	9.44072061E-2
498	9.72220301E-2
951	9.73495701E-2
428	9.73932462E-2
671	9.78705468E-2
870	9.84292783E-2
379	9.88420813E-2
644	9.90543246E-2
363	9.92424994E-2
807	9.93451085E-2
810	1.00265972E-1
353	1.00385997E-1
409	1.03087953E-1
602	1.0387902E-1
699	1.04923822E-1
978	1.0537637E-1
485	1.0562637E-1
224	1.07484011E-1
690	1.07577965E-1
521	1.07978022E-1
237	1.09004355E-1
524	1.09130716E-1
119	1.13171098E-1
56	1.18752754E-1
418	1.19932124E-1
238	1.19947651E-1
