Name	chi2Pvalue
973	8.97123192E-4
852	1.16353087E-3
320	3.28925019E-3
671	3.47001808E-3
331	3.48437918E-3
172	3.69263812E-3
777	3.90556706E-3
239	4.68465182E-3
763	6.44357993E-3
875	7.95242525E-3
774	8.40945012E-3
310	8.85310279E-3
1018	8.97867167E-3
765	9.75335554E-3
657	1.00512004E-2
219	1.05810111E-2
221	1.1572889E-2
248	1.20703527E-2
135	1.22086492E-2
498	1.31858552E-2
168	1.34556893E-2
626	1.4868603E-2
733	1.60224279E-2
608	1.6594445E-2
702	1.68312328E-2
923	1.70153156E-2
256	1.80255407E-2
938	2.05836782E-2
307	2.1230839E-2
551	2.13636652E-2
884	2.37179979E-2
132	2.38612471E-2
648	2.39772997E-2
1014	2.45504841E-2
419	2.4909638E-2
341	2.52479288E-2
950	2.54062106E-2
24	2.7777502E-2
223	2.84883314E-2
137	3.04437609E-2
784	3.11023438E-2
101	3.13464962E-2
434	3.16139359E-2
309	3.21875908E-2
844	3.2216902E-2
229	3.30041995E-2
793	3.53105158E-2
324	3.61638534E-2
29	3.63610681E-2
663	3.67957627E-2
563	3.774861E-2
912	3.87191413E-2
295	3.88475427E-2
623	4.04433975E-2
698	4.1231744E-2
715	4.21412334E-2
490	4.24444284E-2
970	4.43196863E-2
196	4.43521363E-2
336	4.56429415E-2
374	4.61801282E-2
721	4.64641582E-2
728	4.77700321E-2
497	5.4234057E-2
969	5.47996735E-2
981	5.52474142E-2
937	5.59926956E-2
899	5.81259276E-2
494	5.94396391E-2
1019	5.96021365E-2
449	6.14469918E-2
856	6.14771449E-2
533	6.19122131E-2
231	6.21064102E-2
621	6.31717266E-2
372	6.41316251E-2
212	6.41373227E-2
1023	6.45888809E-2
535	6.56512885E-2
954	6.66072357E-2
625	6.76945307E-2
890	6.77362005E-2
740	6.92205497E-2
883	7.38631085E-2
281	7.50328768E-2
622	7.5585726E-2
660	7.67987305E-2
45	7.70432515E-2
114	7.75514009E-2
961	7.77733531E-2
798	7.89340107E-2
924	7.9062517E-2
5	7.94781188E-2
869	7.97296988E-2
1021	8.07947343E-2
352	8.3353519E-2
785	8.4037236E-2
1002	8.59044725E-2
1020	8.6781588E-2
500	8.77436599E-2
739	8.81073198E-2
828	9.01685411E-2
523	9.03527485E-2
557	9.05380018E-2
40	9.13098746E-2
103	9.22338325E-2
359	9.30788652E-2
348	9.37280267E-2
927	9.48172526E-2
85	9.57451619E-2
278	9.60821867E-2
766	9.65436666E-2
834	9.65926671E-2
143	9.66579592E-2
141	9.67639244E-2
380	9.71271498E-2
112	9.80363655E-2
638	9.85121486E-2
697	9.96402755E-2
478	1.00012243E-1
365	1.00270505E-1
767	1.00444803E-1
173	1.02020412E-1
758	1.02837145E-1
891	1.02977251E-1
812	1.03750742E-1
820	1.04106616E-1
205	1.0535543E-1
520	1.05873446E-1
542	1.07633755E-1
469	1.12662277E-1
528	1.12679379E-1
862	1.13569201E-1
360	1.18036066E-1
54	1.18273545E-1
507	1.18678855E-1
1	1.18974755E-1
738	1.19460397E-1
975	1.19487557E-1
286	1.19556612E-1
849	1.20460527E-1
26	1.21256683E-1
695	1.21419542E-1
748	1.21649217E-1
649	1.22125312E-1
13	1.22566322E-1
964	1.22685558E-1
338	1.2400581E-1
867	1.24548813E-1
881	1.25171012E-1
417	1.2672342E-1
86	1.28477338E-1
775	1.2854357E-1
447	1.28635688E-1
476	1.30979112E-1
124	1.34267388E-1
586	1.35698728E-1
674	1.36307949E-1
997	1.3914263E-1
613	1.43912457E-1
569	1.44316257E-1
935	1.45561746E-1
410	1.48370909E-1
480	1.52473217E-1
214	1.53904037E-1
287	1.54518682E-1
23	1.54776098E-1
618	1.55275405E-1
611	1.56701284E-1
522	1.56750165E-1
332	1.57140785E-1
609	1.59240812E-1
146	1.5973885E-1
226	1.60745811E-1
1011	1.62994648E-1
395	1.64697095E-1
516	1.64741381E-1
800	1.64868414E-1
213	1.67100365E-1
902	1.72357608E-1
633	1.7259096E-1
582	1.733724E-1
294	1.73495636E-1
958	1.73954344E-1
241	1.78044287E-1
317	1.78544415E-1
1012	1.83172302E-1
604	1.83826794E-1
117	1.85662616E-1
826	1.90318637E-1
21	1.91443386E-1
370	1.92751941E-1
945	1.94562543E-1
667	1.95128744E-1
524	1.99322488E-1
870	2.00018944E-1
426	2.00218386E-1
371	2.00652044E-1
63	2.00929061E-1
279	2.0574157E-1
329	2.06088789E-1
262	2.08014327E-1
150	2.08278239E-1
1022	2.09699863E-1
699	2.1113396E-1
163	2.1113414E-1
825	2.1131915E-1
818	2.11781057E-1
237	2.11976426E-1
326	2.12954634E-1
647	2.14189571E-1
534	2.14240498E-1
540	2.15123621E-1
15	2.15967728E-1
217	2.16191185E-1
895	2.16309563E-1
979	2.17488231E-1
0	2.1753066E-1
559	2.18136811E-1
311	2.19014124E-1
601	2.19178908E-1
980	2.20518148E-1
240	2.23448765E-1
234	2.24037835E-1
982	2.24220479E-1
441	2.24890725E-1
1000	2.25210768E-1
996	2.27070222E-1
962	2.27201909E-1
193	2.27282318E-1
791	2.29346178E-1
526	2.2938053E-1
561	2.2996631E-1
907	2.30076815E-1
898	2.30251022E-1
265	2.32704932E-1
796	2.32750347E-1
397	2.34442852E-1
53	2.34832202E-1
888	2.35249379E-1
35	2.37425941E-1
76	2.37763265E-1
599	2.38272767E-1
594	2.40484799E-1
285	2.40662894E-1
345	2.41343092E-1
999	2.42323914E-1
941	2.43519448E-1
813	2.43580508E-1
581	2.44424779E-1
503	2.44892142E-1
195	2.45182084E-1
952	2.46102854E-1
990	2.47131595E-1
122	2.47170474E-1
109	2.48340249E-1
614	2.48349852E-1
921	2.48623933E-1
128	2.49098844E-1
260	2.50006666E-1
509	2.50697589E-1
145	2.5178618E-1
710	2.5182622E-1
773	2.51993046E-1
464	2.5219613E-1
576	2.53054145E-1
679	2.53762965E-1
102	2.55219514E-1
198	2.56914993E-1
853	2.56990399E-1
134	2.56998079E-1
925	2.571238E-1
917	2.61037655E-1
730	2.61081398E-1
868	2.61116358E-1
333	2.61135028E-1
911	2.64746019E-1
692	2.66126841E-1
549	2.66153504E-1
190	2.66588801E-1
148	2.66701886E-1
274	2.67022633E-1
57	2.67144999E-1
227	2.67369997E-1
861	2.67721282E-1
556	2.67989286E-1
805	2.70548376E-1
179	2.71167681E-1
926	2.72571953E-1
887	2.7368926E-1
91	2.7458988E-1
764	2.75200422E-1
230	2.75441696E-1
681	2.81483158E-1
547	2.83032365E-1
113	2.83761399E-1
792	2.85390105E-1
157	2.87489603E-1
280	2.89781695E-1
946	2.90087177E-1
264	2.90088239E-1
164	2.90956322E-1
261	2.93421532E-1
506	2.94301673E-1
501	2.95172846E-1
430	2.95736347E-1
944	2.96640608E-1
579	2.96726493E-1
683	2.97510336E-1
373	3.0004297E-1
67	3.00197687E-1
451	3.00529112E-1
686	3.02139555E-1
