Name	chi2Pvalue
973	5.83876873E-4
671	6.85287009E-4
172	2.48038348E-3
331	2.69089214E-3
219	3.26668181E-3
310	3.65146975E-3
852	5.28547912E-3
774	5.3856683E-3
320	5.48111641E-3
168	6.96099265E-3
884	7.79362708E-3
763	7.8135138E-3
938	9.35766777E-3
923	9.7056476E-3
231	9.72569587E-3
239	1.05258337E-2
5	1.07242712E-2
234	1.17125678E-2
221	1.19638507E-2
875	1.3832127E-2
348	1.44319549E-2
248	1.48141837E-2
498	1.64037287E-2
927	1.80987509E-2
981	1.93279012E-2
777	2.06190026E-2
476	2.06459766E-2
622	2.10032569E-2
533	2.15236596E-2
1014	2.17917676E-2
912	2.23710001E-2
374	2.29510701E-2
0	2.33015975E-2
264	2.36351122E-2
970	2.4954526E-2
24	2.52296555E-2
551	2.53352827E-2
256	2.59141156E-2
660	2.63273942E-2
395	2.72369642E-2
869	2.7396802E-2
223	2.78897836E-2
862	2.83147551E-2
1002	3.07634144E-2
728	3.34547093E-2
844	3.42763547E-2
236	3.61518542E-2
563	3.75137984E-2
812	3.77473603E-2
29	3.80786329E-2
887	3.93843162E-2
733	4.25330403E-2
899	4.27099066E-2
891	4.43458352E-2
638	4.63261289E-2
632	4.6763182E-2
758	4.74907971E-2
114	4.78620659E-2
419	4.78721082E-2
490	4.86733133E-2
53	4.89034064E-2
311	5.00396046E-2
307	5.06875006E-2
309	5.07593867E-2
205	5.09945525E-2
792	5.10253285E-2
828	5.25988035E-2
497	5.30886526E-2
856	5.31905835E-2
124	5.39272808E-2
556	5.77652274E-2
229	5.94489789E-2
674	6.04236479E-2
324	6.11759521E-2
860	6.2377211E-2
542	6.3034315E-2
818	6.33617399E-2
281	6.36303643E-2
740	6.36339823E-2
137	6.46773716E-2
784	6.58152322E-2
720	6.58309526E-2
798	6.696234E-2
881	6.74484292E-2
767	6.74521139E-2
924	6.91257991E-2
332	6.963681E-2
702	7.10733591E-2
360	7.10875924E-2
500	7.11122949E-2
26	7.30061722E-2
608	7.32454499E-2
649	7.39254081E-2
846	7.50367532E-2
478	7.53979465E-2
145	7.73450806E-2
365	7.75958274E-2
66	7.7699083E-2
909	7.87857107E-2
601	7.97238852E-2
657	8.26119005E-2
956	8.44686503E-2
825	8.4503926E-2
645	8.80247235E-2
613	8.95209334E-2
581	8.96403813E-2
494	8.99290164E-2
999	8.99614937E-2
109	9.04185403E-2
146	9.0814447E-2
647	9.48031953E-2
196	9.51375625E-2
586	9.63340414E-2
739	9.75970398E-2
775	9.86457047E-2
507	9.88586306E-2
738	9.99028786E-2
285	1.00098093E-1
211	1.00580435E-1
679	1.02187066E-1
235	1.02952573E-1
370	1.03865334E-1
22	1.05490647E-1
1019	1.0563647E-1
969	1.05650432E-1
1018	1.06168269E-1
1011	1.07088438E-1
577	1.07124205E-1
764	1.09126527E-1
132	1.10969366E-1
561	1.13403118E-1
212	1.14982642E-1
21	1.15028416E-1
633	1.15657958E-1
621	1.16462398E-1
979	1.18738323E-1
368	1.19171017E-1
547	1.19300364E-1
681	1.20411744E-1
602	1.20647728E-1
520	1.2069931E-1
950	1.21912181E-1
13	1.22260312E-1
141	1.23847067E-1
721	1.24758083E-1
535	1.27185736E-1
480	1.27367455E-1
748	1.28432624E-1
380	1.30210662E-1
294	1.30887078E-1
352	1.31290808E-1
464	1.32503405E-1
423	1.32687651E-1
692	1.32766867E-1
1	1.33847244E-1
338	1.34745734E-1
288	1.34917138E-1
314	1.36101491E-1
341	1.38312832E-1
907	1.39150644E-1
820	1.40374797E-1
684	1.42475144E-1
1020	1.43238736E-1
193	1.43248967E-1
883	1.43417711E-1
710	1.4350126E-1
195	1.45196567E-1
372	1.46009245E-1
800	1.48004148E-1
626	1.50397786E-1
131	1.51900033E-1
524	1.52876773E-1
508	1.53930267E-1
757	1.53998953E-1
67	1.54893053E-1
377	1.56210753E-1
786	1.56751181E-1
371	1.57574985E-1
447	1.58516124E-1
122	1.58926695E-1
333	1.59248861E-1
126	1.65409655E-1
569	1.67343443E-1
766	1.68735511E-1
864	1.71339463E-1
686	1.73382843E-1
237	1.73471331E-1
694	1.73516516E-1
849	1.73554732E-1
625	1.73855816E-1
49	1.74517752E-1
336	1.76204477E-1
169	1.77141165E-1
980	1.77239042E-1
226	1.78506582E-1
765	1.79157704E-1
135	1.82518299E-1
834	1.82616303E-1
945	1.82660001E-1
648	1.83221361E-1
273	1.83892627E-1
59	1.85292231E-1
19	1.88953907E-1
511	1.8990733E-1
879	1.91809698E-1
502	1.91940982E-1
676	1.92329588E-1
902	1.92526048E-1
6	1.93104951E-1
85	1.94180661E-1
893	1.9575665E-1
86	1.97831579E-1
544	1.98045215E-1
359	1.98370082E-1
455	1.98425195E-1
257	1.99234029E-1
823	2.02086089E-1
562	2.02817039E-1
296	2.02968476E-1
148	2.0316145E-1
731	2.05487249E-1
750	2.07349898E-1
817	2.08834515E-1
166	2.11202804E-1
506	2.12842594E-1
890	2.13728201E-1
703	2.13830561E-1
503	2.18566237E-1
88	2.21054452E-1
286	2.21611413E-1
1001	2.21910663E-1
921	2.22464911E-1
430	2.24716549E-1
200	2.24837606E-1
793	2.26051414E-1
261	2.27696452E-1
107	2.27844854E-1
643	2.28122705E-1
926	2.29286638E-1
247	2.2940356E-1
553	2.31068046E-1
23	2.31363415E-1
815	2.32059185E-1
346	2.34301207E-1
579	2.3488853E-1
293	2.35638639E-1
940	2.36260076E-1
252	2.36376895E-1
805	2.36962666E-1
707	2.38042338E-1
345	2.39481397E-1
64	2.39937413E-1
266	2.41968044E-1
698	2.42422536E-1
326	2.42493392E-1
240	2.42658253E-1
968	2.43557844E-1
61	2.44508257E-1
173	2.46701348E-1
754	2.46904222E-1
958	2.47015399E-1
110	2.48103315E-1
260	2.4982318E-1
932	2.49879584E-1
760	2.50798932E-1
213	2.50818458E-1
814	2.5099093E-1
957	2.52291182E-1
540	2.5295074E-1
1015	2.5372782E-1
362	2.54079174E-1
451	2.54656574E-1
509	2.54722123E-1
582	2.56303979E-1
863	2.57598304E-1
312	2.58405014E-1
1023	2.58778666E-1
10	2.6092174E-1
527	2.62225358E-1
697	2.62441506E-1
434	2.64371466E-1
317	2.65169762E-1
557	2.66529678E-1
422	2.66631637E-1
678	2.67529024E-1
987	2.67638868E-1
479	2.67845283E-1
609	2.68898538E-1
715	2.69961098E-1
278	2.70197574E-1
866	2.73077594E-1
695	2.73327714E-1
837	2.73614741E-1
14	2.76003558E-1
54	2.76183092E-1
910	2.76193789E-1
683	2.79469612E-1
867	2.82653925E-1
946	2.827372E-1
941	2.83948736E-1
785	2.85688534E-1
771	2.86031548E-1
457	2.86107889E-1
208	2.86350785E-1
101	2.89996357E-1
840	2.91582292E-1
329	2.92444275E-1
618	2.92845881E-1
841	2.93272105E-1
522	2.93517839E-1
961	2.94744842E-1
262	2.95367821E-1
665	2.96092712E-1
596	2.96789938E-1
118	2.97167202E-1
975	2.99909365E-1
964	3.02102122E-1
102	3.0363012E-1
279	3.03668768E-1
745	3.06959802E-1
611	3.07377712E-1
