Name	chi2Pvalue
331	5.18216281E-4
973	1.03267756E-3
852	1.18160833E-3
663	1.65331834E-3
702	2.95847113E-3
320	3.33404631E-3
777	4.5053458E-3
563	5.89105801E-3
733	6.67692743E-3
239	6.95527334E-3
625	8.08659973E-3
622	1.0356993E-2
763	1.18933194E-2
172	1.28068958E-2
506	1.32722396E-2
221	1.46462632E-2
103	1.66331175E-2
310	1.73612612E-2
875	1.80456358E-2
765	1.80798281E-2
648	1.83741397E-2
1014	1.97109067E-2
295	2.08290623E-2
132	2.12180787E-2
101	2.19568537E-2
671	2.48408281E-2
365	2.49292342E-2
867	2.49974038E-2
621	2.75439515E-2
61	2.82910954E-2
962	3.09432681E-2
498	3.10079207E-2
935	3.23316251E-2
124	3.40855322E-2
884	3.47450873E-2
85	3.53519109E-2
278	3.5840853E-2
419	3.7172891E-2
374	3.74284745E-2
773	3.81162537E-2
523	3.88889003E-2
938	3.90453256E-2
212	3.91677364E-2
1018	3.92191061E-2
950	4.05811067E-2
739	4.2240179E-2
137	4.23825462E-2
785	4.35783808E-2
248	4.41116052E-2
698	4.49001113E-2
748	4.54106974E-2
1002	4.54871914E-2
551	4.66651154E-2
240	4.71293389E-2
921	4.75242958E-2
519	4.83134656E-2
352	4.88352552E-2
927	4.89497175E-2
109	5.01417802E-2
434	5.05493614E-2
397	5.23512038E-2
63	5.34017706E-2
923	5.46095347E-2
338	5.51674263E-2
890	5.59258028E-2
899	5.63616985E-2
288	5.75069424E-2
540	5.7611924E-2
163	5.79907235E-2
1021	5.88399654E-2
609	5.93804909E-2
755	6.01191989E-2
660	6.05698472E-2
784	6.07067564E-2
135	6.14809062E-2
796	6.6579372E-2
924	6.94661212E-2
740	6.95121319E-2
460	6.95132428E-2
479	6.97493467E-2
618	7.00783619E-2
526	7.04194164E-2
967	7.10333379E-2
981	7.17910069E-2
757	7.28227115E-2
638	7.29149342E-2
902	7.62923348E-2
76	7.72724686E-2
883	7.7307813E-2
649	7.82819442E-2
430	7.87467375E-2
178	8.15701006E-2
521	8.18301339E-2
925	8.29274948E-2
265	8.466836E-2
834	8.47722227E-2
205	8.56458541E-2
168	8.5952898E-2
341	8.61552219E-2
438	8.66089509E-2
134	8.80384787E-2
1000	9.08797506E-2
494	9.11257779E-2
657	9.1355102E-2
157	9.19486421E-2
309	9.27776362E-2
684	9.35797563E-2
54	9.64284904E-2
114	9.66579417E-2
464	9.6789333E-2
970	9.77727074E-2
195	1.02697614E-1
449	1.07406838E-1
793	1.10290167E-1
117	1.12150776E-1
912	1.13671123E-1
674	1.1381374E-1
559	1.15388268E-1
348	1.15675768E-1
697	1.15755344E-1
490	1.18246343E-1
910	1.18252383E-1
234	1.18418537E-1
256	1.18640227E-1
608	1.19559893E-1
856	1.21205154E-1
417	1.21913314E-1
542	1.21955616E-1
223	1.22519639E-1
556	1.25667289E-1
969	1.28433444E-1
24	1.29346631E-1
57	1.30383901E-1
249	1.3185634E-1
964	1.32111119E-1
707	1.32586887E-1
932	1.33565336E-1
632	1.33786449E-1
370	1.34558421E-1
623	1.353213E-1
694	1.3959668E-1
613	1.4020485E-1
535	1.41517535E-1
336	1.4212384E-1
774	1.43212556E-1
647	1.44518879E-1
766	1.44795341E-1
666	1.45205926E-1
96	1.4648675E-1
193	1.48008946E-1
814	1.48088251E-1
905	1.49973324E-1
198	1.51652765E-1
515	1.53847884E-1
715	1.54466419E-1
471	1.55863558E-1
528	1.56345495E-1
636	1.56813232E-1
633	1.58240417E-1
86	1.58829155E-1
380	1.59630943E-1
332	1.60340336E-1
0	1.62076854E-1
958	1.62124542E-1
254	1.65314199E-1
317	1.66585071E-1
478	1.67808576E-1
823	1.69242077E-1
759	1.69452613E-1
745	1.70011336E-1
567	1.70530646E-1
5	1.70705008E-1
150	1.73162117E-1
167	1.73688312E-1
241	1.75448752E-1
237	1.76960399E-1
500	1.77885587E-1
93	1.78037074E-1
200	1.78163557E-1
141	1.7905483E-1
311	1.80823621E-1
92	1.82005341E-1
928	1.82923234E-1
728	1.8333507E-1
143	1.84965435E-1
686	1.85183814E-1
74	1.85792195E-1
895	1.85860658E-1
346	1.86034274E-1
594	1.86195747E-1
520	1.86766859E-1
911	1.86907533E-1
878	1.88033803E-1
145	1.88464005E-1
40	1.88742355E-1
414	1.89347102E-1
695	1.8974942E-1
98	1.91178299E-1
917	1.91496333E-1
483	1.91623989E-1
323	1.92869573E-1
467	1.93670435E-1
171	1.95953552E-1
20	1.96931621E-1
386	1.98443622E-1
626	1.99183899E-1
557	1.9973015E-1
576	1.99805493E-1
976	1.99814494E-1
395	2.00533112E-1
26	2.00567693E-1
281	2.00653232E-1
603	2.05633229E-1
470	2.05640427E-1
347	2.06064476E-1
