Name	chi2Pvalue
638	1.7740828E-3
454	2.46172109E-3
567	2.53838924E-3
445	2.84565885E-3
436	3.84408082E-3
87	5.18878266E-3
358	6.18859309E-3
980	6.49516812E-3
31	7.41696814E-3
150	7.65597139E-3
516	7.81743323E-3
919	8.29696819E-3
656	8.93851323E-3
766	1.13432957E-2
82	1.1488705E-2
245	1.24030523E-2
815	1.51804416E-2
233	1.68097579E-2
562	1.74222274E-2
586	1.79175555E-2
929	1.80828045E-2
125	1.9686376E-2
950	2.04302945E-2
441	2.31058473E-2
931	2.55012185E-2
831	2.56588831E-2
786	2.62837908E-2
908	2.68709575E-2
947	2.71513168E-2
7	2.73122284E-2
851	2.7631712E-2
49	2.80343402E-2
253	2.968094E-2
594	3.00327123E-2
219	3.42749675E-2
278	3.55919268E-2
644	3.78411911E-2
782	3.89617846E-2
928	3.90251674E-2
796	3.94358944E-2
611	4.08930306E-2
8	4.24032119E-2
572	4.35055862E-2
180	4.51252084E-2
365	4.53931943E-2
584	4.56759975E-2
951	4.72706966E-2
508	4.7797791E-2
203	4.80444253E-2
145	4.83610893E-2
377	4.83984995E-2
837	4.84680686E-2
440	4.91590529E-2
360	4.99540651E-2
588	5.0967691E-2
94	5.14197242E-2
468	5.19862688E-2
25	5.19967204E-2
339	5.2127792E-2
311	5.41397035E-2
995	5.52718864E-2
136	5.59809662E-2
624	5.65800419E-2
261	5.79078864E-2
824	5.81591456E-2
37	5.8718446E-2
86	6.08783319E-2
721	6.14116809E-2
741	6.22247897E-2
663	6.31073081E-2
513	6.34866956E-2
142	6.37822267E-2
469	6.44550534E-2
545	6.50262013E-2
303	6.56569375E-2
484	6.65644325E-2
695	6.65939355E-2
745	6.70203297E-2
873	6.76326322E-2
457	6.96567122E-2
112	6.98196971E-2
946	7.00032963E-2
418	7.06387064E-2
174	7.18091505E-2
927	7.298926E-2
103	7.44654488E-2
636	7.64887448E-2
405	7.75814627E-2
158	7.78750344E-2
11	7.99263516E-2
655	8.13402219E-2
433	8.18250216E-2
551	8.20342563E-2
130	8.21547128E-2
50	8.32766425E-2
573	8.38889245E-2
402	8.68719055E-2
322	8.85396152E-2
883	8.86787631E-2
794	9.03925355E-2
437	9.10656975E-2
262	9.11598221E-2
733	9.15066315E-2
617	9.30085886E-2
750	9.35955098E-2
534	9.39673963E-2
268	9.77353349E-2
486	9.8269194E-2
138	1.00553669E-1
526	1.0123712E-1
838	1.01702858E-1
201	1.04261804E-1
640	1.05297205E-1
249	1.07067322E-1
587	1.07108797E-1
704	1.07321331E-1
491	1.07555683E-1
793	1.07840708E-1
188	1.08173123E-1
595	1.08314036E-1
313	1.08608136E-1
301	1.10696831E-1
374	1.11815716E-1
731	1.12527421E-1
475	1.13643321E-1
170	1.13960541E-1
0	1.14487079E-1
467	1.14542335E-1
470	1.15132428E-1
33	1.16475208E-1
729	1.17675006E-1
581	1.19589716E-1
171	1.21926466E-1
970	1.22667298E-1
498	1.24889806E-1
210	1.2551074E-1
169	1.27222997E-1
373	1.29368782E-1
403	1.30463663E-1
211	1.31037607E-1
720	1.31597026E-1
833	1.31764704E-1
743	1.32426334E-1
643	1.33972795E-1
702	1.35798931E-1
771	1.35832278E-1
505	1.36690863E-1
63	1.37505318E-1
765	1.37839687E-1
798	1.37845907E-1
912	1.37849128E-1
524	1.38493385E-1
271	1.40919338E-1
667	1.41494404E-1
385	1.41688323E-1
269	1.41732473E-1
415	1.4305406E-1
829	1.44543789E-1
571	1.45257825E-1
430	1.45678028E-1
10	1.45714703E-1
