Name	chi2Pvalue
702	5.53672838E-4
145	7.24566782E-4
684	8.75647359E-4
313	2.54888074E-3
970	3.29808983E-3
245	4.57569655E-3
172	4.63032066E-3
971	4.6506233E-3
250	4.70665478E-3
765	5.69054213E-3
262	5.99154369E-3
507	6.44638102E-3
567	6.65565378E-3
128	7.46524836E-3
973	7.64889201E-3
584	8.03096509E-3
674	9.52100456E-3
912	9.56931838E-3
881	9.78773535E-3
117	1.06857937E-2
353	1.1374216E-2
211	1.21865374E-2
508	1.75838933E-2
445	1.89900465E-2
743	1.91285984E-2
656	1.97697992E-2
180	2.09701042E-2
239	2.11952948E-2
622	2.12744896E-2
793	2.12769622E-2
208	2.15506316E-2
402	2.21422057E-2
636	2.2958318E-2
218	2.74788866E-2
624	2.78146389E-2
836	3.16298656E-2
146	3.24396928E-2
440	3.3724175E-2
643	3.47027516E-2
963	3.51323394E-2
212	3.53193927E-2
696	3.53233672E-2
181	3.58422939E-2
75	3.67500359E-2
227	3.71585215E-2
105	3.79372448E-2
358	3.98204216E-2
421	4.18002485E-2
506	4.23451505E-2
101	4.2948305E-2
104	4.30796802E-2
51	4.32642049E-2
301	4.34987373E-2
7	4.37961239E-2
377	4.47466518E-2
516	4.48567378E-2
119	4.53088574E-2
679	4.53547543E-2
441	4.56295644E-2
183	4.58938049E-2
138	4.79738997E-2
457	4.85143987E-2
734	4.8872863E-2
980	4.9209238E-2
444	5.10542452E-2
719	5.25605207E-2
343	5.35116031E-2
771	5.43603739E-2
595	5.66561554E-2
437	5.7855505E-2
12	5.84222516E-2
93	5.87323666E-2
699	5.87734302E-2
810	5.99362841E-2
706	6.12779922E-2
903	6.20706225E-2
279	6.22026185E-2
551	6.22437894E-2
238	6.46599843E-2
644	6.58257513E-2
112	6.58341125E-2
270	6.60351348E-2
831	6.64085951E-2
454	6.68426143E-2
741	6.89209187E-2
681	6.94811122E-2
824	6.95084273E-2
668	7.17186895E-2
688	7.50035961E-2
536	7.63610716E-2
395	7.75469003E-2
39	7.75546096E-2
547	8.23417507E-2
268	8.25693401E-2
496	8.32216527E-2
196	8.3765781E-2
223	8.42002075E-2
667	8.4527559E-2
501	8.49695173E-2
452	8.51912888E-2
498	8.6888866E-2
186	8.71044297E-2
476	8.74278159E-2
484	8.85507012E-2
689	8.9969025E-2
865	9.21795656E-2
913	9.34831618E-2
816	9.3805596E-2
811	9.45585302E-2
87	9.55191552E-2
271	9.58022739E-2
938	9.59863667E-2
267	9.76147801E-2
745	9.77804629E-2
236	9.83938294E-2
114	9.87191244E-2
188	9.87900289E-2
868	9.93862095E-2
923	9.95421091E-2
756	9.97392349E-2
543	9.98049351E-2
247	9.98138527E-2
978	9.98943092E-2
465	1.00395755E-1
80	1.01947573E-1
560	1.02769758E-1
883	1.040424E-1
431	1.04717383E-1
917	1.06270561E-1
957	1.0638785E-1
1011	1.08329735E-1
929	1.10326043E-1
158	1.1069874E-1
505	1.10919154E-1
403	1.11256476E-1
767	1.12391606E-1
415	1.14223574E-1
28	1.14227052E-1
77	1.14288805E-1
482	1.15962495E-1
469	1.16150069E-1
427	1.18525366E-1
1006	1.18631903E-1
908	1.19469892E-1
144	1.19666766E-1
815	1.20922299E-1
219	1.2269365E-1
370	1.22715351E-1
288	1.23751507E-1
545	1.24743717E-1
3	1.28402643E-1
638	1.28756508E-1
744	1.30163879E-1
136	1.30227894E-1
740	1.3035631E-1
299	1.30926226E-1
931	1.31110077E-1
937	1.31535681E-1
652	1.34701174E-1
491	1.36252864E-1
528	1.36533661E-1
360	1.37041492E-1
126	1.3750182E-1
766	1.39453838E-1
633	1.40870073E-1
312	1.40958764E-1
409	1.41413196E-1
164	1.41742503E-1
417	1.42035595E-1
31	1.42678771E-1
798	1.43546612E-1
0	1.44982081E-1
637	1.46107702E-1
609	1.46953418E-1
433	1.4811333E-1
486	1.48435225E-1
125	1.51012287E-1
848	1.52922151E-1
261	1.53027968E-1
586	1.53191157E-1
278	1.53827763E-1
562	1.53875744E-1
339	1.55258173E-1
627	1.55833506E-1
405	1.5602428E-1
749	1.56603564E-1
575	1.58063964E-1
727	1.58138745E-1
564	1.58605252E-1
193	1.59145591E-1
8	1.60619133E-1
708	1.60897614E-1
776	1.61087642E-1
665	1.62409291E-1
393	1.62638769E-1
828	1.64804867E-1
497	1.64889484E-1
873	1.66402594E-1
927	1.66408223E-1
49	1.68376177E-1
103	1.6884153E-1
911	1.69033343E-1
956	1.69273718E-1
995	1.69366569E-1
770	1.69754105E-1
721	1.70665294E-1
655	1.7079212E-1
394	1.71939296E-1
38	1.73934485E-1
695	1.7517864E-1
889	1.75235998E-1
50	1.77032417E-1
572	1.77508639E-1
645	1.78382355E-1
30	1.79915887E-1
603	1.83237904E-1
149	1.83908447E-1
877	1.84800599E-1
857	1.8524775E-1
131	1.85766376E-1
139	1.87078793E-1
555	1.92727858E-1
418	1.94866424E-1
742	1.95818616E-1
780	1.97311031E-1
752	1.98548877E-1
611	1.98564681E-1
663	2.00510683E-1
792	2.01558332E-1
842	2.03048297E-1
979	2.03663025E-1
182	2.06583175E-1
25	2.07092382E-1
519	2.09118889E-1
928	2.11131095E-1
47	2.11963999E-1
436	2.1202763E-1
21	2.16971522E-1
413	2.16988795E-1
