Name	chi2Pvalue
742	3.70481906E-4
313	4.54491377E-4
929	4.11652823E-3
38	5.00239268E-3
517	9.40095953E-3
272	1.08477499E-2
524	1.28817642E-2
316	1.66089645E-2
682	1.75540008E-2
670	1.79210387E-2
86	1.86197356E-2
816	1.87547692E-2
262	1.91726378E-2
719	2.18521946E-2
792	2.1897032E-2
678	2.25359516E-2
351	2.29200855E-2
2	2.33882328E-2
532	2.3446374E-2
899	2.3742931E-2
318	2.54703933E-2
596	2.65097672E-2
951	2.69104622E-2
404	2.69793905E-2
497	2.79302203E-2
28	2.92480996E-2
586	2.97222854E-2
771	2.98057233E-2
77	3.01267245E-2
220	3.30988643E-2
923	3.32536783E-2
242	3.37813343E-2
954	3.40144355E-2
548	3.45141256E-2
75	3.55481481E-2
768	3.67535751E-2
31	3.68675168E-2
600	3.7407674E-2
374	3.94128234E-2
72	3.95782236E-2
165	4.0353023E-2
927	4.08970957E-2
109	4.23904053E-2
721	4.38359733E-2
592	4.4001508E-2
689	4.42199958E-2
914	4.55874495E-2
559	4.58461913E-2
726	4.73271872E-2
854	4.92864854E-2
681	4.93039501E-2
598	5.02735469E-2
391	5.16299451E-2
950	5.18275457E-2
733	5.28755108E-2
715	5.30947236E-2
547	5.33153282E-2
322	5.40704688E-2
962	5.57577384E-2
33	5.68884166E-2
444	5.70565207E-2
748	5.7896254E-2
636	5.96371635E-2
264	6.07543383E-2
826	6.31596957E-2
804	6.49870493E-2
381	6.52030084E-2
535	6.5222005E-2
62	6.54556681E-2
473	6.58382307E-2
743	6.59915552E-2
188	6.90126374E-2
842	6.99230364E-2
865	6.99401011E-2
41	7.00417854E-2
633	7.24537989E-2
972	7.32335232E-2
555	7.3898245E-2
352	7.48901818E-2
349	7.73728974E-2
119	8.15648252E-2
145	8.23037132E-2
604	8.48880776E-2
658	8.58455784E-2
644	8.60215054E-2
851	8.63101809E-2
919	8.78606983E-2
706	9.09428616E-2
837	9.11428857E-2
176	9.14194467E-2
164	9.30024959E-2
476	9.42434677E-2
180	9.46774495E-2
915	9.68726774E-2
543	9.73959342E-2
895	9.85460369E-2
896	9.94792546E-2
44	1.0153968E-1
291	1.02084683E-1
898	1.02269203E-1
935	1.02697735E-1
197	1.03504351E-1
971	1.04661552E-1
36	1.05827389E-1
378	1.05872205E-1
618	1.0784267E-1
608	1.07882875E-1
37	1.08592738E-1
159	1.09250069E-1
847	1.12261473E-1
589	1.12959397E-1
68	1.1319795E-1
619	1.13571753E-1
616	1.14865866E-1
149	1.17826904E-1
271	1.17974491E-1
311	1.18909008E-1
549	1.19355348E-1
96	1.20294259E-1
966	1.20436715E-1
766	1.21003251E-1
84	1.21072232E-1
844	1.21602617E-1
256	1.25616646E-1
627	1.25678015E-1
10	1.2773912E-1
516	1.28974719E-1
319	1.29757032E-1
275	1.3001474E-1
57	1.30295492E-1
471	1.31290944E-1
873	1.33867634E-1
124	1.36122187E-1
857	1.37756948E-1
82	1.38209474E-1
65	1.38279401E-1
595	1.38423499E-1
597	1.38607231E-1
350	1.39742952E-1
819	1.40240717E-1
949	1.41020843E-1
103	1.42127659E-1
339	1.45198928E-1
420	1.45305292E-1
228	1.45816953E-1
889	1.46113943E-1
373	1.47755064E-1
161	1.47847967E-1
450	1.48552359E-1
233	1.49335879E-1
1005	1.54197398E-1
403	1.54727586E-1
401	1.54737295E-1
738	1.57847094E-1
182	1.58851156E-1
187	1.59582958E-1
418	1.59654995E-1
910	1.62472046E-1
963	1.66789444E-1
78	1.68048687E-1
641	1.68072124E-1
610	1.68141062E-1
344	1.70043606E-1
209	1.70283075E-1
704	1.71873925E-1
216	1.73641581E-1
795	1.73863446E-1
290	1.74523019E-1
8	1.76246573E-1
736	1.76407149E-1
673	1.77296142E-1
926	1.78834653E-1
507	1.79503781E-1
287	1.81236141E-1
890	1.81751243E-1
328	1.82365911E-1
30	1.83324942E-1
434	1.8510781E-1
456	1.85727431E-1
379	1.87823962E-1
307	1.90601667E-1
284	1.90687832E-1
1013	1.92305727E-1
203	1.94156785E-1
153	1.94479873E-1
254	1.98302903E-1
762	1.98339975E-1
671	1.98562222E-1
460	1.98610661E-1
1001	2.00240713E-1
969	2.01133911E-1
868	2.01206493E-1
850	2.03589428E-1
520	2.03737923E-1
741	2.04389011E-1
278	2.08140368E-1
679	2.08238436E-1
277	2.08735402E-1
659	2.0970003E-1
739	2.09850651E-1
888	2.11056354E-1
100	2.14273001E-1
995	2.15535263E-1
466	2.1640818E-1
410	2.17214222E-1
1016	2.17542697E-1
841	2.18966544E-1
875	2.21066818E-1
906	2.21186563E-1
300	2.21208383E-1
666	2.21537421E-1
483	2.2185306E-1
567	2.23053098E-1
643	2.23173842E-1
207	2.25633919E-1
939	2.27570092E-1
224	2.28090814E-1
849	2.28614958E-1
56	2.28627754E-1
64	2.2953268E-1
279	2.29609154E-1
244	2.30489064E-1
12	2.31032476E-1
798	2.34802735E-1
238	2.37072482E-1
918	2.40114578E-1
448	2.40116606E-1
1	2.41063609E-1
713	2.41110018E-1
629	2.41480371E-1
987	2.41774833E-1
864	2.42239996E-1
245	2.42710331E-1
657	2.42748398E-1
583	2.43112607E-1
139	2.43447546E-1
786	2.43753226E-1
15	2.44322217E-1
696	2.44382256E-1
457	2.47971315E-1
383	2.48034614E-1
387	2.48336294E-1
151	2.49800108E-1
805	2.50950401E-1
323	2.51104929E-1
523	2.51462381E-1
231	2.51564122E-1
878	2.53301087E-1
693	2.5417276E-1
769	2.55290919E-1
321	2.55946035E-1
59	2.58090511E-1
357	2.59206649E-1
1012	2.5980105E-1
989	2.59822179E-1
912	2.60228111E-1
382	2.60394368E-1
240	2.60498831E-1
506	2.60520727E-1
1015	2.63160571E-1
128	2.63883945E-1
908	2.63966884E-1
393	2.64483357E-1
709	2.66259701E-1
408	2.66330686E-1
546	2.69308239E-1
432	2.69454884E-1
614	2.71124985E-1
332	2.71535293E-1
855	2.71653761E-1
219	2.71675089E-1
399	2.72033945E-1
104	2.73021781E-1
922	2.74600525E-1
869	2.74918888E-1
591	2.77275288E-1
606	2.7774051E-1
442	2.77750399E-1
821	2.8031939E-1
411	2.806591E-1
755	2.81897999E-1
953	2.81941701E-1
314	2.831798E-1
453	2.83316541E-1
5	2.84130347E-1
127	2.85115262E-1
249	2.85320821E-1
993	2.87233441E-1
937	2.87419903E-1
461	2.87877959E-1
297	2.88275623E-1
154	2.90050168E-1
66	2.91077609E-1
310	2.91624359E-1
263	2.92034169E-1
29	2.93933803E-1
603	2.94178117E-1
185	2.94368803E-1
298	2.9441385E-1
355	2.94755729E-1
756	2.95846436E-1
47	2.96289974E-1
716	2.96392574E-1
568	2.96731356E-1
731	2.9697414E-1
195	2.99886146E-1
985	3.03865564E-1
654	3.03877021E-1
961	3.04753359E-1
94	3.06808561E-1
634	3.07028608E-1
120	3.07819009E-1
236	3.07916922E-1
553	3.08829306E-1
582	3.09609963E-1
340	3.10598712E-1
45	3.1085879E-1
707	3.1251271E-1
303	3.1282022E-1
613	3.13793618E-1
81	3.1381536E-1
362	3.14322807E-1
491	3.1524129E-1
874	3.15544814E-1
656	3.16373641E-1
289	3.16987214E-1
325	3.17128943E-1
534	3.19016705E-1
587	3.19516885E-1
23	3.19759446E-1
684	3.19805244E-1
539	3.20034444E-1
204	3.21938745E-1
299	3.22986069E-1
441	3.24343749E-1
331	3.24820388E-1
1019	3.25120331E-1
173	3.2546711E-1
508	3.26010651E-1
992	3.26578716E-1
406	3.26761928E-1
111	3.27212679E-1
101	3.27578707E-1
968	3.29302841E-1
797	3.2947467E-1
454	3.29543799E-1
171	3.29960314E-1
690	3.30018952E-1
1021	3.30925085E-1
699	3.31442726E-1
700	3.32467652E-1
48	3.3339958E-1
105	3.33435596E-1
25	3.34168608E-1
845	3.34441476E-1
396	3.34466305E-1
482	3.3561117E-1
226	3.36486132E-1
440	3.3720686E-1
306	3.3760586E-1
140	3.37734739E-1
763	3.38165304E-1
569	3.38735545E-1
324	3.38998817E-1
686	3.40360188E-1
199	3.41406676E-1
838	3.41537575E-1
294	3.41656964E-1
936	3.42713248E-1
562	3.43501428E-1
174	3.44552047E-1
557	3.4471931E-1
711	3.45110058E-1
934	3.45460083E-1
24	3.4629435E-1
660	3.47509894E-1
734	3.49330567E-1
160	3.52260623E-1
347	3.55074095E-1
135	3.59235455E-1
157	3.59559563E-1
137	3.59562806E-1
848	3.59589128E-1
223	3.59960206E-1
421	3.60551038E-1
426	3.60573834E-1
570	3.61791814E-1
560	3.65761061E-1
924	3.66913993E-1
498	3.67324557E-1
652	3.67383096E-1
397	3.67461854E-1
257	3.67783286E-1
784	3.68142331E-1
18	3.68608249E-1
893	3.69752114E-1
904	3.70456572E-1
477	3.71204856E-1
981	3.71440906E-1
956	3.71783326E-1
230	3.73115562E-1
982	3.73315014E-1
1007	3.73797878E-1
913	3.74529008E-1
973	3.75057216E-1
997	3.76567687E-1
55	3.77121006E-1
156	3.78569692E-1
526	3.80904775E-1
112	3.81013528E-1
646	3.81268818E-1
959	3.81468594E-1
810	3.82647968E-1
858	3.86561843E-1
807	3.86976252E-1
952	3.87032324E-1
655	3.88704286E-1
439	3.90424556E-1
688	3.9051813E-1
490	3.92095486E-1
206	3.92412408E-1
630	3.93613369E-1
385	3.94822262E-1
380	3.96430417E-1
872	3.96664911E-1
783	3.96685067E-1
867	3.97421511E-1
371	3.97760826E-1
32	3.98063097E-1
4	3.9911663E-1
964	4.00658958E-1
701	4.02064965E-1
601	4.02562523E-1
505	4.02824774E-1
451	4.0319964E-1
550	4.03491055E-1
986	4.04175014E-1
637	4.05847066E-1
