Name	chi2Pvalue
562	4.55675402E-5
238	8.80535644E-4
706	3.50826857E-3
895	3.88867226E-3
77	5.91358969E-3
740	7.3604549E-3
264	8.00284058E-3
220	8.70569095E-3
75	8.82899174E-3
164	1.03402203E-2
444	1.08430809E-2
640	1.24864227E-2
963	1.59703264E-2
311	1.67308381E-2
778	1.72853493E-2
104	1.88172043E-2
253	2.00600696E-2
900	2.08352925E-2
12	2.11130656E-2
218	2.14241062E-2
637	2.1650693E-2
320	2.25898269E-2
391	2.64428005E-2
699	2.66440653E-2
442	2.86055252E-2
634	2.86607077E-2
153	3.06767506E-2
28	3.10674407E-2
777	3.38460165E-2
715	3.51094461E-2
289	3.51280271E-2
38	3.8614523E-2
161	3.87096326E-2
272	3.91369721E-2
120	4.01530029E-2
433	4.25789915E-2
816	4.26589201E-2
762	4.28335393E-2
86	4.38830568E-2
243	4.40867689E-2
738	4.46136648E-2
613	4.51070437E-2
823	4.61359574E-2
932	4.64780252E-2
766	4.77290175E-2
212	4.89565019E-2
467	4.91104446E-2
313	4.95874839E-2
256	4.97445244E-2
853	5.05885208E-2
420	5.15712741E-2
517	5.23863931E-2
468	5.70517954E-2
269	5.8011531E-2
643	5.91918526E-2
771	5.94763145E-2
149	6.04683263E-2
171	6.12916024E-2
689	6.16424234E-2
949	6.17481989E-2
614	6.20656091E-2
903	6.32185403E-2
319	6.33722186E-2
691	6.55680168E-2
626	6.65839537E-2
307	6.78800559E-2
636	6.95128201E-2
678	6.97794601E-2
55	7.05035674E-2
476	7.05084084E-2
671	7.23437187E-2
857	7.30501551E-2
679	7.47282589E-2
560	7.61444917E-2
757	8.11252854E-2
93	8.17758701E-2
105	8.22734071E-2
986	8.3432276E-2
747	8.46618972E-2
865	8.50977131E-2
394	8.65835085E-2
863	8.6653067E-2
387	8.76492964E-2
404	8.85618615E-2
310	8.86926663E-2
547	9.00479989E-2
532	9.05403658E-2
721	9.195871E-2
249	9.23215916E-2
457	9.36383128E-2
742	9.40833315E-2
928	9.42141719E-2
524	9.67929415E-2
964	9.71121258E-2
