Name	chi2Pvalue
684	3.30601694E-4
620	4.07606156E-4
923	1.87284986E-3
885	2.19016857E-3
296	2.8855302E-3
253	4.29371295E-3
509	4.35626307E-3
860	5.23526209E-3
844	5.82193473E-3
674	6.39543666E-3
311	8.36448152E-3
183	8.58272169E-3
963	1.11648509E-2
699	1.22792888E-2
974	1.2437232E-2
704	1.39973217E-2
347	1.41031269E-2
160	1.45209165E-2
227	1.74545554E-2
576	1.90036533E-2
485	2.19010137E-2
904	2.21598914E-2
517	2.25497986E-2
615	2.595425E-2
681	2.59885746E-2
998	2.68596719E-2
186	2.70858586E-2
381	2.74329097E-2
313	2.91384545E-2
627	2.9824299E-2
774	3.11474446E-2
797	3.16615117E-2
314	3.1668736E-2
245	3.43466319E-2
815	3.47099964E-2
450	3.52227961E-2
906	3.55048703E-2
221	3.55392673E-2
676	3.58939662E-2
638	3.69658815E-2
310	3.71271716E-2
346	3.77804455E-2
968	3.81226022E-2
116	4.12170312E-2
480	4.32150712E-2
735	4.37799134E-2
103	4.43200432E-2
1	4.69336677E-2
787	4.78449157E-2
900	4.8317476E-2
649	4.94354709E-2
238	4.98940509E-2
854	5.10052495E-2
198	5.24080716E-2
980	5.28770367E-2
300	5.31172733E-2
898	5.33681598E-2
581	5.35319074E-2
921	5.56939645E-2
45	5.69328762E-2
70	5.79447315E-2
73	5.91203365E-2
340	6.02221322E-2
489	6.13211211E-2
68	6.1909671E-2
0	6.2422555E-2
208	6.25722326E-2
394	6.35801124E-2
542	6.52333704E-2
211	6.56867491E-2
232	6.63670718E-2
702	6.66866504E-2
861	6.67973659E-2
694	6.7041554E-2
433	6.84661698E-2
526	6.8682291E-2
409	7.14113299E-2
755	7.51842547E-2
174	7.52200856E-2
551	7.60024954E-2
145	7.60205293E-2
127	7.64297683E-2
539	7.74754304E-2
940	7.75573105E-2
392	7.8070005E-2
745	7.84984543E-2
565	8.04736934E-2
57	8.09399206E-2
619	8.09948037E-2
743	8.29683122E-2
1002	8.52127684E-2
458	8.56706582E-2
338	8.81709937E-2
822	8.98179176E-2
205	8.99818765E-2
295	9.00577253E-2
521	9.11659318E-2
570	9.12451962E-2
320	9.16602996E-2
888	9.27392686E-2
796	9.33775877E-2
93	9.3454447E-2
766	9.50042921E-2
999	9.82264459E-2
880	9.93743452E-2
577	9.97589007E-2
864	1.00034369E-1
275	1.03023243E-1
53	1.04559882E-1
475	1.05259938E-1
197	1.06432946E-1
172	1.07688012E-1
996	1.07929981E-1
154	1.08410167E-1
353	1.10236486E-1
651	1.10542727E-1
490	1.11145963E-1
538	1.11614576E-1
710	1.11870128E-1
532	1.14482817E-1
257	1.14718342E-1
264	1.14932176E-1
718	1.15219739E-1
730	1.16859879E-1
741	1.17763891E-1
791	1.21678299E-1
982	1.22775287E-1
192	1.25638847E-1
269	1.25887687E-1
930	1.26672302E-1
823	1.28197395E-1
876	1.29488831E-1
802	1.2949888E-1
342	1.29841099E-1
707	1.30561135E-1
451	1.31725762E-1
425	1.32121726E-1
932	1.32852914E-1
262	1.34542614E-1
624	1.34933688E-1
303	1.35205451E-1
287	1.3521329E-1
831	1.37822308E-1
454	1.38265342E-1
668	1.38288009E-1
614	1.38683856E-1
98	1.39283206E-1
580	1.40548409E-1
2	1.40684747E-1
778	1.40768977E-1
224	1.42435715E-1
309	1.43052319E-1
156	1.43611968E-1
560	1.43731636E-1
835	1.44338182E-1
558	1.44882695E-1
383	1.47195793E-1
979	1.47345787E-1
634	1.50212587E-1
146	1.53320507E-1
163	1.54570106E-1
757	1.5506681E-1
139	1.55397167E-1
643	1.55626683E-1
562	1.56050868E-1
380	1.56321314E-1
948	1.56759387E-1
386	1.56927071E-1
817	1.58514631E-1
250	1.58780215E-1
582	1.59204812E-1
249	1.60639262E-1
228	1.60862139E-1
618	1.60876624E-1
352	1.61962955E-1
501	1.62925159E-1
297	1.62925625E-1
780	1.63308194E-1
155	1.6366575E-1
662	1.64732495E-1
20	1.69109883E-1
579	1.71614716E-1
784	1.71780936E-1
285	1.72089203E-1
508	1.72488484E-1
985	1.72572386E-1
364	1.73215491E-1
315	1.73642469E-1
190	1.75651917E-1
962	1.761379E-1
969	1.78391634E-1
468	1.78926008E-1
62	1.80704077E-1
612	1.81305789E-1
952	1.81624186E-1
79	1.82292342E-1
218	1.82428956E-1
78	1.82474052E-1
276	1.83588943E-1
349	1.84402996E-1
547	1.84841015E-1
759	1.86692865E-1
664	1.8833197E-1
331	1.89177045E-1
305	1.90000698E-1
241	1.91662952E-1
959	1.92555309E-1
752	1.93727641E-1
529	1.94832409E-1
14	1.94904083E-1
104	1.95049425E-1
552	1.95555521E-1
850	1.96857322E-1
158	1.97449435E-1
737	1.99000881E-1
239	1.9932043E-1
518	2.00033661E-1
196	2.02295383E-1
803	2.04445933E-1
709	2.04635662E-1
199	2.05886291E-1
429	2.06656594E-1
732	2.08177278E-1
247	2.10339474E-1
506	2.11117322E-1
456	2.11945176E-1
463	2.12059292E-1
713	2.13540569E-1
606	2.1761426E-1
455	2.17637419E-1
42	2.18414572E-1
659	2.20560016E-1
22	2.20675323E-1
652	2.21355368E-1
185	2.23016957E-1
33	2.23075402E-1
71	2.2369168E-1
950	2.29009259E-1
543	2.29933207E-1
446	2.30698485E-1
907	2.31932663E-1
586	2.32066058E-1
740	2.32865449E-1
259	2.33866431E-1
59	2.33937097E-1
887	2.34397807E-1
753	2.34838514E-1
438	2.34935574E-1
654	2.35029276E-1
387	2.35051239E-1
1006	2.35819302E-1
431	2.38684267E-1
731	2.39703878E-1
56	2.42103046E-1
556	2.42716582E-1
493	2.43303522E-1
719	2.45251254E-1
395	2.45833362E-1
114	2.4902753E-1
39	2.53630419E-1
87	2.55124184E-1
219	2.552288E-1
38	2.55630186E-1
35	2.56097531E-1
568	2.56988286E-1
332	2.58895122E-1
827	2.59765578E-1
602	2.60430414E-1
725	2.6088385E-1
903	2.61585404E-1
324	2.62456798E-1
182	2.62724168E-1
273	2.62981819E-1
847	2.65126814E-1
749	2.6544206E-1
486	2.67078581E-1
744	2.67126689E-1
402	2.67214959E-1
790	2.67488511E-1
316	2.70415951E-1
701	2.70677055E-1
973	2.7423648E-1
834	2.76153596E-1
598	2.77396228E-1
942	2.77629599E-1
235	2.79112754E-1
432	2.80386296E-1
966	2.81683842E-1
10	2.8258447E-1
452	2.84187246E-1
626	2.84336575E-1
884	2.84501084E-1
396	2.85895214E-1
994	2.87872804E-1
481	2.89003749E-1
908	2.9025301E-1
734	2.93707726E-1
764	2.94814426E-1
875	2.94867619E-1
813	2.95925749E-1
161	2.98485055E-1
350	2.99652629E-1
233	3.01179748E-1
107	3.02714786E-1
415	3.05409766E-1
51	3.0602921E-1
109	3.06115888E-1
842	3.08346149E-1
122	3.08792698E-1
384	3.1007398E-1
807	3.1125754E-1
530	3.12468948E-1
413	3.12750432E-1
1020	3.14778269E-1
608	3.15697938E-1
94	3.20135205E-1
466	3.24527675E-1
370	3.26742834E-1
32	3.29017282E-1
789	3.29028364E-1
36	3.29896635E-1
992	3.32854954E-1
683	3.34437964E-1
993	3.38030317E-1
983	3.39872148E-1
29	3.41901165E-1
995	3.42199725E-1
