Name	chi2Pvalue
973	4.45101195E-4
780	5.41147486E-4
353	1.04690823E-3
881	1.10034298E-3
745	1.63532922E-3
684	2.1316543E-3
313	2.20102343E-3
699	3.12782637E-3
971	3.64797087E-3
719	5.31122062E-3
218	5.63057993E-3
105	8.57425915E-3
480	8.78493052E-3
409	9.21036252E-3
145	1.03012099E-2
3	1.07243198E-2
117	1.16261964E-2
560	1.2770935E-2
243	1.45915389E-2
431	1.49128837E-2
195	1.53018116E-2
710	1.53339756E-2
401	1.58650464E-2
456	1.66141304E-2
706	1.70223673E-2
452	1.89437126E-2
1011	1.90040048E-2
584	2.04544777E-2
402	2.2004426E-2
767	2.27961833E-2
702	2.35851052E-2
923	2.41592927E-2
476	2.43731489E-2
440	2.58949143E-2
744	2.69255591E-2
250	2.72060538E-2
668	2.72339086E-2
873	2.73677356E-2
501	2.94224086E-2
30	3.10096709E-2
172	3.30597839E-2
625	3.3719441E-2
543	3.4516811E-2
493	3.52686412E-2
332	3.61488853E-2
979	3.84127704E-2
212	4.0039139E-2
842	4.17855016E-2
36	4.35845615E-2
823	4.5259918E-2
211	4.6231882E-2
996	4.63093584E-2
326	4.73897002E-2
569	4.87903302E-2
135	4.94076157E-2
128	5.05336284E-2
208	5.08128073E-2
534	5.09022968E-2
112	5.12287163E-2
681	5.12312743E-2
709	5.27048201E-2
38	5.30437758E-2
227	5.32480427E-2
444	5.38950161E-2
786	5.40019982E-2
532	5.51075896E-2
771	5.56105633E-2
729	5.85260116E-2
247	5.91297082E-2
761	6.2525066E-2
390	6.34594499E-2
441	6.47766176E-2
743	6.75017083E-2
396	6.85441351E-2
457	6.87284145E-2
193	6.9557518E-2
159	7.00867052E-2
262	7.03182837E-2
913	7.16120745E-2
0	7.33383645E-2
538	7.37278189E-2
958	7.43859017E-2
674	7.44451543E-2
740	7.46805942E-2
374	7.60038735E-2
903	7.61878539E-2
619	7.72760108E-2
614	7.76336117E-2
296	7.99107796E-2
481	8.04029733E-2
365	8.0816498E-2
238	8.08562151E-2
304	8.35193903E-2
465	8.4407943E-2
239	8.47023844E-2
236	8.50383305E-2
622	8.5798147E-2
494	8.63107186E-2
810	8.6437103E-2
506	8.69279737E-2
917	8.74464718E-2
693	8.83036914E-2
912	9.00231638E-2
914	9.15515838E-2
180	9.18011124E-2
536	9.33562443E-2
160	9.35014772E-2
938	9.43413315E-2
975	9.63267777E-2
676	9.64489566E-2
403	9.68875205E-2
606	9.94138416E-2
755	1.00364981E-1
704	1.02249815E-1
918	1.02269395E-1
324	1.02565373E-1
948	1.02909975E-1
809	1.04098155E-1
930	1.04471572E-1
1000	1.04698689E-1
508	1.05076318E-1
202	1.05370802E-1
451	1.06210095E-1
663	1.06365721E-1
430	1.06886216E-1
301	1.11539155E-1
571	1.12384063E-1
565	1.12791947E-1
93	1.1408192E-1
694	1.14648817E-1
524	1.15444869E-1
346	1.15569068E-1
624	1.17489944E-1
889	1.17832453E-1
256	1.1799663E-1
183	1.20118483E-1
33	1.20169262E-1
101	1.20229645E-1
646	1.22751029E-1
713	1.2433749E-1
651	1.24642678E-1
108	1.25273823E-1
664	1.26281226E-1
188	1.27762521E-1
1001	1.28021438E-1
240	1.29154395E-1
521	1.29607115E-1
231	1.30271978E-1
88	1.31781777E-1
393	1.3197784E-1
978	1.35113291E-1
792	1.36717061E-1
963	1.38186839E-1
999	1.39586508E-1
482	1.42607253E-1
691	1.42713564E-1
192	1.42748777E-1
865	1.42784283E-1
119	1.42931023E-1
355	1.44026975E-1
596	1.45535302E-1
610	1.46350739E-1
496	1.46677226E-1
341	1.47572351E-1
427	1.47948432E-1
598	1.50545295E-1
885	1.51128409E-1
245	1.51705774E-1
954	1.51759921E-1
530	1.53316522E-1
525	1.55466551E-1
551	1.57107056E-1
79	1.57875287E-1
672	1.5878015E-1
555	1.58997707E-1
604	1.60463966E-1
129	1.60693966E-1
928	1.61108646E-1
952	1.63004293E-1
395	1.64212935E-1
312	1.64435709E-1
643	1.64626395E-1
19	1.66393786E-1
660	1.6795432E-1
800	1.70175934E-1
965	1.70805373E-1
572	1.71072459E-1
377	1.71669103E-1
611	1.72165194E-1
157	1.72189167E-1
205	1.72918496E-1
28	1.73547543E-1
187	1.74706043E-1
601	1.75351905E-1
721	1.75364727E-1
539	1.75657792E-1
53	1.75946404E-1
143	1.76701991E-1
802	1.77513704E-1
861	1.77652672E-1
264	1.78030292E-1
570	1.78543378E-1
518	1.81817192E-1
186	1.81861284E-1
869	1.82105693E-1
149	1.82402055E-1
770	1.83800411E-1
733	1.8471263E-1
436	1.86046138E-1
836	1.86738555E-1
1008	1.91087819E-1
413	1.91780027E-1
850	1.92632414E-1
581	1.94030072E-1
910	1.95877993E-1
384	1.9709316E-1
528	1.97382772E-1
44	1.98422009E-1
246	1.98524546E-1
1	1.99036332E-1
519	2.00519252E-1
673	2.00899405E-1
196	2.0118179E-1
138	2.01304296E-1
727	2.02149321E-1
378	2.02875521E-1
455	2.03602699E-1
832	2.04547973E-1
61	2.0676272E-1
417	2.07024876E-1
425	2.08948494E-1
882	2.10197722E-1
114	2.10457241E-1
854	2.10873508E-1
266	2.1312551E-1
974	2.15206732E-1
609	2.16250094E-1
189	2.17378638E-1
230	2.18644377E-1
124	2.19138621E-1
343	2.20932364E-1
463	2.22478009E-1
389	2.22524462E-1
871	2.23409167E-1
223	2.24852401E-1
632	2.25773827E-1
894	2.25848836E-1
995	2.26579813E-1
270	2.27379578E-1
874	2.27709982E-1
498	2.29331614E-1
12	2.29381348E-1
109	2.30089917E-1
778	2.31398266E-1
623	2.34404968E-1
215	2.34922814E-1
811	2.36044214E-1
173	2.37328228E-1
70	2.38764437E-1
420	2.39907877E-1
592	2.40104163E-1
488	2.41441925E-1
876	2.43241188E-1
177	2.45113612E-1
641	2.45271996E-1
993	2.45952879E-1
613	2.48632762E-1
134	2.49394777E-1
628	2.50442106E-1
759	2.5131362E-1
410	2.51625295E-1
1016	2.52203422E-1
182	2.52910158E-1
248	2.5343367E-1
533	2.57039401E-1
285	2.57502686E-1
867	2.58306863E-1
728	2.60157299E-1
147	2.61440542E-1
949	2.61738672E-1
868	2.62557981E-1
509	2.62652958E-1
574	2.63733841E-1
491	2.65787544E-1
983	2.66736427E-1
720	2.67349015E-1
92	2.67753089E-1
507	2.67858172E-1
618	2.70839185E-1
517	2.70910573E-1
115	2.75188637E-1
504	2.75689062E-1
495	2.75992206E-1
8	2.76073763E-1
831	2.78885406E-1
394	2.79033672E-1
577	2.79738304E-1
816	2.80247061E-1
557	2.80786231E-1
338	2.80881556E-1
421	2.81073143E-1
424	2.81976416E-1
583	2.82069565E-1
342	2.82899341E-1
656	2.83285081E-1
259	2.83879255E-1
608	2.84506693E-1
685	2.84872444E-1
414	2.85858466E-1
478	2.87574767E-1
915	2.88380943E-1
317	2.89478769E-1
251	2.89517735E-1
142	2.90863388E-1
319	2.90955119E-1
322	2.91245714E-1
349	2.91468826E-1
1012	2.91764362E-1
846	2.94327733E-1
957	2.96878025E-1
798	2.97343372E-1
50	2.97509907E-1
891	2.97796696E-1
397	2.98085764E-1
366	2.98490687E-1
970	2.99723245E-1
144	3.00145935E-1
477	3.00189117E-1
982	3.02258231E-1
760	3.04515175E-1
692	3.06789409E-1
547	3.07740926E-1
843	3.07901268E-1
946	3.08807317E-1
303	3.10696898E-1
864	3.13132254E-1
795	3.13312531E-1
69	3.15031618E-1
357	3.18570244E-1
483	3.18659352E-1
85	3.20406813E-1
774	3.22815801E-1
804	3.27387662E-1
637	3.27604208E-1
936	3.2834697E-1
241	3.29051633E-1
337	3.29381719E-1
458	3.30523443E-1
567	3.30689863E-1
564	3.31404845E-1
696	3.32100747E-1
951	3.33642651E-1
