Name	chi2Pvalue
823	3.56753536E-3
260	3.86640478E-3
973	3.94768005E-3
848	4.86082866E-3
59	5.34311918E-3
239	5.45074606E-3
661	8.07732345E-3
946	8.52988014E-3
702	8.67808308E-3
740	9.90101776E-3
142	1.02053949E-2
371	1.09767909E-2
716	1.21175291E-2
739	1.42421592E-2
530	1.52571316E-2
685	1.55281188E-2
74	1.61093396E-2
32	1.70411306E-2
785	1.72498399E-2
674	1.80994232E-2
860	1.83818292E-2
268	2.2649417E-2
313	2.28343786E-2
262	2.43296413E-2
135	2.47518505E-2
117	2.5018627E-2
305	2.61049213E-2
704	2.74866731E-2
244	2.85718093E-2
846	3.00029103E-2
808	3.10568908E-2
546	3.29877403E-2
506	3.65035465E-2
684	3.66916739E-2
101	3.8066616E-2
812	3.81838332E-2
438	3.81844419E-2
220	3.85042074E-2
150	3.97798443E-2
256	4.08061724E-2
509	4.36319368E-2
1023	4.61780585E-2
1002	4.85897925E-2
581	4.92221555E-2
409	5.02144619E-2
501	5.02544335E-2
634	5.1230292E-2
170	5.2798731E-2
114	5.35542703E-2
522	5.35636824E-2
576	5.37184776E-2
731	5.5380425E-2
475	5.70984923E-2
600	5.71497203E-2
890	5.8789706E-2
82	5.89552703E-2
637	5.8978082E-2
128	5.94043223E-2
446	6.08608022E-2
330	6.11354859E-2
709	6.24751034E-2
609	6.29955271E-2
480	6.3336008E-2
341	6.37174456E-2
512	6.37601765E-2
955	6.58990287E-2
433	6.67702883E-2
937	6.71729896E-2
818	6.8146401E-2
1006	6.90690218E-2
85	6.94404197E-2
775	6.96096549E-2
881	7.02827872E-2
120	7.03507149E-2
671	7.14969449E-2
578	7.24995128E-2
557	7.27141261E-2
677	7.308463E-2
194	7.38983956E-2
393	7.48498683E-2
299	7.51102191E-2
752	7.56903833E-2
121	7.66777129E-2
297	7.73061099E-2
871	7.73122304E-2
191	7.92804515E-2
60	7.94545137E-2
36	8.17642623E-2
360	8.22597818E-2
353	8.26855997E-2
193	8.28781802E-2
706	8.28824006E-2
242	8.44902245E-2
155	8.50739226E-2
321	8.55812279E-2
932	8.68545706E-2
713	8.74969024E-2
153	8.93702813E-2
1001	9.22925324E-2
380	9.34027097E-2
733	9.36584613E-2
78	9.42223877E-2
678	9.55103776E-2
225	9.75135511E-2
327	1.03007708E-1
212	1.03164231E-1
152	1.04740427E-1
255	1.065884E-1
879	1.08181607E-1
856	1.09262995E-1
28	1.11286758E-1
836	1.12263764E-1
765	1.14418748E-1
254	1.16250628E-1
144	1.16437725E-1
734	1.16781919E-1
96	1.17439121E-1
917	1.17959294E-1
261	1.19011741E-1
172	1.19437122E-1
363	1.19669726E-1
725	1.19688387E-1
102	1.19847337E-1
987	1.21145602E-1
867	1.21383652E-1
4	1.22221512E-1
430	1.23401787E-1
437	1.25544665E-1
564	1.25673004E-1
902	1.26400232E-1
199	1.26748542E-1
118	1.2721481E-1
655	1.28483191E-1
231	1.30121898E-1
560	1.31451982E-1
936	1.32296191E-1
1022	1.32742993E-1
335	1.34295343E-1
263	1.35572017E-1
865	1.36001768E-1
931	1.36335345E-1
649	1.37579339E-1
939	1.38554236E-1
487	1.39660398E-1
1019	1.40066928E-1
938	1.40385513E-1
780	1.41523367E-1
737	1.46076904E-1
183	1.46108126E-1
221	1.4765266E-1
77	1.48420684E-1
778	1.4847985E-1
403	1.50064492E-1
445	1.5070289E-1
243	1.52128546E-1
366	1.52285069E-1
272	1.52566466E-1
467	1.5289842E-1
93	1.5331315E-1
240	1.54556992E-1
995	1.5461606E-1
11	1.55895266E-1
891	1.56079575E-1
906	1.56332108E-1
406	1.58002794E-1
1008	1.58237018E-1
396	1.59399885E-1
602	1.60312288E-1
266	1.6465676E-1
421	1.64677767E-1
14	1.67006975E-1
853	1.67862421E-1
567	1.68292617E-1
558	1.68330821E-1
402	1.68356332E-1
882	1.69402914E-1
698	1.70096269E-1
792	1.71908579E-1
606	1.7274751E-1
771	1.7477497E-1
233	1.74840572E-1
0	1.75382913E-1
449	1.75536219E-1
29	1.77098599E-1
535	1.77126763E-1
1014	1.77633398E-1
858	1.77837841E-1
866	1.77941057E-1
672	1.7869411E-1
760	1.78741256E-1
806	1.79000327E-1
809	1.81031756E-1
404	1.83736135E-1
111	1.85051593E-1
245	1.85185369E-1
820	1.85350511E-1
644	1.85927564E-1
926	1.86912736E-1
885	1.86943166E-1
423	1.88001106E-1
277	1.88349283E-1
275	1.88361244E-1
253	1.88453387E-1
948	1.89077425E-1
840	1.90060727E-1
719	1.91284974E-1
886	1.92568499E-1
1015	1.93140208E-1
209	1.936052E-1
107	1.93639668E-1
211	1.94951858E-1
714	1.95620978E-1
190	1.96207391E-1
656	1.96515155E-1
983	1.9991834E-1
3	2.00366515E-1
802	2.00786961E-1
863	2.01224695E-1
270	2.04730568E-1
949	2.0551245E-1
700	2.072485E-1
166	2.0737492E-1
683	2.07722125E-1
572	2.08641274E-1
693	2.08789697E-1
16	2.11422269E-1
801	2.12715888E-1
1007	2.12972322E-1
645	2.13244648E-1
41	2.14949361E-1
620	2.14955278E-1
953	2.15157575E-1
534	2.16435574E-1
816	2.16828801E-1
638	2.168671E-1
723	2.1876881E-1
370	2.19331217E-1
187	2.20263205E-1
324	2.22320761E-1
414	2.2238035E-1
584	2.24873219E-1
342	2.25162179E-1
750	2.2669142E-1
993	2.29418712E-1
491	2.32544983E-1
413	2.33455751E-1
65	2.34223997E-1
888	2.34936598E-1
934	2.3527539E-1
