Name	chi2Pvalue
673	1.38408961E-5
241	7.04420633E-4
144	2.1052268E-3
1021	2.55123056E-3
451	3.0699063E-3
230	3.92310876E-3
501	4.13558686E-3
878	4.9585327E-3
903	7.06917609E-3
420	8.44215854E-3
476	9.64867175E-3
465	1.20992707E-2
299	1.21661956E-2
56	1.71813986E-2
923	1.94523564E-2
944	2.01299427E-2
803	2.21195766E-2
549	2.25212217E-2
353	2.38368446E-2
10	2.43396384E-2
286	2.72623591E-2
866	2.83914072E-2
973	2.89508087E-2
655	2.97839635E-2
238	2.98630804E-2
5	3.53179138E-2
889	3.69079322E-2
298	3.77159104E-2
605	3.81969324E-2
243	3.96387741E-2
692	3.9677443E-2
190	4.0176897E-2
959	4.36932161E-2
310	4.4559731E-2
137	4.49554472E-2
732	4.58146177E-2
187	4.72085659E-2
737	4.89692485E-2
27	4.95439994E-2
345	4.9825127E-2
680	5.01536255E-2
847	5.03756748E-2
957	5.08766082E-2
897	5.29185763E-2
114	5.34378541E-2
584	5.53356164E-2
1002	5.6092706E-2
574	5.62758629E-2
207	5.73241815E-2
196	5.82485982E-2
245	5.8442791E-2
64	5.85075495E-2
139	5.94373601E-2
984	5.98394906E-2
980	6.10327332E-2
48	6.13655273E-2
543	6.14464329E-2
614	6.2814312E-2
157	6.28513178E-2
117	6.35354479E-2
506	6.35809897E-2
666	6.39153332E-2
932	6.67892029E-2
571	6.7746624E-2
289	6.82090158E-2
646	6.83817773E-2
410	6.88459065E-2
808	6.92405962E-2
792	6.94322565E-2
529	7.04095513E-2
946	7.07713194E-2
555	7.18094007E-2
164	7.41089901E-2
94	7.43834009E-2
504	7.4770781E-2
915	7.56047294E-2
374	7.58871084E-2
731	7.65979255E-2
143	8.12319799E-2
715	8.17897899E-2
212	8.43538547E-2
254	8.46595957E-2
152	8.47052534E-2
868	8.47822705E-2
402	8.50425745E-2
285	8.56155674E-2
948	8.60551385E-2
36	8.83046205E-2
745	8.8917578E-2
636	8.9696566E-2
42	9.04364882E-2
822	9.13119741E-2
580	9.14705905E-2
893	9.37710339E-2
24	9.38111002E-2
272	9.42353995E-2
592	9.44042112E-2
180	9.45199324E-2
332	9.52172292E-2
125	9.55962762E-2
276	9.60769706E-2
362	9.76179181E-2
306	9.77609474E-2
97	9.82441397E-2
333	9.85746809E-2
186	9.86775537E-2
910	9.89215341E-2
567	1.01713974E-1
330	1.01748446E-1
29	1.01783114E-1
728	1.0194432E-1
916	1.03820267E-1
39	1.04132814E-1
802	1.04461531E-1
108	1.06447343E-1
576	1.07492086E-1
181	1.07945924E-1
231	1.0802093E-1
350	1.08342259E-1
519	1.09369109E-1
752	1.12070668E-1
414	1.12284343E-1
381	1.15072979E-1
860	1.16187687E-1
12	1.1744084E-1
155	1.18357715E-1
355	1.20853781E-1
1018	1.20897744E-1
517	1.21402638E-1
401	1.2204439E-1
551	1.23189485E-1
527	1.25443378E-1
8	1.27153021E-1
538	1.30681191E-1
967	1.32372215E-1
693	1.33259948E-1
61	1.33821586E-1
110	1.34516819E-1
150	1.35188995E-1
645	1.36623661E-1
69	1.36642969E-1
699	1.38371056E-1
546	1.39254922E-1
751	1.40460449E-1
883	1.41240427E-1
639	1.42309528E-1
657	1.4233738E-1
835	1.42878231E-1
203	1.44121291E-1
232	1.44375939E-1
417	1.44994783E-1
723	1.45391883E-1
434	1.46701013E-1
91	1.47819538E-1
168	1.47939897E-1
251	1.49374722E-1
60	1.49504161E-1
73	1.49704913E-1
242	1.49999644E-1
892	1.51243454E-1
774	1.52836122E-1
843	1.54173363E-1
603	1.59334155E-1
265	1.60626654E-1
20	1.60797964E-1
325	1.62078016E-1
735	1.62656012E-1
706	1.63387433E-1
922	1.6449164E-1
743	1.65313118E-1
474	1.65473549E-1
913	1.65885073E-1
530	1.66634064E-1
600	1.67523652E-1
1023	1.68255E-1
534	1.68447777E-1
741	1.69060722E-1
972	1.6977731E-1
487	1.70608863E-1
0	1.7095207E-1
762	1.71313539E-1
877	1.71691271E-1
373	1.72370573E-1
322	1.7246117E-1
356	1.72764573E-1
800	1.73047487E-1
261	1.74005628E-1
927	1.74766806E-1
589	1.76751543E-1
499	1.76806672E-1
881	1.77303465E-1
801	1.77965047E-1
619	1.78589059E-1
955	1.78643618E-1
507	1.80706763E-1
856	1.8336024E-1
876	1.83810419E-1
938	1.84368243E-1
705	1.85440527E-1
358	1.86143999E-1
623	1.86333051E-1
428	1.87908344E-1
124	1.87928378E-1
303	1.88154178E-1
54	1.88676489E-1
255	1.89859684E-1
626	1.90440061E-1
698	1.90674624E-1
798	1.90700805E-1
631	1.90738227E-1
899	1.91391161E-1
651	1.91823242E-1
976	1.93176825E-1
761	1.93467075E-1
744	1.94959442E-1
598	1.95964058E-1
550	1.96631205E-1
560	1.96880008E-1
175	1.97983832E-1
112	1.98056584E-1
814	1.98110955E-1
25	1.98986088E-1
890	1.99035049E-1
675	1.9965787E-1
887	2.00343564E-1
978	2.04046095E-1
851	2.04117055E-1
342	2.04605226E-1
665	2.04785966E-1
412	2.04942274E-1
608	2.06455458E-1
503	2.06831138E-1
268	2.08007631E-1
586	2.08080244E-1
426	2.09008207E-1
40	2.09874772E-1
74	2.10457742E-1
516	2.10927283E-1
166	2.10954381E-1
400	2.14117481E-1
512	2.14330284E-1
936	2.15465233E-1
989	2.16630407E-1
365	2.17554559E-1
532	2.1928038E-1
954	2.20900422E-1
406	2.23673518E-1
292	2.24371581E-1
219	2.27391778E-1
52	2.33074906E-1
901	2.34388623E-1
593	2.34969328E-1
685	2.35507993E-1
492	2.36536228E-1
627	2.36592687E-1
813	2.37553195E-1
854	2.37676191E-1
446	2.3779893E-1
926	2.38264023E-1
975	2.42774308E-1
259	2.44516485E-1
479	2.45555904E-1
84	2.45955874E-1
864	2.46715991E-1
824	2.46767445E-1
361	2.47530772E-1
542	2.47999149E-1
540	2.48970097E-1
209	2.49204803E-1
875	2.49853294E-1
173	2.50527791E-1
132	2.50942938E-1
336	2.51210721E-1
471	2.51613986E-1
191	2.51955939E-1
211	2.52244507E-1
28	2.5337344E-1
51	2.53387431E-1
440	2.56137213E-1
312	2.56200088E-1
734	2.56594816E-1
1022	2.5664351E-1
