Name	chi2Pvalue
684	1.73327918E-4
145	1.89467877E-3
313	2.15036448E-3
674	2.26301923E-3
971	2.37216838E-3
881	3.47127735E-3
970	4.00465229E-3
117	4.15830869E-3
912	4.98490479E-3
696	5.4033597E-3
702	5.54732789E-3
128	6.65857924E-3
973	6.8009322E-3
172	7.44039648E-3
208	7.97841649E-3
218	8.79717291E-3
353	9.4382944E-3
211	1.12941565E-2
507	1.16883603E-2
734	1.24336587E-2
239	1.38036927E-2
636	1.39519453E-2
622	1.41775291E-2
250	1.44505542E-2
689	1.47962897E-2
262	1.52781389E-2
963	1.62834874E-2
105	1.78647059E-2
938	2.00267477E-2
247	2.0632251E-2
181	2.30907086E-2
51	2.37514765E-2
560	2.37954913E-2
537	2.57572546E-2
39	2.68120761E-2
183	2.72252165E-2
193	2.80354025E-2
146	3.08859862E-2
667	3.12985349E-2
91	3.2257397E-2
632	3.23557943E-2
506	3.23927817E-2
444	3.3867808E-2
743	3.40401177E-2
709	3.45462103E-2
457	3.57093198E-2
212	3.57667982E-2
679	3.59556767E-2
104	3.61869314E-2
393	3.78635307E-2
834	4.0533741E-2
762	4.32015104E-2
633	4.46391017E-2
645	4.64306671E-2
421	4.70671408E-2
917	4.780213E-2
299	4.86716605E-2
182	4.9174564E-2
343	4.93572808E-2
706	4.93802488E-2
409	4.94889604E-2
228	5.01292248E-2
223	5.12429749E-2
484	5.45619644E-2
402	5.46475711E-2
227	5.48333066E-2
719	5.60906771E-2
810	5.77063455E-2
624	5.77780815E-2
584	6.06830988E-2
752	6.07983496E-2
608	6.08175896E-2
740	6.14381661E-2
101	6.17232238E-2
267	6.40424652E-2
793	6.47606991E-2
119	6.49161889E-2
747	6.58108101E-2
238	6.70100293E-2
126	6.71322343E-2
836	6.92078239E-2
80	7.03338187E-2
28	7.06184974E-2
395	7.16616113E-2
741	7.2076045E-2
516	7.31519021E-2
496	7.46218203E-2
644	7.63027295E-2
45	7.71824321E-2
61	7.81135878E-2
12	7.90787985E-2
668	8.00951204E-2
312	8.01170521E-2
923	8.03428597E-2
245	8.13245528E-2
186	8.17065577E-2
519	8.19264047E-2
699	8.29661568E-2
903	8.33395112E-2
669	8.33512359E-2
270	8.49730112E-2
111	8.56622333E-2
643	8.6162841E-2
681	8.69548388E-2
765	8.96014101E-2
652	9.01862909E-2
501	9.22821244E-2
604	9.41001453E-2
848	9.41071209E-2
440	9.43660177E-2
978	9.70085357E-2
132	9.80558388E-2
160	9.80716861E-2
609	9.87557541E-2
93	9.89027425E-2
420	1.00116112E-1
135	1.00306041E-1
865	1.01856994E-1
112	1.02263234E-1
514	1.05028442E-1
613	1.05446804E-1
688	1.06334003E-1
704	1.06377266E-1
431	1.06459714E-1
1011	1.07140736E-1
482	1.0996425E-1
656	1.10926332E-1
726	1.1113064E-1
792	1.13285922E-1
815	1.13490767E-1
88	1.14677677E-1
188	1.15395454E-1
192	1.16891858E-1
417	1.18360554E-1
452	1.1898649E-1
491	1.19122191E-1
868	1.19498936E-1
785	1.19548767E-1
673	1.19907289E-1
493	1.20051265E-1
30	1.21072082E-1
164	1.22855268E-1
770	1.23112638E-1
196	1.26307749E-1
849	1.2655378E-1
916	1.27407451E-1
278	1.27431076E-1
982	1.27969118E-1
575	1.28583304E-1
508	1.30743619E-1
