Name	chi2Pvalue
971	2.13629318E-4
684	2.98240593E-4
734	2.07661759E-3
702	2.24602259E-3
145	2.68301424E-3
881	3.99965357E-3
353	4.48152808E-3
181	5.51419906E-3
208	5.73033873E-3
211	6.74615959E-3
250	7.82904348E-3
313	7.89589399E-3
212	8.00191958E-3
674	9.08002209E-3
973	9.08271122E-3
262	9.70030108E-3
912	1.05825455E-2
172	1.07716342E-2
696	1.20023441E-2
128	1.23984656E-2
444	1.33066007E-2
104	1.41301351E-2
247	1.46581751E-2
743	1.48333475E-2
506	1.49943393E-2
681	1.6367036E-2
537	1.94157548E-2
719	1.99850659E-2
119	2.01697152E-2
507	2.13047864E-2
584	2.23205181E-2
135	2.35104739E-2
343	2.35156977E-2
183	2.46763187E-2
117	2.57697854E-2
239	2.59623334E-2
105	3.04367752E-2
963	3.15969197E-2
270	3.17148737E-2
709	3.24273148E-2
689	3.27108314E-2
440	3.37751239E-2
668	3.44429321E-2
218	3.61975849E-2
452	3.65678227E-2
938	3.65689086E-2
39	3.79046892E-2
970	3.81261572E-2
393	3.89215648E-2
279	3.92152588E-2
624	4.3895631E-2
38	4.4412646E-2
182	4.53842627E-2
164	4.58212791E-2
643	4.68434065E-2
186	4.73546634E-2
978	4.74507806E-2
457	4.76093284E-2
227	4.93249292E-2
727	5.03025751E-2
193	5.06348186E-2
780	5.07752373E-2
793	5.14910755E-2
706	5.19310928E-2
747	5.3550452E-2
223	5.82408538E-2
493	5.83908108E-2
509	5.86440067E-2
413	5.88223834E-2
160	6.07422341E-2
508	6.08517398E-2
312	6.08601237E-2
245	6.1300411E-2
12	6.46554224E-2
126	6.47883988E-2
1011	6.57562841E-2
679	6.65784629E-2
878	6.66457707E-2
146	6.66663148E-2
699	6.77944097E-2
30	6.82135953E-2
767	6.86073507E-2
608	7.07681914E-2
636	7.17151806E-2
431	7.52307588E-2
451	7.57524817E-2
180	7.65615133E-2
622	7.70690454E-2
421	7.83886611E-2
395	7.8777741E-2
644	7.88530466E-2
667	8.19661021E-2
354	8.26440585E-2
80	8.28683101E-2
332	8.323887E-2
238	8.37915116E-2
586	8.51083543E-2
402	8.54280476E-2
93	8.67535007E-2
560	8.70857599E-2
1006	8.80865133E-2
660	8.90353145E-2
609	9.07832195E-2
765	9.22813397E-2
619	9.31268893E-2
792	9.37850969E-2
342	9.50462489E-2
101	9.68247762E-2
688	9.74026805E-2
811	9.78207947E-2
836	9.80087147E-2
708	9.85521454E-2
189	9.92606303E-2
845	1.00799894E-1
465	1.01823074E-1
401	1.04565341E-1
648	1.05240678E-1
815	1.05451355E-1
606	1.05477473E-1
652	1.05653614E-1
501	1.07810401E-1
748	1.08420239E-1
51	1.08614135E-1
3	1.10742016E-1
91	1.12093145E-1
770	1.12587867E-1
481	1.17315275E-1
512	1.17641661E-1
149	1.18839937E-1
882	1.19390316E-1
834	1.2200788E-1
73	1.23219947E-1
771	1.23848144E-1
923	1.25302028E-1
848	1.2569244E-1
865	1.25722659E-1
77	1.27177662E-1
324	1.27492992E-1
144	1.2756939E-1
409	1.29637841E-1
112	1.31111023E-1
41	1.31162591E-1
740	1.3168924E-1
710	1.32235555E-1
496	1.32867616E-1
692	1.33093926E-1
516	1.33151007E-1
427	1.33313399E-1
664	1.33714138E-1
246	1.355421E-1
8	1.36158067E-1
798	1.36350715E-1
228	1.36478144E-1
683	1.37346342E-1
543	1.38456208E-1
551	1.38578067E-1
784	1.39775881E-1
336	1.40757832E-1
236	1.41260527E-1
188	1.42890489E-1
916	1.44553322E-1
196	1.44730795E-1
231	1.45100489E-1
45	1.45135724E-1
993	1.48148941E-1
530	1.50865585E-1
514	1.51452051E-1
349	1.54565411E-1
152	1.55072048E-1
914	1.56748623E-1
36	1.57109008E-1
417	1.5727717E-1
567	1.57912916E-1
497	1.58613439E-1
810	1.59437418E-1
633	1.62903963E-1
326	1.64151461E-1
98	1.64203207E-1
697	1.646162E-1
762	1.66069516E-1
111	1.66349113E-1
138	1.68697245E-1
884	1.68815472E-1
491	1.68965501E-1
645	1.70688577E-1
420	1.71321543E-1
750	1.7317058E-1
392	1.75984855E-1
190	1.76078341E-1
288	1.7610807E-1
816	1.77724589E-1
498	1.77740666E-1
651	1.77803941E-1
883	1.8000794E-1
843	1.80581659E-1
948	1.82541728E-1
301	1.82908663E-1
177	1.82959257E-1
903	1.83886925E-1
954	1.85334215E-1
741	1.85505206E-1
536	1.85840543E-1
564	1.86007731E-1
776	1.90281921E-1
482	1.91113311E-1
132	1.91543062E-1
1001	1.9366549E-1
230	1.94311296E-1
396	1.95761448E-1
891	1.95919334E-1
89	1.97311951E-1
131	1.97406132E-1
785	1.98113811E-1
656	1.99757426E-1
484	1.99938328E-1
858	2.01169813E-1
171	2.02554454E-1
415	2.02630544E-1
55	2.04290184E-1
106	2.04397062E-1
1008	2.05673587E-1
505	2.06215398E-1
905	2.06752617E-1
