Name	chi2Pvalue
562	4.43469521E-6
238	1.39608357E-4
740	1.56110952E-4
823	3.6720228E-3
433	4.49997416E-3
640	7.3154782E-3
212	7.5592815E-3
444	7.95548608E-3
253	8.88283587E-3
706	1.02310241E-2
647	1.03976923E-2
104	1.19244555E-2
947	1.24359185E-2
218	1.42695663E-2
220	1.78159526E-2
243	1.81275781E-2
269	2.02462989E-2
522	2.1776137E-2
699	2.22734101E-2
962	2.23292664E-2
604	2.30980885E-2
637	2.33744742E-2
863	2.3411812E-2
12	2.40816251E-2
467	2.4168561E-2
42	2.48176442E-2
778	2.57766045E-2
77	2.97414109E-2
900	3.05854547E-2
762	3.33395849E-2
0	3.40912072E-2
999	3.54841884E-2
331	3.60100568E-2
227	3.78071997E-2
527	3.78815764E-2
569	3.880011E-2
691	3.92311317E-2
853	4.01051988E-2
102	4.01152283E-2
149	4.07980904E-2
530	4.09850326E-2
986	4.68315692E-2
75	4.6942878E-2
69	5.03979595E-2
210	5.07769616E-2
420	5.12006602E-2
391	5.19636468E-2
164	5.28206958E-2
902	5.31862338E-2
560	5.49031227E-2
963	5.4904057E-2
932	5.50859642E-2
394	5.552227E-2
289	5.81737548E-2
206	5.84009055E-2
737	5.87482807E-2
946	5.96918867E-2
725	5.98704985E-2
895	6.07216923E-2
747	6.09766322E-2
247	6.2640012E-2
620	6.35516003E-2
320	6.49371791E-2
857	6.65847007E-2
626	6.69975186E-2
93	6.74939632E-2
664	6.83060918E-2
425	6.93041856E-2
181	7.00303281E-2
903	7.23462815E-2
78	7.25637413E-2
107	7.4668803E-2
634	7.49768646E-2
766	7.63437082E-2
643	7.65650164E-2
55	7.80286191E-2
764	7.87098834E-2
777	7.88114592E-2
996	7.96840997E-2
613	8.02177866E-2
689	8.26967217E-2
738	8.31381925E-2
989	8.34327865E-2
478	8.35946098E-2
476	8.3823099E-2
852	8.55758429E-2
187	8.56313765E-2
581	8.61119387E-2
155	8.68637794E-2
745	8.72362507E-2
310	8.76576722E-2
371	8.80752251E-2
380	8.90345356E-2
715	8.92592825E-2
161	8.93643122E-2
239	8.95200919E-2
628	9.01495054E-2
846	9.02139198E-2
120	9.07108847E-2
224	9.07580974E-2
468	9.08726947E-2
698	9.27038791E-2
222	9.29467393E-2
457	9.39242091E-2
153	9.51257963E-2
845	9.53164701E-2
117	9.67313852E-2
202	9.78824357E-2
264	9.81617239E-2
256	9.8326436E-2
301	1.03213499E-1
512	1.05142484E-1
402	1.056533E-1
940	1.0703774E-1
966	1.08407487E-1
28	1.09235324E-1
101	1.11026358E-1
166	1.11411033E-1
59	1.12925938E-1
268	1.14242217E-1
791	1.16105775E-1
683	1.16416443E-1
538	1.17115648E-1
311	1.23050058E-1
812	1.26400009E-1
976	1.26916039E-1
781	1.28311924E-1
949	1.32697183E-1
608	1.32805727E-1
928	1.33168773E-1
804	1.33249441E-1
160	1.36002102E-1
327	1.36015628E-1
861	1.36274136E-1
299	1.39844516E-1
731	1.39915357E-1
260	1.40512036E-1
134	1.40841126E-1
671	1.41714507E-1
757	1.41720181E-1
341	1.41893448E-1
255	1.41916642E-1
1007	1.42517083E-1
666	1.42661909E-1
244	1.42947346E-1
509	1.45136631E-1
840	1.45894577E-1
387	1.47077761E-1
991	1.47357662E-1
51	1.47596522E-1
438	1.49093292E-1
802	1.49875017E-1
171	1.51479963E-1
965	1.51628491E-1
319	1.51929085E-1
896	1.53017368E-1
487	1.54240668E-1
306	1.54590149E-1
176	1.54655018E-1
714	1.54896359E-1
767	1.55442788E-1
86	1.56916519E-1
939	1.57086174E-1
20	1.63970534E-1
196	1.64870214E-1
303	1.64915049E-1
144	1.67083367E-1
156	1.67498705E-1
751	1.68473658E-1
980	1.69247936E-1
43	1.71095193E-1
92	1.72359993E-1
192	1.72527097E-1
752	1.73654707E-1
146	1.77248731E-1
782	1.78984968E-1
865	1.804671E-1
756	1.80719322E-1
235	1.83263492E-1
992	1.86507566E-1
298	1.89988443E-1
679	1.91253102E-1
382	1.9358205E-1
189	1.93869853E-1
353	1.97203953E-1
461	1.99650148E-1
47	1.99999068E-1
106	2.00371536E-1
378	2.00684378E-1
582	2.00814988E-1
891	2.03326527E-1
386	2.05466738E-1
921	2.0842614E-1
849	2.10134481E-1
959	2.11221919E-1
906	2.13240157E-1
644	2.13399504E-1
504	2.18389387E-1
13	2.19268179E-1
388	2.19751604E-1
122	2.20014746E-1
188	2.20672097E-1
132	2.20956677E-1
739	2.24722981E-1
841	2.24747498E-1
815	2.2586676E-1
573	2.26861711E-1
499	2.26978415E-1
636	2.27380753E-1
697	2.27522582E-1
955	2.28398073E-1
452	2.28553894E-1
14	2.28668387E-1
678	2.3149842E-1
39	2.31894273E-1
321	2.32227552E-1
820	2.32261051E-1
685	2.33077668E-1
759	2.33408109E-1
477	2.33936111E-1
641	2.34481343E-1
79	2.350061E-1
858	2.36059146E-1
638	2.36654036E-1
595	2.37567148E-1
603	2.37754605E-1
794	2.40215249E-1
864	2.40376003E-1
673	2.40534318E-1
923	2.40722393E-1
984	2.40930094E-1
614	2.41153225E-1
481	2.43591916E-1
838	2.44614685E-1
889	2.45749475E-1
355	2.46556062E-1
964	2.47703398E-1
342	2.48729581E-1
981	2.49595569E-1
249	2.50036957E-1
969	2.50602742E-1
170	2.51682204E-1
753	2.52042615E-1
1000	2.5207107E-1
31	2.522288E-1
591	2.53070011E-1
905	2.55918906E-1
609	2.57861374E-1
860	2.58064781E-1
517	2.58270993E-1
667	2.60234339E-1
526	2.61231471E-1
908	2.61659965E-1
446	2.62333607E-1
367	2.62898413E-1
696	2.63859095E-1
521	2.64409737E-1
915	2.66567988E-1
830	2.6749678E-1
816	2.6888391E-1
475	2.70456559E-1
758	2.71960719E-1
418	2.72880282E-1
564	2.74289345E-1
834	2.74573511E-1
542	2.74652116E-1
437	2.75773866E-1
1001	2.77198903E-1
886	2.80414048E-1
9	2.82404261E-1
629	2.82741202E-1
780	2.83326504E-1
652	2.83687349E-1
246	2.83696553E-1
881	2.84233047E-1
792	2.84655308E-1
913	2.86763098E-1
1008	2.916414E-1
282	2.91697309E-1
347	2.92291166E-1
316	2.93379926E-1
944	2.93456694E-1
803	2.93768013E-1
204	2.94536365E-1
734	2.96253417E-1
68	2.962884E-1
455	2.96685468E-1
646	2.9681257E-1
111	2.98617901E-1
700	3.00772546E-1
524	3.05239546E-1
445	3.08141544E-1
529	3.08214329E-1
985	3.09314759E-1
317	3.09442136E-1
717	3.10902237E-1
585	3.11842822E-1
470	3.13752256E-1
214	3.13871288E-1
1006	3.16165127E-1
935	3.16960938E-1
272	3.18578909E-1
333	3.18698447E-1
130	3.19991634E-1
633	3.20448048E-1
225	3.21089869E-1
500	3.2464564E-1
114	3.27339411E-1
296	3.27757863E-1
96	3.29017924E-1
308	3.2930809E-1
774	3.29607714E-1
349	3.29945889E-1
129	3.31418412E-1
876	3.31600396E-1
625	3.31823906E-1
151	3.32397882E-1
919	3.32462888E-1
749	3.33382346E-1
152	3.34054832E-1
85	3.3508775E-1
64	3.35330412E-1
3	3.35535538E-1
956	3.3904393E-1
463	3.39070565E-1
297	3.39451726E-1
285	3.40650253E-1
281	3.41217613E-1
213	3.43849595E-1
948	3.44399831E-1
635	3.46065892E-1
157	3.48320535E-1
877	3.4890788E-1
600	3.49246085E-1
91	3.51086171E-1
786	3.51181954E-1
194	3.52187235E-1
563	3.54904708E-1
982	3.57723531E-1
657	3.57995109E-1
899	3.58184947E-1
242	3.58581529E-1
252	3.5893776E-1
263	3.59238568E-1
401	3.59336653E-1
103	3.60982339E-1
1011	3.61022243E-1
776	3.61139827E-1
80	3.62448347E-1
558	3.6585592E-1
682	3.66571724E-1
833	3.66855229E-1
547	3.66973741E-1
535	3.6941181E-1
406	3.69578632E-1
270	3.69609226E-1
128	3.71989362E-1
744	3.73404605E-1
148	3.74233327E-1
785	3.75906937E-1
208	3.76248491E-1
743	3.76543599E-1
486	3.77484937E-1
32	3.77535833E-1
44	3.77552929E-1
154	3.77883357E-1
754	3.78521299E-1
872	3.78937341E-1
399	3.80724147E-1
274	3.81045612E-1
19	3.81491948E-1
536	3.83654492E-1
65	3.8553483E-1
663	3.85668968E-1
395	3.85915187E-1
866	3.87465831E-1
140	3.8820639E-1
799	3.88220916E-1
649	3.89110835E-1
555	3.89933392E-1
648	3.90268864E-1
314	3.91723402E-1
82	3.94235052E-1
934	3.94725918E-1
596	3.95641833E-1
1004	3.95944531E-1
660	3.98748346E-1
651	3.99060388E-1
622	3.99474801E-1
431	4.00022412E-1
598	4.00883206E-1
890	4.02066519E-1
505	4.03075035E-1
1003	4.03137406E-1
656	4.04408031E-1
1021	4.06270083E-1
315	4.06535795E-1
434	4.07225035E-1
26	4.08070034E-1
354	4.099807E-1
950	4.10562296E-1
888	4.16842584E-1
126	4.17383731E-1
748	4.1775138E-1
571	4.18882296E-1
606	4.19001767E-1
451	4.19043332E-1
602	4.19385349E-1
977	4.19670373E-1
449	4.20859569E-1
501	4.21104667E-1
419	4.23349669E-1
882	4.23692694E-1
374	4.24283509E-1
266	4.24302182E-1
363	4.25127753E-1
377	4.25299879E-1
336	4.27170785E-1
7	4.29684806E-1
653	4.29726794E-1
411	4.29772971E-1
827	4.30041379E-1
773	4.33242656E-1
892	4.34690223E-1
454	4.34736367E-1
207	4.35290189E-1
135	4.35904681E-1
878	4.35951421E-1
54	4.38173609E-1
334	4.39016209E-1
87	4.39480051E-1
113	4.4036187E-1
844	4.40776781E-1
559	4.41611458E-1
357	4.4192218E-1
267	4.440921E-1
508	4.44512105E-1
546	4.46869681E-1
619	4.47185095E-1
847	4.48280827E-1
46	4.48889596E-1
867	4.49258908E-1
972	4.49331252E-1
904	4.53077939E-1
709	4.54782517E-1
392	4.57248933E-1
142	4.58451596E-1
2	4.58813932E-1
228	4.61707204E-1
862	4.61838156E-1
875	4.62005563E-1
819	4.62657776E-1
389	4.63191553E-1
491	4.64463576E-1
615	4.65529335E-1
356	4.6681835E-1
539	4.67530517E-1
515	4.68100108E-1
245	4.71836416E-1
1019	4.7237811E-1
519	4.73352875E-1
339	4.75169599E-1
974	4.75645284E-1
358	4.75845983E-1
312	4.76837971E-1
471	4.76858134E-1
655	4.78464049E-1
56	4.78969218E-1
415	4.79434582E-1
15	4.79669442E-1
801	4.80873944E-1
211	4.83075086E-1
566	4.8322547E-1
772	4.83871561E-1
234	4.83965804E-1
704	4.84604001E-1
574	4.85375676E-1
670	4.85570134E-1
645	4.86488382E-1
190	4.8690343E-1
702	4.87071306E-1
825	4.87286567E-1
494	4.90508597E-1
724	4.90993272E-1
330	4.91199584E-1
98	4.91315799E-1
533	4.93272981E-1
790	4.95141384E-1
209	4.95579049E-1
808	4.95721534E-1
787	4.96517026E-1
814	4.97376555E-1
345	4.99884405E-1
918	5.00979656E-1
771	5.0205936E-1
832	5.02073733E-1
41	5.03351818E-1
516	5.05628645E-1
205	5.06662469E-1
873	5.06858749E-1
733	5.09196639E-1
346	5.10059448E-1
385	5.10369213E-1
721	5.11004907E-1
305	5.11728603E-1
674	5.1174452E-1
925	5.12296443E-1
326	5.12802854E-1
414	5.13130477E-1
835	5.13138094E-1
885	5.13998377E-1
532	5.14994305E-1
795	5.14999376E-1
712	5.15915061E-1
350	5.17799562E-1
304	5.17972969E-1
765	5.18006327E-1
89	5.18156502E-1
770	5.19136437E-1
462	5.19669409E-1
553	5.20670616E-1
292	5.2082524E-1
230	5.20953166E-1
768	5.20978022E-1
711	5.21623673E-1
922	5.21678142E-1
33	5.22669985E-1
817	5.22855044E-1
469	5.24019226E-1
416	5.24749949E-1
413	5.27974427E-1
617	5.29189287E-1
779	5.29444444E-1
1022	5.29789323E-1
183	5.30580098E-1
618	5.31459069E-1
543	5.34492629E-1
223	5.35036398E-1
729	5.36360113E-1
466	5.37053416E-1
848	5.38792108E-1
525	5.39472424E-1
798	5.40963657E-1
924	5.42611892E-1
727	5.44415344E-1
384	5.446585E-1
703	5.44969865E-1
975	5.45362243E-1
937	5.46591769E-1
639	5.46976706E-1
661	5.4717354E-1
250	5.48502617E-1
584	5.51164623E-1
534	5.51457049E-1
953	5.5168327E-1
383	5.5309403E-1
34	5.53729816E-1
199	5.53862398E-1
506	5.53956946E-1
241	5.54091988E-1
624	5.54792117E-1
502	5.57259893E-1
954	5.58293647E-1
760	5.5866763E-1
658	5.58949313E-1
611	5.58974622E-1
793	5.59529863E-1
705	5.60118273E-1
191	5.60121064E-1
215	5.61288218E-1
232	5.63429721E-1
287	5.64408141E-1
21	5.6569694E-1
511	5.66521505E-1
226	5.6672422E-1
167	5.70883812E-1
824	5.71993878E-1
198	5.72171058E-1
497	5.72822539E-1
404	5.74698646E-1
775	5.754104E-1
594	5.75841386E-1
983	5.76055101E-1
439	5.77840498E-1
583	5.77874397E-1
722	5.79319827E-1
5	5.80356156E-1
309	5.80870518E-1
423	5.80989799E-1
716	5.82552002E-1
684	5.85824677E-1
313	5.89333589E-1
1020	5.8936892E-1
912	5.90711105E-1
22	5.9149857E-1
587	5.91766196E-1
422	5.93973229E-1
958	5.9468453E-1
549	5.9650789E-1
796	5.96674287E-1
503	5.97551723E-1
