Name	chi2Pvalue
562	3.39496281E-5
740	1.0219017E-3
433	1.72143708E-3
104	3.85993934E-3
238	4.85909178E-3
699	7.30767531E-3
780	7.6996442E-3
706	9.12182807E-3
391	9.71449481E-3
461	1.12583516E-2
640	1.19575715E-2
812	1.35432925E-2
243	1.5596543E-2
227	1.59706209E-2
420	1.65231475E-2
637	1.86857891E-2
949	1.96479605E-2
181	1.99889716E-2
107	2.07604289E-2
301	2.23723376E-2
647	2.30050175E-2
253	2.4876909E-2
954	2.61243243E-2
202	2.75365091E-2
55	2.82891679E-2
387	2.86444273E-2
664	2.87796917E-2
520	2.95384742E-2
75	3.33022312E-2
853	3.42294686E-2
976	3.56203549E-2
685	3.78013978E-2
394	3.88412718E-2
367	3.9088478E-2
303	3.97871729E-2
13	3.99027784E-2
939	4.09994349E-2
239	4.10223505E-2
845	4.10806621E-2
903	4.14850085E-2
634	4.16053127E-2
989	4.21939816E-2
996	4.46233166E-2
467	4.47016427E-2
260	4.63047887E-2
457	4.66287687E-2
582	4.67815261E-2
552	4.76232462E-2
155	4.82623629E-2
268	5.29171064E-2
310	5.30726486E-2
512	5.3401823E-2
823	5.51414037E-2
259	5.62448304E-2
641	5.62609595E-2
256	5.76304231E-2
981	5.81102594E-2
896	5.82231564E-2
380	5.88065063E-2
222	5.88920814E-2
89	5.97218862E-2
932	6.01632635E-2
313	6.33529566E-2
882	6.33848954E-2
671	6.49231912E-2
255	6.60820807E-2
538	6.83268933E-2
487	6.83646537E-2
895	7.01636756E-2
132	7.27317263E-2
96	7.53155053E-2
602	7.54728018E-2
41	7.54934577E-2
683	7.59041798E-2
762	7.6565849E-2
691	7.83889983E-2
558	7.85466963E-2
149	7.90939959E-2
411	8.0583204E-2
522	8.09791402E-2
716	8.13260346E-2
382	8.24373267E-2
900	8.32572324E-2
581	8.4447514E-2
638	8.56486295E-2
166	8.67386658E-2
488	8.72176289E-2
663	8.75560999E-2
744	8.88603699E-2
431	9.20843173E-2
766	9.42054209E-2
948	9.70673589E-2
840	9.95487929E-2
975	9.95535689E-2
444	9.98963489E-2
758	1.00139826E-1
117	1.00154002E-1
245	1.00478834E-1
767	1.0407291E-1
449	1.04640243E-1
986	1.04711355E-1
935	1.05424569E-1
138	1.06058126E-1
999	1.06058504E-1
644	1.07457954E-1
120	1.07463548E-1
596	1.0786238E-1
0	1.11895467E-1
454	1.13278967E-1
478	1.13667684E-1
312	1.13713394E-1
504	1.13828887E-1
715	1.13860881E-1
247	1.14493099E-1
42	1.14662778E-1
573	1.14756794E-1
657	1.1577205E-1
28	1.16110725E-1
646	1.1630176E-1
59	1.17587289E-1
751	1.18033571E-1
564	1.18137324E-1
161	1.18865817E-1
475	1.19204783E-1
832	1.19945931E-1
569	1.2322213E-1
888	1.23689816E-1
452	1.24322828E-1
950	1.25598593E-1
32	1.26233424E-1
102	1.27414483E-1
719	1.27714608E-1
212	1.29085389E-1
530	1.30485539E-1
945	1.3443584E-1
965	1.34997245E-1
425	1.3733166E-1
56	1.38125251E-1
282	1.41068802E-1
737	1.41336744E-1
77	1.4168449E-1
170	1.41966124E-1
619	1.42568185E-1
689	1.42866893E-1
298	1.43780323E-1
218	1.44638317E-1
620	1.45849743E-1
269	1.46567071E-1
7	1.49596524E-1
580	1.49683856E-1
103	1.51784778E-1
955	1.5370843E-1
281	1.54179059E-1
354	1.54190791E-1
43	1.54440952E-1
777	1.54593073E-1
22	1.55501105E-1
360	1.57808528E-1
386	1.57907347E-1
727	1.58485779E-1
863	1.58680366E-1
64	1.59526009E-1
667	1.60102882E-1
160	1.62507843E-1
983	1.63564975E-1
781	1.63794631E-1
266	1.63861433E-1
787	1.64691767E-1
164	1.65262956E-1
153	1.65379545E-1
12	1.66995505E-1
886	1.672144E-1
244	1.67293185E-1
413	1.69813421E-1
921	1.70449124E-1
535	1.70556116E-1
383	1.76473112E-1
316	1.76645945E-1
509	1.77262699E-1
543	1.79099481E-1
204	1.79536702E-1
254	1.80158178E-1
332	1.80295595E-1
559	1.80579412E-1
890	1.83149771E-1
542	1.85212064E-1
388	1.85231371E-1
46	1.85387568E-1
93	1.87033692E-1
527	1.87504335E-1
924	1.87565934E-1
534	1.88079222E-1
991	1.88416498E-1
38	1.89300116E-1
847	1.91280311E-1
684	1.92746965E-1
319	1.94122941E-1
914	1.94271358E-1
406	1.95157184E-1
1000	1.95591703E-1
902	1.97351623E-1
213	1.97448747E-1
801	1.97723424E-1
665	1.99814836E-1
791	2.00743441E-1
167	2.05819344E-1
649	2.08236264E-1
563	2.09199654E-1
546	2.09663875E-1
604	2.10395016E-1
69	2.12510688E-1
877	2.14087233E-1
308	2.14652794E-1
72	2.15258404E-1
486	2.18593364E-1
73	2.19162743E-1
756	2.21744125E-1
959	2.21804802E-1
775	2.2182007E-1
980	2.22795709E-1
371	2.23025817E-1
330	2.23663209E-1
80	2.24171148E-1
725	2.25890494E-1
331	2.26650029E-1
881	2.28541273E-1
830	2.29663357E-1
666	2.30102635E-1
240	2.30274294E-1
609	2.33701679E-1
917	2.35812862E-1
553	2.37211425E-1
438	2.3835345E-1
85	2.39487478E-1
499	2.39579127E-1
785	2.40000164E-1
333	2.40528453E-1
628	2.4082064E-1
861	2.4164648E-1
321	2.42163491E-1
858	2.42698794E-1
206	2.43401298E-1
904	2.44046731E-1
297	2.45424022E-1
759	2.45467635E-1
142	2.49459104E-1
299	2.50441473E-1
857	2.507642E-1
402	2.50768804E-1
262	2.51174931E-1
806	2.51272949E-1
20	2.51402043E-1
947	2.52235961E-1
289	2.52819014E-1
1006	2.55274836E-1
786	2.57451456E-1
152	2.57499696E-1
78	2.58156195E-1
496	2.58332219E-1
446	2.60440836E-1
128	2.60580377E-1
810	2.61407718E-1
68	2.62990039E-1
44	2.63122553E-1
14	2.63336334E-1
148	2.63590848E-1
171	2.63815413E-1
188	2.64948768E-1
311	2.65280733E-1
946	2.65387035E-1
501	2.66216764E-1
583	2.66953287E-1
966	2.67558184E-1
927	2.68770694E-1
224	2.69026287E-1
598	2.69632462E-1
231	2.70758951E-1
906	2.71509821E-1
860	2.71760891E-1
154	2.73968849E-1
678	2.75797419E-1
476	2.76082755E-1
474	2.76870213E-1
1008	2.77528921E-1
122	2.78198617E-1
347	2.80202601E-1
585	2.81200349E-1
697	2.82145795E-1
384	2.82271145E-1
186	2.8281775E-1
738	2.85470038E-1
648	2.85479429E-1
1001	2.8791917E-1
643	2.88471772E-1
479	2.88519442E-1
106	2.88695032E-1
963	2.90255667E-1
172	2.92096593E-1
225	2.92979469E-1
187	2.93328317E-1
337	2.93681453E-1
393	2.93717792E-1
468	2.94618109E-1
817	2.95093975E-1
291	2.95346031E-1
57	2.95905851E-1
956	2.96602005E-1
984	2.97109453E-1
815	2.9887907E-1
794	2.9965302E-1
834	3.00688924E-1
395	3.0145649E-1
141	3.0501509E-1
734	3.06510552E-1
940	3.07092501E-1
803	3.07881918E-1
4	3.09623148E-1
79	3.10361516E-1
327	3.10725344E-1
864	3.11281809E-1
508	3.11485136E-1
349	3.14983256E-1
778	3.15123986E-1
560	3.15424919E-1
210	3.17079119E-1
306	3.18353767E-1
820	3.18362554E-1
497	3.18719412E-1
824	3.22113695E-1
524	3.23198916E-1
455	3.24824386E-1
774	3.25129235E-1
700	3.26588715E-1
230	3.27015706E-1
661	3.27248083E-1
39	3.28658538E-1
11	3.28810512E-1
396	3.29370452E-1
717	3.29731057E-1
846	3.29750706E-1
252	3.29969909E-1
995	3.32590247E-1
130	3.32950403E-1
60	3.33140934E-1
788	3.33686263E-1
134	3.35814559E-1
144	3.36083553E-1
798	3.36592349E-1
192	3.37458989E-1
869	3.37828655E-1
109	3.39398952E-1
867	3.39471544E-1
962	3.41345637E-1
328	3.42788876E-1
263	3.42984295E-1
943	3.4355231E-1
54	3.44233111E-1
804	3.46984734E-1
385	3.47981988E-1
669	3.4855469E-1
704	3.49336208E-1
133	3.49703667E-1
314	3.49747439E-1
693	3.50848724E-1
802	3.50999797E-1
368	3.51855728E-1
517	3.52278275E-1
570	3.52817491E-1
74	3.5307934E-1
335	3.54451307E-1
1002	3.545462E-1
885	3.54771177E-1
234	3.55376478E-1
752	3.55406067E-1
814	3.56869881E-1
135	3.58338225E-1
705	3.59981414E-1
65	3.61716358E-1
415	3.62219553E-1
852	3.64669316E-1
722	3.65428469E-1
613	3.65833262E-1
351	3.66172808E-1
86	3.66669504E-1
270	3.69255388E-1
567	3.69356111E-1
625	3.69628599E-1
82	3.70303324E-1
651	3.73964485E-1
465	3.74941807E-1
334	3.7587863E-1
795	3.76433314E-1
731	3.76485423E-1
5	3.76992401E-1
942	3.77598958E-1
264	3.78404249E-1
825	3.78457634E-1
375	3.79455365E-1
709	3.79937054E-1
712	3.81315186E-1
891	3.81588291E-1
242	3.82242343E-1
8	3.82828121E-1
505	3.83653555E-1
342	3.83865294E-1
971	3.8484846E-1
6	3.86713618E-1
124	3.88901919E-1
176	3.89400794E-1
836	3.90264418E-1
377	3.91830557E-1
636	3.92097169E-1
816	3.94320825E-1
554	3.96284565E-1
320	3.97295308E-1
925	3.97975472E-1
126	3.98028277E-1
922	4.00075356E-1
156	4.00143703E-1
764	4.01727731E-1
