Name	chi2Pvalue
55	2.94936126E-4
960	5.13129418E-4
104	2.01305012E-3
43	2.27230117E-3
11	2.73118207E-3
438	2.9793701E-3
608	3.36050681E-3
188	3.3933076E-3
19	4.82581385E-3
833	7.62302353E-3
119	9.09947662E-3
685	1.47178511E-2
108	1.50507457E-2
276	1.68641548E-2
612	1.70628351E-2
17	1.76249476E-2
239	1.94634648E-2
12	2.17444798E-2
933	2.21820351E-2
525	2.53224018E-2
172	2.54162763E-2
303	2.80150868E-2
954	2.84396124E-2
908	2.90252505E-2
864	2.94157013E-2
482	2.94553568E-2
174	3.12997088E-2
976	3.19050812E-2
413	3.33809888E-2
41	3.46708235E-2
269	3.49153086E-2
646	3.74078719E-2
748	3.84849054E-2
370	3.87204101E-2
242	4.23343693E-2
476	4.3832844E-2
335	4.47582178E-2
845	4.47600002E-2
586	4.51659674E-2
506	4.61212355E-2
526	4.72814614E-2
547	4.74398482E-2
420	4.7660474E-2
958	4.77144427E-2
890	4.93976945E-2
605	4.95450166E-2
253	5.25050768E-2
813	5.28144262E-2
690	5.31837211E-2
929	5.42306536E-2
69	5.46688081E-2
643	5.48360367E-2
680	5.52545115E-2
897	5.55622234E-2
883	5.6119764E-2
922	5.63762945E-2
92	5.6474265E-2
245	5.65989565E-2
375	5.83992215E-2
949	5.86813048E-2
781	6.00809595E-2
1002	6.24747895E-2
971	6.25200813E-2
472	6.38622796E-2
408	6.6724977E-2
431	6.68996908E-2
495	6.69539072E-2
631	6.72041985E-2
969	6.92732388E-2
812	6.92883807E-2
290	7.03509565E-2
378	7.10978556E-2
747	7.199716E-2
479	7.2276995E-2
628	7.27870318E-2
716	7.2887255E-2
117	7.31067669E-2
948	7.43262233E-2
999	7.55297994E-2
928	7.55709851E-2
894	7.57997066E-2
816	7.6441916E-2
184	7.6739563E-2
990	7.76166163E-2
777	7.87721623E-2
42	7.93387685E-2
131	8.01253926E-2
377	8.18776474E-2
989	8.20623682E-2
673	8.30766063E-2
501	8.40323212E-2
5	8.44291885E-2
349	8.53386639E-2
774	8.58668674E-2
396	8.6894314E-2
350	8.72961469E-2
1012	8.92258982E-2
218	8.96117808E-2
536	9.21974691E-2
25	9.30288379E-2
620	9.31333638E-2
169	9.45373364E-2
951	9.49792879E-2
86	9.74502977E-2
587	9.80162139E-2
839	9.80738305E-2
428	9.83808086E-2
538	9.94025122E-2
429	9.96272438E-2
0	1.00717586E-1
784	1.01981441E-1
862	1.02106671E-1
763	1.02923266E-1
275	1.05902034E-1
674	1.06861297E-1
127	1.07002955E-1
206	1.07731342E-1
554	1.10664132E-1
343	1.11105186E-1
719	1.11751845E-1
136	1.11790103E-1
241	1.12019228E-1
692	1.13503222E-1
480	1.16218139E-1
959	1.17643721E-1
653	1.18557767E-1
860	1.20124731E-1
235	1.21957773E-1
98	1.2321312E-1
889	1.23824445E-1
853	1.24365998E-1
746	1.26092797E-1
196	1.26773073E-1
512	1.27174553E-1
405	1.30202405E-1
352	1.31149877E-1
162	1.32811915E-1
389	1.33137752E-1
474	1.34137541E-1
200	1.35140181E-1
636	1.35870209E-1
788	1.37231268E-1
416	1.38909219E-1
825	1.3917996E-1
367	1.39321077E-1
585	1.44403682E-1
451	1.45009954E-1
756	1.46603826E-1
744	1.48625682E-1
898	1.48936231E-1
129	1.51040563E-1
323	1.53211582E-1
584	1.54789528E-1
154	1.54847487E-1
913	1.56393883E-1
627	1.56953588E-1
71	1.58380166E-1
216	1.58496159E-1
294	1.58786127E-1
675	1.58950234E-1
782	1.59635603E-1
814	1.59973693E-1
170	1.6042893E-1
827	1.60653205E-1
648	1.61492258E-1
932	1.62076651E-1
750	1.62094274E-1
144	1.62555659E-1
963	1.62834346E-1
544	1.63039637E-1
801	1.63152241E-1
939	1.63367539E-1
927	1.65282565E-1
978	1.6531666E-1
569	1.6578281E-1
909	1.66385455E-1
575	1.66787032E-1
54	1.68547265E-1
610	1.69573717E-1
877	1.7004995E-1
683	1.70513535E-1
533	1.71523612E-1
705	1.71822517E-1
51	1.72688511E-1
363	1.75218281E-1
892	1.75451942E-1
820	1.75683375E-1
830	1.76091845E-1
328	1.76680685E-1
582	1.77423889E-1
1006	1.78114029E-1
713	1.78839922E-1
279	1.78852606E-1
915	1.7921997E-1
140	1.79887135E-1
32	1.80342414E-1
759	1.80676848E-1
499	1.82495414E-1
745	1.83409721E-1
387	1.84549795E-1
724	1.85084194E-1
411	1.86775925E-1
835	1.87884569E-1
787	1.88361761E-1
382	1.89827482E-1
285	1.93457451E-1
500	1.93572525E-1
791	1.94248542E-1
281	1.95466518E-1
67	1.96618525E-1
543	1.96965897E-1
36	1.97478865E-1
147	1.97492531E-1
558	1.98555053E-1
754	1.99544435E-1
72	1.99925336E-1
1001	2.00054499E-1
600	2.00381064E-1
398	2.01528852E-1
935	2.01631022E-1
478	2.01749175E-1
734	2.02075748E-1
299	2.0422332E-1
229	2.05380306E-1
20	2.05895427E-1
393	2.06531132E-1
560	2.08373714E-1
80	2.09044218E-1
604	2.09325014E-1
805	2.09405244E-1
443	2.10193779E-1
650	2.10997497E-1
945	2.11707244E-1
663	2.13644115E-1
85	2.14472663E-1
468	2.15191722E-1
248	2.15718848E-1
732	2.15769015E-1
773	2.15989114E-1
114	2.16289211E-1
856	2.16501868E-1
6	2.17507184E-1
61	2.17623676E-1
794	2.18965172E-1
1004	2.22060567E-1
228	2.22408833E-1
