Name	chi2Pvalue
176	1.38244599E-4
111	6.45508492E-4
664	1.12066426E-3
220	1.15254538E-3
245	1.41107534E-3
68	2.73225468E-3
20	2.92988994E-3
882	3.26459049E-3
747	4.03326551E-3
16	4.14688526E-3
391	4.46944405E-3
729	5.75292903E-3
378	6.5621697E-3
591	7.18650724E-3
669	9.06468849E-3
646	9.1589186E-3
103	1.15145202E-2
563	1.44639017E-2
144	1.53282259E-2
475	1.80441005E-2
782	1.83455703E-2
328	1.85400359E-2
613	2.0588166E-2
432	2.07599875E-2
649	2.11197043E-2
734	2.28624597E-2
24	2.29957559E-2
153	2.35213495E-2
860	2.37250865E-2
382	2.41154128E-2
765	2.44476761E-2
958	2.49405344E-2
545	2.68035983E-2
314	2.78427937E-2
424	2.83360494E-2
94	3.0021812E-2
481	3.09113151E-2
494	3.11313721E-2
909	3.14505758E-2
772	3.201553E-2
774	3.31099857E-2
107	3.33376151E-2
333	3.36009468E-2
575	3.36881562E-2
192	3.40177592E-2
41	3.58533343E-2
723	3.90013527E-2
417	3.96125754E-2
737	3.97218891E-2
722	3.97895557E-2
981	3.98532563E-2
118	3.98650065E-2
210	4.10459821E-2
202	4.20819168E-2
584	4.25337718E-2
753	4.30008946E-2
937	4.3780007E-2
776	4.40014392E-2
781	4.40432388E-2
98	4.4044148E-2
104	4.5438779E-2
294	4.55607317E-2
93	4.56503879E-2
633	4.57950328E-2
171	4.65940292E-2
588	4.73984048E-2
861	4.75527595E-2
12	4.84094195E-2
215	4.86816241E-2
993	4.87822683E-2
305	5.09572061E-2
467	5.13456407E-2
596	5.31875818E-2
443	5.50541321E-2
269	5.63413965E-2
1013	5.80015784E-2
599	5.92029906E-2
685	5.98563843E-2
852	6.03885736E-2
156	6.06834704E-2
778	6.21903845E-2
809	6.31231507E-2
209	6.4366815E-2
248	6.98563122E-2
62	7.00298689E-2
813	7.23538023E-2
395	7.4213304E-2
657	7.42394444E-2
201	7.4406866E-2
214	7.55019511E-2
783	7.69510894E-2
423	7.70724939E-2
559	7.72001356E-2
715	7.8586311E-2
0	8.12160471E-2
238	8.19135581E-2
270	8.24588593E-2
407	8.27406569E-2
777	8.31647008E-2
792	8.45571389E-2
709	8.48769824E-2
628	8.51783795E-2
400	8.67251433E-2
276	8.72044216E-2
463	8.73191137E-2
476	8.79866152E-2
339	8.87678461E-2
177	8.89627495E-2
883	9.10926755E-2
364	9.17272887E-2
399	9.28528282E-2
629	9.36577379E-2
1023	9.57963439E-2
1019	9.74951898E-2
326	9.75693149E-2
55	9.80530483E-2
740	9.90498126E-2
1	1.00021408E-1
893	1.00404214E-1
188	1.0192406E-1
595	1.04348012E-1
849	1.04589663E-1
300	1.07370046E-1
140	1.07804646E-1
925	1.08266544E-1
677	1.08723692E-1
661	1.09159159E-1
493	1.09455218E-1
672	1.11162887E-1
129	1.12369751E-1
359	1.12443272E-1
327	1.12732873E-1
260	1.13215762E-1
700	1.14160473E-1
826	1.2202404E-1
889	1.28221937E-1
567	1.28402537E-1
100	1.28672122E-1
307	1.2947327E-1
445	1.30147398E-1
522	1.30208945E-1
308	1.30371537E-1
957	1.3086722E-1
812	1.32438608E-1
945	1.33703596E-1
735	1.34655023E-1
410	1.35631746E-1
409	1.36054007E-1
239	1.3690786E-1
955	1.39810915E-1
544	1.40235946E-1
658	1.42721359E-1
335	1.45670642E-1
890	1.46297554E-1
897	1.46573649E-1
206	1.47340414E-1
833	1.49300964E-1
651	1.49451416E-1
501	1.50221343E-1
306	1.51183918E-1
459	1.53212753E-1
301	1.55925596E-1
63	1.57399358E-1
268	1.58393623E-1
208	1.60241137E-1
951	1.61328372E-1
9	1.61478442E-1
899	1.61550899E-1
234	1.6200326E-1
912	1.64300027E-1
196	1.65321038E-1
22	1.66203738E-1
185	1.66689293E-1
397	1.69437019E-1
389	1.71271639E-1
533	1.73916446E-1
779	1.75568154E-1
461	1.75849057E-1
236	1.75871185E-1
701	1.75882035E-1
485	1.75982642E-1
500	1.7604056E-1
636	1.76930134E-1
1022	1.77006186E-1
472	1.78841485E-1
83	1.80160293E-1
354	1.80506417E-1
673	1.82439169E-1
115	1.82735182E-1
755	1.83420049E-1
688	1.83900989E-1
560	1.86314828E-1
97	1.87423119E-1
986	1.88138481E-1
997	1.88418873E-1
415	1.90229385E-1
230	1.90603464E-1
799	1.90854062E-1
616	1.91599849E-1
878	1.91646162E-1
313	1.92801848E-1
505	1.9373249E-1
702	1.95702905E-1
262	1.96196024E-1
848	1.96255597E-1
884	1.96841371E-1
183	1.98996786E-1
725	2.00954521E-1
1010	2.04350956E-1
900	2.06016678E-1
265	2.06456118E-1
887	2.06704057E-1
744	2.07161543E-1
802	2.07497531E-1
956	2.08538386E-1
959	2.09837494E-1
840	2.09914193E-1
437	2.10215492E-1
235	2.11827421E-1
689	2.11989493E-1
