Name	chi2Pvalue
802	1.35337991E-5
103	2.07958935E-4
734	2.08696219E-4
411	5.80008657E-4
750	6.77401433E-4
176	2.188478E-3
917	2.22596905E-3
235	3.68384459E-3
912	5.30244679E-3
273	7.49761312E-3
658	7.5113502E-3
467	8.42193579E-3
55	1.00174082E-2
959	1.12025804E-2
517	1.16233844E-2
624	1.19216916E-2
49	1.20997878E-2
327	1.24771898E-2
448	1.2811571E-2
775	1.28262478E-2
719	1.40854892E-2
111	1.53230097E-2
579	1.82779781E-2
519	1.88564841E-2
117	1.92848806E-2
169	1.99475424E-2
576	2.02164821E-2
266	2.04387625E-2
839	2.25719964E-2
664	2.28224434E-2
980	2.29258595E-2
830	2.29822817E-2
333	2.58176162E-2
456	2.71441179E-2
782	2.72189117E-2
405	2.74515111E-2
314	2.78535134E-2
151	2.85536788E-2
675	2.87187237E-2
627	2.90938998E-2
474	3.17715564E-2
429	3.22390224E-2
299	3.38167825E-2
68	3.44301988E-2
965	3.55493069E-2
950	3.62199348E-2
838	3.84509965E-2
991	3.97812127E-2
94	4.2544472E-2
186	4.77381913E-2
937	4.98294389E-2
993	5.04571929E-2
740	5.06586347E-2
864	5.17906758E-2
1010	5.20878533E-2
818	5.2358114E-2
994	5.2412283E-2
92	5.36466967E-2
436	5.43952771E-2
723	5.48649159E-2
651	5.55161879E-2
945	5.56398531E-2
670	5.63229372E-2
527	5.71227599E-2
573	5.86836479E-2
958	5.93425322E-2
528	6.12807706E-2
982	6.13699023E-2
164	6.42390957E-2
203	6.48416829E-2
492	6.54550991E-2
691	6.67684809E-2
919	6.90782088E-2
277	7.00868404E-2
784	7.20773812E-2
469	7.22501188E-2
75	7.24192134E-2
538	7.44117324E-2
491	7.76111447E-2
385	7.76304688E-2
443	7.80172639E-2
418	7.84250593E-2
239	7.91473537E-2
101	7.91926427E-2
764	8.3026225E-2
407	8.45394268E-2
856	8.658526E-2
387	8.92085777E-2
171	8.94147882E-2
318	8.99004009E-2
548	9.04756039E-2
603	9.23604678E-2
661	9.26363541E-2
321	9.27184072E-2
303	9.31642389E-2
137	9.49947511E-2
851	9.63886959E-2
112	9.65499242E-2
161	9.78067985E-2
359	9.81104791E-2
653	1.01563754E-1
575	1.04218071E-1
204	1.04793448E-1
794	1.05004505E-1
7	1.05777282E-1
248	1.0751551E-1
95	1.07593899E-1
366	1.07823596E-1
969	1.08439667E-1
388	1.11283441E-1
27	1.13970089E-1
836	1.15415737E-1
221	1.15738061E-1
485	1.17293637E-1
34	1.19912293E-1
220	1.22019645E-1
607	1.22322474E-1
393	1.22476607E-1
956	1.25268563E-1
970	1.25382283E-1
728	1.27500256E-1
119	1.27551848E-1
841	1.28626773E-1
238	1.30390674E-1
893	1.30444668E-1
532	1.30699439E-1
173	1.31586057E-1
363	1.32749568E-1
201	1.3286635E-1
732	1.33043624E-1
754	1.34158445E-1
36	1.36290522E-1
329	1.37695842E-1
833	1.38287286E-1
615	1.39071481E-1
212	1.39334486E-1
312	1.39593123E-1
187	1.40422176E-1
611	1.41084115E-1
374	1.4211213E-1
671	1.4218747E-1
546	1.42312734E-1
300	1.43929112E-1
918	1.44100264E-1
237	1.44448767E-1
744	1.44938241E-1
44	1.46258779E-1
638	1.47192621E-1
170	1.4749221E-1
853	1.48021693E-1
946	1.49921761E-1
167	1.52035902E-1
900	1.54340741E-1
619	1.55779497E-1
787	1.56217999E-1
191	1.5734147E-1
779	1.58478863E-1
120	1.58826764E-1
849	1.61466311E-1
957	1.61931536E-1
873	1.63545561E-1
977	1.64103646E-1
813	1.65642103E-1
440	1.67620874E-1
320	1.67855541E-1
339	1.69445228E-1
480	1.72762204E-1
487	1.75211611E-1
493	1.75976557E-1
326	1.77078137E-1
843	1.77199961E-1
858	1.8007466E-1
716	1.8128943E-1
147	1.81411315E-1
159	1.81856216E-1
144	1.83025995E-1
293	1.85935512E-1
963	1.85962311E-1
341	1.87387892E-1
883	1.87432142E-1
736	1.87713775E-1
496	1.88643936E-1
28	1.89268851E-1
423	1.89805453E-1
368	1.90884397E-1
140	1.92257121E-1
631	1.93076653E-1
985	1.9370585E-1
315	1.93729941E-1
184	1.93934595E-1
219	1.93983209E-1
657	1.94118956E-1
891	1.94963102E-1
562	1.95439653E-1
871	1.97002704E-1
986	1.98164859E-1
823	1.98252707E-1
762	1.98590216E-1
20	2.00369699E-1
23	2.01693045E-1
349	2.02926741E-1
279	2.03785869E-1
334	2.05108575E-1
71	2.0650332E-1
185	2.06898469E-1
673	2.10263396E-1
400	2.10889106E-1
865	2.11593203E-1
846	2.11900239E-1
43	2.13888844E-1
597	2.14823528E-1
947	2.17549833E-1
16	2.1883522E-1
584	2.18923274E-1
35	2.19057642E-1
451	2.19093726E-1
591	2.20039378E-1
196	2.20573327E-1
790	2.21162991E-1
726	2.21606521E-1
358	2.22886481E-1
887	2.25025625E-1
91	2.2508394E-1
901	2.25636254E-1
683	2.26349668E-1
844	2.26598172E-1
565	2.26822408E-1
1005	2.27838957E-1
242	2.29903769E-1
926	2.30528133E-1
84	2.31794279E-1
453	2.37246029E-1
412	2.38255251E-1
600	2.38433231E-1
51	2.38680889E-1
489	2.41229034E-1
990	2.41314659E-1
371	2.41806818E-1
687	2.43130826E-1
343	2.43295842E-1
667	2.43446963E-1
803	2.44921664E-1
228	2.45306088E-1
1014	2.51586361E-1
165	2.51803365E-1
835	2.52985257E-1
218	2.53239602E-1
620	2.57123171E-1
908	2.59001677E-1
26	2.59011516E-1
430	2.59339102E-1
476	2.60590358E-1
889	2.60597484E-1
310	2.61830591E-1
534	2.62044138E-1
698	2.62421018E-1
206	2.62886631E-1
466	2.63204718E-1
152	2.63280465E-1
297	2.63590647E-1
350	2.63661858E-1
747	2.64565695E-1
473	2.6629454E-1
966	2.6945838E-1
222	2.6989578E-1
390	2.70379105E-1
870	2.70558866E-1
114	2.71099191E-1
629	2.71104494E-1
850	2.71272694E-1
89	2.71711093E-1
556	2.74221048E-1
122	2.76675391E-1
307	2.76722564E-1
154	2.7674467E-1
88	2.78113028E-1
338	2.79104588E-1
87	2.79509514E-1
135	2.8109574E-1
769	2.81549223E-1
678	2.81726293E-1
525	2.82027594E-1
392	2.85725251E-1
413	2.87771177E-1
825	2.88097637E-1
526	2.89258808E-1
503	2.89526803E-1
923	2.89572298E-1
240	2.91152826E-1
404	2.92207733E-1
758	2.92625194E-1
861	2.92634935E-1
960	2.92719998E-1
463	2.9287597E-1
69	2.93163532E-1
516	2.93392334E-1
847	2.93596459E-1
877	2.93924318E-1
53	2.96531668E-1
127	2.98266872E-1
829	2.98664619E-1
705	2.99156836E-1
21	2.99647763E-1
878	3.01315354E-1
232	3.03603795E-1
25	3.04850832E-1
768	3.08048489E-1
396	3.08565125E-1
403	3.09061545E-1
848	3.09903126E-1
494	3.11452739E-1
872	3.11981902E-1
308	3.12128086E-1
506	3.12304836E-1
520	3.13197783E-1
783	3.13673258E-1
513	3.1583297E-1
98	3.17490366E-1
365	3.18873127E-1
322	3.20634724E-1
811	3.21449258E-1
907	3.22961968E-1
477	3.23772529E-1
346	3.24554906E-1
14	3.26606166E-1
976	3.27225753E-1
182	3.29739332E-1
588	3.2988353E-1
857	3.30409291E-1
704	3.34292912E-1
772	3.42672809E-1
229	3.43322496E-1
193	3.43546758E-1
642	3.47196469E-1
199	3.50831569E-1
614	3.5160622E-1
692	3.53987504E-1
554	3.5453048E-1
622	3.55938419E-1
481	3.56576267E-1
541	3.56960416E-1
424	3.57233675E-1
606	3.58407244E-1
778	3.58592272E-1
808	3.5891558E-1
518	3.5921641E-1
1007	3.597238E-1
559	3.61165295E-1
625	3.61270988E-1
876	3.61661157E-1
58	3.62472824E-1
24	3.62525247E-1
214	3.6373368E-1
855	3.67520133E-1
76	3.67695499E-1
401	3.68771095E-1
331	3.68872261E-1
921	3.71588176E-1
1018	3.72323638E-1
896	3.7284487E-1
478	3.73162142E-1
180	3.74596644E-1
224	3.75092E-1
72	3.78703348E-1
192	3.79575311E-1
351	3.79693058E-1
785	3.79920179E-1
352	3.80085651E-1
263	3.81052587E-1
909	3.82169663E-1
434	3.84114882E-1
869	3.84338091E-1
760	3.84615059E-1
255	3.85082317E-1
763	3.8618563E-1
939	3.86343432E-1
799	3.86858129E-1
604	3.87704668E-1
983	3.89410988E-1
936	3.89610314E-1
640	3.90673011E-1
470	3.91284327E-1
39	3.93902892E-1
662	3.94084029E-1
911	3.95276633E-1
931	3.95443364E-1
447	3.954824E-1
1	3.95950329E-1
902	3.97238121E-1
497	3.97804767E-1
777	3.97806779E-1
354	3.97810473E-1
547	4.02734267E-1
38	4.04731297E-1
13	4.05020204E-1
22	4.05402261E-1
370	4.05509312E-1
432	4.05847819E-1
521	4.06296695E-1
200	4.06988E-1
1008	4.08327307E-1
749	4.09926605E-1
884	4.10164641E-1
450	4.10625856E-1
330	4.1092568E-1
236	4.10989524E-1
967	4.11018131E-1
817	4.11169962E-1
852	4.11945611E-1
978	4.12606649E-1
938	4.14614416E-1
748	4.15167548E-1
126	4.15802009E-1
99	4.15890006E-1
309	4.16791958E-1
929	4.17487296E-1
585	4.17799764E-1
1002	4.18356843E-1
355	4.19491613E-1
48	4.19995602E-1
313	4.20144826E-1
77	4.20950109E-1
988	4.21207382E-1
535	4.24572446E-1
