Name	chi2Pvalue
802	4.24822851E-6
103	1.53707247E-4
734	2.36281696E-4
917	7.00145053E-4
327	2.54730399E-3
448	2.79043687E-3
235	3.92887509E-3
467	4.23928545E-3
411	5.87527089E-3
980	8.31750207E-3
176	8.60349284E-3
321	8.96094825E-3
111	1.03761904E-2
55	1.13697015E-2
266	1.15853405E-2
818	1.38851999E-2
750	1.45500155E-2
775	1.47898319E-2
527	1.48516692E-2
519	1.58368066E-2
839	1.69424098E-2
385	1.87075085E-2
314	2.02908607E-2
117	2.043315E-2
782	2.12444633E-2
579	2.31225617E-2
68	2.31290903E-2
232	2.37035025E-2
517	2.43570275E-2
683	2.57867727E-2
664	2.58313526E-2
894	2.59955478E-2
299	2.61648508E-2
838	2.64265322E-2
167	2.77119575E-2
436	2.88654669E-2
658	2.99254531E-2
75	3.02983256E-2
959	3.10302343E-2
239	3.17984364E-2
958	3.26667282E-2
912	3.30025798E-2
556	3.84269235E-2
673	3.85350511E-2
945	3.91553828E-2
429	4.03403152E-2
603	4.04213081E-2
101	4.22900486E-2
719	4.27568737E-2
823	4.28067332E-2
994	4.40102399E-2
744	4.45186963E-2
956	4.56154985E-2
576	4.5921523E-2
575	4.65820005E-2
173	4.68691755E-2
627	4.87622547E-2
864	4.98910992E-2
937	5.02100254E-2
969	5.09496135E-2
186	5.22713455E-2
20	5.49569111E-2
405	5.51874104E-2
740	5.57795882E-2
443	5.60010443E-2
374	5.84444255E-2
407	6.02392837E-2
494	6.05271066E-2
326	6.16636607E-2
49	6.2581407E-2
456	6.37067833E-2
624	6.55919444E-2
651	6.57716719E-2
611	6.58032277E-2
671	6.72908872E-2
1005	6.73004011E-2
273	6.97321056E-2
334	7.44777819E-2
491	7.55464038E-2
496	7.91241749E-2
451	8.11221056E-2
161	8.20007637E-2
479	8.29137616E-2
799	8.31179317E-2
631	8.46838842E-2
936	8.62568102E-2
803	8.89478419E-2
919	8.9834218E-2
883	9.05244644E-2
315	9.15560925E-2
137	9.17360593E-2
779	9.20503728E-2
638	9.28561832E-2
880	9.30524318E-2
763	9.32545977E-2
171	9.44097873E-2
1010	9.45884416E-2
120	9.71925256E-2
986	9.79846899E-2
469	9.82736852E-2
546	9.8368708E-2
333	9.86244343E-2
341	9.87129363E-2
960	9.9280461E-2
220	9.9962045E-2
728	1.01543473E-1
736	1.02233124E-1
833	1.06461773E-1
554	1.07668966E-1
891	1.07774202E-1
492	1.08616515E-1
361	1.09103204E-1
322	1.11232573E-1
723	1.14497248E-1
758	1.14648636E-1
559	1.1665404E-1
528	1.16811754E-1
196	1.17378479E-1
428	1.17605852E-1
36	1.18868703E-1
851	1.19494211E-1
869	1.19620523E-1
993	1.2259694E-1
565	1.22820728E-1
192	1.25134642E-1
300	1.25370925E-1
911	1.25732185E-1
893	1.26281067E-1
813	1.28611755E-1
144	1.29092398E-1
426	1.29411464E-1
400	1.31481299E-1
303	1.32190292E-1
629	1.3484953E-1
670	1.36330013E-1
531	1.36348201E-1
892	1.36417021E-1
151	1.36635214E-1
991	1.37037874E-1
764	1.3740745E-1
219	1.38853178E-1
900	1.41506668E-1
835	1.42146844E-1
248	1.44490655E-1
277	1.45382587E-1
526	1.46423831E-1
525	1.46851134E-1
680	1.46856872E-1
513	1.48828286E-1
128	1.48993944E-1
43	1.50023677E-1
619	1.53757486E-1
836	1.57750778E-1
191	1.58374715E-1
985	1.58453265E-1
1011	1.58718059E-1
159	1.61248015E-1
342	1.6193877E-1
474	1.62082064E-1
966	1.63648455E-1
787	1.64035689E-1
182	1.64251076E-1
463	1.64914064E-1
749	1.6569373E-1
329	1.67336895E-1
534	1.6892816E-1
957	1.70412654E-1
704	1.70799179E-1
122	1.70802338E-1
902	1.71652752E-1
221	1.7183651E-1
607	1.71841094E-1
588	1.72010823E-1
947	1.72241036E-1
584	1.76899406E-1
921	1.76913446E-1
825	1.76945151E-1
199	1.78378726E-1
214	1.79060052E-1
691	1.81972176E-1
237	1.83786566E-1
635	1.84880827E-1
255	1.85364646E-1
201	1.85812875E-1
652	1.86437139E-1
378	1.90222603E-1
550	1.91701707E-1
811	1.91947471E-1
698	1.92735752E-1
222	1.94047695E-1
938	1.94733009E-1
923	1.96483617E-1
388	1.96688945E-1
