Name	chi2Pvalue
981	5.9090458E-3
687	6.02476024E-3
548	6.08739993E-3
889	6.19449397E-3
67	7.62960531E-3
621	9.74475237E-3
284	9.79239623E-3
544	1.00238896E-2
184	1.09722566E-2
166	1.13452639E-2
638	1.36322088E-2
498	1.39687956E-2
607	1.69750407E-2
754	1.78406094E-2
972	1.95233549E-2
355	2.06431658E-2
403	2.34559211E-2
381	2.36168314E-2
383	2.40654283E-2
91	2.58849329E-2
690	2.63332915E-2
839	2.64424048E-2
902	2.69561039E-2
821	2.82140691E-2
868	2.82409096E-2
219	2.99736085E-2
77	3.0068257E-2
85	3.126504E-2
661	3.17548028E-2
483	3.23709901E-2
675	3.33883225E-2
556	3.35447104E-2
667	3.51043061E-2
143	3.61178721E-2
34	3.71738505E-2
350	3.77889506E-2
11	3.94658798E-2
572	3.98453089E-2
618	4.09834821E-2
89	4.12666048E-2
921	4.23785476E-2
292	4.32191254E-2
489	4.41695175E-2
615	4.52798704E-2
382	4.56011788E-2
343	4.5780662E-2
650	4.85042962E-2
501	4.89562028E-2
502	5.09478859E-2
958	5.16808921E-2
274	5.20063593E-2
777	5.39855158E-2
400	5.42996506E-2
316	5.53084685E-2
209	5.61601988E-2
897	5.63592153E-2
566	5.77483227E-2
577	5.81151138E-2
680	6.03049027E-2
309	6.09353439E-2
305	6.10215014E-2
610	6.26117435E-2
826	6.27724984E-2
28	6.3622832E-2
825	6.46944291E-2
235	6.63884812E-2
128	6.71900543E-2
1022	6.84810708E-2
552	6.85445694E-2
17	6.89007425E-2
42	6.90611121E-2
426	7.16997737E-2
260	7.42685086E-2
870	7.54024543E-2
922	7.58710617E-2
763	7.95782599E-2
327	7.96782018E-2
806	8.02366345E-2
532	8.05497969E-2
35	8.40180874E-2
44	8.47154529E-2
262	8.74342334E-2
86	8.95985273E-2
586	9.14752737E-2
985	9.17161379E-2
645	9.25067092E-2
830	9.28883459E-2
177	9.33995288E-2
874	9.34849178E-2
444	9.43024563E-2
789	9.5257251E-2
38	9.7911414E-2
372	9.82825943E-2
427	9.93271993E-2
53	9.93619658E-2
978	9.9761701E-2
307	1.01610163E-1
949	1.01871488E-1
648	1.02453881E-1
793	1.05916125E-1
513	1.06734764E-1
81	1.08719452E-1
103	1.09248024E-1
430	1.09303559E-1
813	1.0978523E-1
58	1.11961165E-1
671	1.12334759E-1
835	1.12691325E-1
324	1.13310603E-1
630	1.14006386E-1
74	1.15861347E-1
626	1.15886045E-1
64	1.16727413E-1
659	1.17497571E-1
509	1.17996917E-1
311	1.18299811E-1
914	1.19057985E-1
612	1.19508997E-1
65	1.19587321E-1
391	1.20941088E-1
508	1.21046522E-1
351	1.21103643E-1
16	1.21126069E-1
220	1.22200126E-1
724	1.2274171E-1
434	1.23453798E-1
769	1.23754797E-1
584	1.23905018E-1
908	1.23989651E-1
258	1.25075802E-1
884	1.25827608E-1
606	1.26076101E-1
293	1.27384007E-1
603	1.30305697E-1
1017	1.30836358E-1
57	1.33119066E-1
1019	1.34954095E-1
289	1.36405634E-1
601	1.38297491E-1
280	1.38362082E-1
977	1.3871935E-1
131	1.39161311E-1
784	1.39850708E-1
591	1.4029977E-1
760	1.40571193E-1
619	1.41688353E-1
477	1.42709931E-1
37	1.44410368E-1
76	1.44716729E-1
318	1.44890094E-1
306	1.45354194E-1
458	1.46881557E-1
816	1.47680137E-1
742	1.47704599E-1
109	1.49686142E-1
23	1.50144852E-1
814	1.50508945E-1
903	1.51521557E-1
300	1.52784928E-1
673	1.55429153E-1
747	1.55819167E-1
199	1.56899444E-1
545	1.56909297E-1
207	1.57499475E-1
75	1.59785847E-1
464	1.62782979E-1
398	1.65151288E-1
574	1.66046044E-1
557	1.67846389E-1
9	1.68760646E-1
647	1.69416578E-1
781	1.72568556E-1
860	1.73655705E-1
984	1.75271966E-1
990	1.76328453E-1
854	1.76434154E-1
737	1.76704643E-1
551	1.77181013E-1
867	1.77336513E-1
969	1.77344692E-1
115	1.77615482E-1
213	1.78553239E-1
55	1.79291509E-1
608	1.81825274E-1
453	1.83751054E-1
775	1.83939641E-1
47	1.84043947E-1
817	1.85882484E-1
891	1.85944911E-1
470	1.87144137E-1
539	1.87168659E-1
232	1.87968847E-1
534	1.88445422E-1
1011	1.89626852E-1
356	1.9349701E-1
149	1.95993373E-1
165	1.97715083E-1
297	1.98581198E-1
915	1.98996828E-1
804	2.00804875E-1
198	2.00855009E-1
519	2.0105458E-1
863	2.01137729E-1
980	2.02479033E-1
191	2.02949598E-1
994	2.03018916E-1
911	2.03614841E-1
1007	2.03791541E-1
222	2.04029459E-1
229	2.06973874E-1
255	2.07360705E-1
837	2.08173645E-1
373	2.08948225E-1
206	2.09339408E-1
342	2.09838394E-1
759	2.10674463E-1
142	2.10846584E-1
265	2.11979405E-1
310	2.12607329E-1
486	2.13147256E-1
976	2.14441013E-1
719	2.15785151E-1
549	2.16269349E-1
741	2.18542614E-1
802	2.19315531E-1
200	2.19775482E-1
378	2.22389779E-1
7	2.25013805E-1
413	2.25094554E-1
746	2.27498907E-1
73	2.27613304E-1
842	2.27639179E-1
1023	2.27971244E-1
354	2.28254122E-1
97	2.28581666E-1
217	2.28642511E-1
110	2.30070259E-1
927	2.30555673E-1
778	2.32461584E-1
553	2.35240781E-1
761	2.36390055E-1
819	2.3706221E-1
473	2.37846374E-1
224	2.38180775E-1
190	2.39337406E-1
971	2.39673956E-1
923	2.41869469E-1
726	2.45374527E-1
649	2.46790168E-1
745	2.4731684E-1
885	2.47504753E-1
546	2.47545668E-1
807	2.48404343E-1
30	2.48493644E-1
494	2.51000598E-1
182	2.51167644E-1
71	2.51697191E-1
26	2.52000887E-1
783	2.54880492E-1
147	2.55203957E-1
339	2.56498302E-1
560	2.57037016E-1
54	2.57098087E-1
385	2.58196224E-1
838	2.58615846E-1
117	2.59922148E-1
535	2.59930016E-1
696	2.59941797E-1
639	2.60123506E-1
179	2.60746567E-1
161	2.60766978E-1
406	2.61805084E-1
966	2.63154769E-1
571	2.63187822E-1
919	2.65173737E-1
898	2.65600101E-1
287	2.66368763E-1
269	2.66722111E-1
1004	2.66880035E-1
237	2.67385857E-1
500	2.67548391E-1
593	2.67751085E-1
869	2.68062663E-1
730	2.68846263E-1
267	2.69265264E-1
579	2.70197898E-1
176	2.71320628E-1
112	2.72182736E-1
499	2.72451277E-1
348	2.72536167E-1
105	2.72935823E-1
238	2.75045444E-1
682	2.77701548E-1
384	2.78602903E-1
862	2.80814587E-1
873	2.82437865E-1
578	2.84329436E-1
744	2.84400242E-1
829	2.84941901E-1
706	2.85058918E-1
358	2.86952477E-1
475	2.87478275E-1
388	2.87649367E-1
438	2.88200011E-1
90	2.89815734E-1
831	2.90093724E-1
600	2.90231353E-1
722	2.91631323E-1
864	2.93658147E-1
163	2.94884416E-1
622	2.95274869E-1
732	2.96664064E-1
360	2.97582646E-1
986	2.97757818E-1
800	2.97769001E-1
709	2.98358957E-1
493	2.98607445E-1
346	2.98694134E-1
866	3.01739784E-1
243	3.0246101E-1
828	3.03013212E-1
928	3.04671127E-1
230	3.07313182E-1
329	3.07371369E-1
433	3.08253445E-1
750	3.08440987E-1
357	3.08451293E-1
640	3.09988704E-1
102	3.10929006E-1
472	3.11167828E-1
62	3.11549087E-1
22	3.13344413E-1
332	3.15432134E-1
189	3.1544069E-1
33	3.15699488E-1
359	3.16290371E-1
768	3.16504157E-1
66	3.17334753E-1
527	3.17492003E-1
847	3.18391795E-1
396	3.18781023E-1
720	3.19688176E-1
48	3.22258804E-1
239	3.22977082E-1
526	3.25656011E-1
488	3.25920023E-1
52	3.26044227E-1
468	3.26461989E-1
721	3.27738558E-1
205	3.27924178E-1
18	3.29220011E-1
517	3.29543985E-1
1016	3.30827947E-1
779	3.31481333E-1
304	3.32734602E-1
345	3.33392866E-1
780	3.33711429E-1
125	3.33816917E-1
234	3.34478728E-1
41	3.35144383E-1
479	3.36298005E-1
1003	3.37361366E-1
1015	3.37385771E-1
970	3.37387757E-1
542	3.37464437E-1
29	3.37628355E-1
935	3.39020413E-1
497	3.3991204E-1
523	3.40635993E-1
567	3.41001655E-1
1	3.41557206E-1
999	3.43454773E-1
995	3.43603743E-1
668	3.43615752E-1
469	3.44761288E-1
695	3.44947189E-1
108	3.47997749E-1
594	3.48368335E-1
405	3.48559134E-1
506	3.4894271E-1
202	3.5096441E-1
145	3.54263184E-1
587	3.54540428E-1
208	3.56590138E-1
711	3.57125473E-1
457	3.57155757E-1
39	3.57411392E-1
939	3.58165515E-1
146	3.60709496E-1
402	3.61702917E-1
328	3.62321399E-1
907	3.63424647E-1
5	3.64090413E-1
896	3.64795267E-1
765	3.66341625E-1
43	3.66876181E-1
319	3.67994826E-1
92	3.68385686E-1
61	3.68850892E-1
894	3.68948137E-1
32	3.69074413E-1
83	3.70747687E-1
399	3.72487716E-1
766	3.72868097E-1
196	3.73285465E-1
906	3.73993908E-1
701	3.74348444E-1
684	3.75855671E-1
818	3.76167959E-1
155	3.80269017E-1
714	3.80464341E-1
186	3.81429286E-1
739	3.83280617E-1
291	3.84159214E-1
943	3.84628311E-1
139	3.85270228E-1
568	3.85493283E-1
204	3.85828592E-1
624	3.87552057E-1
21	3.89367589E-1
212	3.91720924E-1
507	3.97444069E-1
945	3.98200411E-1
596	4.01243087E-1
249	4.05641237E-1
707	4.07326495E-1
476	4.07423208E-1
623	4.08050038E-1
216	4.08281325E-1
555	4.08933257E-1
755	4.11832477E-1
998	4.12198976E-1
68	4.12293038E-1
841	4.12489693E-1
114	4.12491304E-1
326	4.12542413E-1
674	4.12611281E-1
993	4.12702303E-1
94	4.16595029E-1
662	4.18983974E-1
170	4.19360855E-1
805	4.19931991E-1
201	4.20150387E-1
210	4.20973257E-1
455	4.21297908E-1
530	4.22006537E-1
303	4.22370838E-1
634	4.25944914E-1
582	4.26672854E-1
833	4.28088908E-1
218	4.31922579E-1
353	4.32302254E-1
431	4.32889694E-1
581	4.34656612E-1
940	4.36216369E-1
989	4.36539442E-1
437	4.3671869E-1
1005	4.37076313E-1
95	4.3754709E-1
961	4.37566158E-1
738	4.37600265E-1
395	4.37674298E-1
801	4.38076885E-1
788	4.39123521E-1
111	4.39959329E-1
463	4.41179131E-1
276	4.43258558E-1
893	4.43446027E-1
956	4.44137629E-1
50	4.45875137E-1
875	4.47548011E-1
952	4.48383821E-1
605	4.49001628E-1
194	4.50249033E-1
770	4.51098438E-1
442	4.51340704E-1
515	4.51484361E-1
628	4.51970342E-1
992	4.53911083E-1
241	4.55185362E-1
244	4.55562305E-1
929	4.60103545E-1
290	4.60459772E-1
3	4.60861178E-1
121	4.63700164E-1
150	4.64296804E-1
491	4.64419156E-1
136	4.65301311E-1
924	4.65733748E-1
733	4.66069339E-1
171	4.67470463E-1
642	4.67809921E-1
611	4.68280757E-1
676	4.69017574E-1
850	4.6944132E-1
148	4.70560784E-1
31	4.70899292E-1
352	4.72295351E-1
192	4.73177933E-1
132	4.7360706E-1
570	4.74189666E-1
80	4.75436116E-1
168	4.79171367E-1
683	4.79224904E-1
941	4.79546809E-1
803	4.80800167E-1
520	4.81136488E-1
658	4.83126073E-1
505	4.8366643E-1
119	4.84101928E-1
376	4.84680349E-1
937	4.85296208E-1
374	4.85362998E-1
810	4.8790354E-1
762	4.88813143E-1
580	4.89426657E-1
460	4.89810472E-1
957	4.90299219E-1
774	4.92119536E-1
836	4.93218795E-1
320	4.94721472E-1
597	4.95070636E-1
63	4.9645874E-1
538	4.9663316E-1
259	4.96999379E-1
845	4.98821052E-1
124	5.00221123E-1
408	5.00316646E-1
882	5.01617403E-1
159	5.02103884E-1
69	5.02284142E-1
602	5.03359718E-1
946	5.04655447E-1
554	5.0481878E-1
215	5.05431059E-1
411	5.05831662E-1
641	5.05960807E-1
905	5.07201611E-1
141	5.07406905E-1
585	5.08459483E-1
101	5.09003463E-1
313	5.09126506E-1
1018	5.09577151E-1
107	5.09705715E-1
370	5.1059466E-1
531	5.10627414E-1
699	5.11716925E-1
932	5.13904488E-1
631	5.14173702E-1
834	5.1497566E-1
286	5.16293277E-1
964	5.16641387E-1
167	5.16737083E-1
118	5.20456548E-1
861	5.20954432E-1
27	5.21456431E-1
152	5.21774668E-1
751	5.2191272E-1
154	5.22375508E-1
844	5.24207897E-1
397	5.25115516E-1
795	5.28643395E-1
951	5.31558122E-1
536	5.32193832E-1
524	5.32653367E-1
123	5.33201852E-1
368	5.33299986E-1
693	5.33444993E-1
633	5.34802631E-1
240	5.36624709E-1
325	5.36829208E-1
188	5.37255138E-1
808	5.37899366E-1
787	5.4004896E-1
627	5.40506315E-1
879	5.41974769E-1
904	5.43156516E-1
537	5.43172758E-1
541	5.43931363E-1
228	5.44718627E-1
104	5.45492171E-1
447	5.46059383E-1
334	5.48326795E-1
445	5.49747972E-1
88	5.50320338E-1
183	5.51398406E-1
698	5.52091838E-1
6	5.52255096E-1
694	5.52441861E-1
420	5.54711944E-1
462	5.55196115E-1
301	5.58437951E-1
604	5.58915885E-1
393	5.59474558E-1
273	5.60426373E-1
959	5.64560553E-1
660	5.66163689E-1
417	5.66322392E-1
938	5.66429961E-1
677	5.66846466E-1
450	5.66992489E-1
440	5.68300992E-1
296	5.70168558E-1
14	5.70886327E-1
409	5.72087026E-1
127	5.72359637E-1
19	5.72946987E-1
651	5.74929157E-1
169	5.75202618E-1
968	5.75645923E-1
569	5.76051655E-1
617	5.76113095E-1
277	5.80702392E-1
564	5.8210269E-1
432	5.82496488E-1
116	5.86208625E-1
211	5.88428622E-1
407	5.88881249E-1
299	5.90273898E-1
704	5.90693885E-1
401	5.91702681E-1
268	5.925631E-1
942	5.9274457E-1
670	5.92891244E-1
540	5.93106641E-1
636	5.93403509E-1
871	5.9360435E-1
337	5.93991703E-1
713	5.94092801E-1
120	5.94728234E-1
1008	5.95539211E-1
798	5.98186106E-1
563	5.9929095E-1
691	5.99753332E-1
616	6.00610871E-1
322	6.01014491E-1
702	6.03055732E-1
764	6.03988103E-1
126	6.06646379E-1
757	6.06910693E-1
1020	6.07062031E-1
735	6.07133126E-1
40	6.07403937E-1
1010	6.09550811E-1
253	6.11205982E-1
439	6.11774777E-1
315	6.12631585E-1
988	6.14023704E-1
443	6.14634115E-1
918	6.1766434E-1
87	6.19760695E-1
257	6.20488122E-1
635	6.20774347E-1
832	6.21013964E-1
15	6.22222853E-1
144	6.22314936E-1
740	6.23298815E-1
13	6.23995452E-1
892	6.24414324E-1
812	6.26317828E-1
516	6.28674218E-1
492	6.30383057E-1
465	6.31804767E-1
459	6.32277732E-1
613	6.33382659E-1
248	6.34298564E-1
510	6.34934782E-1
418	6.36767594E-1
822	6.39473612E-1
379	6.394869E-1
689	6.40141552E-1
312	6.4026019E-1
70	6.42082797E-1
389	6.44199536E-1
153	6.45349646E-1
270	6.46090599E-1
263	6.46167408E-1
592	6.47756282E-1
349	6.47924203E-1
511	6.49975146E-1
629	6.53264217E-1
771	6.53690674E-1
341	6.55697378E-1
336	6.56328541E-1
881	6.56560963E-1
231	6.58530852E-1
364	6.59374592E-1
187	6.62716483E-1
266	6.63329802E-1
495	6.64841949E-1
543	6.65016225E-1
824	6.67401446E-1
99	6.67891274E-1
876	6.68265454E-1
799	6.69347036E-1
272	6.71010341E-1
886	6.76099351E-1
909	6.76160168E-1
100	6.76382076E-1
753	6.78271953E-1
883	6.78494341E-1
340	6.78966766E-1
963	6.79201364E-1
878	6.80127675E-1
794	6.80134502E-1
576	6.81260175E-1
917	6.81450836E-1
294	6.81644464E-1
547	6.83805648E-1
247	6.84968883E-1
916	6.85534685E-1
365	6.86480565E-1
122	6.88004302E-1
944	6.88591048E-1
446	6.88680826E-1
474	6.90649857E-1
936	6.91731338E-1
386	6.91799229E-1
387	6.92290958E-1
36	6.92994342E-1
736	6.9468472E-1
708	6.95218244E-1
925	6.96656807E-1
390	6.96694263E-1
672	6.98086314E-1
484	7.00853674E-1
654	7.02363257E-1
589	7.03873751E-1
843	7.04122918E-1
174	7.04768866E-1
425	7.05543167E-1
725	7.05756979E-1
521	7.05853016E-1
302	7.10286484E-1
482	7.10370918E-1
655	7.11212799E-1
436	7.11527029E-1
973	7.1166336E-1
748	7.12438212E-1
480	7.12574853E-1
138	7.13455061E-1
559	7.14458914E-1
790	7.15435403E-1
246	7.15516918E-1
840	7.15773419E-1
856	7.1841448E-1
565	7.19323635E-1
849	7.2364647E-1
236	7.24250422E-1
137	7.26711996E-1
471	7.28003763E-1
504	7.29300876E-1
363	7.29419773E-1
412	7.31221804E-1
130	7.33429965E-1
653	7.3637793E-1
656	7.36834807E-1
180	7.37698011E-1
485	7.38861559E-1
308	7.39253971E-1
1013	7.403461E-1
712	7.40980157E-1
466	7.41055828E-1
987	7.41958559E-1
321	7.42316301E-1
743	7.43431144E-1
588	7.43756434E-1
93	7.44050509E-1
644	7.4525764E-1
809	7.46583126E-1
157	7.48535667E-1
59	7.49113122E-1
688	7.49127244E-1
98	7.50095988E-1
930	7.50750324E-1
181	7.51051942E-1
913	7.51988687E-1
135	7.53504166E-1
279	7.54592359E-1
666	7.55013421E-1
855	7.55443798E-1
752	7.56609603E-1
371	7.56981219E-1
96	7.58611607E-1
172	7.59512623E-1
185	7.60970688E-1
225	7.61506195E-1
333	7.62868327E-1
773	7.63150407E-1
421	7.63840906E-1
982	7.69256251E-1
264	7.70053726E-1
