Name	chi2Pvalue
55	1.66709985E-4
174	1.85885901E-3
11	2.1451171E-3
104	2.42533435E-3
960	2.61049852E-3
612	4.66168138E-3
43	6.04349809E-3
495	8.03178685E-3
239	9.4687186E-3
290	9.56696537E-3
438	9.78236095E-3
864	1.01789934E-2
525	1.35847534E-2
845	1.38628502E-2
196	1.48545289E-2
608	1.64561552E-2
188	1.82595857E-2
812	2.05231471E-2
954	2.06299107E-2
680	2.09277306E-2
245	2.4380005E-2
716	2.47985716E-2
420	2.53732495E-2
776	2.56924194E-2
86	2.74068624E-2
604	2.96124531E-2
784	2.96225704E-2
673	3.363038E-2
774	3.57758297E-2
889	3.66792312E-2
350	3.79361384E-2
482	3.79540688E-2
119	3.80603355E-2
813	3.86973672E-2
646	4.38380253E-2
750	4.468465E-2
311	4.55162189E-2
1012	4.63817109E-2
677	4.64226161E-2
349	4.69478608E-2
759	4.78745897E-2
558	4.8881746E-2
833	4.91400995E-2
950	4.98957986E-2
948	4.99060084E-2
157	5.12688669E-2
19	5.178275E-2
154	5.45311056E-2
428	5.46498979E-2
41	5.59158937E-2
890	5.83672481E-2
710	5.95237133E-2
547	6.00958669E-2
892	6.27086177E-2
922	6.36423974E-2
238	6.44901935E-2
360	6.44937012E-2
728	6.46369779E-2
971	6.53790116E-2
685	6.58304217E-2
472	6.59690943E-2
586	6.63846224E-2
538	6.72771336E-2
536	6.73497051E-2
744	6.77066032E-2
999	6.85193071E-2
479	6.91069877E-2
241	6.92528197E-2
389	6.94123712E-2
762	6.99580528E-2
169	7.04376021E-2
650	7.07137645E-2
335	7.10932156E-2
631	7.68574327E-2
644	7.74028134E-2
242	8.11621027E-2
275	8.1685774E-2
777	8.19401432E-2
269	8.36353671E-2
620	8.49375577E-2
144	8.52257692E-2
894	8.54798662E-2
747	8.64440807E-2
628	8.64925891E-2
748	8.84457477E-2
200	8.86789459E-2
110	8.88402982E-2
674	8.92626258E-2
853	8.97635581E-2
540	8.99405194E-2
893	9.09045173E-2
641	9.39911697E-2
117	9.45593786E-2
1009	9.48210312E-2
95	9.50272958E-2
565	9.63364173E-2
600	9.73348776E-2
436	9.75019156E-2
127	9.75921116E-2
898	9.77218479E-2
253	9.83483145E-2
908	9.91569501E-2
480	9.94622783E-2
933	9.99764624E-2
413	1.01005095E-1
316	1.01468246E-1
156	1.02469416E-1
42	1.02622303E-1
478	1.05685732E-1
291	1.06130839E-1
582	1.06141887E-1
186	1.06893259E-1
976	1.07505242E-1
506	1.07637431E-1
713	1.10994208E-1
686	1.12825974E-1
5	1.14236273E-1
211	1.14993289E-1
724	1.15001211E-1
114	1.17012371E-1
12	1.18508462E-1
352	1.1891964E-1
921	1.21333964E-1
60	1.21500782E-1
402	1.23409757E-1
96	1.23573443E-1
907	1.23989386E-1
643	1.24146015E-1
782	1.25950315E-1
927	1.27045666E-1
934	1.28805471E-1
