Name	chi2Pvalue
55	6.92398006E-4
608	1.45419751E-3
960	1.46834004E-3
43	2.29160106E-3
104	3.53479346E-3
438	4.06886065E-3
525	9.98884114E-3
11	1.05637262E-2
12	1.18745537E-2
188	1.25132746E-2
933	1.26393293E-2
646	1.41193014E-2
954	1.44544969E-2
169	1.44580339E-2
119	1.89566073E-2
335	1.951673E-2
482	2.09170167E-2
748	2.0951109E-2
413	2.29503612E-2
117	2.3090235E-2
890	2.33308958E-2
174	2.43273352E-2
976	2.44778747E-2
19	2.55015654E-2
239	3.18725824E-2
612	3.28086237E-2
172	3.38266478E-2
833	3.38372022E-2
547	3.5811529E-2
269	3.58321222E-2
1002	3.60948472E-2
705	3.83885885E-2
946	3.90852957E-2
958	4.04537975E-2
69	4.10132595E-2
990	4.10577172E-2
41	4.21338902E-2
370	4.36787581E-2
242	4.47231418E-2
845	4.48180437E-2
951	4.49391805E-2
949	4.5934518E-2
472	4.72691988E-2
378	4.75983453E-2
387	4.83943806E-2
680	4.85523456E-2
631	4.85707369E-2
86	5.0162165E-2
673	5.12143193E-2
276	5.21936244E-2
375	5.39276397E-2
719	5.41637711E-2
586	5.47295618E-2
328	5.48408259E-2
864	5.54233641E-2
929	5.66346778E-2
685	5.69693588E-2
747	5.81608483E-2
801	5.87455358E-2
367	5.99579719E-2
569	6.17559219E-2
536	6.27004794E-2
218	6.31072065E-2
922	6.33578936E-2
897	6.5499415E-2
777	6.55270201E-2
377	6.57447999E-2
898	6.73695181E-2
816	6.94380155E-2
692	6.95755155E-2
408	6.96729047E-2
948	7.10844894E-2
582	7.19691353E-2
350	7.23690405E-2
713	7.31237854E-2
839	7.43738927E-2
343	7.44713555E-2
476	7.58851415E-2
60	7.60081575E-2
72	7.63605077E-2
690	7.64979459E-2
108	7.8462578E-2
495	7.86098371E-2
969	7.92184993E-2
587	7.94148633E-2
971	8.04086643E-2
1004	8.09644523E-2
860	8.22973598E-2
813	8.37346403E-2
756	8.50392311E-2
716	8.59267442E-2
774	8.74113066E-2
396	8.8558546E-2
543	8.91468982E-2
98	8.9389697E-2
411	8.98429121E-2
928	9.14543031E-2
526	9.22383899E-2
610	9.29746858E-2
963	9.47429365E-2
908	9.49057979E-2
323	9.5793228E-2
636	9.66910587E-2
303	9.70417898E-2
989	1.00132523E-1
781	1.0107142E-1
131	1.0149175E-1
889	1.03024453E-1
431	1.04038727E-1
605	1.05886612E-1
474	1.05924707E-1
196	1.07072904E-1
92	1.09188035E-1
825	1.11259938E-1
245	1.12134563E-1
420	1.15936218E-1
939	1.16973594E-1
812	1.16993644E-1
259	1.17064042E-1
585	1.18145743E-1
754	1.18271077E-1
428	1.18958522E-1
477	1.19309171E-1
935	1.19812323E-1
17	1.20966393E-1
382	1.23339252E-1
393	1.25859968E-1
334	1.30826517E-1
544	1.33990881E-1
30	1.36135685E-1
391	1.37478932E-1
560	1.37895509E-1
627	1.38773466E-1
288	1.39010667E-1
284	1.39448639E-1
5	1.41609885E-1
915	1.42112016E-1
746	1.44927643E-1
950	1.49016741E-1
479	1.52832781E-1
663	1.53315586E-1
620	1.53659717E-1
745	1.53800179E-1
154	1.53974453E-1
506	1.54034291E-1
74	1.55575032E-1
538	1.56198452E-1
892	1.57496964E-1
542	1.57855799E-1
331	1.59516145E-1
981	1.60329405E-1
290	1.60750883E-1
389	1.62780642E-1
750	1.62925411E-1
481	1.63220881E-1
184	1.63234759E-1
216	1.64354474E-1
200	1.64743463E-1
71	1.65725086E-1
127	1.68510289E-1
241	1.69076444E-1
294	1.69338241E-1
275	1.70342023E-1
866	1.7177343E-1
61	1.72190268E-1
856	1.73425502E-1
360	1.73679613E-1
146	1.73904124E-1
809	1.74334605E-1
894	1.74400129E-1
415	1.74430093E-1
882	1.75473201E-1
291	1.75750909E-1
554	1.76145241E-1
253	1.79257331E-1
735	1.7960534E-1
144	1.79625888E-1
454	1.8023909E-1
501	1.8086947E-1
827	1.81266065E-1
584	1.82889969E-1
53	1.84507777E-1
674	1.84730645E-1
528	1.85431746E-1
405	1.85703855E-1
170	1.86051368E-1
228	1.868776E-1
416	1.8927998E-1
500	1.89687186E-1
678	1.9134959E-1
325	1.92765215E-1
248	1.92975944E-1
913	1.94079325E-1
453	1.94450544E-1
653	1.94461062E-1
760	1.95012445E-1
847	1.95837988E-1
25	1.96490672E-1
782	1.96504121E-1
911	1.96653639E-1
1006	1.96748983E-1
769	1.97907657E-1
807	1.98675484E-1
865	2.02155783E-1
429	2.02423024E-1
403	2.02583927E-1
723	2.07462802E-1
614	2.08319093E-1
763	2.08910934E-1
533	2.09668438E-1
410	2.11194478E-1
959	2.13916781E-1
628	2.16970559E-1
785	2.1723937E-1
240	2.18429319E-1
643	2.20601911E-1
945	2.21535459E-1
155	2.23033628E-1
85	2.23527675E-1
709	2.23575578E-1
832	2.24788034E-1
120	2.25580751E-1
121	2.26265139E-1
363	2.27308587E-1
696	2.29069354E-1
773	2.30649092E-1
499	2.30789423E-1
672	2.31726295E-1
784	2.3285848E-1
795	2.32928974E-1
463	2.32966678E-1
883	2.32996071E-1
437	2.34008555E-1
621	2.34637237E-1
263	2.35032325E-1
932	2.35266084E-1
657	2.35468213E-1
759	2.35878921E-1
136	2.36346996E-1
695	2.37271431E-1
708	2.38613372E-1
366	2.41200074E-1
670	2.42739571E-1
885	2.42814964E-1
724	2.42908393E-1
683	2.43286973E-1
843	2.48391047E-1
84	2.50756538E-1
206	2.50981118E-1
978	2.51147233E-1
836	2.51297255E-1
814	2.51691159E-1
686	2.53332384E-1
51	2.5407382E-1
16	2.55305805E-1
148	2.56072794E-1
73	2.56570719E-1
285	2.56966258E-1
38	2.5700767E-1
80	2.57188694E-1
794	2.5730588E-1
927	2.57386783E-1
217	2.57869616E-1
835	2.59099533E-1
299	2.59331118E-1
152	2.59909395E-1
301	2.60026122E-1
820	2.60382717E-1
597	2.6050468E-1
110	2.60584756E-1
558	2.62062145E-1
140	2.62577729E-1
129	2.64050393E-1
349	2.65067875E-1
460	2.65809938E-1
952	2.65901538E-1
734	2.65970258E-1
660	2.66001651E-1
575	2.66612163E-1
1012	2.67536774E-1
436	2.67928097E-1
67	2.6817808E-1
776	2.68995504E-1
227	2.69193077E-1
926	2.70218553E-1
633	2.70862285E-1
805	2.72688191E-1
308	2.73189699E-1
675	2.73207099E-1
727	2.73870508E-1
480	2.74196542E-1
559	2.75200862E-1
153	2.75260715E-1
352	2.75729361E-1
52	2.77840613E-1
496	2.78016963E-1
999	2.7901852E-1
862	2.79134836E-1
451	2.81502537E-1
720	2.81815336E-1
539	2.83204475E-1
732	2.84182778E-1
744	2.86940224E-1
54	2.87156254E-1
788	2.88239689E-1
266	2.89919969E-1
798	2.92582794E-1
604	2.93041809E-1
1014	2.93942334E-1
905	2.96865564E-1
842	2.98563285E-1
56	2.98781689E-1
279	3.0000562E-1
877	3.02781628E-1
40	3.03631968E-1
139	3.03855851E-1
193	3.04193185E-1
907	3.05076481E-1
800	3.05477243E-1
220	3.06374684E-1
741	3.06429506E-1
755	3.09190016E-1
380	3.09615009E-1
374	3.11254815E-1
512	3.11948278E-1
398	3.12688E-1
868	3.12986043E-1
456	3.1304088E-1
91	3.13495031E-1
1	3.13743356E-1
433	3.15623675E-1
607	3.15750054E-1
213	3.18559235E-1
162	3.18625779E-1
300	3.20213897E-1
351	3.22205777E-1
191	3.23042826E-1
830	3.25578736E-1
147	3.25786035E-1
552	3.28033468E-1
641	3.29245558E-1
849	3.29947242E-1
384	3.30259144E-1
475	3.30975717E-1
1008	3.33003178E-1
654	3.33232463E-1
834	3.35431412E-1
591	3.35716667E-1
282	3.36392952E-1
446	3.37389188E-1
48	3.38080446E-1
386	3.3968435E-1
257	3.43311668E-1
850	3.4331832E-1
42	3.4376689E-1
125	3.45571863E-1
609	3.45771078E-1
677	3.46833102E-1
36	3.47420213E-1
900	3.48195561E-1
556	3.48269419E-1
249	3.48477966E-1
555	3.49913052E-1
789	3.51143559E-1
698	3.51344504E-1
322	3.51707013E-1
749	3.56218299E-1
307	3.56789765E-1
234	3.57390319E-1
32	3.58398033E-1
221	3.58496147E-1
381	3.59248521E-1
96	3.61004764E-1
571	3.61366927E-1
317	3.61796102E-1
195	3.62745402E-1
388	3.63959431E-1
20	3.65114306E-1
364	3.65168271E-1
770	3.65604704E-1
64	3.67602101E-1
229	3.68512755E-1
418	3.69708225E-1
158	3.7004506E-1
186	3.70194181E-1
909	3.7123726E-1
341	3.71424456E-1
390	3.72267671E-1
329	3.72936656E-1
581	3.73079604E-1
819	3.735675E-1
123	3.73748008E-1
95	3.73867703E-1
348	3.77678301E-1
529	3.78164891E-1
215	3.78683106E-1
347	3.78789185E-1
199	3.80357881E-1
160	3.80599527E-1
880	3.81156423E-1
821	3.82616457E-1
130	3.85343979E-1
937	3.85665594E-1
691	3.86123033E-1
166	3.86992057E-1
365	3.88116909E-1
787	3.89354779E-1
786	3.89475809E-1
338	3.90040606E-1
246	3.90889137E-1
527	3.91212605E-1
295	3.92536728E-1
858	3.92613284E-1
371	3.94734617E-1
2	3.94739265E-1
443	3.95419939E-1
179	3.95452024E-1
192	3.96139731E-1
767	3.96819746E-1
731	3.9898818E-1
930	3.9945889E-1
468	4.00579848E-1
424	4.01130218E-1
399	4.03905661E-1
837	4.04358045E-1
658	4.04410558E-1
1009	4.0678757E-1
947	4.06999944E-1
793	4.07164558E-1
189	4.07240755E-1
316	4.09673093E-1
492	4.10256863E-1
430	4.13057338E-1
212	4.14863992E-1
271	4.15457951E-1
1001	4.15878359E-1
934	4.17042062E-1
994	4.17458063E-1
226	4.17583681E-1
733	4.18493846E-1
829	4.19174556E-1
681	4.20498775E-1
70	4.20900044E-1
841	4.21542465E-1
964	4.23961093E-1
244	4.2494427E-1
87	4.2502592E-1
870	4.26044416E-1
407	4.26536324E-1
13	4.26720271E-1
304	4.27179521E-1
853	4.27371011E-1
648	4.27821404E-1
6	4.29021015E-1
1003	4.29684169E-1
197	4.34980137E-1
772	4.37037153E-1
623	4.37297456E-1
573	4.38675859E-1
18	4.39068453E-1
925	4.42079527E-1
326	4.42625E-1
102	4.43274491E-1
337	4.43911718E-1
0	4.44414086E-1
340	4.46378494E-1
520	4.47669712E-1
175	4.47974882E-1
634	4.48189674E-1
515	4.48560311E-1
309	4.49747608E-1
89	4.49952259E-1
115	4.51966324E-1
358	4.54035719E-1
910	4.5527895E-1
790	4.56178518E-1
376	4.56252784E-1
572	4.57708348E-1
238	4.58792406E-1
24	4.59153273E-1
344	4.60377992E-1
270	4.60583175E-1
157	4.60792149E-1
688	4.61502991E-1
368	4.62154911E-1
302	4.62229234E-1
662	4.62350591E-1
333	4.63960256E-1
765	4.65049416E-1
182	4.66985148E-1
63	4.67174167E-1
687	4.67245407E-1
650	4.67307167E-1
114	4.70339246E-1
710	4.70410402E-1
684	4.70545602E-1
258	4.73201031E-1
638	4.74080481E-1
484	4.74927444E-1
247	4.76227582E-1
223	4.78260022E-1
109	4.79969504E-1
449	4.81022026E-1
187	4.81098454E-1
359	4.828752E-1
312	4.82901251E-1
106	4.85329499E-1
339	4.89478497E-1
600	4.90064303E-1
984	4.91637636E-1
863	4.93406974E-1
203	4.94032499E-1
159	4.95494871E-1
583	4.96700343E-1
62	4.97870478E-1
764	4.982015E-1
167	4.99027425E-1
574	4.99122135E-1
592	5.00197501E-1
855	5.01746551E-1
457	5.02995795E-1
222	5.03119534E-1
553	5.05826034E-1
879	5.06175962E-1
9	5.06563513E-1
281	5.06849736E-1
593	5.07094651E-1
873	5.0848373E-1
100	5.08804503E-1
254	5.10917654E-1
738	5.11229646E-1
563	5.11907911E-1
34	5.1208746E-1
531	5.12313227E-1
310	5.12865667E-1
318	5.1290323E-1
194	5.14032682E-1
540	5.1562372E-1
998	5.17329702E-1
441	5.182695E-1
671	5.18653136E-1
232	5.19625358E-1
156	5.22173692E-1
697	5.22933613E-1
656	5.22978543E-1
957	5.23379004E-1
274	5.23502886E-1
90	5.25424505E-1
336	5.2629686E-1
550	5.26917185E-1
861	5.28506579E-1
891	5.29982426E-1
427	5.31654635E-1
693	5.32110642E-1
198	5.33108417E-1
330	5.33685284E-1
493	5.34707498E-1
931	5.35454822E-1
77	5.36303875E-1
31	5.36489911E-1
924	5.36952535E-1
887	5.37212889E-1
252	5.37489704E-1
689	5.38022222E-1
647	5.39013057E-1
305	5.39328029E-1
450	5.39673436E-1
993	5.40776519E-1
703	5.40965262E-1
706	5.4245009E-1
425	5.43410483E-1
