Name	chi2Pvalue
38	1.33322343E-3
111	1.37030681E-3
176	2.31495279E-3
506	5.42799959E-3
116	5.64794126E-3
737	6.61128284E-3
664	6.99427589E-3
989	7.12037792E-3
57	8.97259352E-3
168	9.74746325E-3
406	1.26362675E-2
512	1.4574851E-2
1004	1.54627202E-2
851	1.64990723E-2
527	1.69170514E-2
584	1.76853246E-2
68	1.79602918E-2
11	2.01844598E-2
635	2.04858358E-2
385	2.18534776E-2
793	2.19298678E-2
117	2.236033E-2
200	2.26869004E-2
424	2.3370897E-2
969	2.4329717E-2
238	2.489648E-2
861	2.50538696E-2
520	2.58109924E-2
796	2.63324627E-2
778	2.65252484E-2
623	3.12099221E-2
30	3.14757167E-2
864	3.21047929E-2
942	3.47078679E-2
738	3.5240497E-2
482	3.54776875E-2
580	3.68850711E-2
619	3.80119236E-2
562	3.90899185E-2
144	4.06218083E-2
881	4.08500249E-2
3	4.12356322E-2
954	4.18544386E-2
177	4.43856738E-2
614	4.45640833E-2
321	4.51054453E-2
429	4.52114768E-2
810	4.75655505E-2
769	4.75937093E-2
340	4.88058723E-2
264	4.97014551E-2
776	5.04511701E-2
596	5.05306164E-2
882	5.13031895E-2
389	5.15123346E-2
13	5.41582255E-2
378	5.45595618E-2
332	5.47473222E-2
73	5.58844821E-2
587	5.64808128E-2
870	5.74801978E-2
781	5.88742456E-2
455	5.89265934E-2
597	5.92517738E-2
557	5.97388622E-2
94	5.97840336E-2
765	6.28984483E-2
281	6.52633689E-2
878	6.67921747E-2
1013	6.90568746E-2
212	6.92518866E-2
667	7.05159985E-2
717	7.13213313E-2
652	7.19502643E-2
893	7.25105553E-2
5	7.33118609E-2
739	7.45990975E-2
1014	7.5459953E-2
638	7.56509311E-2
254	7.7858263E-2
980	7.83904095E-2
459	8.00665008E-2
220	8.14050057E-2
519	8.18750162E-2
149	8.2281538E-2
397	8.38102585E-2
86	8.39009447E-2
579	8.39616968E-2
522	9.00990628E-2
685	9.12678663E-2
150	9.46488248E-2
448	9.53796474E-2
465	9.53817659E-2
607	9.72084208E-2
341	9.92141673E-2
1005	9.95305018E-2
294	9.96022746E-2
904	9.99107464E-2
988	1.01337099E-1
203	1.01694678E-1
474	1.01865207E-1
965	1.03034043E-1
226	1.04010978E-1
377	1.04750357E-1
883	1.06866206E-1
503	1.08053747E-1
442	1.08455291E-1
531	1.0853305E-1
736	1.08864629E-1
67	1.1023307E-1
926	1.12081363E-1
181	1.13570342E-1
613	1.13944378E-1
583	1.1499229E-1
561	1.15894146E-1
910	1.17613947E-1
339	1.17941392E-1
417	1.19142166E-1
211	1.1957431E-1
697	1.19908455E-1
180	1.20315021E-1
682	1.24433783E-1
880	1.24915229E-1
219	1.25376154E-1
407	1.26661263E-1
359	1.27315622E-1
872	1.28715479E-1
537	1.28760365E-1
298	1.31660877E-1
59	1.31741409E-1
916	1.31829501E-1
222	1.33405495E-1
951	1.33601465E-1
215	1.36606953E-1
122	1.36948748E-1
761	1.38584031E-1
114	1.39416826E-1
719	1.42461016E-1
538	1.43695427E-1
973	1.43753266E-1
440	1.43970354E-1
927	1.46234188E-1
496	1.47374843E-1
798	1.47496544E-1
287	1.47609983E-1
14	1.47856079E-1
805	1.47945879E-1
295	1.48518914E-1
1015	1.48932173E-1
575	1.489722E-1
827	1.49953749E-1
666	1.52465765E-1
371	1.52710621E-1
12	1.53464427E-1
877	1.54494109E-1
735	1.54840697E-1
993	1.54964837E-1
404	1.56063206E-1
775	1.57095272E-1
691	1.5939967E-1
912	1.61040415E-1
985	1.62749627E-1
60	1.63097167E-1
105	1.63225082E-1
563	1.6434609E-1
897	1.65253792E-1
277	1.66905438E-1
906	1.66958754E-1
491	1.68218795E-1
270	1.68598738E-1
1001	1.68805755E-1
716	1.70524527E-1
266	1.70657918E-1
207	1.72719491E-1
834	1.77677427E-1
998	1.78568337E-1
1023	1.79120215E-1
311	1.79190155E-1
296	1.81613719E-1
490	1.82454975E-1
569	1.84317409E-1
418	1.84584253E-1
905	1.84779774E-1
421	1.85398028E-1
982	1.85400966E-1
553	1.86696115E-1
944	1.8670554E-1
318	1.87806309E-1
161	1.88999292E-1
758	1.89103398E-1
600	1.89239229E-1
348	1.89572851E-1
364	1.90353783E-1
245	1.90670337E-1
829	1.91571617E-1
495	1.94416693E-1
135	1.9564722E-1
439	1.95834832E-1
975	1.96742677E-1
156	1.97815298E-1
999	1.98024489E-1
763	1.98772219E-1
760	1.98883669E-1
892	1.99245841E-1
816	2.0126279E-1
631	2.01394396E-1
217	2.05870352E-1
104	2.06252594E-1
601	2.06354251E-1
517	2.07527283E-1
313	2.0827206E-1
504	2.09933887E-1
273	2.11194908E-1
856	2.12875195E-1
865	2.14160846E-1
36	2.14689831E-1
159	2.15520819E-1
456	2.15721943E-1
918	2.16268311E-1
681	2.16389477E-1
1010	2.16749434E-1
113	2.1704547E-1
393	2.21056385E-1
123	2.21635826E-1
191	2.21669776E-1
20	2.21802466E-1
45	2.21805457E-1
452	2.22020024E-1
383	2.26366474E-1
585	2.28193216E-1
972	2.28706597E-1
799	2.29741748E-1
108	2.3011345E-1
994	2.3017521E-1
710	2.31104461E-1
661	2.3148731E-1
931	2.31753017E-1
956	2.3214974E-1
726	2.32689517E-1
263	2.34262019E-1
591	2.35574774E-1
713	2.36422753E-1
435	2.43504112E-1
7	2.43753893E-1
204	2.47016491E-1
322	2.48040976E-1
859	2.48699583E-1
672	2.49704388E-1
165	2.5001761E-1
700	2.53411126E-1
409	2.58716992E-1
573	2.5906177E-1
545	2.59916967E-1
391	2.62375158E-1
966	2.62961653E-1
526	2.64922012E-1
919	2.66113067E-1
402	2.66125576E-1
849	2.67795719E-1
1020	2.67965179E-1
826	2.6902088E-1
702	2.69131632E-1
305	2.70831621E-1
842	2.70941812E-1
28	2.72069405E-1
540	2.74765211E-1
1019	2.75231844E-1
365	2.75307372E-1
960	2.75809088E-1
698	2.76205741E-1
744	2.76579977E-1
690	2.77653306E-1
714	2.80313703E-1
390	2.80792068E-1
43	2.81399179E-1
889	2.8241929E-1
612	2.83966541E-1
164	2.84259539E-1
386	2.84305763E-1
21	2.84306261E-1
728	2.8694991E-1
552	2.87181214E-1
917	2.87525932E-1
812	2.87708853E-1
621	2.88454172E-1
227	2.92093105E-1
838	2.92139704E-1
539	2.9520265E-1
783	2.95316647E-1
195	2.95807155E-1
847	2.96534048E-1
124	2.97032727E-1
412	2.97743902E-1
862	2.98395572E-1
543	3.0016306E-1
269	3.00697577E-1
196	3.04778455E-1
18	3.05543587E-1
300	3.09102156E-1
725	3.09452783E-1
258	3.09785304E-1
55	3.11065202E-1
890	3.11136074E-1
673	3.11365899E-1
302	3.13419001E-1
797	3.18257593E-1
624	3.18464939E-1
51	3.18502309E-1
967	3.18945839E-1
536	3.1927909E-1
410	3.20107849E-1
333	3.20691119E-1
462	3.23988557E-1
524	3.2425298E-1
986	3.25575523E-1
80	3.2573616E-1
480	3.27199462E-1
131	3.28198149E-1
249	3.29553614E-1
186	3.30170851E-1
91	3.31541226E-1
801	3.31979038E-1
414	3.32795537E-1
992	3.34799751E-1
76	3.37585843E-1
901	3.38114411E-1
225	3.38489392E-1
911	3.40387776E-1
746	3.41277229E-1
565	3.41294238E-1
940	3.42399975E-1
315	3.45363198E-1
256	3.4542096E-1
260	3.45979746E-1
743	3.46866383E-1
179	3.47516258E-1
137	3.49889638E-1
1011	3.50420913E-1
251	3.50699742E-1
990	3.51742412E-1
162	3.52306636E-1
875	3.53406396E-1
257	3.55079051E-1
822	3.56765263E-1
49	3.57099692E-1
544	3.57769611E-1
663	3.58556263E-1
722	3.58937955E-1
1017	3.59761371E-1
324	3.59998577E-1
432	3.6024816E-1
508	3.62739762E-1
955	3.62776925E-1
93	3.63982657E-1
825	3.64397604E-1
828	3.64693996E-1
665	3.64870323E-1
832	3.65824186E-1
128	3.66102661E-1
654	3.70026109E-1
336	3.70094971E-1
923	3.71356642E-1
649	3.71486771E-1
845	3.71582265E-1
609	3.72608015E-1
617	3.73871455E-1
784	3.74081219E-1
477	3.74826358E-1
634	3.74870465E-1
229	3.76641367E-1
902	3.7664204E-1
747	3.78331695E-1
913	3.78456037E-1
586	3.79354045E-1
706	3.80389443E-1
687	3.80646295E-1
636	3.8070624E-1
349	3.80820686E-1
833	3.80832034E-1
301	3.83096852E-1
1022	3.90311877E-1
331	3.90393549E-1
772	3.90731518E-1
689	3.93395122E-1
541	3.94837132E-1
731	3.94899428E-1
42	3.95055504E-1
