Name	chi2Pvalue
105	8.08402084E-5
743	2.7789535E-4
448	8.18233294E-4
260	2.67594674E-3
799	2.91629814E-3
1013	3.39202683E-3
760	4.98520698E-3
515	5.56170499E-3
262	6.81727807E-3
628	7.50672232E-3
793	8.13780172E-3
392	8.22228638E-3
957	9.10998303E-3
1010	1.19549474E-2
603	1.21566333E-2
257	1.51601585E-2
921	1.57811876E-2
1012	1.6757666E-2
154	1.68840189E-2
971	1.69874648E-2
233	1.74489678E-2
618	1.88629378E-2
586	1.90854563E-2
918	1.99977257E-2
264	2.42007125E-2
5	2.43044015E-2
865	2.4634222E-2
501	2.49136177E-2
665	2.60718606E-2
415	2.70990158E-2
78	2.7768123E-2
768	2.94621944E-2
551	2.94899212E-2
624	3.05472894E-2
860	3.13374688E-2
771	3.13640701E-2
488	3.16894124E-2
174	3.3221853E-2
823	3.34362878E-2
938	3.49564546E-2
193	3.5133792E-2
483	3.52428802E-2
205	3.56889651E-2
954	3.67970057E-2
930	3.71300872E-2
999	3.85930348E-2
567	3.91825764E-2
86	4.01132769E-2
246	4.28676436E-2
849	4.46588907E-2
1011	4.50434902E-2
989	4.58504375E-2
900	4.61268776E-2
84	4.6697659E-2
657	4.67042344E-2
461	4.74994763E-2
73	4.77756421E-2
833	4.82000113E-2
142	4.89896278E-2
507	4.95528132E-2
687	5.20992171E-2
947	5.30104306E-2
932	5.35997845E-2
753	5.39138614E-2
195	5.75641772E-2
839	5.84436934E-2
477	5.88050498E-2
452	6.09566164E-2
226	6.14789233E-2
367	6.16120594E-2
752	6.16234283E-2
813	6.16594555E-2
763	6.29723402E-2
890	6.41627392E-2
750	6.71860495E-2
516	6.73142742E-2
140	6.82138315E-2
109	7.04778981E-2
836	7.13657189E-2
645	7.1405298E-2
45	7.22451398E-2
738	7.23322652E-2
841	7.27533839E-2
406	7.32695012E-2
133	7.5431502E-2
229	7.75347197E-2
886	7.87694221E-2
377	7.90917388E-2
980	7.91973162E-2
194	8.02222893E-2
85	8.36044595E-2
106	8.37255689E-2
173	8.38127495E-2
858	8.39363883E-2
300	8.52295859E-2
736	8.58212505E-2
840	8.62679386E-2
276	8.64030162E-2
48	8.72357407E-2
271	8.7496549E-2
37	8.8850881E-2
639	8.99267565E-2
180	9.06400543E-2
187	9.08134874E-2
959	9.18596948E-2
623	9.26697269E-2
286	9.27220883E-2
277	9.47750051E-2
821	9.49103588E-2
765	9.51314294E-2
376	9.5367155E-2
36	9.64454519E-2
638	9.66689069E-2
906	9.67746824E-2
599	9.68285225E-2
308	1.02385904E-1
572	1.02407801E-1
741	1.02694279E-1
577	1.03084515E-1
213	1.03262911E-1
732	1.04672735E-1
996	1.04765834E-1
691	1.04840535E-1
110	1.05237228E-1
212	1.05918071E-1
131	1.06366739E-1
686	1.0668558E-1
421	1.08293416E-1
144	1.09169143E-1
924	1.09555914E-1
780	1.09734557E-1
288	1.1005927E-1
914	1.10801107E-1
284	1.11673182E-1
424	1.15809222E-1
253	1.22801593E-1
297	1.22810429E-1
319	1.23296239E-1
571	1.24910535E-1
666	1.25299643E-1
643	1.25454619E-1
400	1.25863044E-1
265	1.26432539E-1
403	1.27030641E-1
819	1.2760831E-1
344	1.29949871E-1
56	1.33134875E-1
801	1.34290645E-1
200	1.35879251E-1
593	1.35980781E-1
990	1.36089235E-1
728	1.38042583E-1
626	1.38886973E-1
613	1.42016245E-1
468	1.45746767E-1
1002	1.46038547E-1
249	1.52891489E-1
372	1.52963084E-1
565	1.54853999E-1
949	1.58216381E-1
978	1.59764266E-1
506	1.62672679E-1
183	1.63526692E-1
101	1.63893706E-1
558	1.65592575E-1
199	1.6567698E-1
409	1.67506297E-1
891	1.70587118E-1
961	1.76358895E-1
463	1.79431767E-1
96	1.81437734E-1
401	1.81492346E-1
648	1.81901444E-1
795	1.82346588E-1
381	1.87203689E-1
948	1.88612038E-1
59	1.90779137E-1
139	1.91487348E-1
6	1.91674424E-1
594	1.93839898E-1
387	1.9396319E-1
450	1.96796487E-1
318	1.9928273E-1
453	1.99592901E-1
857	1.99767414E-1
756	2.02581511E-1
735	2.05879989E-1
290	2.07553161E-1
663	2.07860427E-1
482	2.07864629E-1
472	2.08123578E-1
553	2.08174274E-1
449	2.09534646E-1
852	2.09770248E-1
835	2.10146404E-1
469	2.10959147E-1
72	2.11947591E-1
359	2.12305988E-1
64	2.12443361E-1
425	2.1251021E-1
366	2.12551389E-1
915	2.12757743E-1
539	2.1439538E-1
688	2.1455014E-1
138	2.17377713E-1
44	2.17500477E-1
733	2.19819092E-1
215	2.20585737E-1
445	2.21001485E-1
698	2.21947209E-1
748	2.22515183E-1
258	2.2372878E-1
526	2.23846219E-1
604	2.24161697E-1
490	2.24178353E-1
816	2.24999496E-1
299	2.27956462E-1
778	2.28132372E-1
390	2.28844851E-1
984	2.29635187E-1
625	2.29683473E-1
10	2.30722988E-1
636	2.32792883E-1
137	2.32793891E-1
206	2.33586384E-1
496	2.3384099E-1
903	2.34672824E-1
23	2.35773477E-1
872	2.36607768E-1
641	2.37196486E-1
898	2.38404013E-1
895	2.3852605E-1
354	2.38949038E-1
716	2.39149676E-1
881	2.39917853E-1
855	2.44872754E-1
669	2.45366261E-1
887	2.45839078E-1
493	2.46865935E-1
602	2.47033919E-1
107	2.47904415E-1
28	2.48514973E-1
221	2.48680624E-1
87	2.48823966E-1
850	2.49455328E-1
352	2.50325157E-1
1006	2.51121466E-1
437	2.51208295E-1
353	2.51579598E-1
875	2.51776401E-1
294	2.52992296E-1
67	2.5422546E-1
937	2.54316913E-1
11	2.54544619E-1
536	2.55309103E-1
556	2.57482483E-1
13	2.58398913E-1
885	2.6022467E-1
672	2.60996956E-1
17	2.63534426E-1
