Name	chi2Pvalue
760	3.74791003E-8
236	1.31110201E-3
473	1.83128447E-3
540	2.30347534E-3
690	3.04878734E-3
170	4.53065994E-3
818	6.55938903E-3
898	7.31371407E-3
148	8.08699436E-3
157	8.99299268E-3
790	9.10474955E-3
379	9.47699859E-3
526	1.27419444E-2
392	1.30262763E-2
247	1.40696984E-2
184	1.43720876E-2
292	1.46993626E-2
456	1.47839507E-2
664	1.51561121E-2
928	1.52661407E-2
342	1.58057627E-2
5	1.63907024E-2
374	1.74296401E-2
265	1.88494578E-2
725	1.89730504E-2
370	1.98070484E-2
293	2.09642301E-2
667	2.1673057E-2
274	2.56865487E-2
256	2.6166193E-2
826	2.68641649E-2
618	2.75512371E-2
650	2.85129347E-2
95	3.22311264E-2
921	3.22380038E-2
1014	3.26874009E-2
815	3.31714597E-2
400	3.48154107E-2
549	3.69238281E-2
1	3.86598855E-2
808	3.90001847E-2
311	3.92546722E-2
1013	3.96576833E-2
200	4.05510567E-2
919	4.17812761E-2
388	4.75380207E-2
612	5.1219328E-2
404	5.1575284E-2
320	5.16213219E-2
881	5.20152601E-2
105	5.23369089E-2
916	5.41417566E-2
787	5.62832889E-2
971	5.84559385E-2
699	5.85990484E-2
443	5.9495258E-2
568	6.0447573E-2
360	6.13862069E-2
478	6.14618525E-2
6	6.17252872E-2
693	6.27501753E-2
911	6.31346556E-2
1017	6.53695958E-2
349	6.5970174E-2
884	6.60903769E-2
351	6.60923253E-2
179	6.78071325E-2
140	6.89539003E-2
744	7.08489529E-2
909	7.11723732E-2
507	7.14708198E-2
722	7.37741564E-2
888	7.43780308E-2
558	7.53604483E-2
627	7.62503863E-2
645	7.67048226E-2
235	7.67662771E-2
390	7.76267564E-2
987	8.00988762E-2
879	8.20058088E-2
602	8.24048772E-2
346	8.4087963E-2
10	8.64335718E-2
980	8.69112112E-2
429	8.75665767E-2
448	8.75729934E-2
100	8.94784557E-2
204	8.96370505E-2
709	8.97752024E-2
334	8.99246412E-2
989	9.09052478E-2
133	9.21216997E-2
546	9.21831662E-2
634	9.23503244E-2
163	9.53985694E-2
185	9.55298966E-2
74	9.73608707E-2
813	9.82965413E-2
973	9.9058633E-2
599	9.92753666E-2
610	9.93988787E-2
784	1.00660378E-1
759	1.01480286E-1
541	1.04484477E-1
608	1.0549903E-1
798	1.05513265E-1
854	1.05820894E-1
108	1.06221618E-1
385	1.07028322E-1
405	1.07241583E-1
306	1.07786439E-1
331	1.08101797E-1
861	1.08543886E-1
103	1.09484937E-1
324	1.09858946E-1
245	1.10088841E-1
112	1.10175679E-1
801	1.10260812E-1
545	1.10429008E-1
955	1.10620428E-1
149	1.14099829E-1
529	1.16047857E-1
177	1.16085043E-1
431	1.17326805E-1
607	1.18234064E-1
991	1.19096949E-1
534	1.19957344E-1
357	1.21690871E-1
107	1.22119248E-1
33	1.22167248E-1
182	1.23522259E-1
264	1.24945493E-1
14	1.25105894E-1
613	1.26486215E-1
260	1.28065641E-1
767	1.29653596E-1
213	1.29857718E-1
277	1.30279241E-1
947	1.31724749E-1
469	1.33301055E-1
488	1.33449161E-1
205	1.35938688E-1
426	1.35946875E-1
496	1.36205408E-1
421	1.36210918E-1
332	1.36823245E-1
917	1.37173486E-1
629	1.37429635E-1
738	1.38392037E-1
238	1.3881957E-1
453	1.38949054E-1
656	1.39127294E-1
159	1.39645542E-1
706	1.40797096E-1
685	1.42247926E-1
938	1.43810522E-1
71	1.43902958E-1
142	1.44039344E-1
125	1.44554664E-1
913	1.49210642E-1
766	1.4957619E-1
883	1.4962688E-1
21	1.50423875E-1
1000	1.5105909E-1
721	1.51946609E-1
297	1.52326435E-1
780	1.52964672E-1
747	1.54403146E-1
130	1.54638704E-1
768	1.54648836E-1
644	1.55023791E-1
642	1.55825272E-1
101	1.56371879E-1
822	1.59327039E-1
625	1.59850606E-1
574	1.61255641E-1
267	1.61528381E-1
387	1.62042513E-1
366	1.65231511E-1
94	1.65536308E-1
754	1.66806268E-1
716	1.6685507E-1
339	1.67802227E-1
87	1.6888583E-1
735	1.69311298E-1
398	1.69772643E-1
994	1.72078149E-1
120	1.72302476E-1
712	1.72468424E-1
825	1.73446025E-1
455	1.74559963E-1
220	1.75493055E-1
863	1.77420954E-1
832	1.78445758E-1
912	1.78954759E-1
413	1.79102027E-1
836	1.7972787E-1
80	1.80173391E-1
266	1.81602597E-1
172	1.81737083E-1
581	1.82098586E-1
885	1.84181526E-1
169	1.84698306E-1
327	1.85442843E-1
577	1.86490285E-1
134	1.87663559E-1
548	1.88030179E-1
207	1.89349892E-1
982	1.89969031E-1
441	1.90330811E-1
543	1.90481751E-1
533	1.90814014E-1
992	1.92914359E-1
389	1.93867568E-1
679	1.98085395E-1
990	1.98171163E-1
22	2.00013282E-1
230	2.0079895E-1
621	2.02697893E-1
632	2.05917538E-1
924	2.06459114E-1
876	2.06937397E-1
556	2.07951647E-1
503	2.09629539E-1
114	2.1000853E-1
55	2.10039781E-1
552	2.11558326E-1
560	2.12142115E-1
259	2.12192263E-1
65	2.13811408E-1
486	2.13918396E-1
187	2.15134866E-1
843	2.16400346E-1
252	2.16423995E-1
418	2.17174468E-1
753	2.17378206E-1
217	2.18432124E-1
279	2.19500109E-1
687	2.21651808E-1
301	2.25976809E-1
411	2.27359689E-1
761	2.28151359E-1
168	2.28905488E-1
844	2.28912933E-1
597	2.29071113E-1
416	2.29124849E-1
906	2.29323832E-1
434	2.30399128E-1
43	2.31638441E-1
976	2.34108384E-1
765	2.34565803E-1
511	2.3581362E-1
377	2.36559357E-1
639	2.38199263E-1
497	2.38240374E-1
34	2.38405428E-1
575	2.39270881E-1
160	2.39682374E-1
183	2.40237691E-1
403	2.40996942E-1
96	2.42164371E-1
728	2.44350284E-1
934	2.44577966E-1
37	2.4512396E-1
970	2.46314665E-1
470	2.4633337E-1
19	2.46569394E-1
856	2.46891302E-1
677	2.47593436E-1
601	2.48930417E-1
589	2.4947465E-1
367	2.53496946E-1
870	2.53662003E-1
755	2.5557654E-1
12	2.56004678E-1
807	2.56516275E-1
273	2.56780826E-1
117	2.58190351E-1
313	2.58345024E-1
340	2.58517419E-1
975	2.59566457E-1
365	2.6234426E-1
132	2.63061862E-1
186	2.64327638E-1
113	2.64671898E-1
811	2.66432315E-1
654	2.66465231E-1
1009	2.67934642E-1
979	2.69349968E-1
93	2.69809331E-1
209	2.70613292E-1
203	2.72823801E-1
281	2.72991645E-1
138	2.73125766E-1
412	2.73287733E-1
788	2.73634847E-1
892	2.76127014E-1
877	2.76248528E-1
763	2.78614011E-1
51	2.80184484E-1
190	2.81568019E-1
953	2.8250044E-1
127	2.82869428E-1
192	2.82999074E-1
410	2.83271852E-1
493	2.85558092E-1
525	2.86052447E-1
837	2.87637344E-1
736	2.87952242E-1
726	2.89440689E-1
409	2.9175086E-1
86	2.96570057E-1
939	2.98100285E-1
967	2.99655172E-1
315	3.00219785E-1
28	3.01216895E-1
905	3.02173084E-1
18	3.02228157E-1
91	3.02547255E-1
46	3.02883425E-1
271	3.02912183E-1
894	3.04435925E-1
547	3.04476864E-1
317	3.06232759E-1
1005	3.06420173E-1
874	3.06515347E-1
1008	3.0687413E-1
663	3.09339636E-1
494	3.09799337E-1
959	3.10915095E-1
221	3.12256374E-1
719	3.12963134E-1
949	3.15397265E-1
734	3.16271432E-1
242	3.16992979E-1
718	3.17284164E-1
781	3.19272321E-1
299	3.19478532E-1
902	3.20188744E-1
75	3.21896089E-1
58	3.22305729E-1
897	3.25303817E-1
363	3.26241935E-1
318	3.28917746E-1
591	3.3037894E-1
312	3.31455557E-1
681	3.32955074E-1
414	3.33132878E-1
903	3.33982124E-1
688	3.3407181E-1
791	3.35089925E-1
794	3.36712218E-1
708	3.37424042E-1
60	3.3765724E-1
492	3.40885867E-1
451	3.41674234E-1
206	3.44360312E-1
707	3.44741665E-1
304	3.44920758E-1
442	3.45666369E-1
802	3.46790743E-1
680	3.47711727E-1
25	3.47748668E-1
659	3.48160855E-1
15	3.48217227E-1
783	3.48506146E-1
176	3.4862507E-1
218	3.50284281E-1
779	3.52045497E-1
867	3.53212678E-1
154	3.53708966E-1
940	3.54319689E-1
666	3.56018876E-1
640	3.56842543E-1
146	3.5692855E-1
978	3.57408873E-1
502	3.58063818E-1
79	3.58778218E-1
7	3.5923268E-1
550	3.5934955E-1
579	3.59847995E-1
594	3.60652021E-1
814	3.61605294E-1
165	3.61699075E-1
210	3.62333864E-1
698	3.62749457E-1
866	3.63595463E-1
314	3.64276503E-1
364	3.65543111E-1
596	3.67068589E-1
960	3.67397624E-1
459	3.68734786E-1
280	3.69294704E-1
189	3.70650683E-1
423	3.71215778E-1
2	3.71555373E-1
228	3.72103693E-1
308	3.72724306E-1
147	3.73912036E-1
637	3.73965232E-1
395	3.74444602E-1
1006	3.74557745E-1
212	3.74817817E-1
516	3.75293063E-1
847	3.75393155E-1
740	3.75633749E-1
733	3.75746295E-1
454	3.77228058E-1
927	3.7908462E-1
689	3.79681318E-1
638	3.80446101E-1
569	3.82138784E-1
49	3.82345809E-1
739	3.83106996E-1
778	3.83499697E-1
464	3.83718589E-1
936	3.87349642E-1
567	3.87680578E-1
250	3.88306685E-1
381	3.88755198E-1
530	3.89513473E-1
630	3.89732923E-1
330	3.90183554E-1
840	3.909248E-1
249	3.94271523E-1
171	3.94881044E-1
598	3.95551974E-1
676	3.9571276E-1
648	3.96692682E-1
432	3.97532515E-1
651	3.97603471E-1
932	3.97922148E-1
595	4.00389174E-1
123	4.01923577E-1
669	4.02910461E-1
995	4.03011744E-1
290	4.05459578E-1
742	4.07805561E-1
156	4.08350952E-1
194	4.08631264E-1
620	4.09281878E-1
655	4.0986451E-1
348	4.10803206E-1
335	4.11152439E-1
345	4.12361673E-1
406	4.12828245E-1
144	4.1319012E-1
136	4.13315993E-1
135	4.13330534E-1
42	4.15702901E-1
678	4.23555682E-1
56	4.25838281E-1
508	4.26826446E-1
155	4.27415248E-1
762	4.27455023E-1
31	4.27746268E-1
996	4.27750104E-1
499	4.28075902E-1
954	4.30009232E-1
89	4.3227402E-1
963	4.36432225E-1
40	4.37088608E-1
231	4.37804281E-1
373	4.3882476E-1
262	4.38828647E-1
68	4.38992799E-1
359	4.39002257E-1
73	4.39188523E-1
137	4.3939526E-1
820	4.4004312E-1
240	4.40167173E-1
222	4.41018232E-1
285	4.414033E-1
997	4.42778695E-1
528	4.43025106E-1
362	4.43928875E-1
124	4.44145888E-1
899	4.44778671E-1
774	4.46247679E-1
72	4.4743481E-1
775	4.47792823E-1
98	4.47808027E-1
951	4.484707E-1
962	4.49092599E-1
845	4.49530506E-1
723	4.51343923E-1
106	4.52853207E-1
918	4.54465633E-1
356	4.58288366E-1
732	4.5915409E-1
890	4.60148563E-1
251	4.61302102E-1
239	4.62048199E-1
504	4.64325296E-1
585	4.67344157E-1
703	4.67894482E-1
354	4.69967589E-1
483	4.70648142E-1
691	4.71425718E-1
447	4.73290798E-1
408	4.73758927E-1
289	4.7457115E-1
771	4.76034463E-1
227	4.76846239E-1
371	4.78581246E-1
749	4.78940514E-1
36	4.84163597E-1
298	4.84525948E-1
673	4.85303724E-1
458	4.85767828E-1
859	4.86483429E-1
445	4.86756534E-1
623	4.86793381E-1
226	4.8717036E-1
378	4.87388771E-1
62	4.87481739E-1
583	4.87795713E-1
180	4.90648404E-1
965	4.90731751E-1
705	4.92891307E-1
741	4.93042083E-1
797	4.93773231E-1
999	4.93884574E-1
622	4.98256161E-1
1010	4.99062683E-1
751	5.00339213E-1
828	5.01745544E-1
750	5.04320946E-1
554	5.04897924E-1
831	5.06668534E-1
323	5.0849289E-1
943	5.09398401E-1
931	5.09890053E-1
670	5.12719938E-1
415	5.169299E-1
686	5.17800554E-1
397	5.17897286E-1
162	5.18703868E-1
153	5.18818002E-1
489	5.19653876E-1
605	5.20783049E-1
974	5.2107878E-1
805	5.21278415E-1
641	5.21764373E-1
305	5.24541458E-1
45	5.25009477E-1
278	5.25597518E-1
407	5.25877674E-1
873	5.27377233E-1
935	5.28328862E-1
958	5.28794588E-1
848	5.30910985E-1
834	5.32073948E-1
461	5.32159843E-1
104	5.32514999E-1
4	5.33267974E-1
419	5.3474713E-1
539	5.34959693E-1
118	5.36413758E-1
215	5.3675956E-1
652	5.37050896E-1
47	5.43022648E-1
440	5.43575896E-1
457	5.43935501E-1
880	5.44483834E-1
175	5.44757887E-1
460	5.45014144E-1
923	5.45093312E-1
241	5.45374627E-1
988	5.47673568E-1
729	5.47725422E-1
11	5.48039473E-1
615	5.50432944E-1
697	5.54451807E-1
481	5.55460542E-1
3	5.57117613E-1
695	5.57830243E-1
929	5.57860831E-1
1001	5.57872735E-1
181	5.58513206E-1
