Name	chi2Pvalue
881	1.96316468E-5
760	1.41472869E-4
938	1.21891818E-3
227	4.27962078E-3
732	1.01312182E-2
587	1.26113769E-2
260	1.26763704E-2
222	1.39598501E-2
352	1.43172322E-2
596	1.75011626E-2
1013	1.81087369E-2
728	1.82055858E-2
742	2.17302996E-2
618	2.22520344E-2
569	2.39294409E-2
663	2.40366068E-2
105	2.43376297E-2
836	2.52734671E-2
835	2.70325175E-2
852	2.80951529E-2
926	2.83438809E-2
359	2.87375251E-2
729	2.88634039E-2
753	3.00548199E-2
839	3.02847887E-2
706	3.039235E-2
87	3.18131836E-2
662	3.33331968E-2
133	3.36416751E-2
489	3.50440414E-2
575	3.52722129E-2
747	3.65946799E-2
385	3.75802029E-2
699	3.77710739E-2
501	3.8225131E-2
655	4.34695544E-2
376	4.43910818E-2
719	4.51055391E-2
256	4.55419399E-2
101	4.6784672E-2
602	5.14317237E-2
624	5.15553664E-2
381	5.33702646E-2
790	5.38961066E-2
813	5.41455609E-2
34	5.4980973E-2
145	5.53119772E-2
206	5.57102109E-2
249	5.65431006E-2
457	5.70137917E-2
876	5.81836598E-2
307	5.84505341E-2
638	6.06668194E-2
707	6.09091855E-2
447	6.18182168E-2
84	6.307932E-2
121	6.33118927E-2
221	6.33808649E-2
326	6.42356724E-2
693	6.49661164E-2
424	6.7218951E-2
692	6.82042806E-2
238	7.01084658E-2
419	7.16598438E-2
885	7.20042834E-2
83	7.26892917E-2
126	7.27898069E-2
382	7.34972714E-2
216	7.49723924E-2
231	7.52558596E-2
858	7.60307958E-2
118	7.62580289E-2
396	7.8684579E-2
664	7.880783E-2
451	8.20421599E-2
288	8.32074755E-2
243	8.34514877E-2
814	8.36640456E-2
366	8.3783949E-2
420	8.49537722E-2
151	8.49700223E-2
550	8.59308025E-2
538	8.67130721E-2
220	8.74314192E-2
591	8.7566152E-2
996	8.80094897E-2
514	8.8298815E-2
554	9.02840425E-2
142	9.0536414E-2
298	9.14445576E-2
314	9.16792306E-2
311	9.20021502E-2
543	9.36779188E-2
521	9.367953E-2
22	9.37341131E-2
21	9.39092628E-2
890	9.59158986E-2
744	9.94750818E-2
749	1.01661935E-1
964	1.03080058E-1
40	1.03234376E-1
244	1.03819191E-1
754	1.04184214E-1
209	1.05275103E-1
324	1.05833866E-1
443	1.06492485E-1
731	1.08001706E-1
5	1.08170327E-1
188	1.09426447E-1
144	1.11457081E-1
784	1.11851789E-1
473	1.12153377E-1
218	1.12379627E-1
861	1.1338051E-1
135	1.13639368E-1
943	1.13835923E-1
600	1.14177013E-1
378	1.15493507E-1
708	1.1560369E-1
483	1.17258703E-1
12	1.19258226E-1
25	1.19284977E-1
551	1.20021905E-1
809	1.20798646E-1
545	1.20838341E-1
990	1.21776752E-1
453	1.21788795E-1
8	1.22336588E-1
400	1.23635628E-1
811	1.24235653E-1
353	1.26198988E-1
666	1.26506759E-1
114	1.26559205E-1
1021	1.29325235E-1
644	1.30887525E-1
833	1.31673733E-1
799	1.35509441E-1
74	1.38192366E-1
442	1.38199019E-1
98	1.38688677E-1
1022	1.39015387E-1
713	1.39535022E-1
103	1.40224135E-1
712	1.4315078E-1
33	1.43247165E-1
394	1.44705271E-1
466	1.45020781E-1
247	1.45505103E-1
642	1.45963556E-1
85	1.47467596E-1
259	1.49920695E-1
998	1.50741544E-1
355	1.5129437E-1
1007	1.57460541E-1
986	1.5852799E-1
952	1.59142313E-1
367	1.60426296E-1
947	1.62652405E-1
379	1.63021763E-1
507	1.63335255E-1
614	1.66508467E-1
349	1.67553672E-1
478	1.67617714E-1
849	1.68242791E-1
265	1.68256111E-1
91	1.68840619E-1
669	1.69648762E-1
612	1.70274211E-1
18	1.70598571E-1
448	1.70910687E-1
774	1.71383822E-1
408	1.72062197E-1
518	1.73354723E-1
24	1.73708311E-1
962	1.73994146E-1
574	1.74898046E-1
236	1.76068146E-1
863	1.76852665E-1
431	1.77091144E-1
779	1.77483964E-1
272	1.79683682E-1
571	1.8159905E-1
417	1.82051999E-1
229	1.85179756E-1
398	1.85599345E-1
392	1.86452891E-1
631	1.86637916E-1
975	1.87231553E-1
72	1.88695503E-1
299	1.91739727E-1
100	1.92775545E-1
150	1.92938378E-1
204	1.95374096E-1
939	1.95618523E-1
826	1.97308728E-1
886	1.98739731E-1
725	1.99044983E-1
768	1.99639265E-1
304	2.01842525E-1
49	2.02343049E-1
951	2.0326398E-1
171	2.0397262E-1
701	2.0558562E-1
239	2.06552964E-1
812	2.07086653E-1
405	2.07461819E-1
598	2.13179659E-1
90	2.14285782E-1
50	2.1555524E-1
253	2.17062199E-1
472	2.19571064E-1
312	2.23022388E-1
903	2.23376054E-1
92	2.23954756E-1
127	2.24022125E-1
181	2.25018964E-1
966	2.25433903E-1
954	2.25636571E-1
497	2.26475346E-1
672	2.26953832E-1
196	2.27736533E-1
305	2.28440815E-1
28	2.285491E-1
64	2.30140453E-1
763	2.31438126E-1
195	2.32904834E-1
270	2.34773402E-1
125	2.35112897E-1
184	2.35911336E-1
570	2.36162448E-1
44	2.36923035E-1
971	2.38473106E-1
536	2.39462839E-1
557	2.39472504E-1
58	2.39654408E-1
1019	2.40000673E-1
909	2.4040319E-1
31	2.40449766E-1
889	2.4200974E-1
765	2.43418515E-1
94	2.45064505E-1
516	2.45339274E-1
893	2.45895446E-1
282	2.46105189E-1
875	2.47536654E-1
520	2.47694597E-1
258	2.48428696E-1
1011	2.49970717E-1
937	2.50902783E-1
280	2.5196711E-1
233	2.52280796E-1
1020	2.52675631E-1
547	2.53397432E-1
793	2.54097185E-1
734	2.54783827E-1
104	2.56258189E-1
781	2.56789948E-1
751	2.56823536E-1
372	2.5750224E-1
200	2.58739422E-1
823	2.58906863E-1
831	2.59215854E-1
140	2.59568329E-1
291	2.61506249E-1
584	2.6164869E-1
371	2.61937569E-1
925	2.6373399E-1
855	2.64114081E-1
979	2.64169974E-1
176	2.64388682E-1
973	2.65983295E-1
888	2.66576827E-1
434	2.67805623E-1
603	2.68247242E-1
794	2.69622684E-1
1018	2.70441764E-1
477	2.72212616E-1
317	2.72986079E-1
696	2.75115814E-1
780	2.75257229E-1
339	2.75583843E-1
308	2.77463419E-1
186	2.79671872E-1
704	2.79711425E-1
289	2.83087211E-1
174	2.86695909E-1
564	2.87342512E-1
482	2.8749216E-1
368	2.87880348E-1
194	2.88123936E-1
476	2.90223107E-1
690	2.91110203E-1
30	2.91245812E-1
407	2.9138992E-1
685	2.92329276E-1
682	2.93025729E-1
503	2.93675554E-1
7	2.95404361E-1
583	2.96108618E-1
79	2.96166397E-1
358	2.9672857E-1
479	2.98857275E-1
148	2.99020717E-1
796	3.00158233E-1
610	3.00550103E-1
242	3.01071512E-1
27	3.02032495E-1
160	3.02746613E-1
342	3.05127876E-1
254	3.05569043E-1
46	3.05983899E-1
71	3.06652781E-1
444	3.06680842E-1
237	3.08969737E-1
733	3.09448432E-1
1017	3.10455183E-1
154	3.15443032E-1
963	3.15513992E-1
364	3.15847034E-1
923	3.16186218E-1
213	3.16482639E-1
14	3.18346822E-1
303	3.18718755E-1
387	3.18905968E-1
63	3.20203191E-1
495	3.20450004E-1
634	3.20536521E-1
492	3.2107081E-1
566	3.22178349E-1
632	3.24994082E-1
460	3.25950918E-1
1023	3.29006479E-1
267	3.29470998E-1
563	3.30135489E-1
656	3.31265043E-1
285	3.31839879E-1
573	3.32207452E-1
687	3.32404037E-1
789	3.32528098E-1
363	3.32651084E-1
530	3.33729246E-1
988	3.36238121E-1
716	3.36392267E-1
613	3.3654921E-1
949	3.36895036E-1
992	3.38309266E-1
517	3.38379332E-1
994	3.38930597E-1
930	3.39326754E-1
864	3.39806737E-1
674	3.39895447E-1
66	3.40883683E-1
68	3.42942377E-1
110	3.43819027E-1
20	3.44468284E-1
61	3.47472997E-1
965	3.4806747E-1
80	3.48926471E-1
633	3.51863484E-1
769	3.52479548E-1
865	3.55069269E-1
758	3.57488674E-1
736	3.60929686E-1
822	3.61507899E-1
931	3.62455684E-1
770	3.64246474E-1
1003	3.65581378E-1
916	3.69269647E-1
504	3.69629178E-1
629	3.69711152E-1
868	3.7064225E-1
874	3.71615582E-1
623	3.71958508E-1
705	3.72865211E-1
857	3.73952475E-1
109	3.73974209E-1
246	3.74113544E-1
131	3.7520199E-1
783	3.75887639E-1
328	3.76088416E-1
252	3.7635864E-1
786	3.79743551E-1
899	3.8106164E-1
785	3.8144316E-1
212	3.82056709E-1
657	3.82578813E-1
878	3.83163296E-1
475	3.83976995E-1
828	3.84842878E-1
502	3.84902362E-1
62	3.86171203E-1
667	3.87426692E-1
778	3.88409051E-1
322	3.88765686E-1
346	3.90662321E-1
458	3.91947948E-1
801	3.92449589E-1
913	3.93064151E-1
284	3.93359258E-1
337	3.94000328E-1
413	3.94219811E-1
287	3.95008745E-1
578	3.96782375E-1
912	3.97298616E-1
625	3.98780736E-1
688	3.99628687E-1
641	4.01218695E-1
93	4.01816734E-1
173	4.02726797E-1
137	4.03192265E-1
316	4.0389674E-1
860	4.04030629E-1
409	4.05514921E-1
51	4.06322347E-1
333	4.0718008E-1
111	4.11497727E-1
95	4.11874034E-1
928	4.14812293E-1
944	4.14883902E-1
757	4.14988669E-1
485	4.16526902E-1
898	4.17252479E-1
410	4.17779722E-1
268	4.1873922E-1
438	4.19500165E-1
620	4.19683057E-1
128	4.21297819E-1
993	4.21724743E-1
391	4.22257967E-1
418	4.25750256E-1
871	4.25873027E-1
41	4.26022865E-1
205	4.26525528E-1
981	4.27226034E-1
296	4.275167E-1
665	4.28527184E-1
436	4.29656349E-1
130	4.29854805E-1
56	4.30365394E-1
911	4.30662781E-1
55	4.31257791E-1
843	4.33134177E-1
654	4.33572372E-1
670	4.34231064E-1
180	4.35549572E-1
108	4.35947022E-1
452	4.3873497E-1
647	4.39496905E-1
621	4.41845984E-1
953	4.42055229E-1
815	4.42801544E-1
354	4.43693538E-1
775	4.44790775E-1
915	4.45535189E-1
715	4.47350999E-1
158	4.48578122E-1
887	4.49164042E-1
32	4.49284537E-1
972	4.49291864E-1
439	4.49964098E-1
658	4.50097295E-1
821	4.51203982E-1
488	4.52261161E-1
678	4.53109304E-1
597	4.56874364E-1
323	4.57861707E-1
686	4.58002113E-1
576	4.59680005E-1
300	4.61673687E-1
175	4.61962247E-1
640	4.62080572E-1
727	4.62552885E-1
77	4.62709702E-1
38	4.63833783E-1
897	4.66429795E-1
1002	4.66639668E-1
537	4.68423467E-1
804	4.68530204E-1
580	4.69086529E-1
1010	4.69180354E-1
766	4.69609761E-1
403	4.71642621E-1
286	4.72096984E-1
47	4.72152355E-1
345	4.7284476E-1
318	4.73656998E-1
224	4.76193855E-1
19	4.76280357E-1
803	4.76895288E-1
295	4.77219218E-1
82	4.7776863E-1
449	4.78167894E-1
157	4.78653489E-1
844	4.79216991E-1
917	4.80399335E-1
198	4.81822906E-1
10	4.8317081E-1
277	4.83578753E-1
69	4.84184271E-1
279	4.86286637E-1
572	4.86741094E-1
389	4.88753927E-1
940	4.88955669E-1
341	4.91063456E-1
853	4.92139932E-1
301	4.92260507E-1
745	4.93373545E-1
834	4.93513648E-1
512	4.9381652E-1
870	4.94358325E-1
795	4.98572803E-1
370	5.02203209E-1
162	5.03898177E-1
515	5.06614394E-1
415	5.06990551E-1
202	5.07559574E-1
219	5.0777023E-1
945	5.09091189E-1
310	5.10231665E-1
958	5.12485902E-1
245	5.13215328E-1
211	5.14613135E-1
225	5.14831336E-1
891	5.15613457E-1
700	5.16399894E-1
138	5.17661045E-1
773	5.17888988E-1
54	5.1992655E-1
837	5.20316885E-1
340	5.21024192E-1
691	5.21562518E-1
201	5.23291444E-1
179	5.23625578E-1
677	5.23721825E-1
281	5.26432926E-1
750	5.26717858E-1
153	5.26719757E-1
344	5.26848947E-1
37	5.30335193E-1
274	5.30985212E-1
741	5.31797357E-1
223	5.34145406E-1
248	5.35622103E-1
842	5.37725243E-1
432	5.38204679E-1
824	5.4245612E-1
983	5.42913809E-1
348	5.4397445E-1
825	5.44120924E-1
950	5.4478476E-1
11	5.4492224E-1
522	5.45615837E-1
941	5.46489312E-1
456	5.49081943E-1
494	5.49623722E-1
290	5.50399447E-1
1006	5.51829901E-1
720	5.56002671E-1
166	5.56173301E-1
271	5.57698682E-1
464	5.58010239E-1
119	5.59228289E-1
525	5.60659707E-1
959	5.63516237E-1
718	5.64227674E-1
102	5.66576643E-1
486	5.67147795E-1
496	5.68304701E-1
756	5.69170481E-1
416	5.6960051E-1
710	5.70491531E-1
797	5.70554881E-1
347	5.72607556E-1
560	5.72981777E-1
273	5.74539427E-1
459	5.76079692E-1
377	5.76600816E-1
960	5.7694223E-1
559	5.77139099E-1
187	5.78095091E-1
257	5.79132159E-1
134	5.79285352E-1
980	5.80255013E-1
615	5.80271649E-1
896	5.80557484E-1
805	5.82037592E-1
116	5.82111035E-1
325	5.82391474E-1
468	5.82451996E-1
735	5.82498361E-1
848	5.8284319E-1
75	5.84087558E-1
689	5.84713452E-1
435	5.84840812E-1
241	5.85124705E-1
45	5.85366974E-1
465	5.87061549E-1
592	5.88539462E-1
365	5.90768915E-1
628	5.91181871E-1
639	5.92081258E-1
882	5.93279709E-1
152	5.93533331E-1
721	5.94135991E-1
430	5.95770854E-1
17	5.96485708E-1
356	5.99224557E-1
15	6.00070555E-1
