Name	chi2Pvalue
488	7.63852404E-4
848	1.89239861E-3
773	2.37693482E-3
195	2.41221763E-3
503	2.47165194E-3
458	2.47570505E-3
795	2.49357423E-3
910	3.01917579E-3
860	4.54451471E-3
610	4.66556141E-3
757	8.09551187E-3
863	9.20059876E-3
44	9.52080297E-3
426	9.75827029E-3
320	1.0308437E-2
787	1.14127118E-2
394	1.20517299E-2
916	1.20616105E-2
783	1.26364077E-2
543	1.30463048E-2
660	1.64859615E-2
906	1.80619004E-2
370	2.28292618E-2
680	2.39095106E-2
925	2.54710378E-2
601	2.59648583E-2
70	2.66444841E-2
64	2.77310424E-2
105	2.79524756E-2
176	2.803557E-2
83	2.88997263E-2
82	2.89087472E-2
1003	2.9327091E-2
936	2.96132085E-2
231	3.02348802E-2
169	3.16172506E-2
963	3.18109216E-2
237	3.19734792E-2
728	3.26009741E-2
271	3.2925319E-2
54	3.34905866E-2
125	3.47534193E-2
876	3.55885999E-2
608	4.07421427E-2
754	4.42700196E-2
869	4.55334395E-2
57	4.71877601E-2
817	4.73367852E-2
599	4.78108351E-2
639	4.92039117E-2
475	5.18581651E-2
109	5.22227616E-2
553	5.37319067E-2
571	5.4575789E-2
556	5.47398519E-2
167	5.51820156E-2
184	5.57620771E-2
143	5.70191434E-2
353	6.02491711E-2
205	6.79781415E-2
987	6.83393377E-2
420	6.92470085E-2
897	7.00515387E-2
189	7.10096885E-2
888	7.10614382E-2
708	7.32767279E-2
45	7.33650969E-2
200	7.34202821E-2
664	7.42850917E-2
734	7.47766198E-2
380	7.59299457E-2
767	7.64549458E-2
802	7.87169146E-2
440	8.01689087E-2
216	8.12729926E-2
585	8.26319945E-2
994	8.38414189E-2
423	8.42638186E-2
361	8.7324945E-2
759	8.95329782E-2
144	9.33863906E-2
334	9.76814274E-2
117	9.81589427E-2
992	9.90068158E-2
690	9.96753234E-2
346	9.9788612E-2
688	1.00813667E-1
515	1.00999756E-1
449	1.02050324E-1
437	1.03513422E-1
849	1.03690916E-1
822	1.03954826E-1
695	1.05423741E-1
980	1.06448179E-1
332	1.09751109E-1
202	1.10012938E-1
124	1.11624098E-1
671	1.14659419E-1
409	1.14710794E-1
729	1.16536632E-1
197	1.18943725E-1
14	1.19325434E-1
79	1.19742411E-1
923	1.19995719E-1
338	1.21922717E-1
907	1.22304251E-1
550	1.22358308E-1
838	1.23584985E-1
111	1.23594366E-1
311	1.2370785E-1
173	1.24700579E-1
52	1.2484489E-1
796	1.24900319E-1
797	1.25364531E-1
66	1.26507168E-1
373	1.28263287E-1
836	1.32702245E-1
549	1.32738549E-1
880	1.33266043E-1
726	1.33596055E-1
902	1.34439388E-1
142	1.35208972E-1
511	1.35770697E-1
881	1.35894052E-1
240	1.38711956E-1
935	1.41379914E-1
592	1.42902561E-1
215	1.43465444E-1
554	1.44312068E-1
326	1.44632703E-1
985	1.4526925E-1
199	1.49505408E-1
335	1.5163442E-1
272	1.51760812E-1
685	1.53876584E-1
207	1.54780162E-1
410	1.55661445E-1
236	1.5637334E-1
548	1.56667054E-1
576	1.57540382E-1
634	1.57848788E-1
96	1.57898088E-1
308	1.58484007E-1
901	1.58590513E-1
637	1.58873318E-1
51	1.62194431E-1
232	1.64118119E-1
614	1.64286555E-1
299	1.64592933E-1
535	1.65907972E-1
771	1.66235837E-1
681	1.68772514E-1
824	1.70382563E-1
967	1.70620058E-1
641	1.71338688E-1
24	1.71359256E-1
442	1.71858603E-1
270	1.72867717E-1
844	1.75784376E-1
19	1.76086623E-1
619	1.78087028E-1
50	1.78547848E-1
9	1.79097365E-1
894	1.79261621E-1
915	1.79340964E-1
896	1.8116249E-1
527	1.82317748E-1
867	1.82480946E-1
110	1.82659655E-1
439	1.8306814E-1
636	1.83472889E-1
165	1.85541506E-1
28	1.87042623E-1
376	1.87052761E-1
372	1.87069261E-1
1009	1.87974137E-1
234	1.88733144E-1
506	1.90001406E-1
858	1.90068516E-1
191	1.90417751E-1
643	1.92652668E-1
724	1.95511215E-1
175	1.96190956E-1
241	1.99202126E-1
384	1.99454771E-1
689	1.99884781E-1
607	2.03816131E-1
837	2.04391111E-1
295	2.05077748E-1
459	2.06550935E-1
752	2.07746787E-1
940	2.08358408E-1
659	2.08570109E-1
699	2.1049445E-1
730	2.11792787E-1
498	2.12363826E-1
303	2.13002681E-1
962	2.13074222E-1
71	2.15484932E-1
975	2.15852378E-1
955	2.15949176E-1
86	2.16597064E-1
774	2.18276278E-1
568	2.18382365E-1
62	2.18975388E-1
804	2.19068192E-1
81	2.19911581E-1
276	2.20373387E-1
528	2.20865397E-1
562	2.2118098E-1
879	2.2123305E-1
275	2.21773294E-1
760	2.22717031E-1
486	2.23064444E-1
147	2.23081762E-1
32	2.23772159E-1
720	2.24424575E-1
404	2.26245967E-1
519	2.31957167E-1
882	2.32565878E-1
499	2.34349072E-1
127	2.3539602E-1
995	2.35692411E-1
416	2.35979304E-1
618	2.35994427E-1
984	2.36177276E-1
781	2.36182486E-1
746	2.36459263E-1
149	2.37031661E-1
472	2.37187045E-1
230	2.38709891E-1
242	2.39504581E-1
61	2.39980155E-1
843	2.40959082E-1
148	2.4245841E-1
537	2.4286744E-1
389	2.43400494E-1
251	2.44252813E-1
593	2.44545494E-1
710	2.44763573E-1
559	2.45538103E-1
605	2.46406806E-1
924	2.46425864E-1
208	2.4743458E-1
782	2.47912047E-1
964	2.49915683E-1
87	2.50310344E-1
249	2.50900853E-1
102	2.51076619E-1
210	2.52225063E-1
152	2.52230689E-1
42	2.52738688E-1
402	2.53119463E-1
561	2.54504116E-1
68	2.55673325E-1
513	2.57729561E-1
971	2.5781156E-1
47	2.61775775E-1
139	2.63472632E-1
741	2.63692893E-1
492	2.6448301E-1
479	2.64585658E-1
961	2.64929181E-1
94	2.65090867E-1
391	2.65289349E-1
73	2.67413557E-1
196	2.67823815E-1
615	2.68562529E-1
944	2.69140711E-1
866	2.6959736E-1
677	2.72975078E-1
723	2.75506556E-1
647	2.75797335E-1
547	2.76098851E-1
831	2.77688667E-1
965	2.78314961E-1
983	2.78825499E-1
22	2.79917618E-1
470	2.80115843E-1
383	2.8013131E-1
478	2.80509545E-1
764	2.80708253E-1
572	2.81258786E-1
106	2.82231169E-1
3	2.84000831E-1
887	2.84096612E-1
331	2.84224405E-1
327	2.84638983E-1
264	2.85101362E-1
718	2.85507008E-1
178	2.8657598E-1
644	2.87190513E-1
328	2.87253058E-1
377	2.89177111E-1
113	2.89398349E-1
464	2.89900268E-1
834	2.89962466E-1
970	2.90609569E-1
969	2.91756711E-1
209	2.92359986E-1
174	2.93111014E-1
748	2.93364593E-1
747	2.93722773E-1
952	2.93867088E-1
627	2.93947277E-1
707	2.94635576E-1
246	2.95183465E-1
194	2.96032811E-1
698	2.96037548E-1
378	2.97268378E-1
278	2.98132659E-1
433	2.98944742E-1
1001	3.00323313E-1
744	3.0070352E-1
126	3.01337926E-1
700	3.03183221E-1
864	3.03286949E-1
375	3.03792198E-1
448	3.03953306E-1
895	3.07441423E-1
438	3.09257158E-1
900	3.09561082E-1
74	3.10848573E-1
1014	3.12920452E-1
48	3.14676418E-1
101	3.15121749E-1
203	3.15812873E-1
91	3.17118491E-1
471	3.17210399E-1
986	3.17779427E-1
563	3.19055022E-1
226	3.19169625E-1
581	3.20096377E-1
904	3.20271698E-1
921	3.23249839E-1
432	3.2396571E-1
337	3.2422067E-1
654	3.24938582E-1
141	3.2520714E-1
248	3.25787283E-1
97	3.28004655E-1
356	3.29246367E-1
673	3.31000553E-1
293	3.31207974E-1
297	3.31508868E-1
928	3.3175999E-1
267	3.3189984E-1
1008	3.3278102E-1
305	3.32792521E-1
412	3.33263945E-1
942	3.33447681E-1
46	3.33571607E-1
156	3.3409875E-1
33	3.34700754E-1
387	3.3492394E-1
43	3.35676101E-1
874	3.35810894E-1
434	3.36302628E-1
623	3.37364047E-1
820	3.39157952E-1
379	3.40783576E-1
415	3.40941974E-1
424	3.44077846E-1
1004	3.4434189E-1
277	3.44419248E-1
872	3.45130678E-1
1013	3.45161838E-1
345	3.45257419E-1
254	3.45423881E-1
932	3.46498098E-1
136	3.4778736E-1
450	3.48588127E-1
1023	3.48794745E-1
856	3.49513371E-1
153	3.50177643E-1
943	3.50625844E-1
823	3.50732876E-1
868	3.53532012E-1
622	3.54968117E-1
220	3.5630496E-1
1011	3.57000979E-1
116	3.58222922E-1
324	3.58506901E-1
808	3.60710664E-1
461	3.61293526E-1
112	3.61422883E-1
447	3.67093323E-1
193	3.67368691E-1
468	3.69164304E-1
309	3.69923268E-1
98	3.70398924E-1
504	3.71718903E-1
489	3.72381871E-1
223	3.74615497E-1
368	3.76042471E-1
854	3.77593981E-1
100	3.78459639E-1
697	3.79671971E-1
551	3.79923275E-1
0	3.81693197E-1
269	3.8170226E-1
616	3.83481424E-1
859	3.83657993E-1
36	3.85477576E-1
313	3.87526584E-1
164	3.87812643E-1
665	3.88187107E-1
182	3.9136251E-1
855	3.92027509E-1
427	3.9308808E-1
385	3.94758266E-1
930	3.96896831E-1
484	3.98271881E-1
758	3.99265971E-1
190	3.99302397E-1
286	3.9940075E-1
40	4.02783803E-1
770	4.06402606E-1
740	4.07366621E-1
516	4.0737682E-1
652	4.07954839E-1
733	4.08372238E-1
187	4.09910264E-1
201	4.11104528E-1
625	4.12254224E-1
255	4.14415894E-1
39	4.1461045E-1
85	4.14917557E-1
192	4.1505225E-1
65	4.15269233E-1
406	4.1533253E-1
769	4.15550531E-1
937	4.16039009E-1
600	4.16895954E-1
56	4.17814822E-1
131	4.19752191E-1
355	4.21537838E-1
591	4.22908603E-1
909	4.23026183E-1
137	4.23548962E-1
93	4.24191308E-1
669	4.2706166E-1
712	4.27871642E-1
958	4.28228779E-1
310	4.28716895E-1
350	4.30073836E-1
253	4.31209224E-1
108	4.37085554E-1
691	4.38590484E-1
282	4.3968297E-1
716	4.39764964E-1
693	4.39787938E-1
929	4.40484949E-1
455	4.41002192E-1
715	4.41930107E-1
1019	4.42000886E-1
751	4.43066582E-1
435	4.44257008E-1
77	4.44288162E-1
794	4.44643267E-1
325	4.45399672E-1
852	4.45770089E-1
676	4.47126131E-1
5	4.47155923E-1
76	4.47783788E-1
211	4.47827348E-1
775	4.48989875E-1
1021	4.50192442E-1
807	4.50237467E-1
603	4.50537689E-1
951	4.51031041E-1
476	4.51756769E-1
128	4.51778803E-1
134	4.54306022E-1
289	4.55267091E-1
239	4.55453415E-1
988	4.55863681E-1
749	4.56187917E-1
946	4.58336477E-1
974	4.59316277E-1
393	4.5949121E-1
926	4.59898435E-1
772	4.60709402E-1
871	4.61430898E-1
123	4.62283699E-1
672	4.6304685E-1
683	4.63097076E-1
7	4.63913948E-1
722	4.64886997E-1
121	4.65561155E-1
296	4.65748124E-1
35	4.6592695E-1
122	4.66415998E-1
899	4.66676561E-1
719	4.68895208E-1
268	4.69253642E-1
1002	4.70336902E-1
1007	4.72312332E-1
13	4.72540122E-1
129	4.73742387E-1
737	4.76016042E-1
453	4.77965538E-1
990	4.78533973E-1
298	4.78989754E-1
227	4.79453212E-1
222	4.81839789E-1
161	4.82758142E-1
281	4.84838836E-1
839	4.85085529E-1
821	4.85493841E-1
451	4.8625919E-1
179	4.87062088E-1
517	4.88848511E-1
777	4.88937365E-1
27	4.91900984E-1
411	4.93362483E-1
948	4.98082714E-1
78	4.98096985E-1
815	4.99890484E-1
846	4.99900972E-1
95	5.01862991E-1
302	5.02260935E-1
120	5.03076599E-1
573	5.03551204E-1
465	5.05128139E-1
810	5.05981418E-1
649	5.07517544E-1
457	5.10873934E-1
462	5.11285053E-1
490	5.13117467E-1
594	5.13624873E-1
805	5.14118913E-1
166	5.14777258E-1
663	5.16193541E-1
16	5.16655403E-1
679	5.17399205E-1
735	5.17489726E-1
477	5.18313384E-1
386	5.20039414E-1
494	5.20294821E-1
696	5.21342722E-1
731	5.22859734E-1
598	5.23302503E-1
905	5.23527288E-1
413	5.2399311E-1
436	5.24138027E-1
260	5.26578253E-1
713	5.27092394E-1
354	5.28191969E-1
357	5.29035566E-1
991	5.31110592E-1
403	5.32113479E-1
155	5.35741121E-1
742	5.36268645E-1
968	5.36402175E-1
398	5.36907711E-1
428	5.36944775E-1
582	5.38097193E-1
982	5.38242277E-1
662	5.40111793E-1
889	5.40627861E-1
891	5.41502739E-1
284	5.42603243E-1
857	5.42654435E-1
482	5.42708879E-1
256	5.45021291E-1
266	5.45331607E-1
865	5.45483502E-1
934	5.4736231E-1
558	5.49166435E-1
666	5.51274689E-1
497	5.51959156E-1
727	5.53441355E-1
819	5.54002392E-1
235	5.54624876E-1
668	5.55954622E-1
913	5.5734703E-1
945	5.57380221E-1
778	5.57822756E-1
586	5.58175741E-1
421	5.58607679E-1
840	5.59188152E-1
989	5.60530103E-1
533	5.61892904E-1
407	5.62388046E-1
766	5.63689487E-1
23	5.67926897E-1
160	5.68207865E-1
307	5.70456192E-1
170	5.70535765E-1
212	5.70775843E-1
317	5.70986326E-1
833	5.71541673E-1
560	5.7156255E-1
912	5.71750494E-1
41	5.72649508E-1
206	5.72738819E-1
755	5.74172966E-1
243	5.74931833E-1
534	5.76378358E-1
1016	5.76650189E-1
362	5.78293745E-1
522	5.7926469E-1
552	5.80498646E-1
198	5.80777451E-1
344	5.84063609E-1
75	5.86041186E-1
183	5.86174078E-1
702	5.87991964E-1
589	5.88396196E-1
999	5.88597224E-1
501	5.89330316E-1
347	5.89526734E-1
172	5.8976758E-1
768	5.91657089E-1
418	5.926752E-1
687	5.95225786E-1
262	5.9617047E-1
500	5.97094477E-1
756	6.00569206E-1
956	6.01756223E-1
753	6.03784375E-1
366	6.04421168E-1
217	6.05043564E-1
655	6.05811585E-1
365	6.05846314E-1
914	6.07899449E-1
505	6.08887442E-1
104	6.10236494E-1
301	6.11179778E-1
977	6.11688493E-1
812	6.12572553E-1
390	6.21750816E-1
20	6.25025521E-1
103	6.27459509E-1
502	6.27611015E-1
34	6.33156453E-1
941	6.33894585E-1
816	6.34211047E-1
979	6.35446917E-1
341	6.35568141E-1
306	6.36332238E-1
493	6.36576522E-1
645	6.39066172E-1
704	6.39281176E-1
244	6.39737379E-1
656	6.39799574E-1
629	6.42099577E-1
342	6.42600153E-1
445	6.43903504E-1
531	6.44019263E-1
530	6.44914521E-1
473	6.47064713E-1
806	6.48017045E-1
584	6.4903143E-1
290	6.49507062E-1
540	6.49512259E-1
885	6.50603554E-1
132	6.5065636E-1
300	6.50795553E-1
954	6.53489938E-1
893	6.53592E-1
138	6.54090552E-1
743	6.56958344E-1
826	6.57287577E-1
1005	6.57292909E-1
145	6.57604911E-1
703	6.60754768E-1
259	6.61280256E-1
574	6.62864495E-1
780	6.63927946E-1
483	6.64853992E-1
367	6.65503225E-1
213	6.65833629E-1
529	6.66618545E-1
762	6.66689982E-1
67	6.69712089E-1
430	6.70674056E-1
59	6.71878968E-1
312	6.73688195E-1
631	6.75723722E-1
861	6.75801616E-1
