Name	chi2Pvalue
225	8.66439101E-4
529	1.5521228E-3
572	3.12573231E-3
496	4.35946427E-3
567	5.13734338E-3
229	5.3120737E-3
171	6.40695402E-3
54	7.12352649E-3
981	7.28777363E-3
387	7.90619914E-3
230	8.27974389E-3
25	9.14050489E-3
121	9.42577259E-3
766	1.10502319E-2
860	1.14014157E-2
636	1.2635335E-2
220	1.38823144E-2
342	1.47317164E-2
834	1.49115031E-2
1014	1.59799903E-2
6	1.64485893E-2
539	1.73060844E-2
716	2.25578109E-2
232	2.33457848E-2
880	2.47124527E-2
947	2.73271069E-2
222	2.76899742E-2
349	2.81183004E-2
724	3.12288218E-2
378	3.20094659E-2
646	3.43245255E-2
287	3.46977069E-2
488	3.52864064E-2
666	3.7006929E-2
1	3.75882898E-2
118	3.78739389E-2
847	3.8012191E-2
486	3.80749595E-2
747	3.81688757E-2
792	3.91386562E-2
882	4.08448088E-2
850	4.27939574E-2
433	4.49684872E-2
924	4.52517828E-2
831	4.86857961E-2
250	4.98818974E-2
553	5.07045412E-2
971	5.11792433E-2
87	5.19160916E-2
319	5.19637267E-2
380	5.3402465E-2
711	5.35017807E-2
774	5.36029554E-2
928	5.4128682E-2
389	5.45832989E-2
829	5.46267528E-2
972	5.6353792E-2
20	5.73045558E-2
806	6.08421776E-2
832	6.08799796E-2
911	6.10493191E-2
71	6.36267541E-2
555	6.36576577E-2
637	6.38031693E-2
285	6.63117203E-2
426	6.8107718E-2
633	6.9783454E-2
952	7.00085505E-2
97	7.27615101E-2
8	7.27651198E-2
315	7.31849729E-2
778	7.3208495E-2
624	7.34407097E-2
960	7.35154196E-2
282	7.72064151E-2
476	7.91233458E-2
316	7.99150355E-2
787	8.05999607E-2
752	8.23357882E-2
737	8.27775046E-2
825	8.44529433E-2
1017	8.46987352E-2
290	8.47755355E-2
358	8.51959754E-2
119	8.74243765E-2
631	8.75290963E-2
628	8.86138653E-2
959	9.08552427E-2
284	9.26111383E-2
42	9.31855777E-2
663	9.52431369E-2
885	9.62125553E-2
0	9.67837141E-2
78	9.79732708E-2
82	9.93220812E-2
660	9.94423556E-2
60	9.9806533E-2
963	1.00113051E-1
769	1.01352418E-1
515	1.03314832E-1
949	1.03939376E-1
454	1.05414675E-1
493	1.05549355E-1
861	1.05570272E-1
745	1.06549572E-1
614	1.06795858E-1
781	1.07744527E-1
603	1.08298288E-1
888	1.0891396E-1
266	1.10278798E-1
620	1.1188631E-1
854	1.13759806E-1
797	1.15195418E-1
930	1.15609921E-1
144	1.1637152E-1
371	1.2047801E-1
873	1.20834615E-1
418	1.21341695E-1
693	1.22018847E-1
239	1.22385485E-1
63	1.23227333E-1
632	1.2368821E-1
366	1.26474769E-1
286	1.26540934E-1
874	1.26805521E-1
591	1.27284389E-1
1020	1.27825105E-1
759	1.28503831E-1
689	1.2876183E-1
321	1.29566151E-1
685	1.29878878E-1
480	1.30837328E-1
86	1.30984457E-1
16	1.34580802E-1
189	1.37760623E-1
294	1.38141605E-1
511	1.3976558E-1
948	1.40277951E-1
742	1.41360544E-1
872	1.43621385E-1
31	1.44535254E-1
789	1.46809363E-1
957	1.47260644E-1
44	1.48103528E-1
440	1.48569946E-1
117	1.49669236E-1
224	1.4983786E-1
925	1.50545271E-1
813	1.51338524E-1
495	1.51917419E-1
668	1.52041033E-1
566	1.53028834E-1
573	1.53316773E-1
816	1.53333065E-1
594	1.55852575E-1
37	1.55927554E-1
582	1.56468973E-1
356	1.56977151E-1
1013	1.57538747E-1
517	1.5837206E-1
875	1.59387265E-1
844	1.60019147E-1
50	1.60366178E-1
317	1.61386704E-1
265	1.62529701E-1
334	1.64054424E-1
398	1.66122616E-1
659	1.68291212E-1
376	1.69398536E-1
526	1.74819026E-1
609	1.77874164E-1
330	1.78196116E-1
241	1.7852085E-1
905	1.79506932E-1
676	1.79645141E-1
485	1.79920855E-1
310	1.81331871E-1
968	1.81404628E-1
800	1.81894384E-1
730	1.82033415E-1
65	1.82211714E-1
430	1.82238891E-1
583	1.82833999E-1
853	1.8347364E-1
473	1.8377837E-1
799	1.85493181E-1
267	1.85741088E-1
29	1.86294902E-1
353	1.86912742E-1
914	1.87216214E-1
337	1.88627311E-1
1004	1.91560485E-1
155	1.91689008E-1
563	1.91846396E-1
59	1.92249066E-1
466	1.93038745E-1
470	1.93088723E-1
460	1.93233133E-1
123	1.93496685E-1
79	1.9475793E-1
775	1.95213827E-1
221	1.95720025E-1
744	1.9606233E-1
939	1.96241466E-1
408	1.97595686E-1
940	1.9939404E-1
770	2.00171058E-1
901	2.00446443E-1
467	2.01708106E-1
818	2.02135506E-1
199	2.02647175E-1
777	2.02675125E-1
979	2.03214802E-1
926	2.03662964E-1
231	2.05499528E-1
510	2.05829726E-1
280	2.07197105E-1
184	2.08195323E-1
299	2.0880069E-1
740	2.089491E-1
324	2.0991795E-1
621	2.11636799E-1
516	2.11828532E-1
684	2.12183468E-1
227	2.14304767E-1
576	2.1634467E-1
623	2.18155634E-1
690	2.18835775E-1
735	2.18850471E-1
892	2.19800493E-1
416	2.20309759E-1
843	2.20968814E-1
627	2.21584278E-1
368	2.2235122E-1
204	2.22574437E-1
335	2.24198482E-1
639	2.25464975E-1
649	2.27421587E-1
191	2.27732584E-1
679	2.28735662E-1
964	2.29296635E-1
357	2.29492103E-1
531	2.2949493E-1
540	2.32483881E-1
167	2.33898778E-1
579	2.34130237E-1
686	2.34823243E-1
1006	2.35956772E-1
248	2.35971001E-1
331	2.3717372E-1
77	2.37338795E-1
848	2.37673744E-1
541	2.37694601E-1
763	2.38680042E-1
103	2.39317325E-1
927	2.39999499E-1
883	2.40437797E-1
465	2.40917947E-1
27	2.41089198E-1
669	2.41875228E-1
292	2.44391448E-1
772	2.45580059E-1
833	2.45770578E-1
202	2.48758337E-1
111	2.48775724E-1
375	2.49111175E-1
289	2.53147356E-1
741	2.55005236E-1
394	2.58871456E-1
755	2.59779059E-1
116	2.6052217E-1
705	2.6117511E-1
431	2.61862145E-1
136	2.62131659E-1
259	2.62836101E-1
608	2.63356817E-1
638	2.63696752E-1
922	2.63914728E-1
363	2.64332874E-1
617	2.65755143E-1
1001	2.6671079E-1
35	2.69884881E-1
723	2.70970803E-1
650	2.72644582E-1
459	2.72755165E-1
664	2.75851186E-1
323	2.77255318E-1
597	2.78519964E-1
245	2.79253286E-1
446	2.80650106E-1
899	2.81402776E-1
373	2.8197616E-1
75	2.852722E-1
146	2.85401419E-1
955	2.87647509E-1
578	2.89763707E-1
613	2.90299115E-1
731	2.90593365E-1
238	2.91064621E-1
586	2.91200435E-1
791	2.91430112E-1
169	2.92588924E-1
420	2.92717642E-1
714	2.93903798E-1
489	2.97652083E-1
478	2.98838364E-1
200	3.00204397E-1
124	3.00657885E-1
773	3.01318286E-1
206	3.01990397E-1
240	3.02442602E-1
1010	3.02635678E-1
999	3.04466781E-1
