Name	chi2Pvalue
191	1.10720683E-3
904	1.35262629E-3
188	2.44314269E-3
19	3.84607791E-3
377	5.46128639E-3
391	6.14055228E-3
915	1.16364488E-2
280	1.18564922E-2
777	1.27280253E-2
420	1.29368952E-2
847	1.33445761E-2
423	1.39666736E-2
515	1.48922731E-2
574	1.54958236E-2
950	1.56546749E-2
296	1.5892666E-2
759	1.624723E-2
176	1.65666327E-2
949	1.7320969E-2
577	1.81465013E-2
399	1.8923609E-2
836	2.04747931E-2
1016	2.24435543E-2
604	2.29788514E-2
28	2.36074923E-2
431	2.49661044E-2
796	2.50224675E-2
549	2.57124357E-2
91	2.72119743E-2
602	2.81513171E-2
928	2.82465496E-2
685	3.1595703E-2
698	3.22159337E-2
261	3.42778731E-2
757	3.5038665E-2
705	3.56731503E-2
953	3.79581223E-2
101	3.79678527E-2
919	3.83135306E-2
557	3.87155273E-2
525	3.8831588E-2
239	3.99579494E-2
79	3.99786108E-2
806	4.06993968E-2
907	4.08484525E-2
38	4.11733819E-2
909	4.13192315E-2
484	4.17442729E-2
111	4.25323874E-2
1015	4.49008692E-2
338	4.57604553E-2
575	4.72404273E-2
68	4.84544894E-2
780	5.09108262E-2
200	5.16597948E-2
414	5.48738025E-2
86	5.65411352E-2
823	5.67797705E-2
588	5.80803803E-2
305	5.82275281E-2
707	6.09259298E-2
813	6.11076315E-2
315	6.19119769E-2
189	6.28024165E-2
307	6.53508906E-2
238	6.78595672E-2
798	6.85731487E-2
778	6.92691278E-2
441	6.96132071E-2
639	7.00910705E-2
664	7.05215752E-2
626	7.05247874E-2
300	7.10796103E-2
954	7.34852386E-2
853	7.38581748E-2
833	7.41905711E-2
326	7.4329043E-2
633	7.51445062E-2
343	7.54305373E-2
945	7.87977062E-2
499	8.07097748E-2
786	8.14757713E-2
290	8.19749603E-2
890	8.8287745E-2
476	8.93389301E-2
852	8.99969893E-2
699	9.16069544E-2
304	9.20268691E-2
94	9.23236345E-2
594	9.2721504E-2
461	9.48859608E-2
14	9.65995905E-2
363	9.95878425E-2
71	9.97619191E-2
735	9.99088601E-2
849	1.00289091E-1
85	1.00938268E-1
865	1.01003992E-1
729	1.01085529E-1
367	1.01228787E-1
612	1.02559175E-1
519	1.03712672E-1
888	1.05847873E-1
59	1.06441267E-1
342	1.06534663E-1
430	1.06673014E-1
736	1.06681773E-1
694	1.06956375E-1
802	1.07209415E-1
323	1.08212983E-1
483	1.09417515E-1
150	1.09919213E-1
100	1.12225999E-1
697	1.12573566E-1
962	1.12711464E-1
728	1.12976671E-1
938	1.14113507E-1
567	1.15159E-1
413	1.15924454E-1
814	1.16647029E-1
30	1.17495797E-1
319	1.18699397E-1
114	1.18850377E-1
1005	1.23572227E-1
1007	1.23648136E-1
696	1.24829866E-1
116	1.24870959E-1
438	1.25319576E-1
23	1.28638206E-1
988	1.2873072E-1
768	1.28830578E-1
540	1.31185085E-1
512	1.32064038E-1
804	1.32833053E-1
603	1.33058949E-1
610	1.34053558E-1
39	1.35636148E-1
0	1.35859362E-1
196	1.36822128E-1
60	1.41046586E-1
912	1.42317054E-1
726	1.44023132E-1
480	1.46372066E-1
844	1.46573357E-1
649	1.47396525E-1
218	1.48416526E-1
482	1.49089749E-1
288	1.50968997E-1
286	1.51105073E-1
119	1.52077844E-1
615	1.55629316E-1
205	1.55800522E-1
584	1.56741213E-1
554	1.59044907E-1
107	1.61671547E-1
931	1.63387645E-1
805	1.6347849E-1
212	1.64664391E-1
829	1.64942067E-1
235	1.67214433E-1
560	1.67673902E-1
206	1.68153681E-1
913	1.68913064E-1
132	1.69561536E-1
531	1.70421821E-1
754	1.70514268E-1
880	1.70961555E-1
410	1.70997397E-1
344	1.74370575E-1
795	1.74982257E-1
744	1.79707013E-1
