Name	chi2Pvalue
777	2.50426596E-3
759	3.97146923E-3
685	4.72995927E-3
191	4.99491741E-3
907	6.32430578E-3
953	6.4139285E-3
420	7.49809345E-3
574	8.49912472E-3
890	8.5588955E-3
604	8.77227848E-3
915	8.99622958E-3
0	9.15594736E-3
707	1.12772602E-2
28	1.4573123E-2
954	1.57334586E-2
261	1.62726389E-2
342	1.77583942E-2
176	1.77713151E-2
549	1.87159732E-2
188	2.00653757E-2
627	2.0320679E-2
728	2.04283618E-2
585	2.37275823E-2
326	2.97209574E-2
19	3.03576426E-2
633	3.07384068E-2
732	3.08183635E-2
780	3.14073005E-2
391	3.16425642E-2
577	3.16845566E-2
697	3.34365624E-2
525	3.48058272E-2
101	3.49202778E-2
483	3.67324469E-2
441	3.69971379E-2
431	3.7225986E-2
694	3.72911555E-2
91	3.80519315E-2
315	3.83808183E-2
119	3.8852774E-2
836	4.16245889E-2
735	4.32166685E-2
38	4.42533889E-2
280	4.54764713E-2
654	4.59384194E-2
499	4.63340495E-2
939	4.74593052E-2
327	4.89476828E-2
278	5.14343054E-2
606	5.33427085E-2
72	5.49428874E-2
106	5.55379184E-2
840	5.60881026E-2
612	5.69627147E-2
844	5.74041925E-2
806	5.74412848E-2
557	5.89794767E-2
726	5.98944765E-2
519	6.08930803E-2
913	6.10356545E-2
588	6.29545034E-2
1016	6.50720085E-2
594	6.5180161E-2
661	6.54931729E-2
424	6.98905835E-2
610	7.11299776E-2
377	7.13494074E-2
243	7.16987063E-2
367	7.21056416E-2
705	7.29235364E-2
189	7.33252112E-2
1013	7.40608123E-2
423	7.46320227E-2
111	7.57304307E-2
847	7.58510526E-2
620	7.61028741E-2
300	7.62963062E-2
305	7.64724172E-2
68	7.68089269E-2
514	7.79346751E-2
584	7.80434966E-2
14	7.99543968E-2
269	8.15380359E-2
949	8.17691847E-2
529	8.18883994E-2
356	8.19065811E-2
1007	8.30220842E-2
132	8.45407814E-2
912	8.52606228E-2
795	8.54181261E-2
478	8.66990143E-2
696	8.69758847E-2
659	8.72817555E-2
919	8.75906817E-2
905	8.82296141E-2
484	8.86029258E-2
938	8.93789152E-2
82	9.02716754E-2
219	9.03692627E-2
498	9.20921026E-2
950	9.26933286E-2
865	9.31737938E-2
515	9.50387017E-2
476	9.50492542E-2
323	9.54532673E-2
288	9.87254075E-2
319	1.00437424E-1
575	1.00669853E-1
796	1.02482584E-1
942	1.0325978E-1
290	1.03546931E-1
928	1.04366684E-1
304	1.04777746E-1
698	1.04812364E-1
154	1.06687926E-1
270	1.06954602E-1
904	1.07003043E-1
614	1.08031435E-1
98	1.08681529E-1
754	1.08773988E-1
244	1.0915925E-1
399	1.0961952E-1
209	1.11526058E-1
699	1.13189297E-1
239	1.13978604E-1
505	1.14344158E-1
33	1.15261628E-1
679	1.16131971E-1
925	1.1952777E-1
713	1.19793721E-1
334	1.19854999E-1
225	1.20489427E-1
337	1.20535394E-1
17	1.21222869E-1
32	1.24037095E-1
263	1.25137251E-1
403	1.25318297E-1
943	1.26945023E-1
973	1.27375934E-1
833	1.28602721E-1
664	1.29587102E-1
467	1.32254697E-1
296	1.324116E-1
813	1.32776666E-1
951	1.35947691E-1
71	1.36475788E-1
714	1.36779413E-1
737	1.3793397E-1
678	1.38708831E-1
321	1.40562716E-1
757	1.45039654E-1
849	1.45765998E-1
49	1.46441299E-1
817	1.46778025E-1
660	1.46828091E-1
586	1.47496684E-1
945	1.47584658E-1
497	1.48343884E-1
509	1.48695822E-1
820	1.49707332E-1
542	1.50945947E-1
974	1.51358876E-1
47	1.52022945E-1
159	1.52028194E-1
54	1.55609535E-1
744	1.55873108E-1
555	1.58746934E-1
206	1.60796245E-1
611	1.61285922E-1
61	1.61572972E-1
576	1.61635069E-1
609	1.63411307E-1
824	1.63956359E-1
638	1.67648042E-1
879	1.68204064E-1
937	1.68581645E-1
76	1.68875906E-1
59	1.69045289E-1
739	1.6914941E-1
814	1.70294068E-1
94	1.71738523E-1
527	1.72112729E-1
602	1.72399527E-1
325	1.73491116E-1
430	1.75344845E-1
137	1.75577968E-1
827	1.76831849E-1
711	1.77692506E-1
729	1.79886468E-1
642	1.81611539E-1
615	1.81850235E-1
598	1.8341716E-1
149	1.83735075E-1
804	1.85004988E-1
691	1.87015996E-1
662	1.88518535E-1
373	1.89893001E-1
267	1.93240722E-1
512	1.93485753E-1
672	1.94145092E-1
438	1.94361251E-1
898	1.94869962E-1
363	1.95576233E-1
135	1.97548283E-1
419	1.98431499E-1
116	2.00979256E-1
448	2.02043201E-1
79	2.02248209E-1
798	2.02536012E-1
858	2.02958013E-1
506	2.0591592E-1
410	2.06855706E-1
272	2.08347982E-1
421	2.08848099E-1
385	2.09496208E-1
8	2.10573442E-1
667	2.10724887E-1
354	2.1076636E-1
834	2.12265842E-1
200	2.14221175E-1
29	2.1451759E-1
923	2.14943125E-1
100	2.15049202E-1
218	2.15415808E-1
736	2.16613614E-1
625	2.18066822E-1
306	2.18185745E-1
241	2.19006501E-1
260	2.21889623E-1
341	2.22725858E-1
897	2.2308489E-1
36	2.25380963E-1
888	2.28852295E-1
381	2.29480522E-1
396	2.29546093E-1
673	2.29759902E-1
307	2.29839906E-1
722	2.30803156E-1
183	2.31165944E-1
853	2.31825862E-1
1003	2.32386646E-1
65	2.33160949E-1
600	2.33171677E-1
16	2.33672925E-1
510	2.36776516E-1
242	2.37280469E-1
881	2.37781086E-1
86	2.38005851E-1
859	2.38143604E-1
66	2.42128387E-1
212	2.42710102E-1
893	2.43331552E-1
382	2.44010565E-1
771	2.44861094E-1
432	2.4495364E-1
233	2.4508738E-1
843	2.4558111E-1
451	2.49389527E-1
768	2.49788948E-1
407	2.50122772E-1
508	2.50709042E-1
996	2.5232024E-1
1000	2.52373232E-1
264	2.54260798E-1
299	2.55104359E-1
97	2.55743605E-1
977	2.5675089E-1
522	2.57908601E-1
271	2.58117039E-1
85	2.58835756E-1
765	2.59496842E-1
205	2.61768348E-1
393	2.62774523E-1
328	2.6289605E-1
541	2.64432491E-1
504	2.64600134E-1
482	2.65527828E-1
635	2.68226457E-1
472	2.68606178E-1
982	2.69391998E-1
449	2.70767314E-1
184	2.7123312E-1
743	2.71357934E-1
511	2.72571262E-1
45	2.73896748E-1
782	2.7409568E-1
894	2.74256136E-1
960	2.75103817E-1
312	2.75896719E-1
991	2.7603389E-1
118	2.76650007E-1
253	2.78674679E-1
629	2.79232711E-1
268	2.79734714E-1
989	2.80017603E-1
344	2.80764659E-1
639	2.80917742E-1
882	2.81792692E-1
764	2.82753948E-1
285	2.8286326E-1
357	2.83292262E-1
755	2.83469564E-1
778	2.85656986E-1
144	2.87341945E-1
230	2.89752553E-1
992	2.90101842E-1
572	2.93479728E-1
456	2.93559403E-1
429	2.94271073E-1
254	2.94967178E-1
554	2.95962519E-1
196	2.96353263E-1
546	2.97274501E-1
114	2.9852485E-1
1015	3.0032698E-1
869	3.01173428E-1
864	3.02711649E-1
27	3.06687375E-1
22	3.07585884E-1
524	3.08046038E-1
166	3.0985118E-1
414	3.1023184E-1
461	3.1157345E-1
986	3.13294411E-1
617	3.13841529E-1
474	3.1518358E-1
42	3.15464706E-1
462	3.16505918E-1
841	3.18866428E-1
108	3.19151587E-1
933	3.1917804E-1
174	3.20739961E-1
665	3.20969498E-1
591	3.24966053E-1
41	3.25293271E-1
502	3.26115536E-1
909	3.27677474E-1
967	3.30545957E-1
23	3.3126619E-1
1012	3.31383159E-1
286	3.31671488E-1
930	3.31676022E-1
466	3.32774254E-1
838	3.33564116E-1
626	3.33632783E-1
727	3.33702554E-1
411	3.35215069E-1
758	3.35266689E-1
256	3.35291667E-1
855	3.36471124E-1
112	3.38159679E-1
663	3.39329849E-1
702	3.44038533E-1
139	3.442528E-1
501	3.45288906E-1
763	3.47116871E-1
723	3.47618382E-1
649	3.480867E-1
1001	3.49208238E-1
39	3.50493548E-1
643	3.50500926E-1
297	3.52454796E-1
872	3.53388343E-1
774	3.53646534E-1
972	3.54258982E-1
262	3.54276312E-1
5	3.56303551E-1
793	3.56433506E-1
338	3.56851328E-1
366	3.57987356E-1
895	3.58857164E-1
88	3.58898886E-1
535	3.59052365E-1
518	3.59226471E-1
331	3.59683234E-1
246	3.60441714E-1
994	3.61090445E-1
752	3.63860698E-1
495	3.64315229E-1
548	3.65478489E-1
408	3.67545707E-1
979	3.69517203E-1
235	3.69920876E-1
880	3.71870731E-1
117	3.72412256E-1
997	3.73034175E-1
25	3.73263961E-1
329	3.74104282E-1
50	3.74414243E-1
226	3.75172659E-1
309	3.75451439E-1
436	3.7547609E-1
507	3.7717448E-1
422	3.77644749E-1
822	3.78481114E-1
90	3.78570777E-1
668	3.78689292E-1
379	3.7891056E-1
464	3.79903893E-1
916	3.83377631E-1
616	3.83522454E-1
741	3.83888052E-1
236	3.83942115E-1
169	3.87678149E-1
310	3.90066132E-1
787	3.90656576E-1
538	3.91705949E-1
520	3.93554512E-1
177	3.9636021E-1
20	3.97316237E-1
781	3.97566305E-1
653	3.99159665E-1
426	3.99351859E-1
398	4.00808069E-1
748	4.03577201E-1
279	4.03956597E-1
957	4.0418788E-1
1020	4.0732771E-1
710	4.07604232E-1
2	4.07833658E-1
1005	4.0812525E-1
789	4.10489992E-1
681	4.11628378E-1
878	4.13836657E-1
443	4.13907422E-1
30	4.16667828E-1
75	4.18906746E-1
128	4.19325681E-1
127	4.19518339E-1
131	4.20928862E-1
760	4.21679742E-1
238	4.21980903E-1
371	4.22018263E-1
473	4.22683755E-1
709	4.22790874E-1
18	4.24691566E-1
914	4.25651316E-1
961	4.25747242E-1
445	4.2741087E-1
63	4.27687056E-1
457	4.30198119E-1
375	4.30987073E-1
26	4.32771854E-1
292	4.32816724E-1
854	4.33155499E-1
104	4.34178702E-1
170	4.34667746E-1
791	4.35007176E-1
110	4.35256675E-1
934	4.37632175E-1
769	4.37694491E-1
107	4.40182619E-1
815	4.41055391E-1
686	4.41222948E-1
657	4.41440714E-1
995	4.44095643E-1
559	4.46352587E-1
958	4.46870215E-1
921	4.47549899E-1
129	4.47897213E-1
392	4.49137772E-1
351	4.49545725E-1
160	4.499893E-1
902	4.50322772E-1
540	4.52171401E-1
684	4.52682275E-1
700	4.52783348E-1
227	4.52840477E-1
13	4.53825009E-1
924	4.54126639E-1
543	4.54986373E-1
314	4.55644657E-1
60	4.56207218E-1
801	4.58924709E-1
637	4.5921471E-1
829	4.60958426E-1
361	4.63258451E-1
592	4.69778475E-1
724	4.69931613E-1
565	4.73068631E-1
11	4.74139925E-1
383	4.75130915E-1
738	4.75134846E-1
597	4.7636783E-1
603	4.76726786E-1
182	4.76797992E-1
386	4.78175997E-1
656	4.78790901E-1
669	4.78917643E-1
416	4.79176275E-1
477	4.80235556E-1
165	4.80952505E-1
15	4.85120053E-1
784	4.86003498E-1
852	4.87406022E-1
946	4.89775655E-1
55	4.90554674E-1
102	4.91877533E-1
250	4.94166446E-1
1018	4.95257957E-1
734	4.96244919E-1
316	4.98187684E-1
105	4.98428283E-1
380	4.99555346E-1
44	5.00317232E-1
842	5.0089414E-1
721	5.02313656E-1
826	5.03110275E-1
550	5.04588688E-1
837	5.05565265E-1
670	5.07069621E-1
413	5.070863E-1
567	5.07267883E-1
345	5.09662878E-1
480	5.11213682E-1
433	5.11254752E-1
513	5.12203522E-1
56	5.12978159E-1
613	5.13206176E-1
452	5.15580418E-1
229	5.15916144E-1
948	5.18451614E-1
899	5.18795651E-1
675	5.21203513E-1
294	5.21705656E-1
180	5.22755612E-1
867	5.22840831E-1
622	5.24453388E-1
324	5.26791139E-1
580	5.27079653E-1
823	5.27181355E-1
645	5.27369371E-1
963	5.27977648E-1
564	5.28479966E-1
861	5.29816963E-1
646	5.32466123E-1
3	5.34543514E-1
856	5.35102834E-1
425	5.37575754E-1
560	5.40089047E-1
516	5.41182122E-1
4	5.41215126E-1
932	5.41307598E-1
716	5.41593288E-1
981	5.42100802E-1
628	5.42424711E-1
228	5.43055289E-1
931	5.43475834E-1
539	5.43510308E-1
113	5.43987165E-1
122	5.44271486E-1
644	5.4674867E-1
531	5.49568735E-1
322	5.5129872E-1
883	5.51315265E-1
587	5.51402893E-1
658	5.51487703E-1
295	5.52007179E-1
553	5.54995364E-1
388	5.55082184E-1
298	5.56328914E-1
810	5.56495643E-1
962	5.57749686E-1
671	5.58145652E-1
926	5.6043083E-1
832	5.60642268E-1
412	5.61011948E-1
62	5.61221963E-1
470	5.61437399E-1
213	5.63732064E-1
496	5.68990621E-1
900	5.70312671E-1
792	5.72088197E-1
964	5.7259926E-1
593	5.73373632E-1
788	5.75464132E-1
397	5.76116636E-1
150	5.77538696E-1
532	5.77981471E-1
692	5.7811409E-1
889	5.78754555E-1
390	5.80050772E-1
343	5.81260447E-1
1014	5.83719162E-1
173	5.84854292E-1
417	5.85358104E-1
185	5.85377349E-1
975	5.86655564E-1
51	5.86672858E-1
831	5.8791454E-1
143	5.88397709E-1
490	5.8957116E-1
266	5.90135771E-1
892	5.91065489E-1
751	5.92265964E-1
157	5.92575603E-1
167	5.9430949E-1
340	5.95864683E-1
558	5.968053E-1
999	5.9683677E-1
704	5.9829255E-1
168	5.98536373E-1
259	5.98783774E-1
450	5.99028005E-1
547	5.99123294E-1
706	5.99953269E-1
536	6.01880405E-1
965	6.02015718E-1
503	6.02131039E-1
126	6.02805186E-1
320	6.02905071E-1
987	6.04234896E-1
284	6.05058123E-1
252	6.07548693E-1
623	6.08344068E-1
52	6.09219835E-1
249	6.09859695E-1
783	6.11933447E-1
204	6.13262842E-1
210	6.14187494E-1
601	6.15767467E-1
936	6.16757218E-1
332	6.17928533E-1
640	6.18552037E-1
825	6.18977936E-1
631	6.19134935E-1
807	6.19242056E-1
666	6.19903704E-1
955	6.20568478E-1
199	6.20677983E-1
988	6.24508372E-1
394	6.26007385E-1
151	6.27679424E-1
805	6.28452236E-1
223	6.29560934E-1
561	6.29751191E-1
745	6.30783405E-1
976	6.31390333E-1
799	6.32522491E-1
293	6.32800212E-1
92	6.35248774E-1
800	6.36257317E-1
240	6.36493427E-1
186	6.36594159E-1
695	6.36715217E-1
750	6.36731215E-1
287	6.37520181E-1
863	6.37729441E-1
816	6.40274893E-1
903	6.40287354E-1
876	6.42539647E-1
454	6.42779689E-1
360	6.43583861E-1
57	6.44487904E-1
365	6.46681895E-1
384	6.4870657E-1
53	6.48856237E-1
929	6.49015062E-1
803	6.5036917E-1
523	6.51299632E-1
811	6.51534441E-1
400	6.53128197E-1
634	6.5632891E-1
968	6.578868E-1
959	6.58333739E-1
761	6.59360061E-1
720	6.60590991E-1
311	6.60985693E-1
198	6.65169961E-1
120	6.65513984E-1
922	6.6715453E-1
46	6.68008456E-1
941	6.69915935E-1
632	6.72816812E-1
455	6.74362247E-1
156	6.75086733E-1
265	6.75466697E-1
687	6.78110456E-1
434	6.79497865E-1
766	6.80973393E-1
742	6.85330668E-1
459	6.85594979E-1
395	6.86011216E-1
192	6.86035648E-1
155	6.86142768E-1
802	6.86957374E-1
6	6.87034909E-1
145	6.88560809E-1
956	6.88723313E-1
37	6.89988877E-1
73	6.9138607E-1
775	6.93319914E-1
437	6.93386797E-1
418	6.93646566E-1
347	6.94839022E-1
208	6.96098034E-1
237	6.96827677E-1
715	6.97601963E-1
1009	7.01476224E-1
428	7.08021676E-1
231	7.08567503E-1
891	7.09685857E-1
877	7.10138084E-1
871	7.12015508E-1
273	7.12095585E-1
828	7.12713953E-1
34	7.13038177E-1
966	7.17206131E-1
475	7.18471009E-1
221	7.1876998E-1
1004	7.18890361E-1
330	7.19223303E-1
115	7.19907333E-1
733	7.20840478E-1
376	7.21074543E-1
153	7.2185192E-1
401	7.23651354E-1
648	7.24405455E-1
318	7.24432375E-1
458	7.25582788E-1
493	7.25631766E-1
762	7.26594818E-1
725	7.27273757E-1
486	7.28068244E-1
581	7.29967129E-1
850	7.3331841E-1
717	7.34259688E-1
335	7.34389897E-1
172	7.35687726E-1
257	7.36000109E-1
680	7.37072099E-1
141	7.39221278E-1
537	7.39398601E-1
901	7.39437007E-1
78	7.39650623E-1
618	7.41204957E-1
860	7.42646915E-1
308	7.43584337E-1
494	7.44775061E-1
181	7.45352775E-1
851	7.47069396E-1
985	7.47124367E-1
171	7.47236515E-1
359	7.47816411E-1
485	7.48113729E-1
571	7.4868112E-1
521	7.49441117E-1
9	7.49785198E-1
1011	7.5120217E-1
355	7.53318629E-1
274	7.5354739E-1
1010	7.53778248E-1
460	7.53873941E-1
790	7.56382135E-1
908	7.58171844E-1
217	7.60407787E-1
779	7.61872623E-1
224	7.62372483E-1
786	7.62644713E-1
125	7.63901988E-1
465	7.64866614E-1
983	7.65110813E-1
887	7.65517463E-1
255	7.65840169E-1
317	7.661028E-1
214	7.68365431E-1
605	7.68796295E-1
67	7.6928573E-1
93	7.69857795E-1
136	7.70417981E-1
179	7.70443077E-1
526	7.70880981E-1
84	7.71923501E-1
971	7.7459048E-1
874	7.76846535E-1
138	7.77811843E-1
374	7.78361833E-1
875	7.78363038E-1
152	7.78874173E-1
563	7.79209719E-1
835	7.79742396E-1
797	7.80084997E-1
701	7.81976048E-1
689	7.85028442E-1
350	7.86605711E-1
896	7.87960086E-1
570	7.88181642E-1
258	7.89630229E-1
222	7.89979761E-1
595	7.90787698E-1
857	7.91618047E-1
990	7.92169914E-1
674	7.93758015E-1
489	7.94167538E-1
846	7.96201069E-1
7	7.97538377E-1
74	7.97788641E-1
866	8.02328978E-1
492	8.02378978E-1
69	8.02687602E-1
469	8.03318639E-1
906	8.04377739E-1
40	8.05734559E-1
772	8.06775235E-1
364	8.07920628E-1
1019	8.08351527E-1
487	8.08379728E-1
935	8.08768702E-1
289	8.10144317E-1
370	8.10727647E-1
885	8.10861526E-1
917	8.10874674E-1
693	8.10986822E-1
1021	8.11511814E-1
1008	8.11731235E-1
650	8.11781941E-1
573	8.12267361E-1
405	8.12765298E-1
947	8.13345772E-1
276	8.13721988E-1
785	8.1406098E-1
275	8.16679603E-1
868	8.16684896E-1
819	8.17890931E-1
48	8.18814275E-1
10	8.18882169E-1
517	8.20067993E-1
402	8.20485301E-1
873	8.20612383E-1
148	8.21814212E-1
911	8.2196955E-1
712	8.22759647E-1
247	8.23794965E-1
349	8.24228993E-1
202	8.25137238E-1
142	8.2588658E-1
378	8.2665717E-1
556	8.28254957E-1
528	8.28787288E-1
134	8.29706618E-1
303	8.29973352E-1
163	8.30567979E-1
636	8.3078102E-1
767	8.30971203E-1
583	8.31230303E-1
488	8.31514667E-1
368	8.33004111E-1
31	8.33299105E-1
43	8.34097879E-1
479	8.37214442E-1
773	8.38298193E-1
753	8.40150547E-1
812	8.41582005E-1
830	8.41804899E-1
770	8.41825208E-1
124	8.43863974E-1
89	8.44271486E-1
175	8.44339091E-1
446	8.44377739E-1
12	8.45756917E-1
978	8.46099311E-1
211	8.47123287E-1
530	8.47253948E-1
719	8.47876151E-1
372	8.50261774E-1
569	8.50532849E-1
146	8.54003917E-1
682	8.54993917E-1
589	8.55476945E-1
133	8.55853398E-1
1022	8.55881608E-1
749	8.57000454E-1
998	8.60280238E-1
688	8.60287798E-1
81	8.60436853E-1
83	8.6329395E-1
58	8.63691111E-1
641	8.65255733E-1
140	8.65785911E-1
1017	8.66224289E-1
96	8.66287059E-1
730	8.67126965E-1
248	8.68221999E-1
1023	8.69884322E-1
993	8.71322305E-1
194	8.74445544E-1
582	8.75784342E-1
216	8.76022671E-1
158	8.76269519E-1
683	8.76284395E-1
655	8.78991081E-1
161	8.81076199E-1
197	8.81667567E-1
703	8.82820728E-1
336	8.85169794E-1
291	8.8536292E-1
984	8.86698048E-1
940	8.87019321E-1
551	8.87085259E-1
362	8.87695871E-1
848	8.8772365E-1
64	8.89096826E-1
195	8.89791423E-1
389	8.90250802E-1
579	8.90722008E-1
301	8.9129893E-1
24	8.92950852E-1
103	8.93151332E-1
1006	8.95156521E-1
718	8.95658748E-1
121	8.95843036E-1
123	8.96746022E-1
77	8.98601462E-1
201	9.01471294E-1
756	9.04230831E-1
839	9.04253095E-1
302	9.04541107E-1
970	9.06415366E-1
442	9.09236987E-1
21	9.09522724E-1
652	9.10786727E-1
409	9.10878386E-1
277	9.13092383E-1
435	9.13234734E-1
232	9.13736124E-1
481	9.13979283E-1
651	9.14578165E-1
353	9.15049279E-1
607	9.1625141E-1
427	9.16312682E-1
821	9.16574489E-1
944	9.17041647E-1
463	9.17079971E-1
845	9.17702554E-1
1002	9.18060589E-1
453	9.1811926E-1
439	9.18671836E-1
406	9.20006706E-1
251	9.24594153E-1
178	9.24614157E-1
190	9.25115302E-1
358	9.25236469E-1
708	9.25252338E-1
444	9.25407583E-1
776	9.27971729E-1
313	9.28598066E-1
471	9.28623673E-1
193	9.29112781E-1
415	9.29589992E-1
447	9.29977089E-1
818	9.30264451E-1
747	9.34624567E-1
870	9.34716571E-1
608	9.36919708E-1
676	9.38229318E-1
568	9.38650553E-1
440	9.39036102E-1
544	9.39362578E-1
99	9.39779886E-1
404	9.40700909E-1
245	9.4151916E-1
562	9.41646652E-1
566	9.42476994E-1
87	9.42658769E-1
794	9.45199249E-1
980	9.45272584E-1
677	9.46406992E-1
162	9.46604338E-1
147	9.46819415E-1
969	9.47470729E-1
927	9.47482293E-1
809	9.48567093E-1
234	9.48641755E-1
918	9.49163561E-1
281	9.53328453E-1
862	9.53914198E-1
215	9.56287378E-1
207	9.56480617E-1
333	9.57577961E-1
130	9.60180251E-1
339	9.60263248E-1
578	9.60521883E-1
387	9.61481815E-1
348	9.63070632E-1
545	9.63252684E-1
282	9.63570671E-1
619	9.63655527E-1
808	9.66646471E-1
647	9.6777587E-1
203	9.6796251E-1
346	9.69066611E-1
468	9.70155644E-1
746	9.75114695E-1
491	9.7515911E-1
164	9.75318041E-1
534	9.75722994E-1
952	9.77045608E-1
621	9.7931105E-1
352	9.79319684E-1
740	9.80279356E-1
886	9.83561727E-1
