Name	chi2Pvalue
176	3.08513433E-7
111	1.38968821E-5
68	2.91286132E-4
802	3.37758897E-4
664	2.32156004E-3
382	3.52835907E-3
623	5.01534328E-3
836	5.83089374E-3
459	7.93231312E-3
847	9.09613426E-3
792	1.00611146E-2
117	1.26631067E-2
476	1.56685429E-2
656	1.60151644E-2
909	1.77200905E-2
38	1.92543247E-2
227	1.98071047E-2
270	1.98920993E-2
94	1.99042407E-2
575	2.04454099E-2
139	2.26241738E-2
889	2.27357066E-2
517	2.43696555E-2
74	2.43924502E-2
592	2.48604055E-2
385	2.78700165E-2
614	2.80104586E-2
241	2.83848806E-2
203	2.8443892E-2
613	2.9992722E-2
223	3.03207317E-2
744	3.24727851E-2
429	3.3809667E-2
600	3.45641996E-2
571	3.57440261E-2
917	3.7791326E-2
242	3.78082322E-2
764	3.82700019E-2
949	3.87911339E-2
777	4.03550724E-2
93	4.29416517E-2
461	4.30117394E-2
191	4.30483914E-2
919	4.31560969E-2
308	4.69948736E-2
100	4.72186147E-2
463	4.94958903E-2
845	5.03374314E-2
294	5.11447214E-2
418	5.12290748E-2
806	5.33469763E-2
235	5.49253E-2
739	5.51665824E-2
754	5.64565052E-2
882	6.0893499E-2
505	6.16585911E-2
533	6.34607345E-2
310	6.4212878E-2
795	6.45264447E-2
1004	6.55482528E-2
884	6.55550102E-2
826	6.6065579E-2
131	6.6749689E-2
697	6.80565757E-2
866	6.83225353E-2
622	6.87260127E-2
243	6.95181933E-2
29	7.02206643E-2
85	7.23522152E-2
864	7.54911479E-2
177	7.58345539E-2
383	7.59059467E-2
911	7.88168721E-2
998	7.90003564E-2
391	7.99204764E-2
881	8.00764885E-2
113	8.02684651E-2
963	8.10169116E-2
169	8.27060249E-2
922	8.2816269E-2
934	8.29572837E-2
97	8.34885502E-2
798	8.41059201E-2
698	8.46558422E-2
928	8.54589997E-2
295	8.5865099E-2
654	8.60223393E-2
141	8.68084397E-2
200	8.89561607E-2
503	8.95657653E-2
122	9.04630218E-2
957	9.23788919E-2
278	9.53668169E-2
316	9.57074602E-2
778	9.68300576E-2
673	9.77500608E-2
248	1.00454705E-1
327	1.00893152E-1
43	1.021405E-1
55	1.04523707E-1
966	1.04553334E-1
987	1.0507977E-1
587	1.05464316E-1
30	1.05478324E-1
39	1.07051615E-1
290	1.07075804E-1
515	1.08375753E-1
104	1.08976574E-1
114	1.091822E-1
