Name	chi2Pvalue
111	5.50109102E-5
176	1.12794603E-4
68	7.86703015E-4
697	1.02080561E-3
191	2.17613661E-3
91	3.35887512E-3
777	3.68617589E-3
802	3.86014897E-3
847	4.19485083E-3
907	4.43537657E-3
917	5.51950302E-3
119	6.12812293E-3
517	7.40266011E-3
29	8.24091407E-3
664	9.32418952E-3
836	1.04746416E-2
746	1.07860324E-2
188	1.4648058E-2
28	1.65044339E-2
441	1.89768725E-2
928	1.9491806E-2
515	2.32752313E-2
200	2.37739808E-2
592	2.39603234E-2
872	2.4545395E-2
703	2.47778415E-2
620	2.57356345E-2
759	2.72196087E-2
901	2.79579341E-2
889	2.82499204E-2
778	3.24434178E-2
476	3.24692648E-2
722	3.28770413E-2
235	3.35618486E-2
705	3.52879472E-2
242	3.58579972E-2
865	3.62447016E-2
919	3.72778207E-2
614	3.93779785E-2
391	4.26078825E-2
613	4.38332578E-2
531	4.45981362E-2
813	4.68265429E-2
586	4.84871859E-2
45	4.8762516E-2
100	4.91809058E-2
953	5.06192104E-2
407	5.08774855E-2
382	5.25440391E-2
39	5.37759254E-2
466	5.45717839E-2
805	5.50153556E-2
137	5.69908834E-2
93	5.79068983E-2
1016	5.89066977E-2
499	6.21308972E-2
860	6.37661435E-2
1014	6.38900401E-2
467	6.42240072E-2
262	6.5270002E-2
575	6.63216183E-2
430	6.76960208E-2
946	6.95687496E-2
915	7.17818436E-2
308	7.2129555E-2
303	7.30293645E-2
610	7.3238643E-2
782	7.34037676E-2
417	7.38634054E-2
633	7.39750034E-2
328	7.4218122E-2
84	7.48624602E-2
74	7.62946658E-2
377	7.6987508E-2
125	7.79647988E-2
520	7.88291204E-2
572	8.02719479E-2
925	8.20424141E-2
278	8.20631268E-2
63	8.25560909E-2
888	8.36276182E-2
849	8.40009372E-2
806	8.72573689E-2
548	8.79700046E-2
186	9.02332407E-2
224	9.20917768E-2
553	9.35088232E-2
94	9.62952259E-2
673	9.64049039E-2
909	9.83800485E-2
791	9.84983045E-2
796	9.88673485E-2
880	9.93302004E-2
988	9.93687496E-2
183	9.93714782E-2
698	1.00511976E-1
529	1.01377192E-1
930	1.03392605E-1
786	1.03666443E-1
752	1.03871551E-1
229	1.03945069E-1
628	1.04755044E-1
184	1.05678704E-1
319	1.06012068E-1
890	1.07028413E-1
139	1.08393822E-1
579	1.09914725E-1
516	1.10405749E-1
845	1.11375767E-1
461	1.11802703E-1
554	1.13625564E-1
117	1.14028818E-1
169	1.14592944E-1
330	1.17488126E-1
669	1.1905197E-1
689	1.19183803E-1
316	1.19267448E-1
795	1.20122971E-1
429	1.20231556E-1
597	1.20927623E-1
88	1.21754412E-1
625	1.21919251E-1
265	1.22702776E-1
25	1.22802301E-1
654	1.22962025E-1
685	1.23489959E-1
831	1.24033983E-1
604	1.24136445E-1
432	1.25008757E-1
290	1.25385983E-1
459	1.25855116E-1
150	1.26190671E-1
113	1.28165537E-1
300	1.28196092E-1
696	1.29035036E-1
951	1.29999409E-1
445	1.31060372E-1
650	1.31533191E-1
385	1.32197515E-1
854	1.32471384E-1
873	1.32902781E-1
744	1.3555995E-1
