Name	chi2Pvalue
176	1.31149117E-7
111	6.76617797E-6
68	1.20678451E-4
664	1.51943878E-3
836	3.08071939E-3
909	4.2724316E-3
802	4.94208177E-3
459	5.92965914E-3
100	6.24301153E-3
847	6.56029662E-3
575	1.09606947E-2
38	1.12433762E-2
270	1.19725404E-2
94	1.2815315E-2
117	1.51965963E-2
382	1.63903923E-2
806	1.82201447E-2
795	1.99109263E-2
391	2.01562529E-2
792	2.06246279E-2
476	2.29456455E-2
74	2.33422115E-2
235	2.34321168E-2
517	2.39813061E-2
592	2.42635436E-2
744	2.47572513E-2
697	2.5905341E-2
242	2.68120865E-2
139	2.95847069E-2
1004	3.36902429E-2
308	3.50741391E-2
122	3.60664523E-2
429	3.63901675E-2
777	3.75156868E-2
673	3.84423396E-2
39	3.86368638E-2
600	4.00983048E-2
917	4.03548566E-2
418	4.07335294E-2
949	4.35157183E-2
177	4.36300432E-2
889	4.37272268E-2
798	4.57617867E-2
966	4.58281302E-2
610	4.70545532E-2
919	5.0518106E-2
105	5.10358693E-2
845	5.25156938E-2
239	5.34246283E-2
614	5.4089428E-2
97	5.42375061E-2
928	5.44561277E-2
864	5.44764545E-2
200	5.55794582E-2
613	5.6913169E-2
385	5.74143578E-2
407	6.03813832E-2
416	6.15118826E-2
716	6.15645141E-2
56	6.17752864E-2
203	6.59171339E-2
227	6.6182824E-2
623	6.64663126E-2
350	6.65451493E-2
660	6.98595933E-2
986	7.03287615E-2
523	7.03551057E-2
310	7.15859026E-2
295	7.20733318E-2
952	7.36309175E-2
622	7.42484773E-2
881	7.76840071E-2
625	7.7695998E-2
127	7.78200506E-2
754	7.79838169E-2
86	7.84213797E-2
926	8.00305884E-2
191	8.18948559E-2
229	8.305335E-2
778	8.33695209E-2
519	8.35988008E-2
230	8.41377186E-2
533	8.61969431E-2
505	8.65213918E-2
685	8.82883062E-2
722	8.84682552E-2
223	8.8468458E-2
987	8.93895799E-2
882	9.24389489E-2
98	9.3349189E-2
169	9.37354849E-2
91	9.43492484E-2
672	9.47314726E-2
890	9.60460498E-2
656	9.60555807E-2
41	9.64902162E-2
159	9.68232044E-2
515	9.715594E-2
148	9.83105569E-2
290	1.00416555E-1
571	1.02972953E-1
180	1.03258154E-1
93	1.05614506E-1
263	1.06197909E-1
384	1.07753677E-1
654	1.11924518E-1
167	1.11946883E-1
844	1.12076895E-1
131	1.13233345E-1
782	1.16668459E-1
423	1.19267956E-1
55	1.19858228E-1
608	1.19886441E-1
696	1.20184882E-1
490	1.20298286E-1
826	1.21044531E-1
669	1.21112166E-1
141	1.21777397E-1
999	1.24801907E-1
202	1.25497061E-1
113	1.26675462E-1
166	1.29612704E-1
430	1.29984845E-1
464	1.30146045E-1
963	1.30414699E-1
264	1.30719531E-1
709	1.31189696E-1
29	1.31884455E-1
604	1.32229101E-1
726	1.33291576E-1
40	1.33819587E-1
104	1.34116022E-1
877	1.34319765E-1
854	1.35022446E-1
294	1.35381837E-1
937	1.37813753E-1
287	1.38376522E-1
445	1.38749181E-1
866	1.39079883E-1
764	1.39233129E-1
759	1.40488005E-1
1007	1.40489732E-1
362	1.43874036E-1
695	1.44271461E-1
28	1.45791591E-1
466	1.49352962E-1
737	1.49928456E-1
893	1.50489848E-1
653	1.50684247E-1
584	1.51509695E-1
461	1.51604587E-1
587	1.52359049E-1
951	1.53003391E-1
160	1.54376804E-1
507	1.55339543E-1
248	1.58141539E-1
884	1.58745744E-1
125	1.59043645E-1
326	1.62581416E-1
306	1.62950738E-1
20	1.63432061E-1
76	1.63479092E-1
913	1.64479509E-1
9	1.66510102E-1
467	1.66631184E-1
638	1.68017468E-1
863	1.69348117E-1
840	1.69909226E-1
188	1.70823814E-1
241	1.72512425E-1
119	1.728285E-1
378	1.74261631E-1
90	1.75263882E-1
933	1.75958943E-1
485	1.77585637E-1
595	1.81410066E-1
103	1.82401709E-1
539	1.82577835E-1
564	1.8342071E-1
408	1.85764909E-1
112	1.87160078E-1
383	1.87160268E-1
218	1.87976906E-1
974	1.8819659E-1
550	1.88318256E-1
366	1.90354984E-1
589	1.909951E-1
905	1.92378141E-1
526	1.9472096E-1
535	1.95768968E-1
786	1.96802531E-1
981	1.98218994E-1
327	1.99534225E-1
976	1.99656738E-1
330	2.00156771E-1
531	2.00676308E-1
910	2.01161116E-1
516	2.013005E-1
927	2.01451364E-1
876	2.02267153E-1
953	2.05044339E-1
628	2.05124537E-1
714	2.06961909E-1
224	2.07036664E-1
679	2.07145692E-1
603	2.10118629E-1
651	2.11625407E-1
579	2.12090721E-1
851	2.13344293E-1
703	2.13877482E-1
463	2.15070454E-1
762	2.15426516E-1
646	2.18234238E-1
250	2.19032766E-1
538	2.19478975E-1
257	2.2087909E-1
456	2.22233413E-1
501	2.22785948E-1
84	2.22866846E-1
712	2.26433051E-1
215	2.27876441E-1
865	2.28323025E-1
853	2.29731505E-1
21	2.31166749E-1
195	2.31842179E-1
626	2.31906077E-1
989	2.34456723E-1
17	2.35289864E-1
780	2.35692834E-1
597	2.3610772E-1
436	2.37266984E-1
489	2.38647238E-1
254	2.39160547E-1
562	2.39955151E-1
379	2.41029359E-1
300	2.417011E-1
747	2.4179553E-1
652	2.42241475E-1
398	2.42814981E-1
967	2.44284826E-1
374	2.444918E-1
911	2.48330266E-1
512	2.48938437E-1
232	2.50339152E-1
682	2.51122664E-1
73	2.52693529E-1
954	2.53160338E-1
569	2.54633314E-1
171	2.5558074E-1
1013	2.55864978E-1
220	2.56440775E-1
482	2.5771719E-1
548	2.5811707E-1
537	2.5921439E-1
405	2.5926923E-1
165	2.60098432E-1
578	2.6220295E-1
375	2.62723552E-1
503	2.6464507E-1
689	2.64938892E-1
361	2.66138164E-1
721	2.66316785E-1
206	2.66636529E-1
238	2.67479725E-1
772	2.69985185E-1
633	2.73513657E-1
506	2.73638974E-1
586	2.74372628E-1
923	2.77029149E-1
931	2.77510811E-1
843	2.78602452E-1
752	2.79998258E-1
813	2.80320941E-1
475	2.80662832E-1
572	2.82480326E-1
357	2.83181427E-1
243	2.83272676E-1
262	2.85110869E-1
30	2.86006649E-1
534	2.86092458E-1
1	2.86609667E-1
591	2.87239176E-1
85	2.87781389E-1
439	2.92509072E-1
344	2.93294457E-1
791	2.93698305E-1
114	2.9406455E-1
474	2.94859631E-1
880	2.96004837E-1
698	2.96292336E-1
948	2.97145848E-1
186	2.98834107E-1
217	3.00796256E-1
946	3.02439037E-1
470	3.03608828E-1
156	3.05054871E-1
246	3.06121754E-1
980	3.06174909E-1
659	3.06905352E-1
680	3.08892556E-1
800	3.09562039E-1
553	3.09805184E-1
998	3.10132375E-1
520	3.11465791E-1
297	3.11988524E-1
725	3.12178703E-1
18	3.12355653E-1
956	3.13509617E-1
441	3.13845159E-1
