Name	chi2Pvalue
176	4.36980069E-6
575	3.04770023E-5
111	3.7944459E-4
235	4.3736223E-4
68	5.78087888E-4
802	6.40608891E-4
416	6.42327624E-4
100	1.50169926E-3
847	2.98914627E-3
664	3.41029312E-3
103	4.01004297E-3
94	5.338724E-3
54	5.42291217E-3
239	5.95052073E-3
909	8.14868487E-3
517	9.53145054E-3
467	1.16912007E-2
515	1.33078426E-2
983	1.40552306E-2
17	1.42398485E-2
625	1.44559911E-2
117	1.52925434E-2
250	1.64702228E-2
38	1.88006058E-2
672	1.94707662E-2
20	2.02205908E-2
782	2.02959974E-2
84	2.11474842E-2
407	2.24450199E-2
270	2.31579485E-2
971	2.35636678E-2
806	2.4307319E-2
778	2.46873054E-2
529	2.49660692E-2
242	2.66684218E-2
651	2.71056098E-2
579	3.02828231E-2
550	3.08821141E-2
246	3.09608147E-2
382	3.21564194E-2
39	3.34009482E-2
391	3.50535496E-2
914	3.5507751E-2
306	3.72764386E-2
349	3.75411108E-2
314	3.82513562E-2
169	4.05492683E-2
30	4.19829133E-2
685	4.21097163E-2
957	4.31185383E-2
323	4.36748873E-2
951	4.49394733E-2
836	4.89057469E-2
330	4.90881397E-2
476	4.92763331E-2
200	5.00763291E-2
792	5.03866648E-2
776	5.07661896E-2
614	5.26638234E-2
445	5.318159E-2
958	5.43648326E-2
55	5.4748152E-2
623	5.50984899E-2
592	5.59979195E-2
673	5.84031492E-2
1004	5.92367767E-2
288	5.93914628E-2
901	5.99684122E-2
309	6.01542384E-2
889	6.15779149E-2
711	6.16685656E-2
310	6.23850108E-2
431	6.674876E-2
608	6.92355097E-2
254	7.01548211E-2
960	7.02363143E-2
186	7.11145649E-2
864	7.17462236E-2
167	7.38872491E-2
262	7.63129672E-2
992	7.86823559E-2
59	7.97533105E-2
430	8.05913801E-2
912	8.0978386E-2
777	8.11952128E-2
177	8.19805787E-2
722	8.22120063E-2
798	8.24338727E-2
131	8.24674101E-2
734	8.34077024E-2
591	8.45920503E-2
42	8.57112272E-2
229	8.60671653E-2
709	8.67656598E-2
988	8.68606048E-2
120	8.89328767E-2
429	9.04122765E-2
91	9.07770377E-2
937	9.11030801E-2
744	9.2135388E-2
466	9.2255678E-2
865	9.3263724E-2
420	9.45461305E-2
245	9.75874615E-2
604	1.00307728E-1
743	1.02669692E-1
907	1.05164011E-1
1016	1.06483996E-1
756	1.09001731E-1
188	1.10318081E-1
501	1.10426461E-1
586	1.10763031E-1
966	1.12300653E-1
290	1.12341217E-1
191	1.12925916E-1
331	1.13083913E-1
286	1.15329624E-1
964	1.16396456E-1
755	1.17102055E-1
883	1.18166217E-1
505	1.18676063E-1
531	1.19709593E-1
291	1.19796705E-1
547	1.19870534E-1
678	1.20596463E-1
741	1.22487118E-1
838	1.24125608E-1
853	1.25848795E-1
276	1.26411487E-1
241	1.27943392E-1
553	1.28070871E-1
805	1.28590134E-1
86	1.29689206E-1
231	1.30811069E-1
506	1.30884139E-1
658	1.3213404E-1
238	1.32153677E-1
35	1.3263332E-1
