Name	chi2Pvalue
558	1.17670372E-3
646	1.59327331E-3
792	1.75770709E-3
464	3.02481934E-3
597	8.40246132E-3
202	9.37027769E-3
306	9.76908274E-3
354	9.84333842E-3
826	1.11491879E-2
898	1.39427848E-2
94	1.39543306E-2
876	1.48720325E-2
56	1.61599573E-2
525	1.63406932E-2
696	1.69150044E-2
726	1.69399773E-2
257	1.72084538E-2
7	1.7271277E-2
185	1.75404299E-2
170	1.89811897E-2
343	1.91291933E-2
582	1.9470447E-2
382	1.95954E-2
832	2.02209968E-2
956	2.13820938E-2
426	2.23302858E-2
502	2.29295261E-2
785	2.33078137E-2
373	2.37961584E-2
8	2.60564577E-2
251	2.67565794E-2
143	2.68633764E-2
906	2.75480216E-2
448	2.75502519E-2
845	2.93044062E-2
311	3.08834698E-2
229	3.24529838E-2
263	3.31866114E-2
771	3.37980909E-2
1011	3.43536995E-2
530	3.52525641E-2
132	3.72572849E-2
667	3.73473048E-2
681	3.81601246E-2
670	4.00225157E-2
389	4.10448083E-2
981	4.17633713E-2
474	4.28415822E-2
60	4.35128559E-2
217	4.52641369E-2
18	4.85901706E-2
17	4.87747346E-2
883	4.8791223E-2
122	5.01132693E-2
592	5.26774509E-2
821	5.28770724E-2
803	5.32527267E-2
860	5.37616964E-2
717	5.37915227E-2
536	5.44636043E-2
127	5.45432902E-2
880	5.45675308E-2
442	5.59434685E-2
653	5.607131E-2
605	5.65497783E-2
336	5.67414868E-2
729	5.71884098E-2
196	5.72946564E-2
839	5.79726236E-2
774	5.98250442E-2
403	6.04717097E-2
988	6.12348954E-2
203	6.33008683E-2
801	6.34428398E-2
47	6.39336939E-2
42	6.40012606E-2
249	6.40116386E-2
407	6.42275923E-2
917	6.43941159E-2
395	6.51194959E-2
528	6.63767573E-2
437	6.83505342E-2
760	6.89447796E-2
625	6.94732849E-2
410	7.24812689E-2
145	7.3363076E-2
909	7.34374853E-2
768	7.41137774E-2
418	7.5601029E-2
901	7.67630749E-2
936	7.80464967E-2
455	7.82504323E-2
323	8.32884549E-2
539	8.44159657E-2
200	8.45081259E-2
949	8.68654933E-2
867	8.71811691E-2
522	8.72307588E-2
103	8.78989281E-2
137	8.90805889E-2
228	9.15765009E-2
617	9.27268822E-2
775	9.34523882E-2
859	9.50195174E-2
131	9.5985305E-2
541	9.71961425E-2
214	9.74061227E-2
105	9.75532008E-2
457	9.81581435E-2
147	1.00763312E-1
739	1.0086184E-1
219	1.03989286E-1
763	1.04424733E-1
198	1.05279317E-1
345	1.05614322E-1
27	1.05667782E-1
138	1.06504295E-1
587	1.06682193E-1
680	1.07533257E-1
340	1.08130549E-1
948	1.10143333E-1
119	1.11455622E-1
110	1.114928E-1
1009	1.11655868E-1
640	1.11921686E-1
370	1.1521771E-1
44	1.15771418E-1
766	1.15833508E-1
272	1.15928958E-1
798	1.16718405E-1
312	1.16737145E-1
193	1.18770591E-1
564	1.21332858E-1
990	1.21559533E-1
84	1.22923869E-1
882	1.23369653E-1
624	1.25420977E-1
767	1.26619884E-1
113	1.26789384E-1
324	1.27325605E-1
703	1.28321265E-1
86	1.28462293E-1
397	1.30670577E-1
802	1.31704279E-1
314	1.33137236E-1
374	1.33770618E-1
922	1.33815653E-1
133	1.33959331E-1
72	1.34653095E-1
45	1.34667687E-1
396	1.34676414E-1
658	1.35814398E-1
791	1.36516589E-1
285	1.36622142E-1
603	1.37813095E-1
476	1.37918255E-1
225	1.38371523E-1
194	1.38954329E-1
98	1.41732489E-1
524	1.41862183E-1
208	1.41884502E-1
4	1.42874093E-1
809	1.44008502E-1
416	1.44062959E-1
896	1.4448924E-1
167	1.45464374E-1
746	1.45768356E-1
104	1.46679606E-1
807	1.46792237E-1
30	1.46878562E-1
879	1.48943232E-1
805	1.49710623E-1
444	1.50466815E-1
472	1.52363788E-1
851	1.52402307E-1
432	1.53621897E-1
391	1.5460227E-1
856	1.55266985E-1
445	1.55578327E-1
758	1.59325742E-1
837	1.61482374E-1
550	1.61627105E-1
297	1.63089223E-1
954	1.63344755E-1
602	1.66097825E-1
235	1.6769216E-1
168	1.68308112E-1
247	1.70440675E-1
983	1.73358257E-1
991	1.74275386E-1
548	1.74908336E-1
973	1.75509603E-1
106	1.75682116E-1
100	1.78196107E-1
172	1.78758976E-1
765	1.79689053E-1
594	1.80630047E-1
736	1.80923961E-1
822	1.81147422E-1
36	1.81595913E-1
398	1.82187124E-1
499	1.8641801E-1
319	1.88430604E-1
461	1.9010442E-1
385	1.93581517E-1
284	1.94024736E-1
999	1.95448115E-1
232	1.96044001E-1
709	1.96086741E-1
980	1.97226193E-1
93	1.9818537E-1
561	1.98366675E-1
301	1.99882039E-1
571	2.00496345E-1
58	2.00504675E-1
362	2.03802284E-1
782	2.03975317E-1
683	2.04668795E-1
114	2.06474843E-1
443	2.06528197E-1
359	2.07552589E-1
608	2.08491803E-1
489	2.13687419E-1
742	2.13804133E-1
159	2.1412727E-1
982	2.15791387E-1
82	2.15842355E-1
862	2.16837441E-1
559	2.16940477E-1
966	2.1761871E-1
848	2.18680478E-1
678	2.19580741E-1
393	2.20572393E-1
256	2.2059943E-1
753	2.20822691E-1
141	2.21139386E-1
87	2.21667131E-1
334	2.22220561E-1
570	2.22485185E-1
847	2.22718218E-1
37	2.25769283E-1
223	2.25829178E-1
124	2.31647788E-1
428	2.31896905E-1
877	2.34942063E-1
959	2.3529146E-1
423	2.36101483E-1
689	2.36177256E-1
29	2.3770762E-1
834	2.37837623E-1
269	2.40941217E-1
974	2.42375625E-1
23	2.42460408E-1
554	2.48225081E-1
271	2.48458935E-1
610	2.49093153E-1
993	2.5027949E-1
622	2.50406845E-1
741	2.51383694E-1
344	2.52599043E-1
130	2.57961646E-1
348	2.58693105E-1
264	2.59399895E-1
1014	2.60085956E-1
799	2.62040678E-1
904	2.62605431E-1
135	2.62957592E-1
412	2.63732095E-1
246	2.64743001E-1
189	2.66048544E-1
911	2.66314884E-1
69	2.66468171E-1
633	2.66710762E-1
174	2.66977837E-1
749	2.67528459E-1
78	2.70368295E-1
754	2.71707477E-1
787	2.74099569E-1
562	2.74496813E-1
630	2.76277498E-1
388	2.76344227E-1
618	2.76922343E-1
776	2.78308958E-1
250	2.78490246E-1
255	2.80466084E-1
663	2.81063623E-1
363	2.82129858E-1
286	2.82246592E-1
440	2.82827355E-1
968	2.83171561E-1
116	2.84554549E-1
659	2.84636031E-1
698	2.85393378E-1
613	2.85975754E-1
793	2.8613702E-1
404	2.86594153E-1
757	2.86594857E-1
186	2.87772141E-1
660	2.90566679E-1
577	2.91699014E-1
179	2.9191513E-1
520	2.92389453E-1
81	2.93045945E-1
1001	2.9425935E-1
697	2.95176732E-1
674	2.96258571E-1
1006	2.97471755E-1
68	2.98300978E-1
708	2.98848752E-1
53	2.99187827E-1
932	3.00195221E-1
769	3.00568784E-1
844	3.00740645E-1
510	3.01505468E-1
406	3.02574333E-1
280	3.02674348E-1
431	3.02755643E-1
789	3.04179341E-1
337	3.05519255E-1
154	3.06809616E-1
115	3.07706458E-1
740	3.08345952E-1
187	3.08499314E-1
797	3.13056132E-1
842	3.14118635E-1
470	3.15538962E-1
976	3.15675897E-1
573	3.17284419E-1
615	3.18250359E-1
601	3.18933496E-1
515	3.19263075E-1
356	3.20282961E-1
292	3.21527827E-1
321	3.2269468E-1
631	3.23033668E-1
55	3.23403502E-1
182	3.23475883E-1
274	3.24873773E-1
872	3.2776202E-1
764	3.3002534E-1
580	3.30431084E-1
549	3.31146373E-1
675	3.31961713E-1
85	3.3215724E-1
531	3.33241626E-1
197	3.33533361E-1
294	3.34280764E-1
719	3.36599278E-1
207	3.3734156E-1
1004	3.40040195E-1
166	3.40283352E-1
419	3.40379978E-1
149	3.40740151E-1
604	3.41171171E-1
666	3.42236253E-1
441	3.44799347E-1
501	3.45375324E-1
823	3.45444241E-1
414	3.48484909E-1
75	3.48991892E-1
731	3.49001976E-1
486	3.49686258E-1
831	3.49764417E-1
459	3.51829812E-1
293	3.52281203E-1
516	3.53248954E-1
497	3.55889951E-1
155	3.56943476E-1
35	3.57057295E-1
379	3.57094202E-1
979	3.58440846E-1
366	3.6310799E-1
866	3.63143113E-1
661	3.63920167E-1
275	3.64057669E-1
505	3.64656895E-1
648	3.65336385E-1
843	3.65526498E-1
914	3.65674169E-1
735	3.66853907E-1
259	3.67946763E-1
777	3.69278377E-1
134	3.69760241E-1
158	3.70373123E-1
273	3.72449725E-1
288	3.7430128E-1
1015	3.76948188E-1
732	3.78301664E-1
581	3.78603923E-1
146	3.79219447E-1
358	3.79332099E-1
707	3.79872594E-1
70	3.81188486E-1
156	3.82567714E-1
62	3.82581755E-1
28	3.82595309E-1
136	3.84212652E-1
944	3.85010706E-1
706	3.87651086E-1
808	3.87923422E-1
173	3.89051806E-1
317	3.9260043E-1
890	3.92685484E-1
13	3.92767303E-1
177	3.94562886E-1
841	3.95156415E-1
48	3.95327614E-1
574	3.95430592E-1
462	3.96629992E-1
704	3.97199665E-1
552	3.99569262E-1
12	3.99658923E-1
322	4.01282519E-1
485	4.01813858E-1
815	4.019025E-1
52	4.03482541E-1
218	4.03673654E-1
90	4.04600216E-1
107	4.04669205E-1
863	4.05130394E-1
992	4.05268041E-1
361	4.07704349E-1
1007	4.08290142E-1
240	4.09538331E-1
835	4.09714872E-1
912	4.11280398E-1
591	4.11340061E-1
713	4.11632858E-1
447	4.11692847E-1
384	4.12389102E-1
178	4.12547644E-1
693	4.15062684E-1
857	4.15096245E-1
150	4.16172578E-1
493	4.16967419E-1
958	4.17397143E-1
233	4.17586279E-1
215	4.19581721E-1
940	4.20907246E-1
409	4.21022985E-1
24	4.23053937E-1
330	4.25198243E-1
270	4.26710619E-1
16	4.26717986E-1
532	4.27026629E-1
327	4.28071729E-1
671	4.28344194E-1
751	4.29306371E-1
239	4.29399276E-1
262	4.30307196E-1
316	4.31701983E-1
533	4.333298E-1
734	4.35219181E-1
76	4.35246554E-1
453	4.35828233E-1
19	4.36450851E-1
908	4.37714972E-1
320	4.39008935E-1
473	4.39405864E-1
623	4.39446631E-1
600	4.43969757E-1
40	4.44511111E-1
192	4.44589167E-1
360	4.44645273E-1
957	4.47803173E-1
786	4.48080674E-1
180	4.49193614E-1
126	4.4945191E-1
14	4.5006093E-1
287	4.50401597E-1
242	4.50449508E-1
535	4.51085622E-1
424	4.5114415E-1
728	4.51201528E-1
1012	4.51896967E-1
884	4.54980154E-1
64	4.55261195E-1
780	4.55357249E-1
22	4.56561299E-1
279	4.56873787E-1
662	4.57526413E-1
946	4.58219209E-1
812	4.61779082E-1
148	4.62091585E-1
984	4.62438197E-1
969	4.66219414E-1
305	4.66306161E-1
331	4.66606524E-1
352	4.69179861E-1
861	4.69955849E-1
690	4.71071462E-1
368	4.7229448E-1
380	4.76245888E-1
427	4.77149703E-1
747	4.77646076E-1
621	4.78419003E-1
492	4.78592654E-1
253	4.8063159E-1
222	4.81394062E-1
868	4.81616852E-1
261	4.81642232E-1
853	4.81887223E-1
438	4.82596789E-1
651	4.83463152E-1
790	4.87500073E-1
537	4.90510935E-1
175	4.90925403E-1
962	4.9209918E-1
752	4.92414143E-1
376	4.92834708E-1
456	4.92851402E-1
15	4.94271731E-1
513	4.94449481E-1
304	4.9487503E-1
938	4.96317361E-1
303	4.96709315E-1
881	4.98258217E-1
73	5.05183988E-1
265	5.06488115E-1
10	5.07183249E-1
57	5.07423751E-1
905	5.08356233E-1
692	5.09230158E-1
139	5.09357928E-1
220	5.10899586E-1
504	5.1147442E-1
986	5.11921824E-1
903	5.14862412E-1
11	5.151098E-1
517	5.15625361E-1
238	5.17148605E-1
977	5.17978469E-1
63	5.194513E-1
886	5.20025454E-1
638	5.20946397E-1
243	5.2177518E-1
788	5.22552215E-1
325	5.25305492E-1
308	5.25899313E-1
386	5.25996651E-1
987	5.26192303E-1
32	5.34276226E-1
411	5.36222713E-1
627	5.37893424E-1
206	5.38374853E-1
408	5.38753485E-1
721	5.41161629E-1
576	5.42946336E-1
353	5.48472494E-1
157	5.48803577E-1
996	5.49815875E-1
575	5.50249173E-1
994	5.50456007E-1
714	5.51295524E-1
716	5.52748169E-1
679	5.54473591E-1
413	5.56991402E-1
915	5.5748639E-1
761	5.5784234E-1
309	5.57849952E-1
858	5.5854798E-1
606	5.5890708E-1
402	5.61056116E-1
945	5.62927421E-1
647	5.63479109E-1
589	5.64558485E-1
199	5.64973943E-1
961	5.70864572E-1
31	5.72466466E-1
277	5.75146576E-1
628	5.75502879E-1
644	5.75835297E-1
907	5.78287502E-1
349	5.78325095E-1
140	5.79354368E-1
730	5.79432645E-1
342	5.79683662E-1
226	5.800333E-1
657	5.80080124E-1
910	5.81556315E-1
429	5.8526428E-1
480	5.85350145E-1
34	5.86158114E-1
811	5.86938334E-1
864	5.87759112E-1
216	5.88363797E-1
89	5.89867744E-1
534	5.90394897E-1
381	5.90777127E-1
39	5.90844705E-1
210	5.92104056E-1
565	5.92127551E-1
518	5.9294682E-1
743	5.94434175E-1
816	5.94971178E-1
151	5.95365736E-1
930	5.96204869E-1
488	5.97780021E-1
375	5.99190976E-1
296	6.03237101E-1
854	6.0565163E-1
1017	6.05771517E-1
425	6.06611534E-1
227	6.08397605E-1
772	6.08907831E-1
67	6.09982769E-1
290	6.10131466E-1
527	6.11078015E-1
142	6.11674576E-1
611	6.11755756E-1
655	6.12139426E-1
332	6.12389596E-1
152	6.12518649E-1
6	6.12995549E-1
636	6.1368721E-1
307	6.15283272E-1
310	6.16329007E-1
599	6.17191628E-1
989	6.17828921E-1
298	6.17920074E-1
701	6.18510444E-1
762	6.19626384E-1
435	6.201959E-1
750	6.20848084E-1
213	6.21251147E-1
365	6.23217029E-1
125	6.24512219E-1
869	6.25889894E-1
252	6.25905893E-1
933	6.26306664E-1
25	6.26356173E-1
718	6.2889941E-1
491	6.29832292E-1
268	6.33337357E-1
583	6.34094404E-1
468	6.34946981E-1
300	6.35902964E-1
494	6.36062041E-1
351	6.37595518E-1
817	6.37786203E-1
451	6.38217589E-1
95	6.39981309E-1
204	6.40238836E-1
997	6.42045112E-1
326	6.42424339E-1
824	6.42629508E-1
2	6.4297198E-1
1008	6.44023209E-1
913	6.44469336E-1
546	6.45759189E-1
