Name	chi2Pvalue
526	6.47931847E-4
791	9.47073342E-4
582	1.48510417E-3
861	1.6273873E-3
980	1.84281293E-3
347	2.50248188E-3
324	3.50221632E-3
399	4.37152042E-3
58	4.43922646E-3
133	4.61581526E-3
775	7.08584384E-3
273	7.41758526E-3
122	8.23035599E-3
1	9.71720512E-3
591	1.47673412E-2
394	1.65235898E-2
601	1.68924329E-2
967	1.71183034E-2
53	2.0483076E-2
827	2.07096069E-2
974	2.13670965E-2
664	2.14403537E-2
105	2.23065039E-2
649	2.2448347E-2
447	2.74597232E-2
696	2.79770684E-2
459	3.03750167E-2
854	3.24220805E-2
782	3.33680651E-2
216	3.37645376E-2
463	3.42502675E-2
494	3.5282583E-2
103	3.58902905E-2
938	3.63022218E-2
65	3.79455519E-2
1007	3.79899806E-2
870	3.95944977E-2
1014	4.14414414E-2
834	4.38199316E-2
608	4.41321172E-2
358	4.41916974E-2
373	4.69384088E-2
875	4.71204463E-2
912	4.81733647E-2
320	5.02150615E-2
499	5.06852078E-2
461	5.1535175E-2
738	5.35373005E-2
214	5.38809967E-2
796	5.39148935E-2
729	5.46084546E-2
978	5.52071907E-2
332	5.58532786E-2
849	5.61061934E-2
586	5.65021237E-2
287	5.76300525E-2
853	5.91287172E-2
955	6.03325346E-2
14	6.40360087E-2
780	6.61252686E-2
646	6.75760113E-2
371	6.81244087E-2
884	6.84316902E-2
431	6.8735031E-2
507	6.92830321E-2
22	6.93448715E-2
538	7.20874896E-2
284	7.2787486E-2
575	7.33317636E-2
158	7.37803083E-2
736	7.40330861E-2
362	7.46401082E-2
833	7.50998629E-2
688	7.87594863E-2
247	7.96094372E-2
456	8.04345936E-2
865	8.13285438E-2
381	8.52306446E-2
523	8.55503599E-2
715	8.69735717E-2
438	8.71126341E-2
48	8.74736767E-2
961	8.84612859E-2
116	8.85667854E-2
173	8.89744097E-2
573	9.00811993E-2
895	9.00864776E-2
668	9.0219637E-2
686	9.03908974E-2
771	9.0855741E-2
38	9.11240981E-2
64	9.1449309E-2
964	9.51532122E-2
3	9.5900707E-2
127	9.77331364E-2
70	9.89291382E-2
850	1.01025374E-1
209	1.01467895E-1
923	1.02015374E-1
932	1.02162949E-1
355	1.03715503E-1
308	1.03811354E-1
694	1.04911692E-1
543	1.05385445E-1
39	1.05680112E-1
584	1.05816219E-1
278	1.09516389E-1
553	1.10511546E-1
239	1.1075033E-1
672	1.1130553E-1
27	1.12448451E-1
587	1.13447603E-1
1022	1.13470287E-1
565	1.14113714E-1
783	1.15396579E-1
396	1.16636254E-1
535	1.17039808E-1
66	1.17408344E-1
345	1.17823659E-1
194	1.17995387E-1
52	1.18868139E-1
378	1.19568458E-1
943	1.19904428E-1
190	1.21051997E-1
385	1.21822165E-1
314	1.22701139E-1
40	1.24670835E-1
35	1.25229107E-1
344	1.25415265E-1
142	1.25425444E-1
262	1.25437451E-1
904	1.254928E-1
825	1.27345694E-1
665	1.27975747E-1
9	1.28133839E-1
859	1.28243749E-1
293	1.29273394E-1
832	1.29471483E-1
24	1.30809931E-1
754	1.31017703E-1
606	1.31584097E-1
42	1.31759633E-1
922	1.32139597E-1
521	1.32634035E-1
746	1.33669389E-1
232	1.34541592E-1
650	1.34706289E-1
240	1.34991642E-1
975	1.39010221E-1
84	1.39045009E-1
129	1.40082569E-1
568	1.40431229E-1
919	1.40698974E-1
769	1.41683471E-1
467	1.4200187E-1
473	1.42722354E-1
820	1.4321018E-1
76	1.43412169E-1
13	1.44374817E-1
251	1.44935932E-1
218	1.46191603E-1
444	1.46199489E-1
969	1.47450444E-1
410	1.47492597E-1
477	1.48028965E-1
460	1.50455781E-1
131	1.50460945E-1
948	1.54287054E-1
772	1.55298717E-1
47	1.57586452E-1
474	1.57670158E-1
165	1.57858417E-1
937	1.58078791E-1
987	1.58551862E-1
98	1.59506549E-1
390	1.59668561E-1
510	1.59796898E-1
566	1.60924236E-1
570	1.61477249E-1
675	1.65526901E-1
100	1.66334629E-1
709	1.66869758E-1
933	1.67434239E-1
604	1.67829728E-1
880	1.67919107E-1
148	1.68554101E-1
714	1.70134647E-1
33	1.71710253E-1
272	1.71908379E-1
681	1.75438656E-1
455	1.76281302E-1
517	1.77999562E-1
753	1.79423368E-1
310	1.79767698E-1
569	1.8039966E-1
359	1.80651885E-1
62	1.80953033E-1
73	1.81557173E-1
727	1.85909003E-1
74	1.88950632E-1
217	1.89475568E-1
1019	1.90360509E-1
340	1.90603736E-1
759	1.90730621E-1
683	1.90851157E-1
564	1.91089669E-1
250	1.91647734E-1
1010	1.92704726E-1
767	1.93350303E-1
1005	1.93442762E-1
282	1.94010555E-1
34	1.95236905E-1
841	1.95255719E-1
401	1.95958266E-1
619	1.98215446E-1
11	1.98410988E-1
49	2.00959487E-1
679	2.03139756E-1
130	2.03320869E-1
552	2.0332598E-1
280	2.03457841E-1
704	2.0354085E-1
939	2.04350895E-1
193	2.05479204E-1
996	2.07111887E-1
492	2.08658191E-1
551	2.09991319E-1
808	2.10514475E-1
518	2.12902606E-1
406	2.13071999E-1
464	2.15889699E-1
150	2.16116012E-1
726	2.16315424E-1
16	2.16474256E-1
661	2.16664085E-1
221	2.19103833E-1
175	2.19874339E-1
765	2.20002809E-1
962	2.20707422E-1
428	2.20836518E-1
563	2.21425549E-1
989	2.22954687E-1
449	2.23269053E-1
254	2.24624524E-1
253	2.26143131E-1
954	2.26828069E-1
745	2.2742648E-1
548	2.28965305E-1
481	2.29037932E-1
429	2.30109131E-1
4	2.31749702E-1
343	2.3260059E-1
37	2.35636659E-1
804	2.36861273E-1
512	2.36975955E-1
789	2.37138289E-1
795	2.37304849E-1
879	2.37502516E-1
300	2.39646789E-1
527	2.39944612E-1
252	2.41855711E-1
430	2.45321398E-1
229	2.45955878E-1
549	2.469621E-1
774	2.48637108E-1
906	2.48910637E-1
230	2.49177388E-1
992	2.50093643E-1
931	2.51015168E-1
531	2.52461556E-1
900	2.52603534E-1
186	2.54786216E-1
748	2.5515369E-1
128	2.55225106E-1
404	2.55799026E-1
534	2.56240202E-1
424	2.57400997E-1
998	2.57467622E-1
398	2.59461007E-1
712	2.60775847E-1
728	2.61343195E-1
168	2.61669269E-1
402	2.63266171E-1
242	2.6346635E-1
228	2.63987529E-1
785	2.64524498E-1
600	2.64647944E-1
189	2.64961932E-1
395	2.66194925E-1
17	2.67620615E-1
418	2.6832858E-1
620	2.73247499E-1
348	2.73783738E-1
414	2.75792172E-1
896	2.76547527E-1
19	2.76685753E-1
953	2.79694516E-1
255	2.79785184E-1
596	2.80500249E-1
97	2.82063804E-1
316	2.82474534E-1
889	2.86305989E-1
560	2.86731178E-1
749	2.87737966E-1
571	2.88415413E-1
554	2.89683948E-1
648	2.9030096E-1
275	2.91238451E-1
734	2.92287889E-1
546	2.93949257E-1
866	2.9409308E-1
558	2.95639683E-1
323	2.957135E-1
542	2.95864874E-1
157	2.96440371E-1
117	3.0078767E-1
612	3.01083656E-1
524	3.01120788E-1
877	3.01252178E-1
908	3.0241826E-1
846	3.03974556E-1
212	3.04069372E-1
109	3.04088704E-1
422	3.08744321E-1
200	3.08834988E-1
397	3.09301487E-1
161	3.09615345E-1
497	3.11185929E-1
450	3.11782979E-1
92	3.11859181E-1
244	3.12295317E-1
942	3.12441105E-1
379	3.12834429E-1
719	3.12994018E-1
184	3.13143245E-1
652	3.13421991E-1
823	3.15654503E-1
245	3.16853246E-1
154	3.1747355E-1
993	3.17966504E-1
466	3.18222263E-1
636	3.20783312E-1
811	3.2087211E-1
405	3.20968823E-1
483	3.22335235E-1
423	3.26056826E-1
407	3.27368837E-1
144	3.30272648E-1
801	3.30548254E-1
514	3.32006891E-1
819	3.3309106E-1
126	3.33464703E-1
722	3.37308001E-1
720	3.39695379E-1
915	3.40536041E-1
702	3.41007709E-1
448	3.41387963E-1
226	3.41787943E-1
326	3.4204557E-1
630	3.42824375E-1
415	3.47380844E-1
391	3.47518939E-1
950	3.4831495E-1
680	3.48587767E-1
403	3.48784026E-1
505	3.49423812E-1
325	3.49451247E-1
1012	3.50095121E-1
206	3.5010444E-1
163	3.51005457E-1
185	3.51416964E-1
88	3.54955284E-1
990	3.55675434E-1
80	3.58814224E-1
268	3.5917938E-1
82	3.59736104E-1
356	3.60230646E-1
899	3.61698609E-1
202	3.62775007E-1
457	3.63259338E-1
539	3.64453383E-1
220	3.64729156E-1
182	3.67355164E-1
386	3.68335826E-1
132	3.69249499E-1
118	3.70206161E-1
1015	3.70774611E-1
496	3.70853484E-1
237	3.71093891E-1
363	3.71394065E-1
1000	3.71763254E-1
108	3.72007012E-1
911	3.76812523E-1
353	3.77803811E-1
421	3.79915542E-1
731	3.82758204E-1
111	3.84609652E-1
289	3.84737572E-1
872	3.86703728E-1
231	3.86996916E-1
982	3.87387846E-1
311	3.87602794E-1
624	3.89256782E-1
921	3.89876721E-1
487	3.91664437E-1
574	3.93177169E-1
657	3.93640406E-1
654	3.93970727E-1
408	3.94078052E-1
583	3.95356426E-1
743	3.96369047E-1
670	3.96818471E-1
167	3.96901286E-1
269	3.98562332E-1
699	3.98952453E-1
346	3.99530497E-1
873	4.00534505E-1
642	4.00892475E-1
107	4.01351529E-1
537	4.03223438E-1
44	4.03365862E-1
515	4.03401131E-1
99	4.03858572E-1
871	4.04211719E-1
77	4.04472549E-1
183	4.04774787E-1
740	4.05538591E-1
800	4.103042E-1
807	4.11367436E-1
651	4.11738856E-1
69	4.11834184E-1
488	4.12175773E-1
432	4.12490365E-1
264	4.1382696E-1
525	4.14359363E-1
112	4.14629518E-1
576	4.15594663E-1
267	4.1668977E-1
516	4.16913667E-1
957	4.1695593E-1
802	4.18468421E-1
169	4.19280812E-1
616	4.21405874E-1
490	4.21528903E-1
968	4.25297179E-1
411	4.26010711E-1
25	4.27249173E-1
222	4.27336124E-1
605	4.28992041E-1
761	4.29428118E-1
90	4.29545263E-1
797	4.31637825E-1
845	4.32446734E-1
647	4.33156475E-1
615	4.33896698E-1
773	4.34370029E-1
970	4.34747189E-1
134	4.35383668E-1
259	4.35412335E-1
890	4.37473375E-1
246	4.39551496E-1
555	4.39867796E-1
971	4.41798293E-1
12	4.41934405E-1
453	4.42211323E-1
318	4.42337551E-1
327	4.42387221E-1
171	4.43379414E-1
598	4.46337217E-1
692	4.47449905E-1
352	4.5026305E-1
760	4.50716316E-1
265	4.51006578E-1
360	4.53063944E-1
644	4.55024255E-1
479	4.55609894E-1
223	4.5608031E-1
618	4.58578095E-1
0	4.59131562E-1
437	4.63217604E-1
966	4.65084215E-1
817	4.65252998E-1
579	4.67333202E-1
350	4.67498489E-1
304	4.67617932E-1
435	4.67916221E-1
274	4.69161271E-1
784	4.70880438E-1
370	4.71007702E-1
387	4.71481081E-1
836	4.73602112E-1
831	4.74479747E-1
57	4.75993015E-1
139	4.76274048E-1
23	4.76328272E-1
691	4.76659696E-1
1013	4.76860923E-1
436	4.77514994E-1
321	4.77708433E-1
8	4.80146928E-1
89	4.81583374E-1
235	4.81783161E-1
693	4.82214504E-1
986	4.83354016E-1
689	4.84122928E-1
1008	4.87266317E-1
852	4.8834645E-1
562	4.9084505E-1
119	4.90886882E-1
611	4.95037381E-1
489	4.95485324E-1
462	4.98986E-1
764	4.99729452E-1
837	5.00619742E-1
213	5.00882733E-1
684	5.01206905E-1
219	5.02654708E-1
162	5.04755776E-1
944	5.06253813E-1
790	5.06639748E-1
940	5.06687251E-1
384	5.06710837E-1
376	5.07076964E-1
905	5.07169313E-1
83	5.0720392E-1
102	5.07667433E-1
930	5.08371567E-1
1018	5.09872232E-1
271	5.10326292E-1
557	5.10983722E-1
742	5.11803937E-1
502	5.17199607E-1
434	5.18768717E-1
874	5.20334102E-1
179	5.2135034E-1
72	5.21503801E-1
883	5.22491379E-1
