Name	chi2Pvalue
176	1.5697633E-5
802	1.73337663E-5
103	7.81828376E-5
111	2.1625179E-4
68	2.63333635E-4
467	2.51463702E-3
957	2.71342891E-3
664	3.26091022E-3
576	3.6243082E-3
169	3.88101398E-3
750	4.12124994E-3
189	4.5222303E-3
917	5.90571249E-3
235	6.09162E-3
787	8.61594804E-3
517	8.68351091E-3
782	9.96465579E-3
405	1.24464664E-2
186	1.63923764E-2
658	1.65081025E-2
161	1.74590812E-2
20	1.94514448E-2
901	1.97940298E-2
303	2.09564193E-2
579	2.24842483E-2
273	2.35899849E-2
757	2.53038481E-2
818	2.53569046E-2
520	2.6101037E-2
35	2.70345047E-2
397	2.76560876E-2
109	3.04835804E-2
269	3.28809738E-2
912	3.30571674E-2
201	3.56382525E-2
62	3.63957861E-2
413	3.79612038E-2
248	3.84349837E-2
114	4.10057614E-2
691	4.49914217E-2
239	4.51659364E-2
528	4.58612116E-2
953	4.61254344E-2
946	4.64832207E-2
893	4.88168697E-2
474	4.98807868E-2
817	4.98873527E-2
706	5.00208718E-2
10	5.10179702E-2
370	5.16637751E-2
830	5.37545633E-2
824	5.39719033E-2
393	5.46842464E-2
327	5.47130312E-2
94	5.5940123E-2
603	5.6254837E-2
760	5.74782578E-2
744	5.98664376E-2
411	6.24980174E-2
705	6.34117431E-2
267	6.50637472E-2
314	6.60875874E-2
775	6.71367716E-2
947	6.73940156E-2
919	6.79583914E-2
75	6.91052141E-2
666	6.93686442E-2
535	6.96774482E-2
743	7.05344337E-2
578	7.18868027E-2
567	7.42611776E-2
707	7.53665124E-2
347	7.64294917E-2
618	7.74591476E-2
122	8.04937891E-2
104	8.07122073E-2
496	8.14870863E-2
558	8.15754039E-2
266	8.27618334E-2
726	8.43378008E-2
600	8.53876253E-2
768	8.54546701E-2
425	8.55979401E-2
643	8.62433457E-2
801	8.6516008E-2
651	8.69433288E-2
792	8.93113034E-2
187	8.9756237E-2
860	8.99033186E-2
208	9.05329272E-2
840	9.10019126E-2
977	9.12112134E-2
482	9.16053823E-2
625	9.2799613E-2
476	9.36200458E-2
335	9.39577244E-2
874	9.49536579E-2
970	9.6363566E-2
284	9.7480038E-2
261	9.85371636E-2
678	9.99688527E-2
674	1.00472564E-1
616	1.01306554E-1
55	1.01443637E-1
892	1.01696216E-1
849	1.04099877E-1
661	1.05167894E-1
315	1.05512219E-1
682	1.05803878E-1
671	1.07207766E-1
385	1.13683847E-1
883	1.16181283E-1
583	1.19147638E-1
115	1.19616581E-1
932	1.20090781E-1
612	1.20711149E-1
793	1.22181979E-1
926	1.22591489E-1
873	1.22808167E-1
429	1.23060931E-1
765	1.23764914E-1
168	1.23774972E-1
722	1.25092871E-1
71	1.27838833E-1
418	1.28506694E-1
218	1.30893748E-1
778	1.31363444E-1
93	1.31836017E-1
341	1.3210398E-1
31	1.32595886E-1
838	1.33911935E-1
92	1.35437913E-1
891	1.36940157E-1
231	1.39050376E-1
316	1.4172103E-1
428	1.41914046E-1
223	1.42270321E-1
404	1.44214514E-1
431	1.48757286E-1
646	1.49820943E-1
635	1.52635769E-1
72	1.53844419E-1
203	1.56164866E-1
299	1.59846631E-1
450	1.60038584E-1
472	1.61216572E-1
740	1.61402984E-1
214	1.61680312E-1
485	1.61861489E-1
763	1.62464074E-1
621	1.6537104E-1
452	1.67549099E-1
878	1.67860978E-1
59	1.67888848E-1
596	1.68497896E-1
195	1.68831267E-1
786	1.69045977E-1
908	1.69215111E-1
27	1.69677463E-1
739	1.70493452E-1
130	1.71421854E-1
955	1.71530481E-1
591	1.72044352E-1
737	1.72247078E-1
728	1.72530463E-1
585	1.72679248E-1
436	1.73717747E-1
309	1.7445188E-1
677	1.75198144E-1
150	1.75676733E-1
899	1.78239391E-1
387	1.79213956E-1
146	1.82702542E-1
117	1.83440046E-1
32	1.841834E-1
285	1.85967476E-1
453	1.86179996E-1
343	1.87020236E-1
188	1.87894426E-1
396	1.89417693E-1
1001	1.90305995E-1
326	1.95630224E-1
14	1.95959072E-1
241	1.9607813E-1
5	1.9690932E-1
683	1.97241652E-1
668	1.97580441E-1
177	1.97861616E-1
589	1.98729426E-1
407	1.98775108E-1
811	2.01654861E-1
197	2.02809705E-1
403	2.04639363E-1
510	2.04848452E-1
531	2.06254085E-1
624	2.09433169E-1
729	2.10544548E-1
98	2.10735344E-1
271	2.11125216E-1
136	2.13121008E-1
810	2.14391077E-1
550	2.14499476E-1
262	2.1456165E-1
846	2.16621438E-1
790	2.18661272E-1
506	2.18918849E-1
151	2.21139302E-1
79	2.22129609E-1
320	2.24977328E-1
386	2.250472E-1
823	2.26890222E-1
588	2.27139271E-1
952	2.29301147E-1
41	2.29699321E-1
864	2.29793909E-1
852	2.30174145E-1
981	2.32514923E-1
302	2.32550194E-1
989	2.35639059E-1
532	2.35786642E-1
64	2.3589927E-1
1010	2.36327362E-1
419	2.37003988E-1
96	2.38081783E-1
392	2.38529732E-1
416	2.39217738E-1
670	2.39271622E-1
538	2.39508694E-1
913	2.41506377E-1
1016	2.42601237E-1
986	2.43862639E-1
938	2.44078937E-1
360	2.47440059E-1
777	2.47664481E-1
469	2.50416661E-1
128	2.51153501E-1
498	2.5135592E-1
11	2.52500966E-1
427	2.53109975E-1
505	2.53326645E-1
979	2.55834857E-1
745	2.56240414E-1
183	2.57211852E-1
149	2.57740333E-1
67	2.58251601E-1
143	2.58980409E-1
501	2.59306366E-1
613	2.59766304E-1
954	2.60233282E-1
301	2.6098818E-1
545	2.61734386E-1
447	2.61831803E-1
907	2.61860449E-1
734	2.63405519E-1
945	2.64788768E-1
119	2.6545879E-1
2	2.66417534E-1
448	2.66710091E-1
108	2.67090917E-1
880	2.6710226E-1
232	2.67422474E-1
584	2.67612453E-1
348	2.68233165E-1
238	2.68527705E-1
868	2.68745175E-1
139	2.69239341E-1
352	2.6952712E-1
788	2.69987448E-1
434	2.70060977E-1
719	2.70541368E-1
178	2.72582055E-1
384	2.73523534E-1
433	2.74379788E-1
741	2.74626788E-1
659	2.75135203E-1
738	2.7550964E-1
342	2.76525441E-1
389	2.76554581E-1
15	2.77609966E-1
24	2.79979227E-1
611	2.82185025E-1
713	2.8223456E-1
960	2.82597278E-1
676	2.83092695E-1
904	2.86043855E-1
236	2.87382509E-1
759	2.88617976E-1
1013	2.88749558E-1
377	2.91741734E-1
991	2.93757019E-1
821	2.94059198E-1
184	2.95812332E-1
310	2.97922558E-1
493	2.99514084E-1
964	3.0018971E-1
159	3.03103783E-1
461	3.07347325E-1
879	3.08954713E-1
49	3.09976408E-1
120	3.10235088E-1
958	3.1071238E-1
735	3.11180745E-1
308	3.11375166E-1
362	3.13615743E-1
206	3.1483703E-1
110	3.15738293E-1
410	3.18669481E-1
268	3.19154765E-1
865	3.20225256E-1
872	3.21788761E-1
572	3.22078451E-1
244	3.22106936E-1
23	3.2546997E-1
53	3.263605E-1
365	3.27189553E-1
240	3.27667351E-1
131	3.27720938E-1
456	3.2904208E-1
937	3.29768238E-1
959	3.32630995E-1
464	3.33516245E-1
845	3.34047024E-1
966	3.34280152E-1
280	3.35801472E-1
224	3.38038076E-1
764	3.38793838E-1
894	3.4008837E-1
336	3.40987864E-1
76	3.41356935E-1
155	3.41611847E-1
29	3.43390817E-1
996	3.44248051E-1
976	3.44938213E-1
556	3.45733575E-1
400	3.46404914E-1
164	3.48312955E-1
934	3.48809345E-1
807	3.48902172E-1
16	3.50018786E-1
170	3.50439345E-1
982	3.50889148E-1
70	3.52896358E-1
137	3.5294009E-1
351	3.52976961E-1
371	3.53435889E-1
580	3.54698785E-1
265	3.55289162E-1
939	3.5554096E-1
813	3.5725373E-1
559	3.57542344E-1
228	3.61672804E-1
881	3.61881001E-1
586	3.6192273E-1
911	3.63995559E-1
998	3.64766705E-1
1005	3.64879078E-1
1003	3.66561339E-1
13	3.68990286E-1
755	3.70572875E-1
229	3.70872663E-1
288	3.73023328E-1
57	3.74715961E-1
368	3.74769713E-1
736	3.74772344E-1
961	3.75956782E-1
858	3.76209961E-1
969	3.76689747E-1
86	3.78263342E-1
780	3.7993074E-1
102	3.80261179E-1
829	3.80380879E-1
862	3.81994127E-1
294	3.8244379E-1
841	3.82547751E-1
711	3.84140671E-1
65	3.84256663E-1
716	3.84594321E-1
408	3.85142003E-1
219	3.8574048E-1
789	3.87265556E-1
742	3.89259632E-1
354	3.89635583E-1
855	3.89732811E-1
761	3.90026901E-1
1006	3.92768392E-1
978	3.95219424E-1
832	3.95302528E-1
83	3.96068303E-1
688	3.9611164E-1
200	3.96727287E-1
340	3.97432192E-1
388	3.97472143E-1
684	3.99311191E-1
557	3.99888703E-1
806	4.01588429E-1
633	4.01864456E-1
526	4.03856101E-1
848	4.03972127E-1
211	4.04911537E-1
597	4.0523315E-1
803	4.05395938E-1
73	4.05509246E-1
727	4.05595542E-1
554	4.06619408E-1
179	4.06999307E-1
99	4.11647199E-1
769	4.12633527E-1
877	4.12809771E-1
714	4.13014075E-1
51	4.14135035E-1
95	4.14172339E-1
931	4.152115E-1
38	4.15343116E-1
816	4.16806077E-1
770	4.181058E-1
856	4.18371073E-1
569	4.20059265E-1
570	4.22016613E-1
555	4.2314946E-1
896	4.25396461E-1
324	4.25843059E-1
655	4.27016976E-1
906	4.28130884E-1
298	4.28291343E-1
359	4.28292023E-1
134	4.28988754E-1
809	4.29414716E-1
129	4.29520353E-1
311	4.29569113E-1
127	4.30107623E-1
107	4.30873551E-1
640	4.32622653E-1
198	4.33288625E-1
477	4.3575648E-1
88	4.3970945E-1
153	4.40514852E-1
160	4.4097892E-1
34	4.42498047E-1
412	4.43976348E-1
696	4.45346886E-1
781	4.47532363E-1
154	4.48046702E-1
317	4.48083424E-1
609	4.4825508E-1
101	4.48504335E-1
484	4.48914705E-1
90	4.49593843E-1
594	4.51151177E-1
367	4.51212764E-1
897	4.52891311E-1
598	4.53590648E-1
701	4.5480482E-1
30	4.55464476E-1
660	4.56625978E-1
138	4.56671005E-1
521	4.56855321E-1
390	4.58405032E-1
4	4.58461463E-1
552	4.58485383E-1
956	4.61186406E-1
409	4.61575148E-1
536	4.61820257E-1
663	4.64016293E-1
709	4.65240522E-1
1015	4.66485889E-1
19	4.68355319E-1
270	4.68923879E-1
420	4.69829606E-1
45	4.71724201E-1
480	4.72773797E-1
174	4.7355379E-1
694	4.75838672E-1
91	4.76547472E-1
785	4.77955504E-1
468	4.78556036E-1
60	4.80203264E-1
833	4.81029849E-1
282	4.8256772E-1
927	4.8308947E-1
857	4.83983905E-1
819	4.84818725E-1
871	4.84869316E-1
867	4.84971253E-1
58	4.85154735E-1
772	4.85467133E-1
252	4.87508873E-1
1008	4.87672849E-1
260	4.88771803E-1
639	4.88921656E-1
353	4.8943379E-1
560	4.89492756E-1
563	4.89916994E-1
323	4.92269094E-1
221	4.92291518E-1
258	4.94337818E-1
421	4.94835586E-1
190	4.96178537E-1
338	4.97334203E-1
685	4.97892135E-1
551	4.97914437E-1
900	4.98895025E-1
319	4.99625196E-1
78	4.99998008E-1
28	5.00108989E-1
767	5.01463737E-1
69	5.01524634E-1
230	5.02478118E-1
629	5.03879411E-1
383	5.03947778E-1
680	5.04754378E-1
518	5.06333573E-1
194	5.07774672E-1
504	5.08093147E-1
395	5.08169007E-1
863	5.08605351E-1
