Name	chi2Pvalue
106	5.19653207E-4
992	6.81127551E-4
311	9.64471652E-4
491	1.38358385E-3
969	1.66379149E-3
981	2.34459499E-3
783	2.92628257E-3
426	3.07601294E-3
822	3.1956321E-3
605	3.83619815E-3
284	8.02910812E-3
809	8.44521856E-3
256	9.03386618E-3
638	9.0686745E-3
899	9.20680833E-3
367	9.2151443E-3
773	1.31456945E-2
687	1.33750526E-2
148	1.40467726E-2
54	1.42786866E-2
332	1.80624041E-2
122	2.02278881E-2
476	2.02523341E-2
264	2.16454693E-2
741	2.59838624E-2
375	2.64455891E-2
996	3.08982955E-2
340	3.20182345E-2
73	3.25001366E-2
1018	3.29126259E-2
623	3.56900407E-2
406	3.61431516E-2
865	3.61948025E-2
151	3.63800701E-2
79	3.6393522E-2
170	3.72296462E-2
487	3.73316229E-2
158	3.74031557E-2
445	4.05121558E-2
915	4.10598654E-2
953	4.1118335E-2
132	4.16588322E-2
152	4.25672184E-2
645	4.55112943E-2
480	4.56379711E-2
345	4.6040428E-2
395	4.63351003E-2
842	4.67608484E-2
52	4.74369835E-2
35	4.764103E-2
143	4.81779289E-2
544	4.86638165E-2
910	5.07264506E-2
455	5.24921183E-2
266	5.27197712E-2
486	5.2738402E-2
338	5.63638924E-2
886	5.67541149E-2
82	5.76368964E-2
373	6.47088053E-2
342	6.51618569E-2
407	6.57021023E-2
900	6.65090375E-2
742	6.83443178E-2
711	6.85658617E-2
468	6.9229037E-2
65	6.95111068E-2
51	7.01419964E-2
578	7.17269112E-2
503	7.39156935E-2
655	7.39757427E-2
669	7.41890541E-2
197	7.42170718E-2
193	7.57301302E-2
652	7.61914442E-2
114	7.6556691E-2
84	7.799353E-2
200	7.82845622E-2
228	7.94225284E-2
129	7.97002334E-2
92	8.02045583E-2
851	8.15235581E-2
701	8.15294041E-2
1022	8.24519127E-2
1019	8.35760239E-2
958	8.50375918E-2
44	8.71816218E-2
464	8.75108958E-2
892	8.77895469E-2
550	8.83323361E-2
295	8.85143703E-2
706	9.06330181E-2
1021	9.33550967E-2
938	9.43253227E-2
110	9.46562755E-2
160	9.47112356E-2
643	9.58307603E-2
983	9.69355475E-2
436	9.97019238E-2
560	1.0183626E-1
64	1.03120551E-1
288	1.03744603E-1
247	1.03965345E-1
632	1.04511381E-1
273	1.0470527E-1
564	1.05052686E-1
277	1.07751093E-1
495	1.10775113E-1
440	1.1190115E-1
14	1.12342067E-1
769	1.12565484E-1
732	1.13103652E-1
510	1.13508943E-1
461	1.13827936E-1
363	1.20189693E-1
181	1.23118354E-1
673	1.23200331E-1
243	1.24946779E-1
116	1.26445758E-1
339	1.28444061E-1
230	1.29799256E-1
415	1.31083396E-1
404	1.31102875E-1
397	1.31545656E-1
853	1.32264027E-1
971	1.33044555E-1
838	1.33577007E-1
387	1.33593894E-1
303	1.36475343E-1
939	1.37518349E-1
537	1.38046825E-1
220	1.41392645E-1
19	1.42746313E-1
770	1.44770794E-1
147	1.4526017E-1
437	1.47339462E-1
533	1.47453137E-1
77	1.49031159E-1
557	1.49484211E-1
814	1.49969247E-1
549	1.50830271E-1
443	1.51591105E-1
679	1.5227244E-1
844	1.52952871E-1
562	1.53384793E-1
254	1.5482448E-1
5	1.57583381E-1
142	1.57701237E-1
819	1.58016795E-1
757	1.58597365E-1
42	1.59143151E-1
145	1.63550645E-1
412	1.64205703E-1
470	1.65108782E-1
320	1.66946838E-1
879	1.67877108E-1
86	1.7102532E-1
723	1.71678725E-1
589	1.71804909E-1
46	1.7568565E-1
656	1.77456284E-1
446	1.78290317E-1
833	1.78347966E-1
8	1.78389374E-1
102	1.78543061E-1
868	1.79053891E-1
707	1.80166387E-1
175	1.81048565E-1
1005	1.81370604E-1
803	1.81902097E-1
846	1.81902722E-1
585	1.84247985E-1
39	1.85439182E-1
105	1.87378778E-1
405	1.88209976E-1
235	1.90845263E-1
494	1.91650182E-1
416	1.91679318E-1
109	1.91686231E-1
514	1.92541534E-1
764	1.93503864E-1
685	1.94399459E-1
0	1.95770085E-1
246	1.9720079E-1
479	1.97801332E-1
998	2.00782454E-1
237	2.01313127E-1
555	2.02412852E-1
772	2.02749694E-1
693	2.03249149E-1
601	2.05533911E-1
80	2.06029033E-1
661	2.06100267E-1
441	2.0709795E-1
414	2.07247003E-1
34	2.08311253E-1
402	2.08859441E-1
791	2.09036615E-1
511	2.09808882E-1
688	2.10216556E-1
371	2.11269777E-1
883	2.11396287E-1
852	2.14168408E-1
448	2.1571716E-1
29	2.15855455E-1
885	2.1640625E-1
794	2.16677594E-1
789	2.17861376E-1
321	2.19235762E-1
896	2.22636637E-1
328	2.22710877E-1
959	2.22915543E-1
22	2.23096372E-1
248	2.23236547E-1
94	2.23507668E-1
215	2.26054775E-1
625	2.26644848E-1
960	2.26936593E-1
733	2.27504578E-1
797	2.29101061E-1
144	2.29346505E-1
331	2.30047168E-1
518	2.30949244E-1
594	2.3131798E-1
759	2.32066833E-1
919	2.32338489E-1
804	2.33035894E-1
987	2.33120386E-1
450	2.34396528E-1
954	2.35705483E-1
546	2.36875937E-1
465	2.37654515E-1
606	2.38013101E-1
126	2.38753596E-1
83	2.38794568E-1
678	2.38875412E-1
1020	2.39513619E-1
202	2.3986934E-1
1011	2.40979924E-1
620	2.41077539E-1
154	2.41959215E-1
714	2.41975459E-1
929	2.42807161E-1
135	2.43846924E-1
640	2.44803118E-1
269	2.45866809E-1
361	2.45867657E-1
10	2.46657092E-1
565	2.47364664E-1
708	2.47973784E-1
837	2.49138994E-1
840	2.49874269E-1
496	2.50854007E-1
722	2.51431813E-1
579	2.52051704E-1
595	2.53103118E-1
304	2.53518267E-1
566	2.53819593E-1
916	2.54427127E-1
782	2.5461987E-1
227	2.58277482E-1
513	2.59367821E-1
542	2.59999639E-1
990	2.60765594E-1
524	2.61429131E-1
615	2.62537422E-1
164	2.63752043E-1
157	2.64737656E-1
489	2.66244135E-1
962	2.69686612E-1
236	2.70176608E-1
779	2.70588121E-1
452	2.70961208E-1
348	2.71157825E-1
153	2.7130467E-1
261	2.71906015E-1
787	2.71950251E-1
516	2.72540475E-1
258	2.72699785E-1
508	2.74080703E-1
488	2.75403241E-1
314	2.76249423E-1
858	2.76359722E-1
596	2.76610135E-1
703	2.76812733E-1
765	2.77061351E-1
709	2.77582003E-1
793	2.77715981E-1
545	2.78055716E-1
354	2.78069327E-1
535	2.80016785E-1
392	2.8119227E-1
968	2.81878554E-1
639	2.82851662E-1
785	2.83254363E-1
262	2.84762184E-1
223	2.87212227E-1
538	2.87334123E-1
568	2.88687158E-1
1012	2.88847279E-1
472	2.89808038E-1
1023	2.90478907E-1
945	2.93346543E-1
790	2.94868373E-1
198	2.96102771E-1
128	2.96380224E-1
444	2.96771396E-1
680	2.97959885E-1
556	2.98576633E-1
289	2.9958248E-1
563	3.00769151E-1
282	3.0154183E-1
926	3.05029207E-1
630	3.05512667E-1
70	3.05739688E-1
647	3.10300872E-1
195	3.11511211E-1
812	3.1316577E-1
71	3.14110277E-1
459	3.14204977E-1
21	3.14634322E-1
325	3.15176289E-1
255	3.15954445E-1
365	3.16829314E-1
374	3.18007197E-1
37	3.18348775E-1
76	3.1887322E-1
409	3.19837535E-1
113	3.21308542E-1
253	3.21509605E-1
162	3.21576929E-1
265	3.22817427E-1
660	3.24931847E-1
881	3.2619425E-1
278	3.26638347E-1
873	3.27051177E-1
393	3.27289818E-1
611	3.29338244E-1
588	3.300524E-1
825	3.31699543E-1
130	3.3313792E-1
377	3.35619251E-1
667	3.3761868E-1
274	3.37852887E-1
932	3.42406876E-1
531	3.44769238E-1
626	3.44841873E-1
171	3.45455661E-1
716	3.46029065E-1
279	3.47346597E-1
843	3.47970221E-1
178	3.49234957E-1
668	3.49236994E-1
380	3.50014079E-1
149	3.50960614E-1
257	3.51132006E-1
940	3.52549613E-1
912	3.53625803E-1
964	3.53925974E-1
376	3.54247392E-1
24	3.54662809E-1
526	3.54935948E-1
351	3.56155471E-1
140	3.56818216E-1
877	3.58536113E-1
382	3.6011108E-1
897	3.60698627E-1
808	3.6411156E-1
379	3.64267488E-1
63	3.64628074E-1
859	3.65499495E-1
749	3.65955062E-1
666	3.67568839E-1
298	3.68943908E-1
509	3.6938568E-1
93	3.69586446E-1
616	3.70487106E-1
751	3.72334904E-1
629	3.73585418E-1
780	3.77391164E-1
85	3.77413798E-1
855	3.77563706E-1
802	3.77712583E-1
866	3.77976E-1
56	3.79631158E-1
1013	3.79748864E-1
894	3.82945259E-1
347	3.84641757E-1
767	3.86308035E-1
798	3.87468872E-1
505	3.89827438E-1
352	3.90930412E-1
965	3.91041856E-1
300	3.91494517E-1
422	3.93506381E-1
290	3.95535136E-1
388	3.96118898E-1
891	3.98253323E-1
217	3.98460978E-1
720	4.01007335E-1
27	4.0221803E-1
671	4.0426606E-1
306	4.05704023E-1
224	4.06060575E-1
604	4.06112859E-1
207	4.06322994E-1
857	4.0725488E-1
756	4.07651565E-1
806	4.09919394E-1
712	4.11738141E-1
245	4.11779636E-1
483	4.12288071E-1
955	4.12881871E-1
946	4.13056109E-1
211	4.13160039E-1
100	4.13236321E-1
863	4.14528148E-1
315	4.15071813E-1
952	4.1592741E-1
551	4.15955151E-1
475	4.17522527E-1
570	4.17752233E-1
222	4.19439689E-1
378	4.20097509E-1
150	4.21813254E-1
839	4.22319872E-1
908	4.23366423E-1
854	4.25164446E-1
55	4.27875253E-1
394	4.28716639E-1
384	4.2938252E-1
715	4.29794846E-1
196	4.30226011E-1
747	4.30690623E-1
609	4.32052446E-1
307	4.33279291E-1
48	4.36516013E-1
7	4.3736613E-1
103	4.37396327E-1
683	4.37807937E-1
976	4.39298575E-1
317	4.40221984E-1
963	4.4092346E-1
390	4.41127686E-1
925	4.42695664E-1
346	4.44051551E-1
370	4.4410182E-1
69	4.47117059E-1
401	4.49063843E-1
104	4.50421212E-1
815	4.50804554E-1
12	4.52035771E-1
210	4.52117953E-1
333	4.52310108E-1
155	4.52352084E-1
3	4.53237572E-1
263	4.55253278E-1
504	4.55745896E-1
400	4.56388445E-1
191	4.5653597E-1
665	4.56996078E-1
776	4.57082514E-1
573	4.58070803E-1
931	4.5823047E-1
131	4.58355931E-1
182	4.58363879E-1
1016	4.59690051E-1
101	4.59909128E-1
653	4.60866426E-1
469	4.6104711E-1
682	4.62950096E-1
275	4.64480673E-1
675	4.64775733E-1
349	4.65099151E-1
259	4.66372048E-1
607	4.68407995E-1
597	4.69569834E-1
536	4.69576752E-1
799	4.70004294E-1
617	4.71264186E-1
985	4.71285385E-1
344	4.71396553E-1
287	4.73076602E-1
672	4.73779629E-1
726	4.74535344E-1
59	4.75807553E-1
99	4.7696426E-1
453	4.7757463E-1
519	4.80160258E-1
654	4.81879633E-1
580	4.82829197E-1
922	4.83041694E-1
690	4.83041967E-1
482	4.84905834E-1
199	4.85675164E-1
717	4.85925657E-1
947	4.85983877E-1
934	4.87269389E-1
823	4.8745694E-1
878	4.90791805E-1
316	4.91036082E-1
657	4.93131618E-1
291	4.93161772E-1
98	4.93269586E-1
391	4.94152454E-1
168	4.95539875E-1
6	4.9604903E-1
587	4.99521628E-1
862	5.0103938E-1
276	5.02641639E-1
631	5.02712221E-1
1002	5.03014583E-1
66	5.03496208E-1
927	5.04124349E-1
875	5.04426736E-1
930	5.05691885E-1
9	5.0821539E-1
493	5.09100141E-1
