Name	chi2Pvalue
176	1.05355646E-5
575	1.94750927E-4
111	2.88442344E-4
68	1.21604478E-3
847	2.13506536E-3
592	2.77569745E-3
836	3.23798532E-3
416	3.78502894E-3
744	4.08672509E-3
909	5.59419494E-3
117	6.96073347E-3
549	7.77101852E-3
672	8.30670225E-3
467	8.75520948E-3
100	9.53449111E-3
664	9.54947252E-3
239	9.59413701E-3
983	9.63441533E-3
103	9.81757246E-3
864	1.11340309E-2
517	1.14108041E-2
958	1.39755213E-2
806	1.4257423E-2
625	1.56321731E-2
818	1.60544918E-2
94	1.76988187E-2
200	1.9700265E-2
241	1.98748905E-2
349	1.99639054E-2
391	2.04857934E-2
579	2.05944819E-2
235	2.14058509E-2
407	2.2451545E-2
242	2.30239159E-2
550	2.31891068E-2
169	2.38086684E-2
840	2.43619392E-2
38	2.49850291E-2
673	2.57809041E-2
776	2.8074095E-2
782	2.85138177E-2
623	2.98231224E-2
608	2.99761942E-2
651	3.13471045E-2
697	3.28313705E-2
39	3.32796062E-2
459	3.40217851E-2
314	3.44546043E-2
382	3.53456817E-2
440	3.68574747E-2
476	3.88536029E-2
180	3.98290294E-2
229	4.07980031E-2
614	4.35819794E-2
270	4.66793305E-2
254	4.86357209E-2
795	4.86492414E-2
224	4.93685942E-2
610	5.01946503E-2
866	5.15405844E-2
385	5.25947063E-2
526	5.36188981E-2
865	5.40058959E-2
223	5.4208142E-2
553	5.52548565E-2
193	5.66536369E-2
310	5.8678801E-2
20	5.94562604E-2
306	6.10173801E-2
164	6.10663608E-2
246	6.17255683E-2
802	6.22467935E-2
792	6.36460183E-2
529	6.39110773E-2
586	6.50849925E-2
264	6.84403231E-2
893	7.13956292E-2
591	7.20315883E-2
330	7.22220837E-2
74	7.74733631E-2
876	7.86319967E-2
188	7.90105527E-2
262	7.97159279E-2
919	8.08029145E-2
122	8.23915347E-2
186	8.41127391E-2
571	8.42644756E-2
308	8.62549907E-2
9	8.64481995E-2
955	8.65321781E-2
377	8.67250928E-2
604	8.74390187E-2
798	8.76194454E-2
104	8.77290394E-2
429	8.78744561E-2
347	8.86825587E-2
203	8.87855519E-2
777	9.13615249E-2
685	9.24487538E-2
778	9.24684255E-2
989	9.24895461E-2
889	9.29688321E-2
127	9.3713646E-2
189	9.4373335E-2
709	9.56677852E-2
657	9.63292419E-2
537	9.69103003E-2
943	9.70400359E-2
519	9.75453788E-2
142	9.75865423E-2
84	9.905793E-2
844	9.97661233E-2
660	9.99558486E-2
689	1.0126582E-1
177	1.0172414E-1
171	1.02437813E-1
59	1.03559205E-1
927	1.04082127E-1
445	1.06516429E-1
139	1.06578562E-1
166	1.06605386E-1
54	1.07432295E-1
913	1.09996326E-1
384	1.11119637E-1
726	1.12080545E-1
759	1.12302354E-1
966	1.12911146E-1
378	1.12980967E-1
98	1.13044009E-1
327	1.15891979E-1
1004	1.17044499E-1
638	1.1871125E-1
850	1.19699896E-1
485	1.22719349E-1
951	1.22815565E-1
695	1.23584735E-1
271	1.236989E-1
957	1.24854104E-1
890	1.26599415E-1
669	1.28957507E-1
432	1.29744241E-1
227	1.30387167E-1
304	1.31319783E-1
372	1.31541504E-1
971	1.31556482E-1
595	1.3184355E-1
845	1.33161207E-1
1005	1.34454961E-1
18	1.34897702E-1
703	1.35115316E-1
534	1.35555048E-1
81	1.35991262E-1
914	1.37318358E-1
113	1.41196667E-1
869	1.42342158E-1
678	1.42737508E-1
290	1.4444008E-1
430	1.45181876E-1
743	1.4732646E-1
441	1.47744026E-1
56	1.49179504E-1
375	1.49899202E-1
55	1.50099992E-1
901	1.50288568E-1
654	1.53262132E-1
505	1.55202321E-1
125	1.56176021E-1
515	1.57078733E-1
986	1.57102637E-1
716	1.58283585E-1
961	1.59041569E-1
912	1.59165741E-1
696	1.59694307E-1
992	1.60457009E-1
527	1.60647905E-1
928	1.61978549E-1
220	1.62301756E-1
202	1.63921203E-1
29	1.64562347E-1
882	1.64944833E-1
137	1.67093154E-1
659	1.68346549E-1
883	1.68949272E-1
922	1.71742131E-1
452	1.7210584E-1
930	1.75211929E-1
533	1.76886127E-1
350	1.79085142E-1
288	1.80289761E-1
739	1.81715595E-1
722	1.83103344E-1
758	1.83225187E-1
423	1.8337035E-1
949	1.83787652E-1
728	1.86646735E-1
112	1.88554343E-1
431	1.8948705E-1
562	1.91245019E-1
326	1.92817455E-1
838	1.94365107E-1
907	1.96835033E-1
725	1.97660962E-1
135	1.98953605E-1
613	1.99335685E-1
807	1.993725E-1
486	1.99862622E-1
658	2.00536753E-1
754	2.01008355E-1
547	2.02973808E-1
780	2.03009498E-1
631	2.04016657E-1
30	2.0486942E-1
128	2.0671539E-1
511	2.09282306E-1
261	2.11437636E-1
76	2.1225468E-1
373	2.13159463E-1
291	2.13832052E-1
910	2.1433547E-1
1008	2.15916522E-1
386	2.16346417E-1
881	2.16668808E-1
24	2.18129697E-1
206	2.19393453E-1
360	2.21026755E-1
83	2.23251435E-1
747	2.23487836E-1
937	2.24452006E-1
1001	2.27312173E-1
531	2.29948839E-1
516	2.30124956E-1
461	2.32335412E-1
286	2.3333375E-1
257	2.34938016E-1
538	2.36658983E-1
446	2.3671008E-1
680	2.40929409E-1
662	2.43543184E-1
91	2.43722678E-1
633	2.45181834E-1
603	2.4541748E-1
173	2.46892927E-1
439	2.48305007E-1
332	2.4848894E-1
846	2.49351873E-1
17	2.50517173E-1
542	2.51910525E-1
925	2.53225257E-1
252	2.54418937E-1
148	2.54867042E-1
506	2.57232791E-1
764	2.58235562E-1
567	2.58691028E-1
737	2.58967179E-1
305	2.61244528E-1
946	2.61358727E-1
154	2.62079409E-1
292	2.62838122E-1
466	2.64284985E-1
250	2.64642151E-1
356	2.6480176E-1
988	2.64888446E-1
362	2.68145908E-1
133	2.69028808E-1
463	2.6904494E-1
323	2.73113105E-1
309	2.74524146E-1
627	2.74718307E-1
105	2.7516738E-1
552	2.75803467E-1
863	2.77066326E-1
462	2.79359874E-1
477	2.79722019E-1
788	2.81013907E-1
762	2.81435434E-1
991	2.83620216E-1
911	2.83939331E-1
823	2.85965972E-1
805	2.86707753E-1
813	2.88010181E-1
167	2.89981988E-1
11	2.90022015E-1
251	2.90399488E-1
191	2.90608824E-1
622	2.91173054E-1
926	2.92331574E-1
714	2.95120121E-1
405	2.96391124E-1
42	2.96396371E-1
328	2.96783003E-1
269	2.9744867E-1
856	2.9961713E-1
72	2.99773683E-1
482	3.00465872E-1
871	3.00678852E-1
646	3.00895988E-1
824	3.01531549E-1
877	3.04820375E-1
502	3.07511335E-1
208	3.07623707E-1
307	3.08260462E-1
679	3.09904588E-1
923	3.09970891E-1
161	3.10115725E-1
682	3.10880157E-1
894	3.11296527E-1
263	3.13765263E-1
952	3.14436278E-1
144	3.182458E-1
121	3.1982777E-1
278	3.19981774E-1
35	3.20353453E-1
245	3.23339561E-1
503	3.2480059E-1
79	3.25249789E-1
790	3.26616848E-1
418	3.30572925E-1
287	3.31167544E-1
155	3.31385598E-1
424	3.31713717E-1
1010	3.31972233E-1
518	3.32090797E-1
974	3.32115881E-1
317	3.32938175E-1
331	3.3329139E-1
27	3.34798166E-1
939	3.35254883E-1
449	3.35535302E-1
931	3.3771838E-1
675	3.38304155E-1
555	3.38762841E-1
370	3.41236766E-1
275	3.42252623E-1
297	3.42887376E-1
677	3.43830779E-1
381	3.48038723E-1
713	3.50744068E-1
512	3.52533594E-1
852	3.55644478E-1
860	3.55675093E-1
656	3.5604827E-1
75	3.57125122E-1
464	3.58942135E-1
414	3.59122076E-1
785	3.59861861E-1
948	3.62190892E-1
93	3.62651944E-1
1000	3.6280727E-1
131	3.62993747E-1
733	3.6325141E-1
786	3.63506953E-1
681	3.64241555E-1
897	3.67830313E-1
499	3.68597122E-1
420	3.70999149E-1
141	3.71200558E-1
536	3.71608806E-1
589	3.7405709E-1
1	3.75804699E-1
436	3.75838534E-1
366	3.7611306E-1
295	3.76751015E-1
232	3.77494973E-1
698	3.78436306E-1
183	3.80545853E-1
41	3.80752836E-1
740	3.81331907E-1
1016	3.82153098E-1
892	3.83750861E-1
964	3.83765028E-1
853	3.83880494E-1
341	3.84204912E-1
981	3.84587122E-1
85	3.84904028E-1
711	3.87972477E-1
854	3.88393212E-1
214	3.89715838E-1
218	3.9052645E-1
560	3.91214707E-1
408	3.9341991E-1
960	3.94088115E-1
182	3.96849191E-1
606	3.97032759E-1
582	3.97040073E-1
474	3.97500437E-1
645	3.97589382E-1
959	3.99398989E-1
40	4.00334537E-1
134	4.0060896E-1
587	4.00710586E-1
207	4.00835608E-1
456	4.03008272E-1
781	4.05749653E-1
514	4.07354247E-1
178	4.07411152E-1
45	4.0850653E-1
569	4.09931583E-1
837	4.09971822E-1
338	4.10369782E-1
773	4.10516317E-1
428	4.11784309E-1
114	4.12263663E-1
21	4.12379995E-1
37	4.12853982E-1
891	4.14080151E-1
460	4.15786828E-1
862	4.19884948E-1
898	4.24562855E-1
322	4.2473841E-1
389	4.25373791E-1
184	4.26952345E-1
825	4.29451492E-1
817	4.30019123E-1
249	4.30044849E-1
410	4.30277469E-1
851	4.30619841E-1
727	4.34392685E-1
294	4.3720895E-1
980	4.37260764E-1
775	4.3895225E-1
339	4.40094037E-1
521	4.40656889E-1
524	4.40773399E-1
14	4.40924635E-1
376	4.42821583E-1
828	4.43072459E-1
630	4.4431972E-1
3	4.44320331E-1
272	4.44580045E-1
0	4.45175348E-1
884	4.49303582E-1
688	4.49397087E-1
469	4.50744886E-1
641	4.52506059E-1
953	4.52710389E-1
211	4.52867216E-1
335	4.53235621E-1
7	4.53781512E-1
572	4.54071073E-1
905	4.55109687E-1
489	4.55523392E-1
843	4.56180486E-1
363	4.56278185E-1
352	4.5746163E-1
238	4.57530393E-1
626	4.59536369E-1
748	4.6104976E-1
170	4.61524706E-1
879	4.61611439E-1
86	4.62627895E-1
994	4.64706357E-1
437	4.64789971E-1
967	4.65121122E-1
523	4.66700334E-1
58	4.66825352E-1
97	4.67467199E-1
394	4.6775964E-1
2	4.68334707E-1
565	4.69101351E-1
159	4.70710716E-1
812	4.70940063E-1
316	4.71687839E-1
699	4.71812151E-1
976	4.74022371E-1
924	4.74266424E-1
334	4.75146068E-1
