Name	chi2Pvalue
9	9.99679236E-5
595	7.26946715E-4
307	1.15137802E-3
51	1.17177321E-3
127	2.73969849E-3
373	3.83123579E-3
108	5.95985674E-3
721	7.30938873E-3
963	7.46992534E-3
801	7.58755564E-3
275	7.68968733E-3
901	7.92029679E-3
744	8.29710247E-3
426	1.14706752E-2
754	1.28345941E-2
368	1.32582881E-2
4	1.34648356E-2
49	1.37273389E-2
1018	1.51521594E-2
795	1.62289468E-2
824	1.96573229E-2
968	2.18334772E-2
329	2.27073407E-2
347	2.43513302E-2
69	2.57912745E-2
760	2.83146834E-2
165	2.88913621E-2
930	2.9061282E-2
596	2.93425226E-2
259	3.03764185E-2
1001	3.07788619E-2
1008	3.11628665E-2
785	3.22020254E-2
659	3.30659257E-2
729	3.36977581E-2
269	3.38811022E-2
807	3.39481129E-2
600	3.42908462E-2
614	3.86850739E-2
388	3.95816354E-2
293	3.96147066E-2
940	3.96565852E-2
557	3.98592812E-2
315	4.10275346E-2
411	4.21272777E-2
687	4.34649602E-2
242	4.5731444E-2
630	4.61606458E-2
54	4.63983163E-2
96	4.72206991E-2
472	4.72598948E-2
44	4.73126885E-2
408	4.81610246E-2
685	4.84726029E-2
350	4.89913322E-2
7	4.90202866E-2
148	5.37468081E-2
558	5.41018772E-2
875	5.42311728E-2
320	5.48775521E-2
737	5.56146501E-2
431	5.66721416E-2
605	5.71077191E-2
957	5.75769413E-2
389	5.82785764E-2
481	5.88148102E-2
929	5.91591662E-2
505	5.92500861E-2
287	6.09043906E-2
748	6.14454999E-2
106	6.16373693E-2
443	6.19946578E-2
40	6.22141944E-2
1022	6.36225538E-2
856	6.46575369E-2
8	6.58919727E-2
847	6.68276259E-2
241	6.75928405E-2
631	6.81015712E-2
356	6.9348632E-2
36	7.03628849E-2
15	7.04405348E-2
810	7.06512713E-2
38	7.19493998E-2
550	7.24432589E-2
142	7.38255356E-2
394	7.4514689E-2
773	7.64544749E-2
998	7.77339856E-2
185	7.84716725E-2
566	7.97502969E-2
818	8.28130316E-2
586	8.29441425E-2
492	8.43131028E-2
943	8.53819265E-2
463	8.63822771E-2
502	8.76227861E-2
583	8.94668833E-2
240	8.9565032E-2
1000	9.24095346E-2
277	9.46351133E-2
152	9.48735149E-2
436	9.52865506E-2
226	9.55289403E-2
517	9.60038612E-2
384	9.67565872E-2
46	9.70880902E-2
919	9.80070389E-2
774	9.83231365E-2
223	9.88212051E-2
510	9.92442891E-2
851	1.00312724E-1
878	1.00548522E-1
470	1.01699515E-1
295	1.01974667E-1
755	1.03295699E-1
1002	1.03763235E-1
75	1.05867092E-1
77	1.05924519E-1
273	1.06837479E-1
310	1.07028299E-1
495	1.07990857E-1
728	1.08737968E-1
942	1.09392122E-1
24	1.10395681E-1
513	1.11395584E-1
846	1.14721683E-1
695	1.15122532E-1
456	1.15761604E-1
525	1.17190111E-1
882	1.17569668E-1
166	1.18922482E-1
874	1.20846636E-1
393	1.21252949E-1
609	1.21271612E-1
539	1.25224214E-1
88	1.25665311E-1
594	1.25771997E-1
406	1.25790297E-1
512	1.27641041E-1
263	1.30618903E-1
18	1.33435304E-1
651	1.34314913E-1
462	1.36014255E-1
247	1.3859834E-1
115	1.38673237E-1
22	1.3899741E-1
927	1.39941823E-1
980	1.44047422E-1
342	1.44136023E-1
850	1.46370562E-1
800	1.46846882E-1
57	1.49746196E-1
653	1.49981291E-1
490	1.51628546E-1
592	1.52074406E-1
669	1.52926207E-1
526	1.53679972E-1
390	1.55402628E-1
345	1.56251395E-1
460	1.56534693E-1
274	1.57001343E-1
707	1.59235179E-1
1023	1.6059748E-1
484	1.60936589E-1
210	1.61683437E-1
941	1.62398892E-1
777	1.63502461E-1
741	1.63705832E-1
937	1.64393475E-1
251	1.6511664E-1
421	1.65186934E-1
564	1.6538651E-1
87	1.65391743E-1
547	1.67009266E-1
465	1.67308122E-1
667	1.6947893E-1
848	1.71883448E-1
370	1.72420388E-1
658	1.73816047E-1
396	1.74998158E-1
556	1.75103415E-1
402	1.75457766E-1
928	1.77566422E-1
300	1.77650827E-1
453	1.78896661E-1
855	1.8007059E-1
180	1.82703687E-1
30	1.84043428E-1
817	1.84275696E-1
757	1.84974302E-1
759	1.8502418E-1
576	1.85988294E-1
826	1.86410358E-1
572	1.90607062E-1
412	1.92084219E-1
776	1.9227462E-1
991	1.92972933E-1
610	1.96297165E-1
922	1.96800511E-1
257	1.97155204E-1
178	1.99084912E-1
925	2.00332516E-1
789	2.00827911E-1
364	2.01266134E-1
188	2.01266453E-1
93	2.02993355E-1
990	2.0305249E-1
157	2.04278124E-1
416	2.05411012E-1
119	2.06547648E-1
644	2.07099363E-1
398	2.07139662E-1
688	2.08233358E-1
252	2.08742645E-1
921	2.09026943E-1
820	2.09583913E-1
236	2.10014913E-1
602	2.11539946E-1
693	2.12182214E-1
213	2.12933675E-1
289	2.13528806E-1
1019	2.1670559E-1
529	2.18263276E-1
682	2.19196813E-1
893	2.22296362E-1
575	2.23126365E-1
885	2.23602505E-1
660	2.23663979E-1
353	2.26246356E-1
954	2.26546749E-1
852	2.27119054E-1
250	2.28126074E-1
643	2.29482288E-1
948	2.30974775E-1
13	2.31657975E-1
361	2.32187408E-1
538	2.32610603E-1
404	2.36505047E-1
726	2.40560143E-1
646	2.44551413E-1
849	2.44984245E-1
794	2.45200785E-1
11	2.45991928E-1
298	2.46827539E-1
181	2.47854968E-1
871	2.48470588E-1
886	2.49148785E-1
890	2.49169234E-1
20	2.49351372E-1
32	2.49687917E-1
340	2.49859461E-1
316	2.49953997E-1
652	2.50135774E-1
195	2.50899045E-1
327	2.51405198E-1
756	2.51460879E-1
1020	2.52037489E-1
464	2.52746413E-1
169	2.54132009E-1
719	2.55804585E-1
723	2.57300559E-1
91	2.58766135E-1
714	2.60602553E-1
727	2.6216573E-1
788	2.64772262E-1
837	2.65713961E-1
231	2.65714884E-1
907	2.66262713E-1
612	2.66568686E-1
892	2.66893283E-1
985	2.6731723E-1
234	2.67673905E-1
623	2.68240338E-1
324	2.69361866E-1
27	2.69371899E-1
341	2.69688711E-1
864	2.69702668E-1
413	2.70606772E-1
476	2.72893467E-1
959	2.73257832E-1
986	2.73844219E-1
34	2.75516171E-1
475	2.75821913E-1
280	2.75895867E-1
441	2.80641991E-1
480	2.8308281E-1
14	2.8311074E-1
65	2.83203454E-1
662	2.83658732E-1
253	2.84749707E-1
189	2.86287253E-1
532	2.86380018E-1
53	2.86686995E-1
914	2.87413589E-1
694	2.88760421E-1
560	2.91095886E-1
99	2.92486261E-1
68	2.93021773E-1
72	2.94297816E-1
