hg19.knownGene.name	hg19.knownGene.chrom	hg19.knownGene.strand	hg19.knownGene.txStart	hg19.knownGene.txEnd	hg19.knownToLocusLink.value	hg19.knownToEnsembl.value	hg19.kgXref.geneSymbol
uc001aal.1	chr1	+	69090	70008	79501	ENST00000335137	OR4F5
uc010nxu.2	chr1	+	367658	368597	729759	ENST00000426406	OR4F29
uc010nxv.2	chr1	-	621095	622034	729759	ENST00000332831	OR4F29
uc031pkq.1	chr1	-	879582	882440	26155	ENST00000483767	NOC2L
uc001aby.4	chr1	-	879582	893918	26155	ENST00000477976	NOC2L
uc001abz.4	chr1	-	879582	894679	26155	ENST00000327044	NOC2L
uc009vjq.3	chr1	-	879582	894679	26155	ENST00000327044	NOC2L
uc009vjr.2	chr1	-	893648	894679	26155	ENST00000469563	NOC2L
uc001acb.1	chr1	+	896828	897858	339451	ENST00000463212	KLHL17
uc010nya.1	chr1	+	897008	897858	339451	ENST00000463212	KLHL17
uc010nyb.1	chr1	+	897734	899229	339451	ENST00000338591	KLHL17
uc001aca.2	chr1	+	895966	901099	339451	ENST00000338591	KLHL17
uc001acc.2	chr1	+	897460	901099	339451	ENST00000338591	KLHL17
uc001acd.3	chr1	+	901876	910484	84069	ENST00000379410	PLEKHN1
uc001acf.3	chr1	+	901876	910484	84069	ENST00000379407	PLEKHN1
uc001ace.3	chr1	+	901876	910484	84069	ENST00000379409	PLEKHN1
uc001aci.2	chr1	-	934341	935552	57801	ENST00000428771	HES4
uc010nyc.1	chr1	-	934341	935552	57801	ENST00000428771	HES4
uc001acj.4	chr1	+	948846	949919	9636	ENST00000379389	ISG15
uc001ack.2	chr1	+	955502	991499	375790	ENST00000379370	AGRN
uc001acz.2	chr1	+	1115076	1121243	254173	ENST00000379288	TTLL10
uc001acy.2	chr1	+	1109285	1133313	254173	ENST00000379289	TTLL10
uc010nyg.1	chr1	+	1109285	1133313	254173	ENST00000379290	TTLL10
uc001ada.3	chr1	-	1138887	1141060	8784	ENST00000379268	TNFRSF18
uc001adb.3	chr1	-	1138887	1142089	8784	ENST00000379268	TNFRSF18
uc001adc.3	chr1	-	1138887	1142089	8784	ENST00000379268	TNFRSF18
uc001add.3	chr1	-	1138887	1142089	8784	ENST00000379268	TNFRSF18
uc001ade.3	chr1	-	1146705	1149548	7293	ENST00000379236	TNFRSF4
uc001adf.3	chr1	-	1146719	1149548	7293	ENST00000497869	TNFRSF4
uc001adg.3	chr1	-	1152287	1156731	51150	ENST00000494748	SDF4
uc001adj.1	chr1	-	1158103	1159348	51150	ENST00000403997	SDF4
uc001adh.4	chr1	-	1152287	1167447	51150	ENST00000263741	SDF4
uc001adi.4	chr1	-	1152287	1167447	51150	ENST00000263741	SDF4
uc009vjw.3	chr1	-	1152287	1167447	51150	ENST00000465727	SDF4
uc001adk.3	chr1	+	1167628	1170420	126792	ENST00000379198	B3GALT6
uc001adm.4	chr1	-	1189291	1203372	118424	ENST00000450390	UBE2J2
uc001ado.3	chr1	-	1189291	1209234	118424	ENST00000450390	UBE2J2
uc001adp.3	chr1	-	1189291	1209234	118424	ENST00000450390	UBE2J2
uc001adq.3	chr1	-	1189291	1209234	118424	ENST00000347370	UBE2J2
uc001adr.3	chr1	-	1189291	1209234	118424	ENST00000450390	UBE2J2
uc001adt.1	chr1	+	1215815	1227409	6339	ENST00000379116	SCNN1D
uc001adu.1	chr1	+	1215815	1227409	6339	ENST00000379116	SCNN1D
uc001adw.2	chr1	+	1217488	1227409	6339	ENST00000325425	SCNN1D
uc001adv.2	chr1	+	1217488	1227409	6339	ENST00000325425	SCNN1D
uc001adx.2	chr1	+	1217536	1227409	6339	ENST00000325425	SCNN1D
uc001ady.2	chr1	-	1227763	1234335	116983	ENST00000354700	ACAP3
uc001aea.2	chr1	-	1227763	1241309	116983	ENST00000492936	ACAP3
uc001aeb.2	chr1	-	1227763	1243269	116983	ENST00000354700	ACAP3
uc001aec.1	chr1	-	1234123	1244989	116983	ENST00000472541	ACAP3
uc001aed.3	chr1	+	1243993	1247057	126789	ENST00000379031	PUSL1
uc010nyi.2	chr1	+	1243993	1247057	126789	ENST00000379031	PUSL1
uc009vjx.3	chr1	+	1244465	1247057	126789	ENST00000493657	PUSL1
uc009vjy.1	chr1	-	1246964	1252830	54973	ENST00000462432	CPSF3L
uc001aef.2	chr1	-	1246964	1260067	54973	ENST00000458452	CPSF3L
uc010nyj.2	chr1	-	1246964	1260067	54973	ENST00000458452	CPSF3L
uc001aee.2	chr1	-	1246964	1260067	54973	ENST00000435064	CPSF3L
uc001aeh.2	chr1	-	1246964	1260067	54973	ENST00000435064	CPSF3L
uc001aei.2	chr1	-	1246964	1260067	54973	ENST00000411962	CPSF3L
uc009vjz.2	chr1	-	1246964	1260067	54973	ENST00000435064	CPSF3L
uc001aeg.2	chr1	-	1246964	1260067	54973	ENST00000323275	CPSF3L
uc001aek.2	chr1	-	1246964	1260067	54973	ENST00000421495	CPSF3L
uc001ael.3	chr1	-	1254060	1260067	54973	ENST00000498173	CPSF3L
uc001aen.2	chr1	-	1254076	1260067	54973	ENST00000496353	CPSF3L
uc001aeo.3	chr1	+	1260142	1264276	80772	ENST00000343938	GLTPD1
uc010nyk.2	chr1	+	1266725	1269844	83756	ENST00000339381	TAS1R3
uc002quu.3	chr1	-	1270657	1275557	1855	ENST00000378888	DVL1
uc009vka.3	chr1	-	1270657	1275557	1855	ENST00000378891	DVL1
uc001aer.4	chr1	-	1270657	1284492	1855	ENST00000378891	DVL1
uc001aew.3	chr1	-	1288070	1293915	54587	ENST00000309212	MXRA8
uc001aex.4	chr1	-	1288070	1293915	54587	ENST00000445648	MXRA8
uc001aey.4	chr1	-	1288070	1293915	54587	ENST00000309212	MXRA8
uc001aez.3	chr1	-	1288070	1293915	54587	ENST00000309212	MXRA8
uc001afa.3	chr1	-	1288070	1297157	54587	ENST00000477278	MXRA8
uc001afb.1	chr1	-	1309109	1310246	54998	ENST00000338370	AURKAIP1
uc009vkb.1	chr1	-	1309109	1310562	54998	ENST00000321751	AURKAIP1
uc001afd.2	chr1	-	1309109	1310580	54998	ENST00000378853	AURKAIP1
uc001afc.2	chr1	-	1309109	1310818	54998	ENST00000338338	AURKAIP1
uc010nym.1	chr1	-	1321090	1327029	81669	ENST00000480479	CCNL2
uc001aff.1	chr1	-	1321090	1328183	81669	ENST00000496007	CCNL2
uc001afg.1	chr1	-	1321090	1333722	81669	ENST00000480479	CCNL2
uc001afi.2	chr1	-	1321090	1334718	81669	ENST00000480479	CCNL2
uc001afj.2	chr1	-	1321090	1334718	81669	ENST00000480479	CCNL2
uc021oep.1	chr1	-	1326145	1334718	81669	ENST00000496007	CCNL2
uc001afo.4	chr1	-	1337275	1342693	55052	ENST00000344843	MRPL20
uc010nyn.1	chr1	-	1340412	1342693	55052	ENST00000482352	MRPL20
uc010nyo.2	chr1	-	1353799	1356824	441869	ENST00000537107	ANKRD65
uc001afq.3	chr1	-	1353799	1356824	441869	ENST00000427211	ANKRD65
uc001afp.3	chr1	-	1353799	1356824	441869	ENST00000520296	ANKRD65
uc001afs.3	chr1	+	1370902	1378262	64856	ENST00000476993	VWA1
uc001afr.3	chr1	+	1370902	1378262	64856	ENST00000404702	VWA1
uc001aft.2	chr1	+	1385068	1405538	219293	ENST00000378785	ATAD3C
uc001afw.2	chr1	+	1413405	1418847	83858	ENST00000472194	ATAD3B
uc001afv.3	chr1	+	1407163	1431582	83858	ENST00000308647	ATAD3B
uc001afx.3	chr1	+	1413405	1431582	83858	ENST00000472194	ATAD3B
uc021oeq.1	chr1	+	1421161	1444689	83858	ENST00000308647	ATAD3B
uc001aga.2	chr1	+	1447522	1470067	55210	ENST00000378756	ATAD3A
uc001afz.2	chr1	+	1447522	1470067	55210	ENST00000378755	ATAD3A
uc001agb.2	chr1	+	1447909	1470067	55210	ENST00000536055	ATAD3A
uc001agd.3	chr1	-	1477052	1510262	29101	ENST00000291386	SSU72
uc009vkg.1	chr1	-	1478559	1510262	29101	ENST00000291386	SSU72
uc001age.1	chr1	-	1497731	1510262	29101	ENST00000359060	SSU72
uc021oet.1	chr1	+	1550794	1554590	142678	ENST00000477990	MIB2
uc001agl.2	chr1	+	1551244	1564946	142678	ENST00000487053	MIB2
uc001agh.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agi.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agg.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agj.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agk.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agm.3	chr1	+	1551244	1565990	142678	ENST00000487053	MIB2
uc010nyq.2	chr1	+	1551689	1565990	142678	ENST00000504599	MIB2
uc009vkh.3	chr1	+	1559153	1565990	142678	ENST00000360522	MIB2
uc001agn.3	chr1	+	1560370	1565990	142678	ENST00000378710	MIB2
uc001ago.3	chr1	+	1564485	1565990	142678	ENST00000511910	MIB2
uc001agp.3	chr1	+	1567559	1570030	8510	ENST00000356026	MMP23B
uc001agq.3	chr1	+	1567559	1570030	8510	ENST00000378675	MMP23B
uc001agr.3	chr1	+	1568161	1570030	8510	ENST00000378675	MMP23B
uc009vki.3	chr1	+	1568566	1570030	8510	ENST00000378675	MMP23B
uc009vkj.2	chr1	-	1571099	1576737	984	ENST00000341832	CDK11B
uc010nyr.1	chr1	-	1577746	1580625	984	ENST00000341832	CDK11B
uc001ahe.4	chr1	-	1592938	1601578	728661	ENST00000378662	SLC35E2B
uc021oeu.1	chr1	-	1601213	1608285	728661	ENST00000234800	SLC35E2B
uc009vkl.2	chr1	-	1590987	1624243	728661	ENST00000378662	SLC35E2B
uc001ahg.4	chr1	-	1592938	1624243	728661	ENST00000234800	SLC35E2B
uc001ahf.4	chr1	-	1592938	1624243	728661	ENST00000378662	SLC35E2B
uc009vkn.2	chr1	-	1601876	1624243	728661	ENST00000481276	SLC35E2B
uc001ahj.4	chr1	-	1634169	1639684	728642	ENST00000356200	CDK11A
uc009vkp.3	chr1	-	1634169	1640391	728642	ENST00000356200	CDK11A
uc009vkq.3	chr1	-	1634169	1640391	728642	ENST00000598846	CDK11A
uc001ags.1	chr1	-	1571099	1647917	984	ENST00000341832	CDK11B
uc001agt.1	chr1	-	1571099	1647917	984	ENST00000341832	CDK11B
uc001ahu.1	chr1	-	1647784	1655471	984	ENST00000479362	CDK11B
uc001ahv.1	chr1	-	1647784	1655471	984	ENST00000479362	CDK11B
uc001aht.1	chr1	-	1640956	1655543	728642	ENST00000509982	CDK11A
uc001ahw.1	chr1	-	1647784	1655543	984	ENST00000479362	CDK11B
uc001aha.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc001agw.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc001agv.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc001agy.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc001agx.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc001agz.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc009vkr.3	chr1	-	1634169	1655791	728642	ENST00000356200	CDK11A
uc009vks.3	chr1	-	1634169	1655791	728642	ENST00000356200	CDK11A
uc010nys.2	chr1	-	1635662	1655791	728642	ENST00000358779	CDK11A
uc010nyt.1	chr1	-	1635988	1655791	728642	ENST00000404249	CDK11A
uc010nyu.1	chr1	-	1637080	1655791	728642	ENST00000378635	CDK11A
uc009vkt.1	chr1	-	1640232	1655791	728642	ENST00000357760	CDK11A
uc009vku.1	chr1	-	1640232	1655791	728642	ENST00000378633	CDK11A
uc009vkv.1	chr1	-	1640232	1655791	728642	ENST00000378633	CDK11A
uc001ahh.4	chr1	-	1592938	1677438	728661	ENST00000378662	SLC35E2B
uc001ahy.3	chr1	-	1656276	1677438	9906	ENST00000355439	SLC35E2
uc001aia.2	chr1	-	1658823	1677438	9906	ENST00000246421	SLC35E2
uc010nyv.2	chr1	-	1682670	1690081	65220	ENST00000341991	NADK
uc009vkx.1	chr1	-	1685548	1696885	65220	ENST00000378625	NADK
uc001aic.3	chr1	-	1682670	1709909	65220	ENST00000341426	NADK
uc001aid.4	chr1	-	1682670	1710297	65220	ENST00000341991	NADK
uc001aie.3	chr1	-	1682670	1711508	65220	ENST00000378625	NADK
uc001aif.3	chr1	-	1716724	1822526	2782	ENST00000378609	GNB1
uc009vky.3	chr1	-	1716724	1822526	2782	ENST00000378609	GNB1
uc001aih.1	chr1	+	1846265	1848733	163688	ENST00000307786	CALML6
uc001aip.2	chr1	+	1950767	1962192	2563	ENST00000378585	GABRD
uc009vlb.3	chr1	+	2076795	2088167	5590	ENST00000503672	PRKCZ
uc001aiq.3	chr1	+	1981908	2116834	5590	ENST00000378567	PRKCZ
uc001air.3	chr1	+	2005085	2116834	5590	ENST00000400921	PRKCZ
uc010nyw.2	chr1	+	2005424	2116834	5590	ENST00000461106	PRKCZ
uc001ais.3	chr1	+	2036154	2116834	5590	ENST00000400920	PRKCZ
uc010nyx.2	chr1	+	2076795	2116834	5590	ENST00000479263	PRKCZ
uc001ait.3	chr1	+	2100286	2116834	5590	ENST00000505322	PRKCZ
uc001aiv.2	chr1	-	2115898	2126214	199990	ENST00000400919	C1orf86
uc001aiw.2	chr1	-	2115898	2126214	199990	ENST00000414253	C1orf86
uc031pkt.1	chr1	-	2115898	2126214	199990	ENST00000414253	C1orf86
uc001aiy.3	chr1	-	2120987	2126214	199990	ENST00000378546	C1orf86
uc031pku.1	chr1	-	2120987	2126214	199990	ENST00000378546	C1orf86
uc031pkv.1	chr1	-	2123333	2126214	199990	ENST00000420515	C1orf86
uc001aix.2	chr1	-	2115898	2139172	199990	ENST00000469733	C1orf86
uc001aja.4	chr1	+	2160133	2241652	6497	ENST00000378536	SKI
uc001ajb.1	chr1	-	2252695	2322993	79906	ENST00000378531	MORN1
uc009vld.3	chr1	-	2263564	2322993	79906	ENST00000378531	MORN1
uc001ajd.1	chr1	-	2286615	2322993	79906	ENST00000378529	MORN1
uc010nyy.2	chr1	-	2309493	2322993	79906	ENST00000378525	MORN1
uc001aje.2	chr1	+	2323213	2336885	11079	ENST00000306256	RER1
uc001ajf.2	chr1	+	2323213	2336885	11079	ENST00000378512	RER1
uc001ajg.3	chr1	-	2336240	2344010	5192	ENST00000288774	PEX10
uc001ajh.3	chr1	-	2336240	2344010	5192	ENST00000447513	PEX10
uc010nyz.2	chr1	+	2411622	2436892	9651	ENST00000378486	PLCH2
uc001aji.1	chr1	+	2407753	2436964	9651	ENST00000378486	PLCH2
uc009vle.1	chr1	+	2411622	2436964	9651	ENST00000378488	PLCH2
uc001ajl.1	chr1	+	2430182	2436964	9651	ENST00000462379	PLCH2
uc001ajj.1	chr1	+	2411622	2436965	9651	ENST00000449969	PLCH2
uc001ajk.1	chr1	+	2411622	2436969	9651	ENST00000343889	PLCH2
uc001ajm.1	chr1	-	2439974	2458035	55229	ENST00000378466	PANK4
uc010nza.1	chr1	-	2439974	2458035	55229	ENST00000378466	PANK4
uc001ajn.3	chr1	-	2460183	2461684	388585	ENST00000378453	HES5
uc010nzc.1	chr1	+	2487804	2490438	8764	ENST00000442392	TNFRSF14
uc009vlf.1	chr1	+	2487804	2492974	8764	ENST00000496064	TNFRSF14
uc001ajt.1	chr1	+	2487804	2495188	8764	ENST00000463471	TNFRSF14
uc001ajr.3	chr1	+	2487804	2495267	8764	ENST00000355716	TNFRSF14
uc021oew.1	chr1	+	2517898	2522908	127281	ENST00000484099	FAM213B
uc021oex.1	chr1	+	2517898	2522908	127281	ENST00000419916	FAM213B
uc001ajw.2	chr1	+	2518188	2522908	127281	ENST00000419916	FAM213B
uc001ajv.2	chr1	+	2518188	2522908	127281	ENST00000378424	FAM213B
uc001aju.3	chr1	+	2518188	2522908	127281	ENST00000419916	FAM213B
uc010nzd.2	chr1	+	2518188	2522908	127281	ENST00000419916	FAM213B
uc010nze.2	chr1	+	2518188	2522908	127281	ENST00000419916	FAM213B
uc010nzf.2	chr1	+	2518188	2522908	127281	ENST00000419916	FAM213B
uc001ajx.2	chr1	+	2518516	2522908	127281	ENST00000484099	FAM213B
uc009vlg.1	chr1	-	2522080	2560960	79258	ENST00000288709	MMEL1
uc001ajy.2	chr1	-	2522080	2564481	79258	ENST00000288709	MMEL1
uc021oey.1	chr1	-	2572806	2706230	100287898	ENST00000401095	TTC34
uc001ajz.3	chr1	+	2938045	2939467	140625	ENST00000378404	ACTRT2
uc001ake.3	chr1	+	2985741	3355185	63976	ENST00000442529	PRDM16
uc001akf.3	chr1	+	2985741	3355185	63976	ENST00000441472	PRDM16
uc009vlh.3	chr1	+	2985741	3355185	63976	ENST00000441472	PRDM16
uc001akc.3	chr1	+	2985741	3355185	63976	ENST00000442529	PRDM16
uc009vli.1	chr1	+	3388170	3391021	27237	ENST00000464620	ARHGEF16
uc001akg.4	chr1	+	3371146	3397677	27237	ENST00000378378	ARHGEF16
uc001aki.3	chr1	+	3382568	3397677	27237	ENST00000378373	ARHGEF16
