hg19.knownGene.name	hg19.knownGene.chrom	hg19.knownGene.strand	hg19.knownGene.txStart	hg19.knownGene.txEnd	hg19.knownToLocusLink.value	hg19.knownToEnsembl.value	hg19.kgXref.geneSymbol
uc001acj.4	chr1	+	948846	949919	9636	ENST00000379389	ISG15
uc001ada.3	chr1	-	1138887	1141060	8784	ENST00000379268	TNFRSF18
uc001adb.3	chr1	-	1138887	1142089	8784	ENST00000379268	TNFRSF18
uc001adc.3	chr1	-	1138887	1142089	8784	ENST00000379268	TNFRSF18
uc001add.3	chr1	-	1138887	1142089	8784	ENST00000379268	TNFRSF18
uc001ade.3	chr1	-	1146705	1149548	7293	ENST00000379236	TNFRSF4
uc001adf.3	chr1	-	1146719	1149548	7293	ENST00000497869	TNFRSF4
uc002quu.3	chr1	-	1270657	1275557	1855	ENST00000378888	DVL1
uc009vka.3	chr1	-	1270657	1275557	1855	ENST00000378891	DVL1
uc001aer.4	chr1	-	1270657	1284492	1855	ENST00000378891	DVL1
uc010nym.1	chr1	-	1321090	1327029	81669	ENST00000480479	CCNL2
uc001aff.1	chr1	-	1321090	1328183	81669	ENST00000496007	CCNL2
uc001afg.1	chr1	-	1321090	1333722	81669	ENST00000480479	CCNL2
uc001afi.2	chr1	-	1321090	1334718	81669	ENST00000480479	CCNL2
uc001afj.2	chr1	-	1321090	1334718	81669	ENST00000480479	CCNL2
uc021oep.1	chr1	-	1326145	1334718	81669	ENST00000496007	CCNL2
uc001afw.2	chr1	+	1413405	1418847	83858	ENST00000472194	ATAD3B
uc001afv.3	chr1	+	1407163	1431582	83858	ENST00000308647	ATAD3B
uc001afx.3	chr1	+	1413405	1431582	83858	ENST00000472194	ATAD3B
uc021oeq.1	chr1	+	1421161	1444689	83858	ENST00000308647	ATAD3B
uc001agd.3	chr1	-	1477052	1510262	29101	ENST00000291386	SSU72
uc009vkg.1	chr1	-	1478559	1510262	29101	ENST00000291386	SSU72
uc001age.1	chr1	-	1497731	1510262	29101	ENST00000359060	SSU72
uc021oet.1	chr1	+	1550794	1554590	142678	ENST00000477990	MIB2
uc001agl.2	chr1	+	1551244	1564946	142678	ENST00000487053	MIB2
uc001agh.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agi.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agg.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agj.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
