hg19.knownGene.name	hg19.knownGene.chrom	hg19.knownGene.strand	hg19.knownGene.txStart	hg19.knownGene.txEnd	hg19.knownToLocusLink.value	hg19.knownToEnsembl.value	hg19.kgXref.geneSymbol
uc031pkq.1	chr1	-	879582	882440	26155	ENST00000483767	NOC2L
uc001aby.4	chr1	-	879582	893918	26155	ENST00000477976	NOC2L
uc001abz.4	chr1	-	879582	894679	26155	ENST00000327044	NOC2L
uc009vjq.3	chr1	-	879582	894679	26155	ENST00000327044	NOC2L
uc009vjr.2	chr1	-	893648	894679	26155	ENST00000469563	NOC2L
uc001acb.1	chr1	+	896828	897858	339451	ENST00000463212	KLHL17
uc010nya.1	chr1	+	897008	897858	339451	ENST00000463212	KLHL17
uc010nyb.1	chr1	+	897734	899229	339451	ENST00000338591	KLHL17
uc001aca.2	chr1	+	895966	901099	339451	ENST00000338591	KLHL17
uc001acc.2	chr1	+	897460	901099	339451	ENST00000338591	KLHL17
uc001acj.4	chr1	+	948846	949919	9636	ENST00000379389	ISG15
uc001ack.2	chr1	+	955502	991499	375790	ENST00000379370	AGRN
uc001acz.2	chr1	+	1115076	1121243	254173	ENST00000379288	TTLL10
uc001acy.2	chr1	+	1109285	1133313	254173	ENST00000379289	TTLL10
uc010nyg.1	chr1	+	1109285	1133313	254173	ENST00000379290	TTLL10
uc001ada.3	chr1	-	1138887	1141060	8784	ENST00000379268	TNFRSF18
uc001adb.3	chr1	-	1138887	1142089	8784	ENST00000379268	TNFRSF18
uc001adc.3	chr1	-	1138887	1142089	8784	ENST00000379268	TNFRSF18
uc001add.3	chr1	-	1138887	1142089	8784	ENST00000379268	TNFRSF18
uc001ade.3	chr1	-	1146705	1149548	7293	ENST00000379236	TNFRSF4
uc001adf.3	chr1	-	1146719	1149548	7293	ENST00000497869	TNFRSF4
uc001adg.3	chr1	-	1152287	1156731	51150	ENST00000494748	SDF4
uc001adj.1	chr1	-	1158103	1159348	51150	ENST00000403997	SDF4
uc001adh.4	chr1	-	1152287	1167447	51150	ENST00000263741	SDF4
uc001adi.4	chr1	-	1152287	1167447	51150	ENST00000263741	SDF4
uc009vjw.3	chr1	-	1152287	1167447	51150	ENST00000465727	SDF4
uc001adm.4	chr1	-	1189291	1203372	118424	ENST00000450390	UBE2J2
uc001ado.3	chr1	-	1189291	1209234	118424	ENST00000450390	UBE2J2
uc001adp.3	chr1	-	1189291	1209234	118424	ENST00000450390	UBE2J2
uc001adq.3	chr1	-	1189291	1209234	118424	ENST00000347370	UBE2J2
uc001adr.3	chr1	-	1189291	1209234	118424	ENST00000450390	UBE2J2
uc001adt.1	chr1	+	1215815	1227409	6339	ENST00000379116	SCNN1D
uc001adu.1	chr1	+	1215815	1227409	6339	ENST00000379116	SCNN1D
uc001adw.2	chr1	+	1217488	1227409	6339	ENST00000325425	SCNN1D
uc001adv.2	chr1	+	1217488	1227409	6339	ENST00000325425	SCNN1D
uc001adx.2	chr1	+	1217536	1227409	6339	ENST00000325425	SCNN1D
uc009vjy.1	chr1	-	1246964	1252830	54973	ENST00000462432	CPSF3L
uc001aef.2	chr1	-	1246964	1260067	54973	ENST00000458452	CPSF3L
uc010nyj.2	chr1	-	1246964	1260067	54973	ENST00000458452	CPSF3L
uc001aee.2	chr1	-	1246964	1260067	54973	ENST00000435064	CPSF3L
uc001aeh.2	chr1	-	1246964	1260067	54973	ENST00000435064	CPSF3L
uc001aei.2	chr1	-	1246964	1260067	54973	ENST00000411962	CPSF3L
uc009vjz.2	chr1	-	1246964	1260067	54973	ENST00000435064	CPSF3L
uc001aeg.2	chr1	-	1246964	1260067	54973	ENST00000323275	CPSF3L
uc001aek.2	chr1	-	1246964	1260067	54973	ENST00000421495	CPSF3L
uc001ael.3	chr1	-	1254060	1260067	54973	ENST00000498173	CPSF3L
uc001aen.2	chr1	-	1254076	1260067	54973	ENST00000496353	CPSF3L
uc010nyk.2	chr1	+	1266725	1269844	83756	ENST00000339381	TAS1R3
uc002quu.3	chr1	-	1270657	1275557	1855	ENST00000378888	DVL1
uc009vka.3	chr1	-	1270657	1275557	1855	ENST00000378891	DVL1
uc001aer.4	chr1	-	1270657	1284492	1855	ENST00000378891	DVL1
uc001afb.1	chr1	-	1309109	1310246	54998	ENST00000338370	AURKAIP1
uc009vkb.1	chr1	-	1309109	1310562	54998	ENST00000321751	AURKAIP1
uc001afd.2	chr1	-	1309109	1310580	54998	ENST00000378853	AURKAIP1
uc001afc.2	chr1	-	1309109	1310818	54998	ENST00000338338	AURKAIP1
uc010nym.1	chr1	-	1321090	1327029	81669	ENST00000480479	CCNL2
uc001aff.1	chr1	-	1321090	1328183	81669	ENST00000496007	CCNL2
uc001afg.1	chr1	-	1321090	1333722	81669	ENST00000480479	CCNL2
uc001afi.2	chr1	-	1321090	1334718	81669	ENST00000480479	CCNL2
uc001afj.2	chr1	-	1321090	1334718	81669	ENST00000480479	CCNL2
uc021oep.1	chr1	-	1326145	1334718	81669	ENST00000496007	CCNL2
uc001afo.4	chr1	-	1337275	1342693	55052	ENST00000344843	MRPL20
uc010nyn.1	chr1	-	1340412	1342693	55052	ENST00000482352	MRPL20
uc001afw.2	chr1	+	1413405	1418847	83858	ENST00000472194	ATAD3B
uc001afv.3	chr1	+	1407163	1431582	83858	ENST00000308647	ATAD3B
uc001afx.3	chr1	+	1413405	1431582	83858	ENST00000472194	ATAD3B
uc021oeq.1	chr1	+	1421161	1444689	83858	ENST00000308647	ATAD3B
uc001aga.2	chr1	+	1447522	1470067	55210	ENST00000378756	ATAD3A
uc001afz.2	chr1	+	1447522	1470067	55210	ENST00000378755	ATAD3A
uc001agb.2	chr1	+	1447909	1470067	55210	ENST00000536055	ATAD3A
uc001agd.3	chr1	-	1477052	1510262	29101	ENST00000291386	SSU72
uc009vkg.1	chr1	-	1478559	1510262	29101	ENST00000291386	SSU72
uc001age.1	chr1	-	1497731	1510262	29101	ENST00000359060	SSU72
uc021oet.1	chr1	+	1550794	1554590	142678	ENST00000477990	MIB2
uc001agl.2	chr1	+	1551244	1564946	142678	ENST00000487053	MIB2
uc001agh.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agi.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agg.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agj.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agk.3	chr1	+	1550794	1565990	142678	ENST00000357210	MIB2
uc001agm.3	chr1	+	1551244	1565990	142678	ENST00000487053	MIB2
uc010nyq.2	chr1	+	1551689	1565990	142678	ENST00000504599	MIB2
uc009vkh.3	chr1	+	1559153	1565990	142678	ENST00000360522	MIB2
uc001agn.3	chr1	+	1560370	1565990	142678	ENST00000378710	MIB2
uc001ago.3	chr1	+	1564485	1565990	142678	ENST00000511910	MIB2
uc009vkj.2	chr1	-	1571099	1576737	984	ENST00000341832	CDK11B
uc010nyr.1	chr1	-	1577746	1580625	984	ENST00000341832	CDK11B
uc001ahe.4	chr1	-	1592938	1601578	728661	ENST00000378662	SLC35E2B
uc021oeu.1	chr1	-	1601213	1608285	728661	ENST00000234800	SLC35E2B
uc009vkl.2	chr1	-	1590987	1624243	728661	ENST00000378662	SLC35E2B
uc001ahg.4	chr1	-	1592938	1624243	728661	ENST00000234800	SLC35E2B
uc001ahf.4	chr1	-	1592938	1624243	728661	ENST00000378662	SLC35E2B
uc009vkn.2	chr1	-	1601876	1624243	728661	ENST00000481276	SLC35E2B
uc001ags.1	chr1	-	1571099	1647917	984	ENST00000341832	CDK11B
uc001agt.1	chr1	-	1571099	1647917	984	ENST00000341832	CDK11B
uc001ahu.1	chr1	-	1647784	1655471	984	ENST00000479362	CDK11B
uc001ahv.1	chr1	-	1647784	1655471	984	ENST00000479362	CDK11B
uc001ahw.1	chr1	-	1647784	1655543	984	ENST00000479362	CDK11B
uc001aha.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc001agw.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc001agv.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc001agy.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc001agx.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc001agz.1	chr1	-	1571099	1655775	984	ENST00000341832	CDK11B
uc001ahh.4	chr1	-	1592938	1677438	728661	ENST00000378662	SLC35E2B
uc001ahy.3	chr1	-	1656276	1677438	9906	ENST00000355439	SLC35E2
uc001aia.2	chr1	-	1658823	1677438	9906	ENST00000246421	SLC35E2
uc010nyv.2	chr1	-	1682670	1690081	65220	ENST00000341991	NADK
uc009vkx.1	chr1	-	1685548	1696885	65220	ENST00000378625	NADK
uc001aic.3	chr1	-	1682670	1709909	65220	ENST00000341426	NADK
uc001aid.4	chr1	-	1682670	1710297	65220	ENST00000341991	NADK
uc001aie.3	chr1	-	1682670	1711508	65220	ENST00000378625	NADK
uc001aif.3	chr1	-	1716724	1822526	2782	ENST00000378609	GNB1
uc009vky.3	chr1	-	1716724	1822526	2782	ENST00000378609	GNB1
uc001aip.2	chr1	+	1950767	1962192	2563	ENST00000378585	GABRD
uc009vlb.3	chr1	+	2076795	2088167	5590	ENST00000503672	PRKCZ
uc001aiq.3	chr1	+	1981908	2116834	5590	ENST00000378567	PRKCZ
uc001air.3	chr1	+	2005085	2116834	5590	ENST00000400921	PRKCZ
uc010nyw.2	chr1	+	2005424	2116834	5590	ENST00000461106	PRKCZ
uc001ais.3	chr1	+	2036154	2116834	5590	ENST00000400920	PRKCZ
uc010nyx.2	chr1	+	2076795	2116834	5590	ENST00000479263	PRKCZ
uc001ait.3	chr1	+	2100286	2116834	5590	ENST00000505322	PRKCZ
uc001aja.4	chr1	+	2160133	2241652	6497	ENST00000378536	SKI
uc001aje.2	chr1	+	2323213	2336885	11079	ENST00000306256	RER1
uc001ajf.2	chr1	+	2323213	2336885	11079	ENST00000378512	RER1
uc001ajg.3	chr1	-	2336240	2344010	5192	ENST00000288774	PEX10
uc001ajh.3	chr1	-	2336240	2344010	5192	ENST00000447513	PEX10
uc001ajm.1	chr1	-	2439974	2458035	55229	ENST00000378466	PANK4
uc010nza.1	chr1	-	2439974	2458035	55229	ENST00000378466	PANK4
uc001ajn.3	chr1	-	2460183	2461684	388585	ENST00000378453	HES5
uc010nzc.1	chr1	+	2487804	2490438	8764	ENST00000442392	TNFRSF14
uc009vlf.1	chr1	+	2487804	2492974	8764	ENST00000496064	TNFRSF14
uc001ajt.1	chr1	+	2487804	2495188	8764	ENST00000463471	TNFRSF14
uc001ajr.3	chr1	+	2487804	2495267	8764	ENST00000355716	TNFRSF14
uc009vlg.1	chr1	-	2522080	2560960	79258	ENST00000288709	MMEL1
uc001ajy.2	chr1	-	2522080	2564481	79258	ENST00000288709	MMEL1
uc001ake.3	chr1	+	2985741	3355185	63976	ENST00000442529	PRDM16
uc001akf.3	chr1	+	2985741	3355185	63976	ENST00000441472	PRDM16
